Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,115433.18747940692,1965.0,27.085831960461284,1965.0,1965.0,1976.0,5390.0,6070.0,1290.0,903.0,224.0,38.0,125.0,637.0,588.0,524.0,61.0,892.0,28.0,36.0,92.0,137.0,67.0,31.0,0.23934245364481052,0.0863261939538715,0.14695222367990116,0.6958394328833608,0.30739753342158155,0.365519873685832,0.6729174071074134,0.1261774200410214,0.26122840611598025,0.25387149890280064,0.29968607271451253,2.978960367442535,48.69990043070052,0.7682787934622037,5.904612850082373,12.085781420505862,0.4381307242023935,0.45227958023812026,6.342743574284766,0.9829044469507987,19.86370902197955,24.71454036839643,2.143381777262744,0.21462565348859466,3.9084813869563826,92.30168777679638,0.21462565348859466,95.43085808676932,96.51353304062313,104.01599227080563,95.86536543225769,95.09805792471562,94.47312457433357,95.81798805448346,0.0,0.0,0.0,0.0,2.675977790385503,162.0,433.5084019769358,1005309.8724876442,2.0,,0.0
BOS,118576.06516492357,1965.0,26.66419951729686,1965.0,1965.0,1991.0,5483.0,6215.0,1378.0,929.0,244.0,40.0,165.0,669.0,629.0,607.0,44.0,961.0,30.0,39.0,56.0,157.0,47.0,24.0,0.25115143381705546,0.09766693439436848,0.15462590475848756,0.7752444178148031,0.3266307039068383,0.40084977000112626,0.7274804739079647,0.1496983361840708,0.274439227565889,0.2788415123475462,0.32439551424944596,11.758208490437811,55.98177289662785,5.052604531625235,-2.7507246376811594,11.689968148279375,-0.3911164021885213,0.43746727688870396,-3.1396280675143458,5.111978114318473,14.099785471972208,19.482127254512214,1.5994869397394589,0.05937358269323882,3.5140480306356023,99.02993334038965,0.05937358269323882,100.13934625426923,109.19259228182983,109.44759127469356,101.86344517111289,104.28990977229486,112.08399694882287,100.64710365515187,0.0,0.0,0.0,0.0,2.5883386470136767,162.0,419.31086082059534,1008395.1219629927,3.0,,0.0
CAL,117771.94901256732,1965.0,26.117235188509873,1965.0,1965.0,1952.0,5004.0,5570.0,1195.0,885.0,186.0,33.0,91.0,480.0,477.0,412.0,47.0,918.0,21.0,43.0,90.0,92.0,101.0,56.0,0.23829571146050268,0.07396768360394972,0.16481148966229806,0.6439947968089766,0.29660766872136446,0.3428712851140036,0.6394789538353681,0.1045755736535009,0.273204456891921,0.25511669798563735,0.28586061042847893,-1.2531748217990724,41.672867922793166,-1.9914545714099805,2.4204667863554756,11.346983879610656,1.4430443895706502,0.42463196441163337,3.863511175926126,-1.8837136624182762,13.751413357530138,15.33187746727964,1.5025909796657915,0.10774090899170428,3.8205992823496078,86.05271944958187,0.10774090899170428,95.01350001542458,82.6965970405556,116.65717064748455,92.50042521644815,89.20552801601895,78.2991219347142,100.19426718160744,0.0,0.0,0.0,0.0,2.512396657391382,162.0,407.00825852782765,1007607.8617594255,1.0,,0.0
CHC,116737.26706439727,1965.0,27.379364800842254,1965.0,1965.0,1978.0,5118.0,5699.0,1220.0,873.0,188.0,33.0,126.0,601.0,548.0,458.0,51.0,870.0,43.0,37.0,43.0,102.0,63.0,44.0,0.23863308049306897,0.08036497571380943,0.15265836066204597,0.6172540027782067,0.3036919732044218,0.3629018232312687,0.6665937964356906,0.12426874273819968,0.2614033448401474,0.25513247962449553,0.2973053061717638,7.687697413470477,57.45482351373152,1.9237346003134013,-0.4327279139481573,13.155342106752988,-0.620810817279004,1.5589419993681264,-1.0514126772544383,1.6771264772582322,15.339997906124909,9.723938414008696,1.7113863233134432,-0.24660812305516855,3.775971235479986,84.62683238052948,-0.24660812305516855,92.4642242296854,99.97564611063049,107.01855720684514,94.40626837035647,93.02343980772825,94.11648972232088,92.4092636715663,0.0,0.0,0.0,0.0,2.8772730784716622,164.0,471.87278469907,1006590.0679066502,17.0,,0.0
CHW,117556.01904916966,1965.0,27.747802018886357,1965.0,1965.0,2128.0,5444.0,6142.0,1338.0,981.0,197.0,36.0,124.0,643.0,580.0,525.0,62.0,903.0,43.0,42.0,88.0,124.0,50.0,33.0,0.24539323554037773,0.0854770428941713,0.14702051426017582,0.7001428599179418,0.3141823264166395,0.3628941581465321,0.6770764845631715,0.11750092260615431,0.2700685360683816,0.2526864222110062,0.3024654898807993,3.3939689069349464,55.257481705268404,2.854214590670825,5.901647365845702,13.709496753851333,0.21927032417255946,0.5130429900533667,6.110348148985324,2.6945930524050077,23.027480945295036,27.50084575955777,2.495497081733037,-0.1596215382658169,3.4298851290194894,97.69441938891957,-0.1596215382658169,97.84343178440001,95.56417381252314,104.06432983448546,97.98127915678786,94.4149201080704,87.9767496859693,99.0442080192184,0.0,0.0,0.0,0.0,3.035493324584826,162.0,491.7499185932921,1007393.9752523608,4.0,,0.0
CIN,117561.07600314713,1965.0,26.08072383949646,1965.0,1965.0,1984.0,5658.0,6355.0,1544.0,1032.0,268.0,61.0,183.0,825.0,776.0,538.0,89.0,1003.0,50.0,36.0,73.0,120.0,82.0,40.0,0.2728695246519276,0.08465774935531077,0.15782848097859953,0.6159662104772621,0.33853932356868616,0.4387917874958301,0.777331111064516,0.16592226284390246,0.2986608041740363,0.2712824545192761,0.3415975040224439,22.708863644684435,80.34219470352883,14.71855793571548,-1.7027239804755157,15.234678918437154,0.40426208175430084,1.8053487792345868,-1.2973901605745741,15.07778182047497,30.820419357572135,33.139907422780894,3.4478477771913014,0.3592238847594923,4.354211415418316,111.54416513661762,0.3592238847594923,105.72997197509808,105.31594285811069,110.6429824559034,105.23898243840374,112.47648487627345,125.66330520097928,105.56170287083701,0.0,0.0,0.0,0.0,3.373192101471282,162.0,546.4571203776554,1007402.0174665618,18.0,,0.0
CLE,115996.29058760493,1965.0,27.96677978210395,1965.0,1965.0,1885.0,4976.0,5599.0,1251.0,901.0,182.0,18.0,150.0,620.0,571.0,478.0,54.0,777.0,29.0,37.0,79.0,89.0,102.0,42.0,0.2511996975934988,0.08537238731612788,0.13877478071798538,0.8107646909898196,0.31775331568601534,0.38503275586872654,0.7027860715547418,0.1338330582752277,0.2671485196822647,0.2509376664368637,0.313066441763187,10.481851622881045,60.39216149795929,7.121756669609229,-2.078066248880931,13.193191018061665,-0.5754250694704356,0.4937215632185836,-2.648295224855326,7.623528311188597,18.662145667613522,19.97211004580922,2.0994404818750785,0.5017716415793667,3.6285468878131817,99.40491761630484,0.5017716415793667,100.15859003459468,95.44716784797458,98.22781960746181,99.094932176228,100.17476464765018,100.20514908681025,97.99083055696084,0.0,0.0,0.0,0.0,2.921175299074835,162.0,473.2303982854081,1005867.4606179675,5.0,,0.0
DET,117755.89940535184,1965.0,26.793524942186984,1965.0,1965.0,1975.0,5360.0,6054.0,1276.0,897.0,190.0,27.0,162.0,680.0,635.0,553.0,50.0,952.0,37.0,36.0,68.0,122.0,57.0,41.0,0.23837506717575155,0.09134456511942518,0.15725140354410308,0.7777981597869177,0.31076612017310873,0.3749798410888668,0.6857459612619754,0.1366047739131153,0.257132665646845,0.27535513866699707,0.3062717862502735,8.223622683419029,53.01044647688203,4.624230827723276,0.5396432111000992,11.838859002846458,0.3147052952522925,0.443039137810385,0.8543485063523916,4.271910356491441,17.408157003500673,18.60041378787449,1.9305514883246064,-0.3523204712318357,3.57815508293615,93.68789650764691,-0.3523204712318357,95.04514080411448,102.12412131184455,111.30597663663585,96.91589695842491,97.55927711640575,102.28042243332227,94.3001417181521,0.0,0.0,0.0,0.0,2.6213053721572512,162.0,424.6514701024116,1007590.6843409316,6.0,,0.0
HOU,116569.21340247308,1965.0,25.8220981252493,1965.0,1965.0,1586.0,4481.0,5014.0,1074.0,810.0,151.0,32.0,81.0,473.0,424.0,417.0,34.0,699.0,39.0,28.0,49.0,111.0,88.0,29.0,0.24038770912026328,0.08316713157798165,0.1394096524754687,0.8117449522672516,0.30751521816414046,0.3446019046785002,0.6521171228426406,0.10421419555823694,0.26643627841842843,0.238731551785002,0.2924409020231854,3.881057110613899,52.411642937911644,1.2189257669633107,-4.4259481037924155,12.828477535814368,1.2888422234817496,1.5202077039308315,-3.1335750082693474,2.226205475311215,13.441315706787073,9.164028561215039,1.5450615095561453,1.0072797083479048,3.9346344207626407,87.06289970671524,1.0072797083479048,93.14409801118082,103.46158436339564,97.73077480938537,95.59476962017335,88.33258056424924,78.92792708010332,94.28476555659032,0.0,0.0,0.0,0.0,2.8404221254966093,162.0,460.14838452333464,1006429.89030714,21.0,,0.0
KCA,115625.69663512093,1965.0,25.53995793901157,1965.0,1965.0,2060.0,5074.0,5706.0,1233.0,897.0,179.0,59.0,98.0,560.0,512.0,501.0,27.0,944.0,32.0,32.0,67.0,110.0,110.0,50.0,0.24279798191833155,0.0878023128147564,0.16543988732790046,0.640679567929022,0.31266828176445843,0.3590760100681739,0.6717442918326324,0.11627802814984228,0.27868693315842974,0.2704171037609534,0.30221510881600544,1.9072451910509702,48.54417662823911,-2.258474381736686,-2.5014020329477744,12.327912739614176,0.535994898978914,0.4613407280082598,-1.9654071339688604,-1.926213371289599,8.897632962363977,11.727571177592246,1.0179787936775053,0.3322610104470868,4.379383149315425,90.21064112808968,0.3322610104470868,96.80864971238114,98.16384843073553,117.10196423475733,97.50910736592634,93.42154466322948,87.06112896496492,102.25865952501205,0.0,0.0,0.0,0.0,2.7295893875481947,162.0,442.19348054679284,1005506.3422712934,10.0,,0.0
