Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BAL,115960.08748085758,1896.0,26.715352220520675,1896.0,1896.0,1205.0,4628.0,5224.0,1520.0,1192.0,206.0,99.0,23.0,972.0,848.0,379.0,198.0,120.0,97.0,435.0,0.32937591729115623,0.07254976977258806,0.037901990274693716,2.4411917043531774,0.3937545804800919,0.43208569206699843,0.8258402725470906,0.10270977477584223,0.3398242124500383,0.1148545184207504,0.39257714694629564,22.324855421067685,94.90816208976192,19.749214444638703,2.8246554364471668,17.461362121950486,-0.6148686086178499,2.4017761421056854,2.209786827829317,23.1624415666861,45.235366658571586,34.782484884438055,3.7101220251015303,3.4132271220473998,7.420979387952493,117.38902287509755,3.4132271220473998,110.84847377723378,90.46984902839306,76.16998973140394,108.69833843118995,108.92904079684085,103.19847882201954,109.90533752312655,0.0,0.0,0.0,0.0,3.5808825232446395,132.0,472.67649310872895,1005832.4098392037,1006.0,0.0
BRO,116042.77678037103,1896.0,28.935168561739477,1896.0,1896.0,1257.0,4537.0,5013.0,1290.0,1002.0,173.0,87.0,28.0,692.0,557.0,343.0,267.0,39.0,94.0,198.0,0.284290416984241,0.06842210213564731,0.05326151949231997,1.5471760493179734,0.3396227818595651,0.3792866915551566,0.7189094734147218,0.09499627457091561,0.2971240569822462,0.12726909921005386,0.34205454667330326,-1.9851666711847413,59.82045440111743,-1.1542752850554718,1.7474566128067026,14.86857488653096,-0.19385216527657667,2.045143338771373,1.5536044475301258,-1.498205167176848,16.96911750565561,15.262366379688158,1.4049684779801768,-0.34392988212137626,6.322811307760202,94.72975173162314,-0.34392988212137626,95.67535808739781,85.32263120642129,107.03737095087853,93.75492733697781,95.61838370640645,95.44827696168993,96.09532979841903,0.0,0.0,0.0,0.0,3.026241546756433,133.0,402.49012567324957,1005917.6929982046,22.0,0.0
BSN,117016.57394099848,1896.0,28.094150943396226,1896.0,1896.0,1243.0,4717.0,5300.0,1416.0,1131.0,175.0,74.0,36.0,860.0,736.0,414.0,274.0,51.0,118.0,241.0,0.30105662089849056,0.07811320710905659,0.0516981126109434,1.9069688553701887,0.36282354275622636,0.3923283754116981,0.7551519181679245,0.09127175451320756,0.31355635277584903,0.1366037730018868,0.36078429478711194,8.393018018857443,71.58020814167548,2.637348804919177,2.7522641509433963,15.200938877574396,-0.7908582147477933,2.0908593544297203,1.9614059361956029,2.9371023276058383,22.190306495805558,17.32609678436854,1.8462194475205793,0.2997535226866603,6.379738433319765,94.85964427205461,0.2997535226866603,101.31787175450845,97.40747732806835,103.89545979430348,100.15963799896313,98.90619938498821,91.7060352409148,101.40983344268568,0.0,0.0,0.0,0.0,3.117327043407547,132.0,411.48716981132077,1006857.5650943397,16.0,0.0
CHI,115494.2484822203,1896.0,28.44451739986868,1896.0,1896.0,1099.0,4113.0,4612.0,1195.0,913.0,164.0,88.0,30.0,757.0,577.0,380.0,265.0,30.0,89.0,306.0,0.29178825412228976,0.08239375496530789,0.05745880278274067,1.9261369737942324,0.35498524630355593,0.397601246570902,0.752586492874458,0.10581299244861231,0.3058084920548569,0.14635732879011273,0.3570524601797993,9.544532348133961,74.28239206643521,4.3444698018009404,0.46487424111014747,15.573983377487062,-0.5486773487975286,2.1421708943643782,-0.08380310768738118,6.4535944078981515,24.085945572062208,13.82287569629835,1.9555551080373945,2.1091246060972124,7.0259990694215695,93.87039854119762,2.1091246060972124,98.19868708551724,102.74533738644976,115.47246955161347,97.9958287564204,100.23549310649457,106.3164619349452,98.90403421936517,0.0,0.0,0.0,0.0,3.1938290092866435,132.0,421.5854293148309,1005378.3139635733,17.0,0.0
CIN,117532.39460233081,1896.0,30.530361889184217,1896.0,1896.0,1204.0,4343.0,4891.0,1281.0,984.0,204.0,73.0,20.0,782.0,648.0,380.0,224.0,41.0,127.0,350.0,0.294680657322429,0.07769372255182991,0.04579840458515641,2.0530021659640156,0.3573425820619505,0.38912154217910444,0.746464124241055,0.09444088485667552,0.3070940943825393,0.12758127280924145,0.35675159015511,4.3422011237837745,71.5924568443019,-0.948598350660043,4.936209364138213,16.178390346553563,-0.4528909112151428,2.225305888546847,4.48331845292307,1.7021695383638207,24.5891842263873,20.82702477713054,2.0819849304454587,2.650767889023863,7.006596020306312,93.86567167640167,2.650767889023863,99.17209911551821,96.88437843084233,92.03907187151628,98.6465855799969,98.09775496195996,94.89024464404478,99.31982141924054,0.0,0.0,0.0,0.0,3.421458099059497,128.0,437.9466366796156,1007378.2987119198,18.0,0.0
CLE,117792.86999441237,1896.0,29.04734955668742,1896.0,1896.0,1244.0,4800.0,5369.0,1450.0,1147.0,203.0,72.0,28.0,829.0,708.0,428.0,312.0,36.0,105.0,171.0,0.302612287969268,0.07971689284503634,0.05811137966623208,2.1621007565237473,0.3634938455449805,0.39222605507617797,0.7557199006211585,0.08961376710691005,0.318539923177873,0.14304339724157197,0.3612329986426721,8.739625712092124,82.15838996342724,3.0065043104893623,3.389457999627491,17.6623481069871,0.020955282579333805,2.4294213704897714,3.410413282206825,1.2519593748621805,24.754142134545877,17.629900139337472,2.0656510576460545,-1.7545449356271814,6.052680182942176,96.34707340112594,-1.7545449356271814,101.84141737957836,99.40727976545514,116.78392507556465,100.34467914640713,98.88040437208485,90.04015895397535,103.02161084711426,0.0,0.0,0.0,0.0,3.541608547943751,135.0,478.1171540324083,1007624.0577388713,1026.0,0.0
LOU,115613.19164907343,1896.0,24.185018903591683,1896.0,1896.0,1098.0,3864.0,4263.0,1003.0,780.0,119.0,71.0,33.0,562.0,433.0,311.0,385.0,39.0,49.0,167.0,0.2600604480485574,0.07295331886371101,0.09031198627398547,1.0993520860448038,0.3211551299547267,0.35340046644991785,0.6745555964046446,0.09334001840136055,0.28151701555172415,0.17100633300492613,0.3226298219909532,-0.3691061647977159,49.31120938189895,-0.7354542055958273,-0.6767534600046915,11.951590798325958,-1.1514062174197628,1.6439178936415464,-1.8281596774244544,-0.8229563470066432,10.944392667536405,1.6180682873463574,0.8715519316888317,-0.08750214141081566,6.0277981071072055,82.22411153942997,-0.08750214141081566,87.52098208359264,90.97307633654135,181.49609076611355,88.65682009887541,89.09245210919094,93.78414014890168,91.0477284406696,0.0,0.0,0.0,0.0,2.4143865478723905,134.0,323.5277973258269,1005492.1151771053,1044.0,0.0
NYG,118341.96203725536,1896.0,27.82533679981092,1896.0,1896.0,1033.0,3817.0,4241.0,1131.0,914.0,123.0,68.0,26.0,679.0,542.0,342.0,215.0,31.0,51.0,231.0,0.29690953443527474,0.08064135772459324,0.05069559023107757,2.2039652213871723,0.35879756573520394,0.3857610267092666,0.7445585924444706,0.08885149227399199,0.3098179504251355,0.13746757773166707,0.3559382573505765,10.458252839464292,76.44330396716965,9.735370468770306,0.7136792452830188,15.874020146745798,-0.5332678116610297,2.183440364015558,0.1802431527341601,10.57823103042771,28.81593469392322,15.372656232865964,2.3426040904452496,0.8428605616574044,6.430226575203175,99.90804026046467,0.8428605616574044,99.92220746657159,100.56009111616972,101.88073394939535,99.04824264144447,97.25056716233335,89.27425713622593,100.20076605696251,0.0,0.0,0.0,0.0,3.2308825590662584,133.0,429.70738033482667,1008169.4760669654,30.0,0.0
PHI,116178.96390977444,1896.0,28.888525305410123,1896.0,1896.0,1100.0,4127.0,4655.0,1229.0,889.0,220.0,76.0,44.0,762.0,725.0,394.0,258.0,50.0,84.0,157.0,0.29807685048012894,0.08464017136412459,0.05542427445929109,1.969705540549087,0.3656062456378088,0.4196279465127819,0.7852341921505908,0.12155109603265306,0.30948511670290013,0.14951664853920518,0.3712625466100051,10.336666194970757,66.06776828026996,8.723558697273525,-0.6270676691729323,13.407228185520552,-0.18525587362582394,1.8441379637428421,-0.8123235427987563,7.710076571239329,22.14911917770397,17.96239699159582,1.7780768987865436,-1.013482126034196,6.054951574428312,106.47956443185332,-1.013482126034196,100.31505708062939,105.5466274951972,111.38376601962838,100.92781999498438,105.78843628568407,122.12944909182468,100.09312157125139,0.0,0.0,0.0,0.0,2.7917822027626213,130.0,362.931686358754,1006051.1087003222,26.0,0.0
PIT,117926.10051216389,1896.0,28.669440887750746,1896.0,1896.0,1092.0,4204.0,4686.0,1259.0,998.0,155.0,82.0,24.0,710.0,601.0,342.0,223.0,46.0,94.0,198.0,0.3001698196293214,0.07298335409901835,0.047588561018139144,1.9368946321201452,0.3584882959803671,0.3937994125819462,0.7522877085623133,0.09362959295262485,0.31204764281946223,0.12569355642979085,0.35818138051381415,7.511349502950035,74.78933024486321,6.954074407570269,1.0860008536064873,16.18506015343667,-0.2154931682700588,2.22622330741328,0.8705076853364286,6.7553853106215564,26.037176456807934,18.060193630925962,2.125167511649534,-0.19868909694871306,6.37960760256006,101.37782691541116,-0.19868909694871306,101.0194268407468,91.01053039342264,95.63667178987579,98.96286685118241,99.2770486652897,94.07509252671834,100.9218891735422,0.0,0.0,0.0,0.0,3.344482346150235,131.0,438.127187366624,1007765.4814340589,27.0,0.0
