Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BOS,119901.97205346295,1919.0,27.98955042527339,1919.0,1919.0,1115.0,3526.0,4115.0,932.0,723.0,143.0,33.0,33.0,438.0,413.0,403.0,275.0,33.0,153.0,86.0,0.26503655597667075,0.09793438589088702,0.06682867527776427,1.8776856667871205,0.3441316082955044,0.3554878090743621,0.6996194173698663,0.09045125309769136,0.2799819597997571,0.17278250361360872,0.336385442550012,9.865093799688832,54.14198323513606,5.5029026247354915,3.663426488456865,11.823500120985624,0.10396404886303666,2.789540557258899,3.7673905373199017,4.973272977534214,23.35370419309864,18.97936401221519,2.597213074144824,-0.5296296472012779,4.3602825428682,99.92013029318795,-0.5296296472012779,95.9468366136466,120.77744647011394,94.6284268996125,100.57373143684845,95.7424319215832,95.14845497131984,94.85870109482669,0.0,0.0,0.0,0.0,3.105642136495747,138.0,428.5786148238153,1009690.6852976914,3.0,0.0
BRO,119037.44740590031,1919.0,29.471617497456766,1919.0,1919.0,1360.0,4519.0,4915.0,1194.0,950.0,157.0,62.0,25.0,494.0,428.0,240.0,373.0,26.0,130.0,99.0,0.2644545892795524,0.04883011158087487,0.07589013180915564,0.943636907777823,0.3050685233943031,0.34339605435096643,0.6484645777452696,0.07894146507141404,0.2827446579930824,0.1298067148301119,0.3096371506766235,2.389551984170522,45.51484648237238,2.078279853089613,-1.0528992878942014,11.515983422015655,-0.6197621408429296,0.14630607925040415,-1.672661428737131,2.080968313616099,12.070596386145025,9.356348064576379,1.3815767784715742,0.002688460526485773,4.947718192258264,90.86427845938321,0.002688460526485773,100.0741005277477,74.80344731033692,110.5563883221411,95.78644150536918,98.92417642200672,95.25734594480352,100.43221690294772,0.0,0.0,0.0,0.0,2.9605087925696845,141.0,417.43173957273655,1008844.3300101729,22.0,0.0
BSN,119020.25660272449,1919.0,28.281901584653877,1919.0,1919.0,1034.0,3209.0,3597.0,812.0,660.0,95.0,41.0,16.0,314.0,263.0,253.0,335.0,24.0,111.0,89.0,0.2535296602805115,0.07033639111342785,0.09313316607005838,1.0508145839229914,0.31243729026299694,0.32377049401056435,0.6362077842735614,0.07024083373005283,0.2782072303886572,0.16791770867389488,0.3070926933276395,-1.1146764127339475,35.69417182992079,0.8436360992466195,0.6417827298050139,9.829268207399172,-0.08681331196173814,0.12487702010546246,0.5537204661867189,0.9870796310831434,11.494945324774497,11.115190947367843,1.2938372369670774,0.14344353183652414,4.6961780051164865,95.20983106664298,0.14344353183652414,95.93992215751416,107.7491809114208,135.6759598152342,98.10011172208492,93.27052266304293,84.75843958586432,98.82050152489732,0.0,0.0,0.0,0.0,2.5449402279983317,140.0,356.29163191548514,1008833.7939949959,16.0,0.0
CHC,116353.32867317331,1919.0,28.212608810340278,1919.0,1919.0,1128.0,3414.0,3791.0,878.0,697.0,128.0,34.0,19.0,337.0,302.0,234.0,280.0,25.0,118.0,94.0,0.25698383024188864,0.06172513801899235,0.0738591395985228,1.3101606113838038,0.309758518623846,0.33112789273806376,0.6408864113619098,0.07414406249617515,0.2740884530356107,0.14059614914798205,0.3085864919250303,0.5508929648525807,37.852217334948385,0.5350294693326244,2.021893959377473,9.960776803116392,0.23449391243766587,0.1265477855383416,2.256387871815139,0.8326970941196746,13.176409554589549,11.090342130242298,1.4659744640391696,0.2976676247870504,4.631899993825289,90.7885095619974,0.2976676247870504,97.24703863787663,94.55749659469124,107.59764838896207,97.25902198898211,95.39001297315096,89.46840047321123,97.38318065508619,0.0,0.0,0.0,0.0,2.5789897114138745,140.0,361.05855974676865,1006220.1498285413,17.0,0.0
CHW,117512.50584685024,1919.0,28.350622406639005,1919.0,1919.0,1418.0,4618.0,5302.0,1337.0,1024.0,218.0,70.0,25.0,665.0,570.0,427.0,334.0,34.0,223.0,149.0,0.28959942123104493,0.08053564641625802,0.06299509557336855,1.8999234321721992,0.353656200356092,0.38282591159600154,0.7364821119520936,0.09322649036495663,0.307190174658808,0.1482459436175028,0.3525973814910292,13.492586677915915,62.41605896335242,7.453349421816232,1.4051301395699736,13.064302570966111,-0.2678854851841207,3.0822854062755916,1.137244654385853,7.876767634175036,25.1606002658026,28.486673688678643,2.831961887285809,0.4234182123588036,5.671771224511421,107.37474972503928,0.4234182123588036,104.83892778439022,99.32047498426937,89.20013409995033,103.35732858647302,103.10531850371015,98.06781240547191,104.14984873393969,0.0,0.0,0.0,0.0,3.3825375861523947,140.0,473.55526216522065,1007355.3168615617,4.0,0.0
CIN,118130.09955879532,1919.0,29.12276999808172,1919.0,1919.0,1421.0,4576.0,5213.0,1204.0,966.0,135.0,83.0,20.0,578.0,489.0,405.0,368.0,33.0,199.0,143.0,0.26310373580567814,0.07769038882025704,0.07059274854114714,1.5072031900360636,0.3273977323165165,0.3420559839984653,0.6694537163149819,0.07895224819278726,0.28176112303836565,0.1521197005006714,0.32253102908864867,2.95583112522054,48.17293756993632,5.354196657664304,4.274122386341838,12.074571414940158,-0.07338657547499497,0.1534027219048994,4.200735810866843,5.7051537641409,22.133863711852797,26.163533059546264,2.4508864284970686,0.35095710647659567,5.608266545991937,105.83610591597899,0.35095710647659567,99.56291466891639,119.0148602673245,102.83918520616882,102.79744165868325,98.53813425789603,95.27035775706318,100.08286071491263,0.0,0.0,0.0,0.0,3.126281824772684,140.0,437.6794552081335,1007958.0867063111,18.0,0.0
CLE,118381.31139192758,1919.0,29.112221803093174,1919.0,1919.0,1485.0,4542.0,5302.0,1260.0,914.0,250.0,72.0,24.0,630.0,545.0,498.0,363.0,38.0,224.0,113.0,0.2775913671646549,0.09392681960599773,0.06846472996680499,1.9628358584998113,0.3536498689468125,0.38071073520407395,0.7343606041508864,0.1031193680394191,0.29731542173104486,0.16691814453413803,0.35220626707301417,12.138807449039227,58.47319125775921,4.255799496196257,0.45360241418332703,12.372924104501553,-0.11459393320399291,2.919167188075956,0.3390084809793341,3.9365436269859737,19.567643400542813,23.652691330256673,2.2109441597382253,-0.31925586921028354,5.237737937045656,103.03727814275668,-0.31925586921028354,100.49184895479218,115.83512087072823,96.94505641384691,103.35547820876536,102.53564458934,108.47443468773848,100.70684927729978,0.0,0.0,0.0,0.0,3.2265766407751792,139.0,448.4941531497548,1008202.768200679,5.0,0.0
DET,116664.74064979222,1919.0,28.673592746505477,1919.0,1919.0,1428.0,4632.0,5294.0,1314.0,986.0,221.0,84.0,23.0,618.0,541.0,429.0,421.0,24.0,209.0,121.0,0.2825646907905176,0.08103513366414808,0.07952398889648658,1.2287888634425765,0.3469422420262561,0.38063178510370227,0.7275740271299584,0.09806709431318475,0.3060652829588213,0.16490366471666038,0.34832693396239844,12.82494223950762,59.77146335840451,6.848864461502401,-2.769172648281073,12.536386480770968,-0.11759342968993067,2.95773317306547,-2.8867660779710036,6.783539964613609,19.390893540479045,22.07819325368603,2.2337754244640435,-0.06532449688879237,5.311985685836273,104.49559353934526,-0.06532449688879237,102.29225972303144,99.93646694455757,112.60480532913732,101.39514950827784,102.51438120303791,103.15979257189964,103.67060726446563,0.0,0.0,0.0,0.0,3.2458524462013596,140.0,454.41934265205896,1006518.4204760105,6.0,0.0
NYG,116656.05735204394,1919.0,29.03111653447224,1919.0,1919.0,1398.0,4449.0,4917.0,1209.0,915.0,192.0,63.0,39.0,584.0,481.0,314.0,372.0,35.0,119.0,155.0,0.27226637764531214,0.06386007674130567,0.0756558871612772,0.9874518860809438,0.3245110044677648,0.3702898249526134,0.6948008294203782,0.0980234473073012,0.29016829069717315,0.14744763104738662,0.3316101363613727,7.684836430715764,51.03156856068272,9.736647401265754,4.559894244458003,11.57511512479217,-0.6550821674738033,0.14705732447850103,3.9048120769841996,10.578623731992518,26.205608258247388,28.354480627098475,2.9084070059643317,0.841976330726763,5.676386454992216,111.51803673639226,0.841976330726763,103.03021369767328,97.8280354293375,110.21514181701762,101.89105713513484,106.67162743066392,118.28325484467162,103.09009180425745,0.0,0.0,0.0,0.0,2.996965340134228,140.0,419.5751474476307,1006513.4889160057,30.0,0.0
NYY,117899.92591185411,1919.0,28.574658054711247,1919.0,1919.0,1435.0,4681.0,5264.0,1251.0,970.0,187.0,49.0,45.0,574.0,489.0,384.0,455.0,31.0,168.0,100.0,0.26755356934175534,0.07294832770630699,0.08643616973423252,1.1099927805999241,0.3268962575429331,0.357243556318579,0.6841398138615121,0.0896899869768237,0.2880665331550152,0.1679331316945289,0.3286042791966972,6.304604044357045,55.017040433107645,-0.8209274868679042,6.28943367540859,13.00794850043828,-0.3008247379512218,3.068989684729905,5.986219334997107,-1.241583257013125,20.821574263152165,20.541203772782154,2.275438599332126,-0.42065577014522076,4.6372055424863605,91.09093659939515,-0.42065577014522076,96.85802967229543,89.96342463870658,122.3923523125679,95.53663662770063,96.21530189548936,94.34765572595906,97.57406046202149,0.0,0.0,0.0,0.0,3.344060553297872,141.0,471.512537993921,1007729.2883738602,9.0,0.0
