Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,118394.72388859132,1915.0,28.154258168184253,1915.0,1915.0,1112.0,3292.0,3734.0,805.0,617.0,131.0,35.0,22.0,346.0,305.0,307.0,386.0,21.0,114.0,73.0,0.0,0.2447305405482057,0.08221746070246384,0.103374396925549,1.060939218394483,0.3132312362402249,0.32592824813256555,0.6391594843727905,0.08119770758435996,0.27227624324076055,0.1914836633743974,0.31321043169772295,-0.2589648773699908,34.02906547491583,-4.429253559625304,-2.6107688186445217,9.248357608622058,-1.1541530753854496,-0.5703168512490614,-3.764222705808588,-3.1848631173102393,1.72895493425417,2.855526483985173,0.23440272768314555,1.2443904423150651,4.50580444323466,85.77171708805555,1.2443904423150651,93.45757038540843,100.17498355687492,124.43015658850723,95.11488184411755,92.76922998945435,90.75458550575323,95.85988254781607,0.0,0.0,0.0,0.0,2.1661843794777718,154.0,333.5923942153187,1008218.999196572,1007.0,,0.0
BKF,115887.6449026346,1915.0,25.79495990836197,1915.0,1915.0,1284.0,3865.0,4365.0,1050.0,811.0,158.0,56.0,25.0,508.0,401.0,357.0,459.0,33.0,110.0,199.0,0.0,0.2733001465890035,0.08178694105933562,0.10515463867262315,0.8830536947780068,0.3385737832263459,0.3636138636861397,0.7021876469124856,0.09031371709713633,0.304468831621764,0.19266896020160368,0.3405139183237252,13.521433990381377,59.67856092253817,9.179925579235539,-0.6494845360824743,12.44975612974189,-1.3744434812531847,-0.7677369339734034,-2.023928017335659,13.630391638461512,23.28848281689434,19.167490017302484,2.668177581094519,4.450466059225975,5.776228215786557,104.88706916746531,4.450466059225975,104.36771654640756,99.65043198592147,126.57300593942888,102.81032560364496,103.49571827825623,100.9435389800737,107.19387814134424,0.0,0.0,0.0,0.0,2.9350867333654063,153.0,449.06827033218786,1005763.9115693013,1014.0,1014.0,0.0
BOS,118068.03228133454,1915.0,26.695040577096485,1915.0,1915.0,1651.0,4762.0,5545.0,1242.0,966.0,188.0,74.0,14.0,634.0,549.0,499.0,461.0,43.0,241.0,118.0,117.0,0.2611204935098287,0.08999098238863841,0.08313796178376916,1.7071746828944998,0.3361314288954012,0.34069828379855727,0.6768297126939585,0.07957779028872858,0.2874023167430117,0.17565374297926056,0.33120346410617824,6.361753110837998,50.3823668997098,4.3554728769503015,3.0871055004508565,11.873483961827656,-1.075979065751981,2.2009747680688125,2.0111264346988755,2.5385461306915107,18.624131295286855,25.100259857983676,2.0826560599354234,-1.816926746258791,5.085047455295123,103.76336907627594,-1.816926746258791,102.33654293599554,96.85024778849262,91.43249700117816,100.86873535755497,101.5558274170023,99.07568518420351,101.98247040124812,0.0,0.0,0.0,0.0,2.7631088742687107,155.0,428.2818755635708,1007902.4010820559,3.0,,0.0
BRO,118172.71980765674,1915.0,26.55816534122434,1915.0,1915.0,1506.0,4911.0,5407.0,1222.0,975.0,161.0,72.0,14.0,518.0,439.0,302.0,461.0,26.0,168.0,128.0,121.0,0.24922155378065466,0.05585352268503791,0.08525984790808212,0.7800522577887922,0.2961623399639356,0.3202055896162382,0.616367929580174,0.0709840358355835,0.2724446370784169,0.14370260722396894,0.29940991476488354,-3.529307935072444,48.082146825899905,-5.963251633692302,1.0475309783613833,13.920927665618184,-0.42503890035657094,2.8882799492253253,0.6224920780048124,-8.09145271744754,9.340246975400783,9.531542091649758,1.051576930273439,-2.1282010837552376,5.1801522357211285,83.2621425127292,-2.1282010837552376,97.49599236105179,75.5192933804857,95.46098802651073,92.96669915014452,93.55838246990135,81.93950502270354,97.46598981397976,0.0,0.0,0.0,0.0,3.2606109435139636,154.0,502.1340854447938,1008003.1026447198,22.0,,0.0
BSN,118124.05821205821,1915.0,27.354375354375353,1915.0,1915.0,1539.0,4561.0,5291.0,1096.0,816.0,210.0,54.0,16.0,532.0,449.0,499.0,555.0,54.0,177.0,113.0,88.0,0.24060142182857683,0.09431109393857494,0.10489510433301832,1.1455583561886222,0.32245111213986016,0.3206847934762805,0.6431359056161408,0.08008337164770366,0.26979337921262525,0.20223020234738234,0.31705648471870984,3.3320663029038458,48.62784916372929,2.8653564532100506,1.5983745983745983,12.21742963230551,0.20211611125787904,2.5348423528707666,1.8004907096324774,1.812045613674842,18.364808308483596,20.3862058530331,2.0741510607589033,-1.0533108395352087,4.89528547377904,98.23635530340762,-1.0533108395352087,94.12377873746318,127.51760014037069,117.4455566654213,101.21886373732151,93.69839732121176,92.44320580138944,96.51751281361543,0.0,0.0,0.0,0.0,2.789165504715555,158.0,440.6881496881497,1007961.0498960499,16.0,,0.0
BUF,115151.2100924809,1915.0,30.2221552070768,1915.0,1915.0,1471.0,4496.0,4974.0,1128.0,854.0,180.0,56.0,38.0,511.0,449.0,347.0,503.0,17.0,114.0,171.0,0.0,0.25114349787112983,0.06976276581282671,0.10112585400824287,0.8515974214861277,0.3071142732802573,0.340808798437877,0.6479230717181343,0.08966530056674708,0.27499065602131084,0.17852834624246078,0.3151979012996986,3.775966235593218,45.80945896630872,-0.5934964459328408,-0.5142742259750703,11.337506655209697,-0.16746956283757616,-0.6991480401435146,-0.6817437888126465,2.35771123784346,12.314326064096996,12.339381130044268,1.4132826308745667,2.9512076837763006,5.434356836446627,88.60310034827509,2.9512076837763006,95.90654716224745,84.9999970623345,121.72362038982075,93.25742274723503,97.0046934742935,100.21880456082405,96.81554172407316,0.0,0.0,0.0,0.0,2.6728688541978287,153.0,408.9489344591878,1005043.9597909127,1004.0,,0.0
CHC,119041.13867660765,1915.0,28.291321171918188,1915.0,1915.0,1593.0,4842.0,5427.0,1176.0,856.0,203.0,65.0,52.0,543.0,463.0,377.0,606.0,38.0,170.0,158.0,114.0,0.24287547362189058,0.06946747693200664,0.11166390229703335,0.7282476737007555,0.3025830958874148,0.343822108219274,0.6464052041066888,0.10094663459738346,0.2676187606797494,0.19071310114796386,0.3144534912214205,3.307729114024274,52.258486089937406,2.252330150474613,-1.5275474479454578,13.203269510516378,-0.3655301856196406,2.739381994321216,-1.8930776335650985,0.9040605818235007,14.953634453095999,15.840826696683042,1.7289901282013993,-1.3482695686511121,5.36882226951167,95.50419890999544,-1.3482695686511121,95.01339254857312,93.92665885039459,125.02422537350203,94.9822034993041,100.45870948392518,116.5264439426379,95.739551646725,0.0,0.0,0.0,0.0,3.0528707367514274,156.0,476.2478348995762,1008859.5579509859,17.0,,0.0
CHW,115983.95610841423,1915.0,25.74898867313916,1915.0,1915.0,1377.0,4164.0,4944.0,1063.0,820.0,141.0,82.0,20.0,591.0,489.0,475.0,486.0,60.0,245.0,194.0,152.0,0.2562915545380259,0.09607605135214402,0.09830097021804206,1.486754968859021,0.33965343827973304,0.344238194094458,0.6838916323741909,0.08794663955643203,0.2840397358604369,0.19842233060881875,0.3347914338675291,12.304559109470544,59.97364656767957,10.13619118695953,2.9872521246458925,12.857570503778081,0.4484953196375694,2.3833938167147144,3.434539008957958,8.387115785994455,27.06261911544521,24.145702366420284,3.0475560302535873,-1.7490754009650766,6.036202926362612,106.00109043438322,-1.7490754009650766,100.4440184781073,103.39913103526548,108.10829339370122,101.9256452504574,102.61100889626894,109.49504305268253,100.80967510914762,0.0,0.0,0.0,0.0,2.9921181747613272,155.0,463.77831715210357,1005859.0774676375,4.0,,0.0
CIN,117845.39264621833,1915.0,26.979424652314727,1915.0,1915.0,1573.0,4690.0,5249.0,1200.0,934.0,175.0,76.0,15.0,472.0,396.0,332.0,445.0,46.0,181.0,136.0,130.0,0.2561663430365783,0.06325014247075633,0.08477805236616498,1.0093718518919794,0.3111288914309392,0.3353812412550962,0.6465101326860355,0.07921489821851782,0.27950673925300057,0.15088588287483332,0.31448254908021966,3.6331473973569763,52.91178217380964,1.7990256622849012,3.423890264812345,13.29170652833755,-0.25073761780401893,2.757730690002829,3.1731526470083264,-0.5304458664972571,18.69214399885145,17.911607755323317,2.0856473896338037,-2.3294715287821584,5.16063699728942,93.94132362958682,-2.3294715287821584,100.2128084227981,85.52022927080529,94.92154678204874,97.66476740459413,97.99243817130207,91.440694714563,99.99242889530821,0.0,0.0,0.0,0.0,2.996486235473424,160.0,479.4377976757478,1007681.4035054296,18.0,,0.0
CLE,118091.78042813456,1915.0,24.605300713557593,1915.0,1915.0,1504.0,4307.0,4905.0,996.0,783.0,141.0,59.0,13.0,436.0,379.0,407.0,614.0,30.0,161.0,106.0,97.0,0.23167052881365952,0.08297655401060142,0.12517838889378186,0.9492979577847093,0.3017284551936799,0.3011032283930683,0.6028316835867482,0.06943269957940876,0.2667743949739042,0.21080530081753315,0.2966889516120942,-0.31293702119746497,36.86919294147499,-4.510506325086443,-1.1144258275439314,10.028970197820989,0.5827855434394028,1.8590592639938484,-0.5291410620651843,-5.531612034297787,5.827276365451866,2.8560793064881915,0.6810933351796415,-1.0211057092113445,4.545836829402931,76.00417058649936,-1.0211057092113445,90.79471588104771,89.3011677754125,137.66722711955484,90.54484371423078,89.7532771708026,86.44487689416576,94.66281325617946,0.0,0.0,0.0,0.0,2.349022334316004,154.0,361.7494393476045,1007921.8246687053,5.0,,0.0
CWH,118286.47717260713,1915.0,26.928313976772127,1915.0,1915.0,1468.0,4411.0,4994.0,1160.0,879.0,167.0,69.0,45.0,571.0,498.0,403.0,468.0,28.0,152.0,146.0,0.0,0.2633224981992391,0.08069683569823789,0.09371245437785343,1.1177661386960351,0.3286184447919503,0.36326096215438525,0.6918794069463355,0.09993846395514616,0.2855092358480176,0.1834201047236684,0.3360385332973836,8.860040007927266,49.58798437337956,7.7130414202612085,1.6778133760512615,10.98536691334491,-1.284098082023994,-0.6774327002660046,0.3937152940272676,10.152101206647304,20.853750713753474,24.898719176159027,2.3572008820755666,2.4390597863860943,5.396959754823671,108.21742835225926,2.4390597863860943,100.55745741577984,98.32223131309341,112.80022635515571,99.7873166270449,103.39527161997933,111.7011076071064,100.51880211417021,0.0,0.0,0.0,0.0,2.556432880570685,155.0,396.247096515819,1008110.1651982379,1021.0,26.0,0.0
DET,116921.29857819906,1915.0,27.16723087339201,1915.0,1915.0,1631.0,5006.0,5908.0,1346.0,1031.0,200.0,92.0,23.0,767.0,639.0,671.0,500.0,33.0,198.0,241.0,144.0,0.26915907448002707,0.1135748132775897,0.08463100831398106,1.85826969169719,0.3585614921303318,0.3593379037581246,0.7178993958884563,0.09017882927809748,0.29467789225947866,0.2020988480280975,0.35136025731344733,17.70002530619702,71.97314958699695,12.64081866054121,1.2159783344617467,14.638847922408145,-0.231286807596739,2.71358726843788,0.9846915268650078,11.907179987742332,30.244306705453358,33.03937658322131,3.4359176687429684,-0.7336386727988793,5.946575129371195,111.81709641428175,-0.7336386727988793,105.48696814982586,122.23167829152506,93.07450228332917,107.59970996451884,107.11195175853723,112.27415673921155,104.56415162486749,0.0,0.0,0.0,0.0,3.3848063473425865,156.0,528.0297901150982,1006772.6161137441,6.0,,0.0
KCP,117151.70952638214,1915.0,29.840266522600395,1915.0,1915.0,1586.0,4937.0,5553.0,1206.0,912.0,200.0,66.0,28.0,547.0,483.0,368.0,484.0,46.0,202.0,144.0,0.0,0.24439769044714565,0.06627048403421573,0.08716009323284711,1.0356496152922743,0.30253522540986855,0.32881179340608685,0.6313470188159555,0.0844141029589411,0.26631516873924005,0.158472897156492,0.3077128570437797,-0.2845982744796885,44.60766827102742,-3.2667342452913157,1.661984512875923,12.108590975006301,-0.43595530132900784,-0.7466983620410957,1.2260292115469151,-1.0282305702574719,11.55969125425465,13.894608939204351,1.2962726793883026,2.2385036750338445,5.2635111465533795,87.49463410847348,2.2385036750338445,93.33046176350159,80.74494872151602,104.91325097686374,91.86696245221975,93.58997589348992,94.34954696127787,93.76117612094191,0.0,0.0,0.0,0.0,2.8546554945002702,153.0,436.7622906537007,1007001.1521699982,1040.0,,0.0
NWK,118356.6698012775,1915.0,26.861781405251953,1915.0,1915.0,1522.0,4977.0,5636.0,1269.0,965.0,208.0,80.0,16.0,578.0,481.0,431.0,490.0,32.0,196.0,179.0,0.0,0.2545928603969127,0.07647267506884316,0.08694109243417317,1.221648183716643,0.31771851218949615,0.33831203330393894,0.6560305454934351,0.08371917290702625,0.28042252366731724,0.16625266165365507,0.319555880247886,5.151450696774861,55.841427415355646,2.679780887708314,-0.6314762242725337,13.672381500178794,-0.027065308392444472,-0.8431323588729259,-0.6585415326649782,5.827523106698821,17.99823071533971,17.538437500927145,2.0639058698236328,3.1477422189905067,5.7673170071540065,96.31214658952383,3.1477422189905067,97.22378791330375,93.17545083634565,104.64964311570608,96.47747494575044,96.29403712502938,93.57282443187026,98.72793109879004,0.0,0.0,0.0,0.0,3.181734929480128,155.0,493.16891412349185,1008181.7232079488,1051.0,,0.0
