Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BBB,123112.5090909091,1946.0,28.510703363914374,1946.0,1946.0,96.0,322.0,361.0,84.0,71.0,7.0,5.0,1.0,44.0,26.0,30.0,1.0,0.0,9.0,6.0,0.0,11.0,0.0,0.26044769521329636,0.08310249283379502,,,0.34072022125761775,0.3236227687562327,0.6643429900138504,0.06317507354293629,,,0.3218668137847691,0.2753234021332827,3.7466705166637446,0.3582011404984587,-1.105263157894737,0.914866132584305,0.10642248429383803,0.27517160156953285,-0.9988406736008988,0.5726820823788807,0.7638791429318198,0.27967887813391434,0.08918250329900672,0.21448094188042213,4.423230557544324,98.14210515460336,0.21448094188042213,97.91323685232402,100.90007969083831,,102.12076118372794,94.0415372568805,80.85993768788987,,0.0,0.0,0.0,0.0,3.1731301939058176,10.0,31.73130193905817,1015066.6814404433,1115.0,,0.0
BEG,113116.0,1946.0,30.554825669530064,1946.0,1946.0,623.0,1777.0,1980.0,448.0,343.0,66.0,26.0,13.0,263.0,217.0,185.0,0.0,0.0,18.0,39.0,0.0,42.0,0.0,0.2531724287489899,0.09343434293737375,,,0.3287878785257575,0.3428128394338384,0.671600717959596,0.0896404106848485,,,0.3221310507167469,3.0919781403871416,21.339486339215252,1.3113731316931838,4.128787878787879,4.809091889798039,0.33552377108823167,1.316602802807183,4.464311649876111,2.036645022716809,12.626651365198141,9.001387704818324,1.3208344212704424,0.725271891023625,4.920919626512976,87.0358900612689,0.725271891023625,92.16643752402821,98.30142080316567,,94.74756187257195,91.93737640135024,91.29652170774408,,0.0,0.0,0.0,0.0,2.527257423111111,66.0,166.7989898989899,1015040.2212121212,1132.0,,0.0
BOS,119029.57876230661,1946.0,28.497714486638536,1946.0,1946.0,1626.0,4925.0,5688.0,1348.0,951.0,246.0,46.0,105.0,750.0,690.0,648.0,0.0,616.0,13.0,102.0,124.0,43.0,30.0,0.2747551543241913,0.11392405017422641,0.10829817112464837,1.4229158258524965,0.35872939000140647,0.41029442939064703,0.7690238193920536,0.1355392750664557,0.2941004993894163,0.24068213784458514,0.3631006785535314,22.949314707858026,75.4449457393431,17.135430195115337,3.430379746835443,13.835111659769435,0.7675271993903305,2.739159949340153,4.197906946225774,16.288140892062756,37.06031944739812,33.73768538607525,3.9362344587854743,-0.8472893030525797,3.9019766332531867,110.86117812280958,-0.8472893030525797,104.20742917215391,117.98830535342204,110.06475427503132,106.13254402044883,108.2097676251975,117.34592336972466,103.88696172328115,0.0,0.0,0.0,0.0,3.076014731921589,156.0,479.8582981715893,1008837.2978199719,3.0,,0.0
BRO,119363.84366485014,1946.0,27.84843324250681,1946.0,1946.0,1976.0,5053.0,5872.0,1315.0,975.0,224.0,62.0,54.0,675.0,605.0,663.0,0.0,559.0,17.0,139.0,95.0,98.0,0.0,0.2608404651445844,0.112908718755109,0.09519754734008858,1.526172231327997,0.34709000548910085,0.36136034431284053,0.7084503498019415,0.10051987916825614,0.2834478584592984,0.21730245101668938,0.3398886076699295,10.82606120264183,54.390426556942444,7.969854080412404,1.3286201022146507,11.481295628244773,0.4938168765866637,0.38153891814068897,1.8219844515185437,9.144476665847773,22.829295663751783,24.64452634939116,2.4301083536384014,1.1746225854353687,4.5679902735616205,100.72565480800317,1.1746225854353687,99.50200588191265,116.57937931961592,114.10187329878266,102.8138182286386,98.43727020523251,95.77777027417882,101.91333877623131,0.0,0.0,0.0,0.0,2.5364224464441416,157.0,398.2183242506812,1009166.8818119891,22.0,,0.0
BSN,117772.2910585817,1946.0,28.832065775950667,1946.0,1946.0,1510.0,4281.0,4865.0,1128.0,868.0,189.0,43.0,28.0,528.0,478.0,454.0,0.0,377.0,18.0,112.0,92.0,57.0,0.0,0.2631479991046249,0.09331962964686535,0.07749229140719424,1.732369398064543,0.33624139483658794,0.34689626196793427,0.6831376568045221,0.08374826286330936,0.2823291624,0.17656731683453233,0.32830808194519984,3.715352639149024,49.168851706369225,1.6220651575471217,0.7965857671740024,11.979172791447203,0.650758053386873,0.3980840468758029,1.4468526063159584,2.3757914660148978,16.199900910653863,17.025345806989865,1.7254316999708421,0.7537263084677759,4.0538205526382205,95.25887398770702,0.7537263084677759,100.38225372818673,96.35344925101919,92.88070819921818,99.60027976304954,94.49714560532996,79.79736891602494,101.51111294500215,0.0,0.0,0.0,0.0,2.697965857545735,154.0,415.48674203494346,1007608.2353545735,16.0,,0.0
CAG,,1946.0,27.54590163934426,1946.0,1946.0,186.0,608.0,652.0,142.0,117.0,19.0,3.0,3.0,61.0,51.0,41.0,0.0,0.0,3.0,11.0,0.0,6.0,0.0,0.23476787359049076,0.0628834351886503,,,0.28527607321319015,0.29144362075153374,0.5767196939647239,0.05667574716104295,,,0.2773172419312541,-1.1467973052554779,4.579828997700047,-1.0100752141500258,0.3236196319018405,1.509240155388241,0.042215507883190014,0.45394622876474555,0.3658351397850305,-0.9383980201373766,1.3906235038006398,0.5876489890077401,0.1463661688226362,0.07167719401264895,2.5855792584587505,67.55163805842177,0.07167719401264895,88.259112423156,76.3508218033648,,85.50302543390515,84.69059894803108,72.54122752610463,,0.0,0.0,0.0,0.0,2.6173312883435584,20.0,52.34662576687116,1015828.6855828221,1117.0,,0.0
CBE,121240.42857142857,1946.0,28.70674486803519,1946.0,1946.0,199.0,618.0,682.0,180.0,141.0,30.0,6.0,3.0,102.0,88.0,56.0,0.0,0.0,8.0,11.0,0.0,17.0,0.0,0.29002254926832843,0.08211143639442815,,,0.3577712605879766,0.37321555731085043,0.7309868178988269,0.08319300804252198,,,0.34967396388655186,1.5630165296586118,7.8246996493216585,1.7125129983767127,-0.9736070381231672,1.6502532389156979,-0.0372309502858745,0.4963598613766544,-1.0108379884090417,1.9759423297500707,3.1117174416333815,3.7277323187960505,0.3391364676896343,0.2634293313733578,4.333629358518867,117.07268466697235,0.2634293313733578,109.03166770498237,99.69677434703556,,107.23130351949777,108.45270520546403,106.48157681707369,,0.0,0.0,0.0,0.0,3.012501929061584,19.0,57.23753665689149,1014861.4193548387,1118.0,,0.0
CHC,118485.94983333333,1946.0,29.534333333333333,1946.0,1946.0,1934.0,5276.0,6000.0,1341.0,1012.0,223.0,50.0,56.0,624.0,564.0,584.0,0.0,593.0,24.0,116.0,128.0,43.0,0.0,0.254106219927,0.09733333267666666,0.09883333272333335,1.263585411223,0.33054461855033335,0.34711451602883336,0.6776591345791667,0.09300829610183332,0.27617011451133333,0.20549999997,0.32553826987316936,3.3645116413376455,42.048697502336566,2.4682760142526754,-0.18618618618618618,10.195134725272656,-0.36929784669665,0.33879805897601184,-0.5552978466966499,2.696481329946267,12.675116267498284,18.31702039578928,1.3555481003377405,0.22820531569359204,3.7456667880951096,95.61726779809315,0.22820531569359204,96.93311417686638,100.49763769940972,118.45965282915786,97.9128001113124,94.55659964976023,88.62055238569522,99.29663463696849,0.0,0.0,0.0,0.0,2.2813483865233333,155.0,353.609,1008305.7336666667,17.0,,0.0
CHW,118639.34840935224,1946.0,29.880413951705634,1946.0,1946.0,1556.0,4700.0,5218.0,1211.0,965.0,180.0,39.0,27.0,501.0,463.0,431.0,0.0,521.0,18.0,69.0,113.0,71.0,57.0,0.2571879032895746,0.0825986963616328,0.09984668405672671,1.1554747019022615,0.3220283319917593,0.3286178965300882,0.6506462285218475,0.07142999324051362,0.2831997983980452,0.18761977794557302,0.313370605667086,0.17302472820403883,39.6716429900434,-2.2585899019915523,2.423150632426217,10.409776648487247,0.9985263549461075,2.060991192433052,3.4216769873723245,-3.0775901579338085,12.814854670358814,13.377672223273555,1.3526184044140155,-0.8190002559422561,3.9106023185549907,84.69224551779571,-0.8190002559422561,97.54463126234928,85.54541550451066,101.47540472527062,95.27428494446218,86.6686546873518,61.84199014633585,100.0364388272012,0.0,0.0,0.0,0.0,2.329378454388655,155.0,361.0536604062859,1008455.7420467612,4.0,,0.0
CIC,115317.0,1946.0,28.284023668639055,1946.0,1946.0,249.0,842.0,936.0,221.0,180.0,30.0,8.0,3.0,122.0,110.0,82.0,0.0,0.0,12.0,24.0,0.0,19.0,0.0,0.2623812494754273,0.08760683717414529,,,0.3365384612008547,0.328058332318376,0.6645967935192306,0.06567708284294871,,,0.32159215135452074,0.46483792007399666,8.820008082245756,0.6643159854620668,-0.31837606837606836,2.2019872865361028,0.11477295569995911,0.6623093223051988,-0.20360311267610925,0.9457527373920223,3.606446233557215,3.514634027799852,0.387510682859016,0.28143675192995554,4.575496984300099,97.40192964324197,0.28143675192995554,98.64014117866029,106.36909376488421,,100.86740287552976,95.33046762969603,84.06234497841763,,0.0,0.0,0.0,0.0,2.9374589068910257,26.0,76.37393162393163,1014419.1121794871,1122.0,,0.0
