Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BOS,118687.43851188426,1912.0,26.062004822597313,1912.0,1912.0,1518.0,5013.0,5806.0,1393.0,1013.0,267.0,84.0,29.0,788.0,647.0,558.0,0.0,45.0,190.0,180.0,0.27777576199724424,0.0961074746746469,,,0.35499584429882874,0.3816576322256286,0.7366534765244575,0.10388187022838442,,,0.35575914605601366,11.020923758634934,69.19412433273436,11.16069363770364,1.7220117120220462,14.849844108041488,-0.5691372464445288,1.375343931825396,1.1528744655775174,10.942316527985268,28.320379033429674,30.54656566455396,2.8669850595117023,-0.21837710971837204,5.686217514568746,111.99628598058193,-0.21837710971837204,101.96203553645523,115.87478343892846,,104.04227832264269,106.4193281761475,120.50555178601404,,0.0,0.0,0.0,0.0,3.153392593878746,154.0,485.6224595246297,1008505.8024457458,3.0,,0.0
BRO,118300.32014575742,1912.0,25.751865347909074,1912.0,1912.0,1587.0,5079.0,5763.0,1360.0,1039.0,216.0,73.0,32.0,648.0,555.0,488.0,572.0,40.0,156.0,175.0,0.2680070811127885,0.08467811851605067,0.09925386024605239,1.0319037031242408,0.336331140928683,0.35824129516380354,0.6945724360924865,0.0902342140510151,0.2957118574334548,0.18948464428422693,0.3361120770266707,4.969857868094016,53.79363927763874,1.6348735050610526,0.08988374110706229,12.463222506956887,-0.6991287241188081,1.5644885874343653,-0.6092449830117458,1.3324879698309104,14.750954081210416,15.571872306229865,1.4943583466535144,-0.302385535230141,5.460249881635636,93.52818984227068,-0.302385535230141,95.59966571590525,97.51014480309358,113.95625587422919,96.05719339243505,93.90659495555259,89.21386586450947,96.81523251986138,0.0,0.0,0.0,0.0,2.663886932174215,153.0,407.57470067673086,1008130.5505812945,22.0,,0.0
BSN,117196.6359421365,1912.0,26.693991097922847,1912.0,1912.0,1478.0,4815.0,5392.0,1306.0,1018.0,196.0,61.0,31.0,611.0,533.0,391.0,653.0,38.0,148.0,126.0,0.27156307034087535,0.07251483627040059,0.1211053407397997,0.812870023071402,0.33075552273998515,0.35698602411702524,0.6877415468570105,0.08542295377614983,0.30663200159347187,0.19936943605155788,0.33208983369869904,5.475333541201411,55.689135201873114,-2.5806798664264337,-2.705751391465677,12.81805228824017,0.02927447365284607,1.6090298080528418,-2.675473300827866,-3.375079179626754,8.376529615838393,4.123272363466144,0.8522124691968075,-0.7943993132003204,5.10077582864901,82.89382902305752,-0.7943993132003204,96.86810750514066,83.50365252575959,139.04457884930696,94.46477993599666,93.5775479379681,84.45701023812367,100.52217995622752,0.0,0.0,0.0,0.0,2.739728185706602,153.0,419.178412462908,1007047.262611276,16.0,,0.0
CHC,119742.01351351352,1912.0,28.327034323177788,1912.0,1912.0,1447.0,4510.0,5186.0,1266.0,927.0,218.0,82.0,39.0,662.0,569.0,472.0,546.0,36.0,168.0,140.0,0.28018130841843425,0.09101426865966063,0.1052834550458928,1.2832061555817582,0.3531811054257617,0.39035215555379865,0.7435332609795604,0.11017084713536444,0.3107570006583108,0.2038179701523332,0.3579993798947733,14.00108981080935,71.91765964489953,9.083539514838712,4.042229078287698,14.784334106101431,-0.11032201343485737,1.85585405130185,3.9319070648528403,8.13801136715331,28.710106589409428,25.225417163445336,2.9034213763851886,-0.9455281476854037,5.831072712551578,104.40441928464047,-0.9455281476854037,99.94228254504561,104.80646797163965,120.87900977140933,100.86959433123117,102.32388687869278,108.92505998840926,101.72331603532862,0.0,0.0,0.0,0.0,3.1807903872965677,152.0,483.4801388353259,1009535.954878519,17.0,,0.0
CHW,117688.28665740097,1912.0,27.00677553856845,1912.0,1912.0,1674.0,5070.0,5756.0,1288.0,1021.0,170.0,80.0,17.0,626.0,520.0,419.0,0.0,51.0,216.0,204.0,0.2539661864077484,0.07279360610423906,,,0.31713565291000695,0.32861840476511467,0.6457540576751216,0.07465221835736621,,,0.3144033037794432,-3.351787850368952,51.603436905319086,-2.1874009037904276,-0.8550321571354076,14.028393014148396,-0.17278523854988992,1.2992638215523593,-1.0273717569654564,-1.7398902416985227,12.560394837036773,12.593001591979357,1.273665206469463,0.447510662091905,5.588442723872016,88.53013334174248,0.447510662091905,93.20629385260355,87.76573696918179,,92.94620316265151,91.61437790580568,86.58351368378743,,0.0,0.0,0.0,0.0,2.9035392892147325,158.0,458.7592077831828,1007523.3888116748,4.0,,0.0
CIN,115968.18893690579,1912.0,26.4665282823041,1912.0,1912.0,1657.0,5106.0,5785.0,1308.0,1015.0,183.0,89.0,21.0,656.0,565.0,479.0,491.0,25.0,175.0,248.0,0.2565833188122732,0.08280034541365601,0.08487467530475366,1.2869259202879861,0.32284101571495244,0.33991253202039756,0.66275354773535,0.08332921320812446,0.27903436089956785,0.171305100525497,0.32129775045317827,-0.25743036141895176,51.80407002336906,-5.717703304578531,-0.6478824546240276,13.289713426719299,-0.9223821637020249,1.6682366839531155,-1.5702646183260525,-4.503166017938597,8.884519474407764,7.742573151801472,0.9009764131288982,1.2145372866399349,5.893503761723747,81.81790684755681,1.2145372866399349,91.54056784612119,95.34781608900964,97.44709366762702,92.20437273786996,89.11744004073702,82.40118915662659,91.37080381314567,0.0,0.0,0.0,0.0,2.8038888120605012,155.0,434.6027657735523,1005843.6662057044,18.0,,0.0
CLE,117094.38951036127,1912.0,26.118650284247202,1912.0,1912.0,1519.0,4814.0,5453.0,1318.0,1021.0,211.0,76.0,10.0,651.0,526.0,391.0,0.0,49.0,199.0,184.0,0.27397128560828904,0.07170364892297817,,,0.3343065079814781,0.3561563078730974,0.6904628158545755,0.08218502226480835,,,0.33347657303383493,7.727706787088305,49.23538751740148,6.089508760374984,0.5369521364386576,10.595645108891286,-0.42512625600891923,0.9813339519434875,0.11182588042973839,6.065413726235312,17.754218667499824,16.284129134813984,1.7980433493014873,-0.02409503413967183,5.379753630190794,94.25637154712041,-0.02409503413967183,100.56666311668377,86.45159826390554,,97.97864202376653,99.30978573660411,95.33773197044435,,0.0,0.0,0.0,0.0,2.2354891957582983,155.0,346.5008252338163,1006942.710984779,5.0,,0.0
DET,116272.6967013889,1912.0,26.850860420650097,1912.0,1912.0,1517.0,5025.0,5760.0,1358.0,1066.0,188.0,86.0,18.0,714.0,561.0,528.0,0.0,58.0,149.0,270.0,0.2693283889470486,0.09166666617881945,,,0.3463465661234375,0.3508585363954861,0.6972051025189235,0.08153014744843749,,,0.34031020609389445,8.161587565808242,56.449672854528245,6.279328220091342,-0.32106268449383574,12.326475623425925,-0.045230565013157,1.1416378061701027,-0.3662375094576014,7.579815760647564,20.68169168078599,19.787975514739788,2.0957642674300563,1.3004875405562213,5.637653326287017,98.53539758187306,1.3004875405562213,98.86142817747492,110.52059299235015,,101.50734552929846,97.83161122072464,94.57712784921857,,0.0,0.0,0.0,0.0,2.6175505066875,154.0,403.10277777777776,1006141.0569444444,6.0,,0.0
NYG,117097.71406411582,1912.0,25.77749052051017,1912.0,1912.0,1697.0,5067.0,5802.0,1451.0,1084.0,231.0,89.0,47.0,823.0,701.0,514.0,497.0,69.0,152.0,319.0,0.2865110112200965,0.08859014084987935,0.08566011675508446,1.2776473426480524,0.3598593905923819,0.3947161906789038,0.7545755812712857,0.10820517945880731,0.3112008187061358,0.18235091427783529,0.3633116007470132,11.206672222446242,66.17323348565829,6.9517375970626665,2.4286452947259565,14.031286878811157,-0.45921744971052303,1.7613252252107567,1.9694278450154337,8.760784379400128,26.52282432843748,32.26959833032046,2.6839393773198426,1.8090467823374605,6.654637483835334,108.09264908329956,1.8090467823374605,102.20012390284646,102.01499057588036,98.34888193728455,102.77693281915278,103.46784120332659,106.98161963959183,101.8685956056857,0.0,0.0,0.0,0.0,2.979570413510858,154.0,458.8538435022406,1006950.5246466736,30.0,,0.0
NYH,118172.40327570519,1912.0,26.76906278434941,1912.0,1912.0,1491.0,4855.0,5495.0,1261.0,1009.0,162.0,73.0,17.0,588.0,477.0,435.0,0.0,59.0,146.0,233.0,0.2593027341210191,0.0791628748644222,,,0.32780980715304825,0.3331522900009099,0.6609620971539583,0.07384955587989081,,,0.3224668437192711,-0.9365988574025156,39.37803250655579,-3.4004510860823705,-4.489168032040779,10.291095987840253,-0.8511412343096744,0.9531276096726299,-5.338675356238701,-2.7366295412540076,3.1689187000201744,2.523035414314328,0.3269515570961144,0.6638215448283629,5.500903162262272,85.3449083365386,0.6638215448283629,95.16482164465761,95.44503184972086,,96.0745871830528,92.87836394356455,85.6525656271702,,0.0,0.0,0.0,0.0,2.199617002367607,153.0,336.54140127388536,1008000.8545950864,9.0,18.0,0.0
