Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BSN,117069.00816449955,1879.0,25.889104303993797,1879.0,1879.0,759.0,3217.0,3307.0,883.0,674.0,138.0,51.0,20.0,562.0,393.0,90.0,222.0,0.2748989152074388,0.02721499805594194,0.06713032912942245,0.48297131494526757,0.29422437220804354,0.3687808886643483,0.6630052608723919,0.09388197345690959,0.29122759718173574,0.10039310649531298,0.2982996914874833,7.411855353850047,51.41478885471806,6.86162448833206,3.1106743271847597,10.63162908387222,-0.16939070305328266,0.2519479264045073,2.941283624131477,6.86162448833206,20.68648512274026,18.574795931055558,1.9178007497685092,0.0,113.5748065658272,0.0,105.83036164679311,129.5023161462218,93.53739449126022,106.8699737851149,109.96618653791352,124.17567875436599,104.62997983906456,0.0,0.0,0.0,0.0,3.789843333997581,84.0,318.34684003628666,1006925.5718173571,16.0,0.0
BUF,116252.46782841823,1879.0,25.43666219839142,1879.0,1879.0,715.0,2906.0,2984.0,733.0,572.0,105.0,54.0,2.0,394.0,279.0,78.0,314.0,0.25212974754624673,0.026139409745308314,0.10522788154624664,0.32901859908813674,0.2717828414101877,0.3274457389229222,0.5992285803331099,0.07531599137667559,0.2818776511531501,0.13203753350536193,0.27105017142225524,0.447761622636314,41.789945323161795,-1.365851610427805,3.8431635388739944,9.988760467813458,-0.12167525424524622,0.23671325131485035,3.7214882846287485,-1.365851610427805,12.581110393329249,11.393184027022738,1.1831159368469555,0.0,95.8590429353573,0.0,97.06470592871908,124.38413913365926,146.62138552448891,98.71862388141325,97.64052399205589,99.6188512648734,101.2708041498981,0.0,0.0,0.0,0.0,3.7860403165750673,79.0,299.09718498659515,1006122.26038874,1015.0,0.0
CHI,117928.21514575412,1879.0,24.073723228995057,1879.0,1879.0,738.0,3084.0,3156.0,800.0,599.0,166.0,32.0,3.0,434.0,289.0,72.0,287.0,0.25954914775158433,0.022813687772496833,0.090937895736692,0.30392576538846644,0.2762991122553866,0.3375365711207225,0.6138356833761089,0.07798742336913815,0.2850575646780735,0.11470215450887199,0.2770831601927942,2.638431640174635,43.97751820196535,0.2848680443895498,4.312420785804816,9.988012162470394,-0.0032826374569395497,0.23669551800436567,4.309138148347877,0.2848680443895498,14.818713873212186,13.02938700209083,1.391699114593786,0.0,97.83374236125302,0.0,99.92102060839204,108.55872193347555,126.71014633831028,100.35905136609358,100.64949319272408,103.15229723639874,102.41325868107043,0.0,0.0,0.0,0.0,3.603310578456907,83.0,299.0747782002535,1007758.9866920152,17.0,0.0
CIN,116865.6891325379,1879.0,24.799194089993286,1879.0,1879.0,719.0,3035.0,3101.0,802.0,614.0,127.0,53.0,8.0,475.0,360.0,66.0,204.0,0.26439808129409864,0.02128345650274105,0.0657852300773944,0.42977894483650436,0.2799097060470816,0.34901813673073206,0.6289278427778136,0.08462005543663334,0.2793012349264753,0.08964850191551113,0.28324377851999794,5.121074099025334,50.04478788239877,6.299938353011142,-0.9683972911963883,10.85410048867408,1.3486475376571447,0.2572200449746664,0.38025024646075645,6.299938353011142,17.79150913312064,13.710079019695339,1.6181404232789836,0.0,109.24452454300751,0.0,101.78775911486566,101.27713061146258,91.66317366900265,101.67051329894224,104.07316297721441,111.92513784234546,100.34516942138092,0.0,0.0,0.0,0.0,4.012449189609804,81.0,325.0083843921316,1006722.3234440503,1028.0,0.0
CLE,117835.04556193047,1879.0,22.711060948081265,1879.0,1879.0,724.0,2927.0,2963.0,659.0,512.0,115.0,28.0,4.0,315.0,225.0,36.0,205.0,0.22508918550793117,0.012149847723928449,0.06918663461019238,0.18429407370671616,0.23455956747485657,0.28761051398008775,0.5221700814549444,0.0625213284721566,0.23973398681471483,0.08268646549105636,0.23567040973203712,-5.841587135550327,34.445940645815526,-5.468098153598422,-2.5811677354033074,9.733943126069768,-0.138466019031989,0.23067460000772175,-2.7196337544352964,-5.468098153598422,1.7768858180437703,-0.525581538483999,0.14028475246963285,0.0,81.99343237041779,0.0,86.6546522641274,57.81493784560835,96.40258909768764,85.19815893892324,85.76212163582508,82.69562423736333,86.12975710371751,0.0,0.0,0.0,0.0,3.554476757846777,82.0,291.46709416132296,1007668.779277759,1018.0,0.0
PRO,120553.93748046264,1879.0,27.18016975308642,1879.0,1879.0,701.0,3112.0,3199.0,931.0,743.0,127.0,51.0,10.0,584.0,362.0,87.0,148.0,0.29922155642888404,0.02719599823944983,0.04626445713941857,0.7272138793422946,0.31822444465551736,0.38267232540950297,0.7008967700650204,0.08345076898061893,0.3114284168624571,0.07658643281963114,0.31634072850890066,13.326604237795973,60.34899445697018,13.533095075520603,3.4498280712722726,11.361165533145636,-0.5320870590695358,0.269236452384949,2.9177410122027365,13.533095075520603,28.081238073253918,22.700483955032755,2.596720013248675,0.0,124.9272303419445,0.0,115.19407235743141,129.41190569544668,64.46351201452876,115.58742670736555,114.1084519625941,110.37854765056048,111.88757278829144,0.0,0.0,0.0,0.0,4.002254381294153,85.0,340.19162238199436,1010328.3232260081,1064.0,0.0
SYR,117259.77004454343,1879.0,23.65282791817088,1879.0,1879.0,444.0,1776.0,1796.0,387.0,324.0,46.0,13.0,4.0,182.0,116.0,20.0,181.0,0.2179728019710468,0.011135856925389754,0.10077950935412028,0.1458716423056793,0.22661469884354124,0.2653397880640312,0.49195448690757243,0.047366986092984405,0.24075113458741654,0.11414253836859689,0.22283108874259389,-7.732718031005573,23.86483888295876,-7.07139746311122,-3.0011135857461024,7.634343402563928,-0.42038933727540384,0.1809183686302341,-3.421502923021506,-7.07139746311122,-2.677638614938565,-3.159588133519751,-0.27054014738703375,0.0,76.2194029244825,0.0,83.91499269596414,52.98987202374814,140.42315664679805,82.31237522228919,79.12124930296176,62.65129962723486,86.49519002278495,0.0,0.0,0.0,0.0,3.219690077811804,71.0,228.59799554565703,1007103.7572383074,1076.0,0.0
TRO,114779.43187552565,1879.0,26.238249594813613,1879.0,1879.0,598.0,2436.0,2476.0,579.0,463.0,88.0,24.0,4.0,274.0,175.0,40.0,161.0,0.23773883858642972,0.01615508822253635,0.06502423210056543,0.3389208435718902,0.24999999953352184,0.29859371439943455,0.5485937139329563,0.06085487581300486,0.2528617819325525,0.08279482896203554,0.24817415272669568,-3.3678142560262065,27.41264917294005,-3.9859948665906972,-0.7580775444264943,7.436923954172454,-0.22746797579435424,0.1762399303343001,-0.9855455202208486,-3.9859948665906972,2.6416234976952087,0.9929307408064236,0.23498376441962507,0.0,85.86453257851335,0.0,91.52450545723214,76.87383765615324,90.60282182969515,90.80652699136186,89.03718469690597,80.49144293990516,90.84620895032454,0.0,0.0,0.0,0.0,2.892033651369144,77.0,222.68659127625202,1005004.0415993538,1081.0,0.0
