,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA
0,9,1921,NYY,28,1604,5250,6056,1576,1071,284,87,134,948,863,575,,571,41,,190,,89,64,0.3,,,,,,,,,,,0.095,0.094,1.01,0.374,0.464,0.838,0.164,0.317,,,,,,,,,0.384,173.4,929,95.5,33.0,188.3,28.9,373.9,36.3,,5.9,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,7.9,,21 - 37,103.5,20.2,,,,,,,,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,113,149,102,110,135,101,,,,,,,,,,,,,,,,,,0,,,,,
1,6,1921,DET,27,1705,5456,6293,1723,1296,270,99,58,887,793,581,,373,29,,227,,95,89,0.316,,,,,,,,,,,0.092,0.059000000000000004,1.56,0.385,0.433,0.818,0.118,0.331,,,,,,,,,0.379,158.3,944,86.0,-60.0,195.7,28.7,271.8,26.2,,5.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.3,0.6,,20 - 34,86.5,21.0,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,110,94,105,103,97,105,,,,,,,,,,,,,,,,,,0,,,,,
2,5,1921,CLE,28,1758,5376,6264,1657,1169,355,91,42,925,847,619,,373,37,,232,,51,42,0.308,,,,,,,,,,,0.099,0.06,1.66,0.383,0.432,0.815,0.123,0.326,,,,,,,,,0.378,151.6,933,56.9,-15.0,194.8,25.8,294.7,28.5,,5.1,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.4,,19 - 35,68.3,20.9,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,117,94,105,103,102,104,,,,,,,,,,,,,,,,,,0,,,,,
3,28,1921,STL,27,1809,5309,5915,1635,1204,260,88,83,809,733,382,,452,29,,195,,94,94,0.308,,,,,,,,,,,0.065,0.076,0.85,0.358,0.437,0.795,0.129,0.325,,,,,,,,,0.365,78.9,817,81.0,9.0,183.9,21.9,313.0,30.4,,5.4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,-4.9,,21 - 36,76.1,22.1,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,100,126,103,107,115,104,,,,,,,,,,,,,,,,,,0,,,,,
4,30,1921,NYG,27,1756,5278,5946,1575,1170,237,93,75,840,748,469,,390,33,,166,,137,114,0.298,,,,,,,,,,,0.079,0.066,1.2,0.359,0.421,0.781,0.123,0.312,,,,,,,,,0.361,61.7,804,58.4,60.0,184.9,27.1,348.1,33.9,,6.1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1,-4.4,,20 - 36,54.0,22.2,,,,,,,,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,123,108,103,103,109,100,,,,,,,,,,,,,,,,,,0,,,,,
5,2,1921,SLB,27,1714,5446,6103,1651,1233,246,105,67,835,726,415,,402,37,,205,,91,71,0.303,,,,,,,,,,,0.068,0.066,1.03,0.357,0.424,0.78,0.121,0.318,,,,,,,,,0.36,57.2,819,-49.8,-18.0,189.8,25.5,173.1,16.7,,5.8,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.3,,19 - 41,-44.5,20.3,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,81,104,98,101,100,101,,,,,,,,,,,,,,,,,,0,,,,,
6,16,1921,BSN,27,1711,5385,5982,1561,1191,209,100,61,721,630,377,,470,22,,198,,94,100,0.29,,,,,,,,,,,0.063,0.079,0.8,0.339,0.4,0.739,0.11,0.309,,,,,,,,,0.341,-32.2,714,-25.1,9.0,186.0,26.4,210.8,20.5,,5.4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,-7.8,,20 - 35,-32.9,22.3,,,,,,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,98,129,97,97,98,99,,,,,,,,,,,,,,,,,,0,,,,,
7,8,1921,WAS,28,1627,5292,5992,1470,1089,242,97,42,703,614,457,,466,58,,185,,112,66,0.278,,,,,,,,,,,0.076,0.078,0.98,0.342,0.384,0.726,0.106,0.298,,,,,,,,,0.338,-44.4,703,-94.1,-3.0,186.3,26.9,146.8,14.2,,5.9,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,10.8,,20 - 34,-83.3,20.0,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,91,123,94,91,88,95,,,,,,,,,,,,,,,,,,0,,,,,
8,4,1921,CHW,27,1627,5319,5991,1509,1150,242,82,35,677,609,446,,480,43,,183,,94,93,0.284,,,,,,,,,,,0.07400000000000001,0.08,0.93,0.344,0.38,0.724,0.096,0.307,,,,,,,,,0.338,-48.0,700,-121.7,3.0,186.3,27.9,111.2,10.8,,5.1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,-4.2,,21 - 34,-125.9,19.9,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,88,126,94,90,79,98,,,,,,,,,,,,,,,,,,0,,,,,
9,10,1921,PHA,24,1678,5455,6060,1493,1092,255,64,82,655,609,424,,570,45,,136,,69,56,0.274,,,,,,,,,,,0.07,0.094,0.74,0.331,0.389,0.72,0.115,0.294,,,,,,,,,0.334,-68.4,688,-173.3,-34.0,188.4,27.6,34.9,3.3,,4.6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,6.1,,19 - 33,-167.3,20.2,,,,,,,,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,83,148,91,92,95,94,,,,,,,,,,,,,,,,,,0,,,,,
