Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
ANA,147078.807179987,2002.0,28.239766081871345,2002.0,2002.0,2235.0,5525.0,6156.0,1568.0,1061.0,325.0,32.0,150.0,835.0,793.0,446.0,41.0,794.0,74.0,64.0,47.0,102.0,115.0,49.0,0.2835041401452242,164.5701754385965,159.48667966211826,95.38369070825212,17.864359974009098,22189.0,8083.0,14106.0,10.941845354126055,7.927550357374919,2.545159194282001,0.07244964216634177,0.1289798565997401,0.6448930566076998,0.3416163438692333,0.4358843837347303,0.7775007276039637,0.15238024358950616,0.3052112836525341,1.0690669263183885,0.22686063301559453,0.39085446959925274,0.3809853510570175,0.11166585608187134,0.08219222364782326,0.06505281296345028,0.24353863041569201,0.2257959722823262,0.33728326746303383,7.029623704286509,72.04969517085668,5.822194658444958,3.797561942011414,16.49784350642587,-1.4960703392987533,1.8612482815144598,2.2891538446164574,7.757581261600388,28.405826894157176,29.561438531878263,2.8430467558178547,11.087882618823704,1.9353866031554303,4.661296879370618,105.86588882772817,0.25848603399470904,6.6086700486484915,-9.232713273767063,10.126450231319984,96.92300407588482,9.669200628995895,0.9965575532812221,2.257684771420545,6.409356725146199,0.469925938781697,3.965654906622197,0.6405581255761417,88.0000205019506,0.10365458046564634,79.89405166644195,0.1118080145861844,73.37108088315189,0.11800764399837002,78.98501882130563,0.01998664109685907,80.85937163427334,0.00884836627154347,65.4483523961241,0.14596109083604955,6.815774277910922,-0.1507194364514385,2.0134807676277173,0.420636761487259,0.027807135493925696,-0.14484184838571754,0.5589453469884846,-0.06252014321605907,0.9209940537308249,-0.12989119657667145,0.42497719384271204,-0.9390522078027893,0.18650310707115011,0.7041421919236392,0.4754304179889538,0.5551337453576073,0.8846966255801104,0.8286155506985056,0.5607104888610885,0.5881397225166531,0.08201680426738142,0.16586452110948668,0.247881325425601,190.02582846003898,121.8630604288499,115.80847953216374,61.2940220922677,272.7482131254061,93.18664717348928,427.69736842105266,0.4363339174382315,0.2887732188637841,0.2748928625520156,0.1451590598146944,0.638045572436606,0.21679536796814047,0.4505378053689951,1.2318285413965524,107.287516599782,86.04695710573822,79.38311960261042,103.01560753837047,102.52516075806093,94.70400042059052,104.5551641006193,107.10510407423185,92.18264471109961,104.98669234239877,77.12304526415559,99.55123701984844,101.49863923982129,99.17137276635415,99.30761762353535,102.16924523474732,94.53413758010892,0.0,0.0,0.0,0.0,3.34253443359974,162.0,541.4905782975958,29.707439896036387,1.0,-0.8530642382476002,0.10606832233105913
ARI,131362.6950723695,2002.0,31.865343958367212,2002.0,2002.0,2223.0,5355.0,6149.0,1435.0,955.0,279.0,40.0,161.0,798.0,766.0,634.0,57.0,986.0,44.0,52.0,62.0,123.0,89.0,42.0,0.2676229654573102,131.7965522849244,101.70222800455359,66.16832005204098,13.26183119206375,23573.0,9305.0,14268.0,9.779801593755082,7.037567084078712,2.6820621239225892,0.10310619567116605,0.16035127617417463,0.7332201015617174,0.3464799451878354,0.42561382850512286,0.7720937736929585,0.15799086304781262,0.2976827746100179,1.6168455307716703,0.21672276929354367,0.45514146998113514,0.32813575934834927,0.12573875150073183,0.1098880802559766,0.06922644529923563,0.15558231710229306,0.2896405936981623,0.33589646314329863,7.589632660052877,57.29330333554977,3.0975284259798537,1.1886821489803798,12.61154228230706,0.6930088731291396,0.8479921997409386,1.8055256673041413,4.222016938089554,19.487077087441698,23.34928973279866,1.9503981172686577,7.606552843352223,1.1244885121096997,4.1985654325276744,97.92028405274884,0.11300697926359611,6.084056722000241,-6.821782244273344,7.757705634456521,87.37319988757372,8.12717096414417,0.9977718205553939,1.5582706432495548,10.657342657342657,0.9846369098607801,-2.2766664930807137,0.6534065595771671,89.49510618761471,0.13344783367536706,81.45042489921823,0.10629207810190461,75.9091956028457,0.09002584666067047,80.22112330729354,0.013433162477096547,80.42508324074524,0.007158949882327771,67.63666386102054,0.06854142535958346,8.191885992947643,-1.0273056004810197,0.307419488240769,0.7458370501767975,-0.32738617419870997,-0.03443719185235208,0.5575074476306535,-0.5498069279379508,-0.0390658942696459,0.009678962969536147,-1.9984891899674107,-2.034046364479845,0.1559554152821597,0.6758525162953326,0.4359388995202472,0.47794275667914704,0.8654713549032363,0.802022747142625,0.5399585107253213,0.5513988288597919,0.08718502882419904,0.1718529088453407,0.2590379386144088,129.00487884208815,92.0913969751179,85.66498617661408,46.71231094486908,192.77589852008455,66.95462676858025,306.92096275817204,0.41871669303138714,0.30216798902911046,0.279115318157424,0.15325282118881117,0.6283290405057733,0.2184181384160026,0.5709800227998343,0.5078751281924798,100.67981324183954,110.49248923259987,98.12928641142392,101.97511183613155,100.62149747284109,100.52286954915765,100.43828523312767,101.61095386337563,104.00057628513868,94.00027357095269,100.66859679963349,98.14229580851475,102.99820406948895,99.68921930310837,103.40766857551354,100.10767082673509,97.44536424770405,0.0,0.0,0.0,0.0,2.5551530016701904,162.0,413.9347861440885,294.203285087006,15.0,-1.021455938697318,0.0072618272271914135
ATL,150130.9652956298,2002.0,30.411793059125966,2002.0,2002.0,2319.0,5495.0,6224.0,1428.0,959.0,280.0,25.0,164.0,708.0,669.0,558.0,68.0,1028.0,54.0,49.0,67.0,147.0,76.0,39.0,0.2604816905702121,147.80077120822622,109.75578406169666,66.91323907455013,13.215938303341902,22822.0,8681.0,14141.0,9.276188946015424,7.430109254498714,2.519762210796915,0.08965295578438302,0.1651670945514139,0.6249544394940554,0.3301837238160347,0.41143504096561695,0.7416187647816516,0.1509533503954049,0.29038886611134324,2.0839575652005142,0.20451560315151035,0.465471658375482,0.3295307321674165,0.10825613323425451,0.11076246491805913,0.06533095277313625,0.1738658128677699,0.28116966588206943,0.3214069386058572,5.179802295709079,59.225579713246475,3.244031103625048,2.7797178823777173,13.71328511190718,0.36027710426255827,0.9220726971700368,2.979661002100815,2.9633440859082603,20.578362897086297,21.115527274099172,2.0596213619339383,8.032523507963157,-0.2806870177167892,3.615121704132556,93.62684159805632,0.06992353507100109,1.1432705583283678,-7.702100945233712,8.355070428950306,-11.421000510454178,-1.1740124085918069,0.9896298486064248,1.6718397118849235,12.1426735218509,0.6079655005500813,0.9616656855197978,0.6312580227859896,90.4898766879354,0.13615410391563354,82.2534054103703,0.11713358604860774,76.78967143604861,0.09661303246458468,80.64640493531874,0.01767759485414236,83.60804244247707,0.0033085981033004713,68.4906052608489,0.008505748132199186,6.495944936605348,-0.886995028365524,-0.5689573958228314,-0.07336755464523935,0.19897758946969055,0.24802429238921114,0.1306740336795581,-0.2706840200653493,-0.7450246336057231,-0.515700807566622,0.25846600163168604,11.617556582470462,0.17560294355730593,0.7263220849534062,0.4775993809929306,0.48915483750925187,0.8487815194954202,0.789701877149285,0.5493900315440231,0.5887835448385023,0.10131433185089975,0.14796288956940873,0.24927722242769923,147.33820694087404,95.90922236503856,88.6913560411311,47.73457583547558,205.21915167095116,78.6491002570694,331.95196015424165,0.42801523126667734,0.298034732173284,0.27395003695225845,0.1515601710255586,0.6220081253721267,0.22643170269570811,0.20942880884257525,-0.5815004338299934,97.99326419806418,96.07548981119989,101.07639623256553,97.17884867580685,97.26941927654451,96.0451994316494,98.02456598173988,95.93383738794941,106.41233265613735,94.44541130333107,101.63239462811812,100.3217640616077,101.5893254021686,97.84438067565894,102.26554885643651,99.100599666762,101.02054723470282,0.0,0.0,0.0,0.0,2.7956278242191517,161.0,450.0960796915167,277.91098971722363,16.0,-0.9841622672964713,0.0064689412789203085
BAL,191554.641962048,2002.0,29.396168993913356,2002.0,2002.0,2054.0,5037.0,5586.0,1235.0,775.0,280.0,24.0,156.0,603.0,589.0,406.0,24.0,903.0,63.0,45.0,35.0,121.0,94.0,43.0,0.2451629495904046,134.33404940923737,147.32921589688507,67.07769423558898,21.043680630146795,21050.0,7618.0,13432.0,8.081274615109201,7.359291084854995,1.6063372717508055,0.0726817036745435,0.16165413480361615,0.4709464715891515,0.3069357600495883,0.4033030793102399,0.7102388393598281,0.1581401297198353,0.2676270279672395,1.0983107345082348,0.19638397563515933,0.4006988409804869,0.40130601102094515,0.13713479705370565,0.09181296714840673,0.061409203511636236,0.0846119213698532,0.26226279920515566,0.309620352697341,-3.3315660381687584,53.38476077735923,-3.225958918226689,0.28558728123365484,14.390895964225006,-1.0251484939557087,1.623547366807938,-0.7405837235750208,-3.173560604242906,12.100299003215016,10.478338083371446,1.2110795420144098,4.723210329353744,0.052398313983782696,4.047653912911252,89.30744281446924,-0.03358447451976078,-10.778799465857446,-8.956616837470975,8.33379773513507,-98.21509875915945,-9.88265376444906,1.028232462434755,1.4111396064312676,2.9391335481561045,-0.27545513029517377,-4.121828860759008,0.6372725558557106,88.5263849271654,0.11511616126639125,80.47309091555036,0.11831329900735954,74.48466208293365,0.09352422590084426,78.02854838876979,0.02114714729385722,83.62688234078324,0.0174735554707917,68.48265287408724,0.02559567053406303,0.14896273098397844,-0.13588723693948385,-1.5113961431447747,-1.4689836616718044,-0.6477395841964187,0.5102039474555843,-0.19826717684728062,-0.24478700342325857,-0.764796932196418,-0.8981560618598998,-2.4838378110601873,1.4974012773279504,0.1918200410741139,0.7126848464124598,0.47831057566058,0.5263558032073782,0.8726504261134979,0.8111083338310062,0.5504275005388471,0.5996418982023277,0.0911982839330469,0.16189688662012175,0.25309517230397416,176.86215538847117,93.50071607590405,85.82724668814895,57.72252058718224,214.36287146437522,84.1047261009667,356.1901181525242,0.47901513351486924,0.26896186652633464,0.2520230004944464,0.16110736363848085,0.6114171667395198,0.22747546950197067,0.121864872215904,-0.035573126513282045,92.77791855300048,86.3225718092074,99.49312904878691,92.55755576162738,94.86165273052603,98.28375751809665,91.62652599178357,92.74544946378627,94.53392760905689,110.62089692070326,86.38900723969375,109.28911843515208,94.53530104122747,90.9207562158377,110.21832436416538,97.90527978362147,99.19122275853623,0.0,0.0,0.0,0.0,2.9156577512656634,162.0,472.33655567490155,158.44754744002864,2.0,2.185419968304279,0.11410780860902256
BOS,126790.28245192308,2002.0,29.74673763736264,2002.0,2002.0,1973.0,5195.0,5824.0,1440.0,925.0,316.0,33.0,166.0,785.0,757.0,491.0,38.0,882.0,69.0,48.0,21.0,123.0,68.0,23.0,0.27695512803674455,161.59546703296704,142.39285714285714,85.21754807692308,17.562843406593405,21580.0,8124.0,13456.0,12.381009615384615,3.31146978021978,1.2821085164835164,0.08430631818355083,0.15144230710456733,0.5989944254546704,0.34443542029138047,0.44728488478914835,0.7917203050805287,0.17032975675240383,0.30348543730958105,1.2388250070113325,0.21313882550326235,0.42509599647699176,0.36090666041689556,0.11763468372355769,0.11032590193543958,0.07051641210525413,0.2377354786991758,0.26425137287774725,0.3433448953674352,10.76747421858474,72.71193337220035,8.024986887520466,-1.2758343114521802,15.717454166933228,-0.24876503797713667,1.773206573731431,-1.5197799203681994,8.118819689756481,24.089700510052943,23.515413975171192,2.411059714576277,9.403133116784053,0.09383280223601805,4.041777942001905,107.41880022532895,0.39266523023543215,4.836566967285762,-8.3698680464753,9.199263933053942,87.71819752454758,8.501960564404726,0.9596434906994985,2.188300517414655,5.200549450549451,0.6307198610207946,1.8043100171480781,0.6366674669333791,88.72979137124142,0.11583528153991739,81.05927735113393,0.11013934658926729,75.54750670974717,0.10829192175163621,79.94492576967747,0.021644049915254236,82.40287235369782,0.009120363469770933,70.09542931775816,0.008602183651766402,13.210154276116045,-2.554783982101056,-0.5097006008802363,0.9785195321185997,0.217152068319926,0.19880133483963178,0.8523535877120817,-1.2163982864945668,-0.3328945116059753,0.5309329643549122,-0.1361996761824712,2.0078352826289096,0.18412762395053245,0.7102439172355769,0.4696651231507555,0.48638656567841787,0.875713537288805,0.807079758435783,0.5428138573076923,0.5657623627026099,0.09006426108173077,0.16155969311126375,0.2516239544179258,178.7814217032967,109.8389423076923,104.01940247252747,56.0625,242.58035714285714,93.65676510989012,392.6397664835165,0.4575158346806319,0.2778903394986264,0.2645938254120879,0.14217082708619505,0.6207991426236263,0.23703002913289836,-0.32687004343039905,0.026904503846016475,104.80914981141422,100.12888852959544,93.20806438081705,103.86570992818983,105.20669340052876,105.85958504288419,103.91805646341028,100.58236732403498,100.21422050817685,99.40978388342693,103.51818439275597,104.38397214245067,97.67350063327541,95.45585338922805,97.26328009260672,99.40760097558892,103.35751056831853,0.0,0.0,0.0,0.0,3.184424178633242,162.0,515.876717032967,205.0626717032967,3.0,2.3824701195219125,0.08480123021462911
CHC,158206.2721862419,2002.0,30.252231752144233,2002.0,2002.0,2058.0,5039.0,5713.0,1231.0,782.0,233.0,25.0,191.0,647.0,631.0,524.0,50.0,1201.0,44.0,34.0,72.0,107.0,63.0,21.0,0.24419363788674947,124.94118676702259,110.07859268335376,57.93768597934535,13.721862419044285,21361.0,8129.0,13232.0,7.251356555224926,4.471556100122528,1.0234552774374235,0.09172063671188516,0.2102222995291441,0.4858873435317696,0.31772987852494317,0.4155556160437598,0.7332854945687031,0.17136197815701035,0.2819574166152634,1.5232941715958344,0.1949050409558901,0.44941541107316646,0.3555045071246281,0.12597201579887976,0.13242066399247332,0.057626349836513206,0.10724906485716786,0.3353754593961142,0.31765763399875446,5.54432451892812,57.43449329190946,4.557694794833754,-2.883024432180861,13.166332558997897,-0.5703421729094674,0.8852959502731761,-3.265134833131032,4.1490862699260385,14.935579946066083,14.705052011261781,1.4948535830391736,5.829929116413124,-0.40860852490771565,3.674949249350829,92.75768467429953,0.31608953574465226,-5.455069868825376,-7.801459481987494,8.096900186374533,-10.33770378306508,-1.3638341617770493,1.043168490548153,1.8657565942823227,10.696831787152108,0.8206160812172142,-5.10200229104102,0.6390704561911431,89.9378594586942,0.12597787259740262,81.95499872869152,0.12573096884568224,75.64299770029969,0.09193347957188161,79.8490202044415,0.017764696037123807,83.66987898622273,0.001844450126465145,65.74552745164097,0.05560001772499535,7.2676571394062055,-0.9547595230384578,-1.8060467561009022,1.5015733484401932,-0.7045112303915507,0.24964685317066848,0.14193605747202412,-0.7921983110031572,-1.5431720255582129,0.2360643625122987,-2.596626343806671,15.480724165996309,0.19501155870645895,0.7243267008121828,0.47533268983721333,0.4272742200105338,0.8175631404341737,0.7439785514233194,0.5320250849028532,0.575105041045168,0.12164307641694382,0.14948915567302642,0.2711322329494137,134.218449151059,86.72256257657973,76.5667775249431,44.14458253106949,173.3815858568178,79.92910904953615,297.50778925258186,0.4420320179079131,0.2903486235329132,0.2676193601698179,0.16197683782563024,0.5873284435609244,0.25069471758753503,-0.7708988871509105,-0.004419468749272689,91.86569551410592,98.29129470179168,128.6485816187468,93.51346404391869,98.24358507437175,109.03034165178099,95.14919811787102,91.39766145012054,102.71014070382554,101.85836313031619,122.0849544418148,103.60713472290401,98.96940743639409,95.58330695455439,109.29421802369053,93.57530618726578,111.84528188181494,0.0,0.0,0.0,0.0,2.667555910574129,162.0,432.1440574129179,327.6830036758271,17.0,-0.6247364722417428,0.004241119268335375
CHW,159903.0540275049,2002.0,28.260314341846758,2002.0,2002.0,1894.0,4530.0,5090.0,1202.0,758.0,235.0,17.0,192.0,674.0,693.0,436.0,17.0,818.0,42.0,46.0,35.0,92.0,31.0,17.0,0.26509894408762286,130.1467583497053,141.82495088408643,72.54970530451867,17.750098231827113,19332.0,7325.0,12007.0,6.366208251473477,4.7353634577603145,1.8196463654223969,0.08565815267485263,0.16070726875913555,0.5696013233192534,0.33213766702927305,0.45194242646483296,0.7840800934941062,0.1868434823772102,0.28253033985559917,1.0508923830182713,0.20690284791827113,0.3906789722870334,0.4018287873612967,0.12129903319489196,0.12663144269862475,0.05089189505952848,0.22405915921886052,0.28408644304715125,0.33957066568427835,11.147792333397662,67.2635719510782,8.136580616948095,-1.3206759785072506,14.238516345672851,-3.7457936352766565,1.6063562531295015,-5.061020852379457,6.838008004505461,17.621859750928362,16.23597385630198,1.7637145851458795,6.878487050269861,-1.2985726124426342,3.236399161514646,103.975607760083,-0.23568460385233697,-0.28915204480290413,-7.427860189667923,7.685996599153621,39.764895871281624,3.646663011983037,0.8816364603084174,1.4794065738274191,5.03811394891945,0.7545051529866319,-3.4363384957647574,0.6381594982612966,89.25192657292925,0.11523546859421145,81.00747962288837,0.10538740188054407,76.5310412057126,0.10729190802481293,79.6028217305435,0.015801507341521394,82.38083374486132,0.01987790631718782,54.47609918478637,0.05152516755431533,10.980692733098223,-0.08550478389798762,-0.5427315932684412,-0.40882625009691437,0.5986004164899964,0.7297812850105477,0.580164423672165,-0.6109200416059717,-0.44517829120568997,-0.1990782940791283,2.21269123235364,2.6249738448762683,0.17819279408331698,0.6885838449135561,0.4533120546974459,0.5075275310177165,0.8699985248143053,0.8042293955442044,0.5384218390628682,0.579485163126351,0.08982350741257367,0.169298606611002,0.2591221145442043,169.63752455795677,86.74793713163065,92.8713163064833,49.561296660117875,210.83438113948918,88.59371316306483,349.55992141453834,0.4798844044536163,0.24847556300314463,0.2716400350412736,0.147364372898978,0.6075408635849056,0.24509476182979556,-1.3035904526913347,0.23629908087744378,100.32237042399547,101.73443468564183,98.91036223202796,100.15727926792286,106.3022022713571,116.1228307345644,96.69765045939049,97.61325364390223,92.07578075417469,110.65175719636699,118.88230481594759,109.48744562105632,87.33473096369504,97.99787017478982,100.81633753488411,97.28457347245465,106.87415723977219,0.0,0.0,0.0,0.0,2.8847849822809426,162.0,467.3351669941061,250.20058939096268,4.0,0.3033988150919863,0.1320879701787819
CIN,175176.53425697476,2002.0,27.93964699183906,2002.0,2002.0,1941.0,4598.0,5269.0,1176.0,758.0,268.0,17.0,133.0,599.0,557.0,500.0,61.0,977.0,61.0,35.0,75.0,100.0,98.0,43.0,0.2552140856617954,142.64414499905106,119.119377490985,69.12829758967546,12.404630859745682,19710.0,7451.0,12259.0,8.305371038147657,6.796545834124122,1.6999430631998482,0.09489466644657431,0.1854241786236478,0.5718156336367434,0.3330363028954261,0.4080471717845891,0.7410834746800152,0.1528330861227937,0.298736714476561,1.3751345441563863,0.20740140997608658,0.43565410389106096,0.35580574870582654,0.10898099806471816,0.10366383505484912,0.060480269800341616,0.18132759853786296,0.3055608270430822,0.3225874427297671,3.1747353950779145,59.94470078912818,-0.43118037951176164,1.83460271875135,14.404505928877574,0.043346174733321224,0.9685499517332453,1.786723630187489,0.5687749018609659,17.728554412659275,16.853800119256682,1.7743933065584767,6.920134064797392,0.9999552813727272,3.90737513451231,91.77340260265083,0.2611813725736199,-3.5077126077376306,-8.431861758866447,8.555506517458076,-21.767901048064232,-2.2171933772042394,1.0189116364551758,1.6304138930887424,9.174226608464604,0.313085838844252,-2.0571437358142566,0.6511918119855733,89.55275922301252,0.14087343331052835,78.87039759334603,0.10582917978529355,74.23085847106768,0.08694769962666667,78.92363977909213,0.016455446252945795,83.43653619699725,,,0.13691033715046602,5.735361456671969,-1.0908293207645055,0.32109780642061536,-0.5190239184598128,0.1430931317379284,,0.22260773589466973,-0.7899329849872768,-0.3555151011372638,-1.1661177668774116,0.018865417180881444,,0.1908151343470008,0.7248219786733726,0.4810775305162269,0.512119679641162,0.8259389502011766,0.7697499105674701,0.5435802710988802,0.5862592505655723,0.1104250258436136,0.1499090102903777,0.26033403627253743,140.02562156006832,100.96697665591194,96.71303852723477,45.836781172898085,211.97172138925794,79.67868665780983,337.70563674321505,0.4223503064388763,0.29735894266514806,0.28029074986902053,0.14760700050873196,0.6201478285193623,0.23224516970956718,0.5137606939918057,0.26367084694338433,96.04804796586834,101.69270471407252,113.47301228833895,98.05563245000832,96.50510743072859,97.27812006167211,100.90879343472479,97.35147137806152,99.66116876559838,102.04302993931685,95.40913208444749,98.9939722149644,101.35897313802204,100.10903866743296,99.59813964361165,98.80421023450589,103.61417521628393,0.0,0.0,0.0,0.0,2.918415189555893,162.0,472.7832605807554,332.3213133421902,18.0,7.278214397988054,0.0015543999240842667
CLE,159912.60820758188,2002.0,30.657342657342657,2002.0,2002.0,1886.0,4811.0,5434.0,1210.0,787.0,235.0,25.0,163.0,666.0,603.0,499.0,35.0,842.0,55.0,30.0,39.0,130.0,50.0,31.0,0.25205590933308797,131.42105263157896,107.1912035333088,59.68421052631579,12.40633051159367,20733.0,7989.0,12744.0,8.59550975340449,5.451232977548767,1.173905042326095,0.09182922305134339,0.1549503124144277,0.6708678504070666,0.3266742629497608,0.4160141138432094,0.7426883767929702,0.1639582045101214,0.27506801393135816,1.3157871686573426,0.20150242804214208,0.44328397987799045,0.35521359053938173,0.12119395388700772,0.11974547365016561,0.06161098864188444,0.15000322840651453,0.27677585604711075,0.3234395879022128,5.733371906361492,55.17917668344809,4.8641798766222495,-2.1766984166020484,12.54611277505399,-1.5894011209691803,1.4154232238389532,-3.7608921250913196,4.776070257746235,14.976714131547856,11.569718514852102,1.49897056977654,5.845985365081481,-0.08810961887601695,3.4584432819676354,96.66141754648646,-0.45049461344891817,0.3771015703678131,-6.667440688873055,7.472850499713669,-13.376897767186165,-1.1593710677698255,0.9571192041670175,2.024419316858169,3.40264998159735,0.37042422117415186,4.279680280886131,0.6352060041553184,88.60714522372102,0.11042054990969408,80.79757471453,0.10665751932743689,73.3908209990142,0.11650011173392295,79.69444924862907,0.013457013961785922,83.80183951563463,0.02025774899154708,69.42708275710635,0.044054805571646344,5.891925421101581,0.3953333751473904,0.6697550605758077,-0.6858102943777753,-0.2407948011254609,0.38132532911401895,0.21110732671756,-0.17959284313406096,-0.3631824901955898,-1.1377696580504075,-2.1063787535156973,-0.015795286476003378,0.16286129281744574,0.6769493392491719,0.4427184764501288,0.5107887513782937,0.8759563295344129,0.8149761536013985,0.5450064378376885,0.572690467513802,0.08272146918660286,0.17724723568089804,0.25996870667280086,139.60287081339712,88.54895104895105,75.60912771439087,46.81266102318734,187.06532940743466,69.43982333456017,303.76094957673905,0.4638855223555391,0.28792420956753767,0.2481902680014722,0.1547242990264998,0.6200590653496504,0.22521663461354435,0.15220439827127707,0.21104962506558794,95.38644671218698,109.06368866267636,95.36713334259629,98.50977059165761,97.85143834231586,101.89967874519876,94.10663445034848,95.00939645815082,104.41222850732234,97.75765995930676,112.08642872292816,105.83724035400417,101.20022704531411,89.53804509495119,105.85148190114226,99.28909346317009,98.20625216148284,0.0,0.0,0.0,0.0,2.5418966994055943,162.0,411.78726536621275,468.4308060360692,5.0,-1.0152219873150106,0.11984410242178875
COL,195623.45424063117,2002.0,28.45897435897436,2002.0,2002.0,1911.0,4510.0,5070.0,1232.0,845.0,230.0,30.0,127.0,642.0,594.0,423.0,36.0,819.0,47.0,46.0,43.0,109.0,80.0,38.0,0.2737315271019724,155.70670611439843,103.51065088757396,76.84280078895463,10.726429980276134,18642.0,6891.0,11751.0,10.752859960552268,10.486193293885602,3.462130177514793,0.08343195226666666,0.1615384610143984,0.5678206789120315,0.338228782847929,0.4248301791899408,0.7630589620378698,0.15109865208796847,0.30611049106311633,1.5852269838151873,0.22593845709644975,0.4546505679540434,0.31921373489211047,0.11315313792998027,0.10278558202366864,0.06956300703609467,0.21478350704142013,0.27001972569822486,0.3314578435622308,6.614710336505631,61.55868712745294,-5.557060206036981,1.0214735859107413,13.941189393859643,0.02766764535765206,0.9373968382669094,0.9905122739705579,-4.963229342607891,10.905869163489216,8.009589904460361,1.0915329471014144,4.25697859779221,0.5938308634290896,4.294555384970547,82.4259236405157,0.34570454951141283,-4.328144407016225,-7.704117435761002,7.682030267451561,-37.44469655305147,-4.4413728984072804,0.9440992242485814,1.244840046757575,9.587179487179487,-0.06767328868030444,0.3712454923670605,0.6438489646586425,88.89547661420482,0.15148895622820918,76.93358973382924,0.0960814790211588,74.57631891564917,0.08612748790711462,79.39674282174308,0.020683506788321166,81.84056434724825,0.004390620737204985,67.46703497463803,0.12983740056393964,4.129559519664688,-1.684490291652655,0.7698586487894723,1.6521964575697783,0.08803882008034733,-0.21769621474330036,0.21218837272958607,-1.0050229536138509,0.2497015364768944,0.893198508989474,-1.0853278268987083,-3.2540626702164124,0.18830823256460838,0.7049826632071007,0.4766465346587771,0.5191915462445588,0.8594811060986193,0.8017451934773175,0.5588208250236686,0.5934477979179001,0.09482497485601579,0.16048238333333334,0.25530735949901384,137.57100591715977,106.4388560157791,102.80591715976331,53.55029585798817,221.67140039447733,71.44122287968442,346.9475345167653,0.40721373240481357,0.30488304825606627,0.2879032189149734,0.16044938304793846,0.6319231354547249,0.20762747984809624,0.8497594129118766,-0.5865243403940651,102.97785535683498,89.40882773795778,98.85580137275838,99.54665035062223,100.43623101224668,96.13764872146952,103.3021752615517,105.9526476068678,103.90889921451117,91.46244229221749,94.48878667738803,95.4461360602671,103.92367031038059,102.82791866306123,108.26356374823513,100.68029519695408,92.63120579999347,0.0,0.0,0.0,0.0,2.824545253974359,162.0,457.57633136094677,531.1881656804734,19.0,9.068682344158267,0.006834698412228798
