Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,118517.66394557823,1886.0,27.243016069221262,1886.0,1886.0,1096.0,4024.0,4410.0,832.0,677.0,103.0,45.0,7.0,565.0,357.0,354.0,0.0,32.0,225.0,0.2069592778922903,0.08027210847210885,,,0.27619047579569167,0.2600024500854875,0.5361929258811793,0.05304317219319728,,,0.2634675986507312,-12.075236794130205,43.20400598742455,-12.222099070687557,1.1326530612244898,13.595004295816226,-1.1131742641152371,0.9933931931954663,0.01947879710925274,-11.673569370518003,2.9343069156029458,2.9768856986745,0.2698493114331206,0.5485297001695552,6.481494498827516,79.40050180966712,0.5485297001695552,83.56071569766529,105.86189711879925,,88.95132773747468,78.56404324892746,63.70176462057546,,0.0,0.0,0.0,0.0,2.7218714813333333,139.0,378.34013605442175,1008340.1074829932,1006.0,,0.0
BRO,119309.29990662931,1886.0,25.615655233069482,1886.0,1886.0,1241.0,4912.0,5355.0,1230.0,943.0,192.0,79.0,16.0,810.0,553.0,425.0,0.0,18.0,243.0,0.25075118011055086,0.07936507894640522,,,0.31241830025415496,0.3319634796039216,0.6443817798580764,0.0812122994933707,,,0.30844870528587104,5.175582791187323,76.14409861675388,3.200627893690888,-1.4638655462184873,17.45351833651046,-0.11118920562592319,1.2753365821397693,-1.5750547518444107,3.491631970535837,20.64543213734165,16.59084028227509,1.775160349343302,0.2910040768449491,6.81356410643812,100.36332223825958,0.2910040768449491,101.24188818911779,104.66571742249648,,100.61904755053693,100.30825924944875,97.5312480893791,,0.0,0.0,0.0,0.0,3.444823224136321,141.0,485.7200746965453,1009109.5389355742,22.0,,0.0
BSN,118995.77516930022,1886.0,27.326345878989994,1886.0,1886.0,1065.0,4180.0,4430.0,1085.0,851.0,151.0,59.0,24.0,657.0,503.0,250.0,537.0,0.0,156.0,0.2596212418975169,0.0564334080020316,0.12121896116591423,0.5621574423505643,0.3013544014243792,0.34168884698487584,0.6430432484092552,0.08206760508735891,0.2932482571945824,0.18306997804740407,0.3041147357588697,1.7676574521795068,56.082482396402796,0.6812357639791182,-1.0785553047404064,13.357821874680422,-0.269725334979846,2.067511419434538,-1.3482806397202522,0.4242326196966662,14.501285274091373,13.263001103068797,1.246208033959552,-0.2570031442824524,6.465346271030164,98.89003804606259,-0.2570031442824524,101.17887315869318,85.43145386014776,113.01522228283537,98.57742726214755,97.20927732270172,86.47623997441383,103.37471081644351,0.0,0.0,0.0,0.0,3.1503347741828445,118.0,371.7395033860045,1008802.611738149,16.0,,0.0
CHI,116428.67465894998,1886.0,27.725299710624224,1886.0,1886.0,1146.0,4378.0,4838.0,1223.0,885.0,198.0,87.0,53.0,900.0,673.0,460.0,513.0,0.0,213.0,0.2806589960998347,0.0950806114102935,0.10603555127304676,1.3624228509993794,0.34787102071661846,0.4028192204282761,0.7506902411448946,0.12216022432844148,0.30521711223274084,0.21207110400165358,0.35301593088965716,23.432042721320116,85.39043578378461,16.209062015530698,1.9365440264572138,15.237629487340536,-0.08801187638927954,2.3584663177687952,1.8485321500679341,16.145584304128224,35.59021225930549,28.260303891991647,3.118537088900591,-0.06347771140247423,7.086899904456635,114.64922305392237,-0.06347771140247423,109.37764860719948,143.9373441065389,98.8593804281509,113.79369300470177,114.60065394308887,128.72261671471298,107.59392405307183,0.0,0.0,0.0,0.0,3.3655026025775117,126.0,424.0533278214138,1006290.1682513435,17.0,,0.0
CIN,116517.85945298463,1886.0,27.83290077859852,1886.0,1886.0,1189.0,4592.0,5013.0,1160.0,889.0,139.0,90.0,42.0,844.0,631.0,358.0,0.0,63.0,179.0,0.2528353618252544,0.0714143223646519,,,0.3153800113606623,0.3504493200947536,0.6658293314554159,0.09761395826949931,,,0.316705731962247,6.991517788851557,73.62850774361769,4.4928116100661875,0.13784161180929583,16.388252065522025,-0.14602117784099858,1.1974970876082163,-0.008179566031702735,4.01050902880011,21.58807861589865,17.70581918545125,1.8780512715367184,-0.48230258126607706,6.862182790769043,103.7191597386189,-0.48230258126607706,102.08338569286944,94.18035468200443,,101.57291149005063,105.89406188837383,117.22868629949313,,0.0,0.0,0.0,0.0,3.234570257873529,141.0,456.07440654298824,1006386.8487931378,18.0,,0.0
DET,118192.2333252486,1886.0,29.298237022526934,1886.0,1886.0,953.0,3783.0,4123.0,1091.0,816.0,157.0,73.0,45.0,730.0,543.0,340.0,329.0,0.0,166.0,0.28869643649114723,0.08246422459592528,0.07979626429468833,1.5234619466487993,0.34707737036866354,0.4054501799088043,0.7525275502774679,0.11675374341765704,0.30512299293063305,0.17317487351443123,0.35342501191701986,24.356031489227767,92.7687448787959,21.19732801332633,4.912442396313364,16.82496151575295,-0.9531821164237247,2.6041521133997065,3.9592602798896395,20.78173706169105,44.17011097073335,30.3187311828485,3.9031776527020923,-0.4155909516352807,6.812191034658795,121.60332510001102,-0.4155909516352807,112.50997767214625,124.83808524245126,74.39589037774992,113.53407838126405,115.3491526781933,123.02570207756223,107.56074549054352,0.0,0.0,0.0,0.0,3.716093226694155,126.0,468.22774678632067,1008014.7669172932,1031.0,,0.0
KCC,117976.91690273843,1886.0,24.583412098298677,1886.0,1886.0,1040.0,3977.0,4236.0,907.0,681.0,162.0,46.0,18.0,466.0,345.0,259.0,562.0,0.0,93.0,0.22833029221718606,0.06114258692752596,0.132672331740085,0.5716637743729934,0.2752596784433428,0.30591341562299335,0.5811730940663361,0.07758312340580738,0.2609034043602455,0.19806421217894238,0.27685213421064236,-6.498692037379468,53.70935203247399,-13.440908978342364,-6.1952313503305,14.807160456356177,-0.42707801362934034,2.291838715931997,-6.6223093639598405,-14.488515476382307,-4.011825668053971,-5.924381141269485,-0.429760597618845,-1.0476064980399422,5.2499394127810275,75.81652741717585,-1.0476064980399422,88.98425069413,92.56042260997174,123.69346278974686,90.04146215119992,87.0312927051633,81.75085395100166,91.97263177209527,0.0,0.0,0.0,0.0,3.3501923125472146,123.0,412.07365439093485,1007806.8425401322,1039.0,,0.0
LOU,118704.75424079437,1886.0,24.449700199866754,1886.0,1886.0,1123.0,4438.0,4834.0,1191.0,923.0,170.0,79.0,19.0,754.0,514.0,371.0,0.0,25.0,174.0,0.26857399317004554,0.0767480340633016,,,0.3282995444782789,0.35587348915990896,0.6841730336381878,0.08729949598986346,,,0.32573260942124904,10.141826272837745,79.98532478420788,8.276233499603103,0.6371534960695077,17.176839162741608,1.0179015946900876,1.2551195081366735,1.6550550907595953,7.424563723528876,27.51157748516675,21.964219155613016,2.399405381520312,-0.8516697760742277,6.633063218857441,109.47037729388681,-0.8516697760742277,108.43792709186344,101.21438991355662,,105.73384289526821,107.5330643396363,104.8416170282207,,0.0,0.0,0.0,0.0,3.4639150212618954,138.0,478.020273065784,1008513.9122879603,1044.0,,0.0
NYG,116686.41498559077,1886.0,29.35578621908127,1886.0,1886.0,1132.0,4294.0,4531.0,1156.0,892.0,175.0,68.0,21.0,692.0,527.0,237.0,408.0,0.0,155.0,0.26960479373515783,0.052306333596336345,0.09004634699933789,0.8905763437495035,0.3074376511767822,0.3571634477521518,0.664601098928934,0.08755865401699404,0.2921185362703598,0.1469874196998455,0.3127947427847085,6.280095472656392,66.28147905468163,5.701460633418643,2.2577797395718386,14.756335769214527,-0.13286926396786378,2.283972117467038,2.1249104756039747,5.11959757225198,24.284815934537516,19.727427584955564,2.140175428356517,-0.5818630611666634,6.468599220407592,104.32185969310807,-0.5818630611666634,105.06963540014586,79.18370134704668,83.95227796052981,100.56734712776284,101.61174691080276,92.2622655864067,102.99919819531307,0.0,0.0,0.0,0.0,3.3117680371088056,124.0,410.6592363716619,1006523.3804899581,30.0,,0.0
NYM,117054.27744748315,1886.0,27.803164387235185,1886.0,1886.0,1241.0,4683.0,5046.0,1047.0,849.0,108.0,72.0,18.0,628.0,425.0,330.0,0.0,33.0,120.0,0.2230547021969877,0.06539833479785968,,,0.2794292501839081,0.2873196775364645,0.5667489277203726,0.06426497533947682,,,0.27410964201803584,-2.395056569312961,55.01710345244827,-2.4902744007723583,1.4946492271105827,14.119559582469012,-0.23359321657194654,1.031722688345088,1.2610560105386361,-3.886901003658717,12.525437277694023,7.275234108278265,1.1081646032827877,-1.396626602886359,5.551142024877388,85.03813825686696,-1.396626602886359,90.05931381829693,86.24654219114386,,89.99442410509562,86.81839561442902,77.17849749844831,,0.0,0.0,0.0,0.0,2.8681618148929844,137.0,392.9381688466112,1006904.4441141498,1055.0,,0.0
