Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BBB,120181.0,1930.0,24.75309973045822,1930.0,1930.0,608.0,1952.0,2083.0,548.0,421.0,60.0,45.0,22.0,292.0,265.0,131.0,0.0,0.0,62.0,71.0,0.0,0.28107935842822857,0.06289006199759963,,,0.32597215499135856,0.3917913917513203,0.7177635467426788,0.1107120333230917,,,0.32501185773029045,-3.8154011405209367,19.806302132685794,-1.8401208483854907,0.0,5.7758398784241365,0.28091561999234566,0.3243622746177964,0.28091561999234566,-0.820189359315369,5.560928413718909,6.609781537894341,0.48571491052500354,1.0199314890701219,6.000385063076104,90.87797751124668,1.0199314890701219,98.913703418074,77.23226362753549,,94.94510144537283,98.08353025914126,96.03715333330614,,0.0,0.0,0.0,0.0,2.255459251046567,74.0,166.903984637542,1015748.3216514642,1149.0,,0.0
BOS,120269.60169024435,1930.0,28.440565864413006,1930.0,1930.0,1659.0,4955.0,5443.0,1311.0,968.0,235.0,62.0,46.0,578.0,507.0,338.0,528.0,17.0,133.0,39.0,34.0,0.2638344314872313,0.062098107046665435,0.09700532734705127,0.8567290156252066,0.31344973343156346,0.3640768967091677,0.6775266301407313,0.10024246522193643,0.2875864101523057,0.16755465764651847,0.3096815680778333,-10.079130491563303,45.07324756779776,-11.110320731916884,3.0222426470588237,13.485534929502881,0.3003020881046032,2.242931282986948,3.3208789758503316,-12.104600590968877,6.944744597371284,5.039689606174772,0.6448110252972447,-0.9942798590519927,4.284689468120441,73.02157845656339,-0.9942798590519927,89.47647926677438,73.64591115786979,133.54086079580787,87.27396186402407,83.93361044227173,72.16716949997236,93.21082614424381,0.0,0.0,0.0,0.0,2.5304573266911627,154.0,389.690428072754,1010051.3558699246,3.0,,0.0
BRO,115956.19612352169,1930.0,28.912450722733247,1930.0,1930.0,1752.0,5433.0,6088.0,1654.0,1156.0,303.0,73.0,122.0,871.0,836.0,481.0,541.0,27.0,147.0,53.0,0.0,0.30447440150197114,0.07900788375755584,0.08886333725837713,1.1912770519111366,0.3637755664786465,0.45448563563025624,0.8182612021089027,0.15001123412828515,0.3203591484321616,0.18791064239980287,0.36777398661130617,16.47996287840039,83.4287083085624,8.64890592006916,4.842969776609724,16.369913261276075,0.06835146091202869,1.445983182471833,4.9113212375217525,9.169477748617897,31.896695429887558,27.71948218627428,2.8472833276798357,0.5205718285487365,4.566756822207881,98.35417271674925,0.5205718285487365,97.71140031326847,100.82557868493573,129.13557408012022,98.31279392009304,98.09077718624594,98.86991951196208,99.54726688184948,0.0,0.0,0.0,0.0,3.071688824705979,154.0,473.0400788436268,1005833.8467477004,22.0,9.0,0.0
BSN,118048.32707821816,1930.0,29.710277095755874,1930.0,1930.0,1671.0,5205.0,5702.0,1469.0,1087.0,240.0,78.0,64.0,675.0,610.0,324.0,374.0,28.0,145.0,69.0,0.0,0.2823897389408979,0.05682216724482639,0.06559102032760435,1.038986513451771,0.3276967271048755,0.3963170783398808,0.7240138054447562,0.11392733939898281,0.2947769119349351,0.1336373197193967,0.3275940297923945,-4.4815002889563536,56.48634150187916,-10.97006988174618,0.9103823219922834,14.90749789903516,0.18598352619997244,1.316805465654537,1.0963658481922558,-10.202902164582007,7.117767048299948,3.40176457791895,0.6332173599676588,0.7671677171641726,4.824849433579015,77.35313221835537,0.7671677171641726,90.62402845657559,72.51336983246206,95.3164074839823,88.56224488084665,85.53636722232461,75.08762221739201,91.64615123802434,0.0,0.0,0.0,0.0,2.797277784852683,154.0,430.7807786741494,1007874.3493511049,16.0,,0.0
CAG,,1930.0,31.415932746196958,1930.0,1930.0,821.0,2475.0,2704.0,667.0,536.0,83.0,33.0,15.0,333.0,302.0,227.0,0.0,2.0,85.0,29.0,0.0,0.26929425996301776,0.08394970368047337,,,0.3313609461878698,0.34860664366974853,0.6799675898576183,0.07931238370673077,,,0.31560959378202286,-6.228937296675947,22.382575033723338,-3.8364021022079076,0.0,6.995918625706707,-0.05929199475230175,0.39288001853236293,-0.05929199475230175,-3.5315734424922116,3.797933206994557,4.393061526849828,0.3317274833577,0.3048286597156958,4.2685828717916605,84.5023543009182,0.3048286597156958,94.76644856144135,103.09459778162204,,96.51468129747478,87.27238781351869,68.79952726588228,,0.0,0.0,0.0,0.0,2.4958086784467457,81.0,202.16050295857988,1015689.9031065089,1151.0,,0.0
CHC,116244.69852575782,1930.0,29.269836011263873,1930.0,1930.0,1675.0,5289.0,6037.0,1631.0,1101.0,292.0,71.0,167.0,954.0,905.0,572.0,608.0,36.0,140.0,70.0,0.0,0.3092938503067749,0.09474904708381647,0.10071227373811496,1.0591607776822927,0.37952886423554744,0.48830458996769927,0.8678334542032465,0.17901073966092432,0.3248263663947325,0.22312406941527246,0.38658097179817086,25.6233311130486,96.81925128852843,16.38312263661232,0.5935067086301143,17.40840743677726,0.4200935881718788,1.5377151964967264,1.013600296801993,17.32587107809709,37.28559400817307,29.685260579038495,3.2641921242624465,0.942748441484769,4.581648475384436,107.4924408737211,0.942748441484769,99.25804951967949,120.91359808328511,146.35436488583665,102.5702286096408,105.38985828918474,117.98301323830798,100.93539436600527,0.0,0.0,0.0,0.0,3.2246753991137984,156.0,503.04936226602615,1006114.0463806527,17.0,,0.0
CHW,117439.8799591002,1930.0,27.404907975460123,1930.0,1930.0,1455.0,4430.0,4890.0,1240.0,893.0,211.0,80.0,56.0,597.0,557.0,310.0,392.0,26.0,124.0,66.0,34.0,0.2791652747566462,0.06339468237730062,0.08016359884335378,0.9169372493912064,0.3304142393010224,0.39988953527321064,0.7303037745742331,0.12072426051656442,0.29624640960858895,0.15501022621267893,0.3311598499410591,0.19138381254728049,55.63549641174803,-0.2978383887859313,-1.7517382413087934,13.556868142422845,-0.1821908608475102,2.254795513483591,-1.9339291021563036,-0.9307685044705696,12.946966049279562,8.028708607831984,1.1086729201867838,-0.6329301156846383,5.136755130605867,86.76025421133647,-0.6329301156846383,94.6757622875895,75.18359847477443,110.3559596859265,91.99739749143524,92.1897895113474,86.91254900973017,96.00001396925997,0.0,0.0,0.0,0.0,2.5438424558609407,154.0,391.7517382413088,1007282.572801636,4.0,,0.0
CIN,117856.52999226007,1930.0,29.554953560371516,1930.0,1930.0,1597.0,4606.0,5168.0,1309.0,940.0,244.0,62.0,63.0,597.0,540.0,401.0,436.0,15.0,146.0,43.0,0.0,0.28500554800774,0.0775928788995743,0.08436532452109133,1.1591461024969039,0.34343558392260065,0.4070378302424535,0.7504734141650542,0.12203228223471362,0.3044129413351393,0.17414860640479876,0.3404935491695988,0.15670870431392778,58.718423980435745,-5.364937372505179,-0.10315463518482679,14.319166002919085,0.2094252661675007,1.2648370762124237,0.1062905912449001,-4.881348706594321,10.80894496378209,9.131974245849015,0.9427935303032109,0.4835886659108581,4.260863634665124,85.4586639857485,0.4835886659108581,91.46348939520438,99.01982618451717,122.59909373884945,92.81577680943946,87.85020687687383,80.42945578388664,94.59219897943662,0.0,0.0,0.0,0.0,2.6868818101489937,154.0,413.7797987616099,1007692.5489551084,18.0,,0.0
CLE,117279.42450049132,1930.0,27.354896822797247,1930.0,1930.0,1747.0,5427.0,6106.0,1654.0,1166.0,356.0,60.0,72.0,890.0,830.0,481.0,459.0,26.0,172.0,51.0,47.0,0.3046881751567311,0.07877497507173271,0.07517196153455616,2.059032834921225,0.3639277753737308,0.4321542147540125,0.7960819901277432,0.12746603959728137,0.32367410096609894,0.16573861844251556,0.36100940722062724,11.910687238869794,70.56860653614707,6.5371600447109355,-2.3491647559777267,14.342689244043054,-0.018842813257180468,2.385494276333498,-2.368007569234907,5.359919226567611,19.720095177709258,16.895457302029257,1.6927056436870116,-1.177240818143324,4.569245344204718,96.62299630489936,-1.177240818143324,103.3315668222856,93.42402033666764,103.48430055928405,101.32858765426475,99.62802869396064,91.7661318957085,104.88808372492181,0.0,0.0,0.0,0.0,2.6912957661120207,154.0,414.45954798558796,1007126.7179823124,5.0,,0.0
CSW,,1930.0,19.846975088967973,1930.0,1930.0,492.0,1575.0,1731.0,372.0,286.0,43.0,22.0,21.0,210.0,189.0,152.0,0.0,4.0,43.0,36.0,0.0,0.23722199647024847,0.08781051370017331,,,0.305025995920855,0.3337838978740613,0.6388098937949162,0.09656190140381282,,,0.2953835237515172,-7.543534498884287,15.339063784381095,-5.630059213084099,0.0,5.5951182756730065,0.0664570712603323,0.31421322766102305,0.0664570712603323,-5.006167559797654,0.9696210147967077,0.5308778062159552,0.08469078351796092,0.6238916532864449,4.919562348683722,70.78326657780275,0.6238916532864449,83.48000484387413,107.83587307673429,,88.84416562190471,83.56156805998604,83.76262139645247,,0.0,0.0,0.0,0.0,3.368368476158291,48.0,161.68168688619295,1015322.3928365107,1158.0,,0.0
