Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BBB,124380.0,1945.0,29.183288409703504,1945.0,1945.0,245.0,733.0,775.0,210.0,153.0,32.0,21.0,4.0,95.0,79.0,38.0,0.0,0.0,4.0,20.0,0.0,10.0,0.0,0.288097077516129,0.049032257574193557,,,0.3251612899212904,0.4063082729961291,0.7314695629174193,0.11821119548,,,0.34273857831954957,2.427762442996678,9.68701880807479,2.659354591298741,0.632258064516129,1.8880128893520562,0.025877933519021158,0.8408178381261325,0.6581359980351502,2.804293346956325,6.191260072469664,4.315265461503831,0.6483681113450933,0.14493875565758396,4.186372117545773,113.47958135199065,0.14493875565758396,107.80000065697097,70.8727332815156,,101.29954656979048,113.83733069438303,131.83118006395512,,0.0,0.0,0.0,0.0,2.5974193548387094,25.0,64.93548387096774,1015356.0232258064,1115.0,,0.0
BEG,111906.90783410138,1945.0,31.31009365244537,1945.0,1945.0,535.0,1763.0,1941.0,495.0,365.0,71.0,38.0,21.0,299.0,260.0,166.0,2.0,0.0,12.0,36.0,0.0,21.0,0.0,0.2814588879448738,0.08552292601339516,,,0.3467284898928387,0.401167926010304,0.7478964159031427,0.11970903806543019,,,0.3544890536972955,5.165603971107498,24.323359536042215,3.415013190830679,-1.975785677485832,4.982616347819759,0.11962350099580242,1.4056425048211096,-1.8561621764900296,3.698360022040019,8.230456698190858,8.298031720319308,0.8767337241808657,0.2833468312093396,5.29158045747314,107.16577638352136,0.2833468312093396,102.8493401925226,95.45058656765835,,101.22085531907034,107.48624872324304,120.23102260326338,,0.0,0.0,0.0,0.0,3.2955752386450285,52.0,171.36991241628027,1014269.8531684699,1132.0,,0.0
BOS,117602.18181818182,1945.0,30.240850059031878,1945.0,1945.0,1737.0,5295.0,5929.0,1378.0,1060.0,224.0,44.0,50.0,593.0,554.0,526.0,0.0,530.0,23.0,85.0,115.0,72.0,50.0,0.26009810292174057,0.08871647788986341,0.08939112790386237,1.1807571650765727,0.32960827434036094,0.34746271050716815,0.677070984847529,0.08736460758542758,0.2809456554044527,0.18654073023106763,0.32637265943455945,4.101396673898046,45.44821377233786,1.8407264650887198,1.5430932703659976,10.753625397647243,0.19721611726763308,1.0870417081481931,1.7403093876336306,1.3158254355055579,14.896801928934623,18.81168810109192,1.5599249127426784,-0.5249010295831615,3.874537856502267,93.2174536253526,-0.5249010295831615,99.42472964692455,95.73968085502686,111.4826068454069,98.78598805823025,97.7146953900471,92.95496328992341,100.69979343997845,0.0,0.0,0.0,0.0,2.355767237974363,157.0,369.85545623207963,1007438.4469556417,3.0,,0.0
BRO,118577.37914691943,1945.0,28.921631685849697,1945.0,1945.0,1724.0,5177.0,5908.0,1416.0,1039.0,251.0,69.0,57.0,773.0,697.0,596.0,0.0,408.0,24.0,111.0,83.0,73.0,0.0,0.27324773846276235,0.100880162070413,0.06905890254840895,2.2069561533134734,0.35038046788710225,0.3811558454300948,0.7315363133171972,0.10790810696733243,0.28652878351963446,0.1795870004113067,0.3504184907306402,16.8579917322334,69.47481696766464,10.774567412665398,0.6341463414634146,13.684768693275073,-0.31402338620687636,1.694128721256784,0.31969360769969096,11.541555490299258,27.240146512530803,24.680664061002563,2.863972863275658,0.7669880776338612,4.718777285012376,102.45365810069822,0.7669880776338612,100.07244327953212,112.0608999211646,96.1992943970135,102.21168748703279,101.14313864818556,103.95969070816467,100.28696441847818,0.0,0.0,0.0,0.0,3.0365671483259984,155.0,470.6679079214624,1008395.4085985105,22.0,,0.0
BSN,118372.53725346968,1945.0,28.390978816654492,1945.0,1945.0,1586.0,4891.0,5476.0,1308.0,985.0,204.0,24.0,95.0,664.0,597.0,480.0,0.0,455.0,24.0,81.0,95.0,76.0,0.0,0.26762212315230094,0.08765522234678598,0.08308984601990504,1.9279504276665447,0.33528662466910153,0.37829190201972246,0.713578526688824,0.11066977886742148,0.2791519238703433,0.18809349867786704,0.34090302776561254,12.119318517972486,60.28085435446748,6.890900740576688,0.15430971512052594,12.5260213797829,0.24956023032757282,1.550679668630055,0.40386994544809873,7.943694165616405,22.42426515947746,19.40044850838223,2.35957350643863,1.0527934250397162,3.691301221282788,97.48693460645758,1.0527934250397162,97.97897569037703,97.37021528687164,115.7444480538668,97.80856765766586,100.34918333949659,106.58421799494974,97.63886388541802,0.0,0.0,0.0,0.0,2.7974965147954713,154.0,430.8144631117604,1008194.6216216217,16.0,,0.0
CAG,,1945.0,29.355239786856128,1945.0,1945.0,366.0,1189.0,1301.0,319.0,256.0,37.0,20.0,6.0,185.0,160.0,109.0,0.0,0.0,3.0,11.0,0.0,11.0,0.0,0.26889841720368945,0.08378170591237509,,,0.3312836276279784,0.349441600198309,0.6807252278262874,0.08054318299461953,,,0.3265911119429539,0.9970588978349243,12.647210832719098,1.3687338434429692,-1.148347425057648,3.0300124296181186,0.03212965763160396,1.349402069729065,-1.116217767426044,1.4877346975753984,4.750931429496538,4.915857597965794,0.5061252105981163,0.11900085413242925,4.001534581058027,101.99284109514838,0.11900085413242925,100.61625685735508,121.10065476820542,,103.20687703272709,97.90472319653769,89.82315775737361,,0.0,0.0,0.0,0.0,2.9775118034742505,35.0,104.21291314373559,1015621.9415833973,1117.0,,0.0
CBE,123478.0,1945.0,29.146341463414632,1945.0,1945.0,201.0,706.0,755.0,193.0,152.0,23.0,15.0,3.0,107.0,89.0,45.0,0.0,0.0,4.0,10.0,0.0,17.0,0.0,0.2736095067642384,0.0596026485536424,,,0.32052980091125827,0.36322801600397353,0.6837578169152319,0.08961850923973509,,,0.3244609636186764,0.598920464155776,7.5769514851867035,0.8215406767237334,1.1986754966887416,1.8148708142315513,0.07602905680160255,0.8082443520944836,1.2747045534903443,1.1038481443959798,5.001667864212359,4.819742273083285,0.5201717258935367,0.28230746767224607,5.353756153740437,100.5451119299134,0.28230746767224607,102.37904967046092,86.15150153798898,,99.85666960010944,101.76732920154676,99.94411934228023,,0.0,0.0,0.0,0.0,2.972374644423841,21.0,62.41986754966887,1015308.4516556291,1118.0,,0.0
CHC,117518.0306020067,1945.0,29.74916387959866,1945.0,1945.0,1775.0,5255.0,5980.0,1457.0,1120.0,228.0,52.0,57.0,729.0,674.0,551.0,0.0,451.0,32.0,142.0,91.0,69.0,0.0,0.2778097195513378,0.092140467740301,0.07541805963110368,1.5682336902598664,0.3485565360809365,0.3741710401006689,0.7227275761816053,0.0963613205493311,0.2943647630386288,0.17709030208026755,0.34619170707491825,12.804360036714051,65.44638349817063,8.257541867475275,3.8255483006864224,13.69132233639388,-0.2301311146156445,1.6949400404164487,3.590939119498068,9.030063510801106,28.007265007109506,29.625300892104164,2.927953514530628,0.7725216433258313,4.229337186143821,102.5971109208192,0.7725216433258313,101.70875052426308,102.35256885222105,105.05762260294154,101.67961688134609,99.25604566981873,92.8039804616846,103.01153097052615,0.0,0.0,0.0,0.0,3.0380213620969903,155.0,470.89331103678927,1007358.4531772576,17.0,,0.0
CHW,117042.00052994171,1945.0,31.769828652181594,1945.0,1945.0,1602.0,5077.0,5661.0,1330.0,1049.0,204.0,55.0,22.0,596.0,544.0,470.0,0.0,467.0,14.0,100.0,120.0,78.0,54.0,0.2620531276348702,0.08302420017011129,0.08249425857569334,1.3060024814267797,0.3257330832995937,0.33702450696272745,0.6627575902623211,0.07497137932785729,0.28525866504433844,0.1694046998339516,0.3193120275219269,0.7408886388246803,48.89322844379292,0.6178284641790127,-1.1257728316551845,12.523629643607702,0.23449906204708515,1.26596447770825,-0.8912737696080995,-0.11664726324033628,12.781673088467516,14.674012534876415,1.3513248613630915,-0.7344757274193486,4.280103835237784,93.79165728719215,-0.7344757274193486,100.17205460382534,89.59677634405423,102.88129495007739,97.62456522489056,94.77922678026287,79.76870732695102,102.245712273341,0.0,0.0,0.0,0.0,2.871548018802332,150.0,430.73220279102634,1006895.8521462639,4.0,,0.0
CIC,115317.0,1945.0,28.493716337522443,1945.0,1945.0,179.0,562.0,608.0,136.0,116.0,12.0,5.0,3.0,62.0,61.0,46.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.24220192482730268,0.07565789435855265,,,0.2993421049473684,0.2970667929111842,0.5964088978585527,0.05486486808388157,,,0.28961185385522087,-0.8939453133847145,4.409914942254893,-0.7247361920749055,0.5822368421052632,1.3794466020159522,0.01765130762329423,0.6143301861225873,0.5998881497285574,-0.6483428415216203,1.9453220963454765,1.1698404096240818,0.20170246804461578,0.07639335055328526,3.22018102114058,77.0342069639162,0.07639335055328526,90.62697851921503,109.35824766789713,,93.25593310247724,83.2306231265748,61.186254602890465,,0.0,0.0,0.0,0.0,2.372203947368421,20.0,47.44407894736842,1014747.8766447369,1122.0,,0.0
