Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,HBP,SH,SB,AVG,BB%,OBP,SLG,OPS,ISO,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,OBP+,SLG+,ISO+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BRO,116270.04834761322,1900.0,29.337230769230768,1900.0,1900.0,1219.0,4355.0,4902.0,1278.0,996.0,185.0,75.0,22.0,739.0,606.0,394.0,79.0,74.0,254.0,0.29373410271787026,0.08037535649204405,0.36256860167584665,0.3865185193655651,0.7490871210414117,0.09278441664769482,0.35999899956938813,11.408298895666345,71.57470828090227,7.724651237733671,0.3692370461036312,14.969876349604602,-0.9097437178081502,2.0980825493298774,-0.540506671704519,8.866838073207997,25.39429030043796,21.947681677863244,2.295977941035259,1.1421868354743268,6.472923939334983,105.79501576717549,1.1421868354743268,102.55652477467657,111.80206202967042,104.28820652438907,102.40676631442929,101.93551953931,0.0,0.0,0.0,0.0,3.1280473155834354,141.0,441.0546715626275,1006139.3074255406,22.0,0.0
BSN,117025.5561011093,1900.0,29.73413347881433,1900.0,1900.0,1382.0,4952.0,5499.0,1403.0,1124.0,163.0,68.0,48.0,778.0,676.0,395.0,45.0,107.0,182.0,0.2838241572033097,0.07183124152336788,0.34162411265757414,0.37290880283506095,0.7145329154926351,0.08908464563175124,0.34267165539985445,5.832096836530877,68.03431898605668,-0.4001681399373129,4.332605928350609,15.476402593463265,-0.023129297615826445,2.169074042392246,4.309476630734783,-0.7349558718106708,21.21999739477962,19.16557901986323,1.9577142212322196,-0.33478773187335825,5.73026334114055,92.46504542665896,-0.33478773187335825,99.09649216941962,99.91720436423505,98.26379297564434,98.80091823596555,97.87084904492413,0.0,0.0,0.0,0.0,3.2111152089689035,142.0,455.97835970176396,1006875.9938170577,16.0,0.0
CHI,115791.51992516371,1900.0,27.901325478645067,1900.0,1900.0,1367.0,4896.0,5432.0,1274.0,988.0,202.0,51.0,33.0,633.0,519.0,341.0,65.0,130.0,188.0,0.26006501505357144,0.06277614091071428,0.3169819127271723,0.34221109419642853,0.6591930069236008,0.08214607914285714,0.3178476232002472,-3.4633991024926623,48.95405943376705,-5.137856684933411,0.0469440353460972,13.04187637032044,-0.47887543037215546,1.8278663486629088,-0.43193139502605826,-4.985979199529837,9.451832124427455,8.970508527839476,0.853689690969671,0.15187748540357435,5.479489935305343,85.16330171028407,0.15187748540357435,90.80104731654504,87.32156604217036,91.1757803245802,90.66766480193894,90.24794850345657,0.0,0.0,0.0,0.0,2.631851837864507,146.0,384.25036818851254,1005783.7706185566,17.0,0.0
CIN,115737.03394819466,1900.0,27.52649136577708,1900.0,1900.0,1273.0,4649.0,5096.0,1231.0,953.0,169.0,77.0,32.0,671.0,548.0,299.0,48.0,100.0,171.0,0.2656862299848901,0.05867346891738619,0.31589371195035315,0.35584098068033754,0.6717346926306906,0.0901547506954474,0.3208930628689138,-1.2907426684304124,57.31533865241091,-5.095618357639668,1.0129513343799057,14.58165444260583,0.015202749965001875,2.0436718388256985,1.0281540843449077,-4.996410257546066,12.657070108230368,9.379485000436423,1.1524295936991529,0.09920810009360173,6.104479630916534,83.71998962025239,0.09920810009360173,92.76368040216018,81.61475230342364,90.86277333272169,94.27885684091532,99.04649598619555,0.0,0.0,0.0,0.0,2.9834483475510205,144.0,429.61656200941917,1005614.736656201,18.0,0.0
NYG,116996.14461286359,1900.0,28.837156902908642,1900.0,1900.0,1267.0,4412.0,4882.0,1236.0,993.0,168.0,54.0,21.0,666.0,530.0,345.0,54.0,71.0,222.0,0.2805660758721836,0.07066775873371568,0.3397226938615322,0.3576088212181483,0.6973315150796805,0.07704274534596477,0.3362418186903812,4.875856354977948,62.996688190606825,3.2954799881019645,-2.538918476034412,14.460920550280152,-0.12138674592554252,2.0267505452434795,-2.6603052219599546,4.294927121994632,18.122292995558308,13.242576461205408,1.611230948748177,0.9994471338926671,5.83215069957537,95.83319621541789,0.9994471338926671,97.95894124951678,98.2988006557299,97.71687425412672,94.74724017513154,84.64128522136687,0.0,0.0,0.0,0.0,3.0216978857374026,141.0,426.0594018844736,1006852.3017206063,30.0,0.0
PHI,116988.32873518554,1900.0,27.134835826695163,1900.0,1900.0,1226.0,4553.0,5147.0,1321.0,1045.0,176.0,74.0,26.0,765.0,631.0,420.0,69.0,105.0,200.0,0.29061544098329123,0.08160093207402369,0.358901264459491,0.37751931978278613,0.7364205842422771,0.08690387879949485,0.355257497808136,12.722579955899374,78.43168383140862,9.805808360954133,-3.162036137555858,16.348942376825214,-1.145436832165244,2.2913636625811353,-4.307472969721101,9.789762561672473,24.122595631357722,19.180759269745746,2.1468266287947255,-0.016045799281658744,6.174225011930475,104.76152959638397,-0.016045799281658744,101.46765185700455,113.50683676683877,103.23334402596507,100.02245901085365,95.47499844768191,0.0,0.0,0.0,0.0,3.416211606102584,141.0,481.685836409559,1006844.7452885176,26.0,0.0
PIT,118213.3803253292,1900.0,27.41305189775368,1900.0,1900.0,1306.0,4670.0,5164.0,1277.0,971.0,181.0,99.0,26.0,718.0,583.0,324.0,61.0,109.0,169.0,0.2738034121190937,0.06274205999632067,0.32862899415801705,0.37181035844054994,0.700439352598567,0.09800694632145623,0.3340465723946041,2.851910514200877,59.7373280130164,0.4380859619910071,3.748063516653757,14.153539736773228,-0.3740498429524267,1.983670007652083,3.37401367370133,0.4085377394254547,19.919761157552095,18.045342687263293,1.8346530778467252,-0.029548222565551677,6.384912127575119,93.16477057551334,-0.029548222565551677,95.59777417249298,87.27415951520285,94.52591386634859,98.50988913184213,107.67313469968465,0.0,0.0,0.0,0.0,2.978593558493416,140.0,417.00309837335396,1008035.5412470953,27.0,0.0
STL,116906.84843272172,1900.0,28.35110856269113,1900.0,1900.0,1297.0,4683.0,5232.0,1372.0,1118.0,138.0,81.0,35.0,721.0,579.0,393.0,79.0,77.0,238.0,0.2945544390410932,0.0751146784824159,0.35812922215691895,0.38142902773662085,0.7395582498935398,0.08687458869552753,0.3553340561042111,10.350781886403297,67.9997729179812,6.914882509556881,-1.1660932721712538,14.343522843394986,-0.346769970604603,2.010296830169633,-1.5128632427758568,7.418929850392077,22.259886281180837,20.5955102589715,1.9980937990684196,0.5040473408351969,6.26964233001582,103.35801383860655,0.5040473408351969,102.84294314311846,104.4844627701413,103.01127596291701,101.05832282778849,95.44281953151103,0.0,0.0,0.0,0.0,2.9971669171674313,141.0,422.60053516819573,1006758.9703746177,28.0,0.0
