Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
ALT,115129.95238095238,1884.0,23.693548387096776,1884.0,1884.0,64.0,245.0,252.0,59.0,48.0,10.0,1.0,0.0,21.0,0.0,7.0,0.0,0.0,0.24173901478174603,0.027777777027777777,,,0.26190476126984125,0.2909875443492064,0.5528923056190477,0.04924852956746032,,,0.25485498233447,-0.5365712390840371,10.615417399569605,-0.6928416135836533,-3.25,2.727103310651959,-0.23193501802309166,1.2527572249638892,-3.4819350180230915,-0.6928416135836533,-0.19491609599089663,-0.4784472367131956,-0.05587735666106101,0.0,85.33923309148776,0.0,97.76114025813106,76.54580310365664,,95.3800031529555,90.71870499880819,67.02041423610812,,0.0,0.0,0.0,0.0,3.0568253968253964,25.0,76.42063492063492,1005029.8015873015,1001.0,,0.0
BAL,119679.26640721741,1884.0,27.55155482815057,1884.0,1884.0,1342.0,5324.0,5653.0,1256.0,960.0,191.0,77.0,28.0,889.0,2.0,272.0,0.0,57.0,0.23585269269715195,0.04811604419264108,,,0.28038209756430216,0.3165826504668318,0.5969647480311339,0.08072995776967981,,,0.27673304568091134,1.9786394746698004,52.38290628791222,0.8046217015263534,-0.23208915620024764,12.325841367963683,0.526860917395967,1.7854257155010105,0.2947717611957193,0.8046217015263534,15.210660546186764,17.78238217041877,1.3371444333908513,0.0,96.36946299677996,0.0,96.04169091265028,123.14819091460032,,100.21543317868021,96.39389412220001,96.60925591194102,,0.0,0.0,0.0,0.0,3.228434027503981,106.87334158853706,345.4026180788962,1009384.2090925173,1006.751105607642,,0.0
BRO,118062.76527677929,1884.0,27.08,1884.0,1884.0,692.0,2665.0,2782.0,606.0,495.0,72.0,28.0,11.0,313.0,0.0,105.0,0.0,12.0,0.22729490798957583,0.03774263073687994,,,0.25988497438030195,0.28763495857440696,0.5475199329547087,0.06034005058483106,,,0.2539958799382408,-4.192259254523422,42.00072865253582,-5.413265146983498,-2.3616103522645577,11.296016731367082,-0.43809506731405107,-0.12297054154317244,-2.799705419578609,-5.413265146983498,2.960075623261803,1.0585540912111306,0.2326268088239138,0.0,84.431413575351,0.0,92.95793049285189,92.55831765559898,,91.85410666416658,86.399480733642,68.25866702960039,,0.0,0.0,0.0,0.0,2.9040753451797268,109.0,316.54421279654923,1007886.9748382459,22.0,,0.0
BSN,117536.80174391923,1884.0,26.69876995550903,1884.0,1884.0,1040.0,4151.0,4358.0,1062.0,787.0,179.0,60.0,36.0,683.0,467.0,207.0,639.0,0.0,0.25626764489926573,0.04749885224460762,0.14662689257985315,0.4893118852150069,0.29118861832446086,0.35452732452088115,0.6457159428453421,0.0982596796216154,0.29443210088802196,0.2023864163125287,0.29528850121419326,8.565756049603486,66.94687532980906,5.488355713328073,4.573198715006884,14.276498015499843,-0.4151583496804301,0.46478290342065043,4.158040365326454,5.488355713328073,24.387676997575017,20.559592386238,2.2027792236281405,0.0,103.16514823726523,0.0,102.28049163362024,88.25850452387891,122.36795784463199,100.10355647326082,102.2598588126837,102.20608621782445,105.80918394905432,0.0,0.0,0.0,0.0,3.4488376508444243,116.0,400.0651675080312,1007379.1436438734,16.0,,0.0
BSU,116437.88576881133,1884.0,23.536150234741783,1884.0,1884.0,883.0,3553.0,3668.0,827.0,626.0,150.0,32.0,19.0,592.0,0.0,115.0,0.0,0.0,0.23270163827235552,0.031352235086968376,,,0.25681570287350053,0.30895660977699024,0.5657723126504908,0.07625497150463466,,,0.2593925417509568,-3.428057825829776,50.03320707292903,-1.1985460024668,-2.278080697928026,13.073398585765416,0.21121786462880404,6.00556439104426,-2.066862833299222,-1.1985460024668,15.813554141043655,11.424774323619728,1.3658858329499715,0.0,93.55909567683855,0.0,94.10635481401177,86.39575483044429,,93.52667905325177,96.3207672770861,103.77243387140552,,0.0,0.0,0.0,0.0,3.3610196778762265,109.0,366.35114503816794,1006304.6654852781,1011.0,,0.0
BUF,118354.31615039016,1884.0,29.198826118855465,1884.0,1884.0,982.0,4028.0,4229.0,1069.0,804.0,157.0,69.0,39.0,676.0,513.0,201.0,422.0,0.0,0.2665585512104517,0.047528966078505555,0.09978718325703476,1.0345882102326793,0.3003074006419957,0.36991337417072595,0.6702207748127217,0.1033548229602743,0.28702990536746276,0.15653818930480018,0.3051712727484677,12.54026501599203,72.79514907457653,5.814542760565864,1.3237171908252543,14.73470778382661,-0.3872073622229717,0.4797002918633484,0.9365098286022825,5.814542760565864,21.9654606648581,15.788171301686525,1.950704943766184,0.0,102.57557277264766,0.0,106.38775596375982,88.31445960110112,83.27772361118139,103.23837178968098,106.69781085771825,107.5058659582887,103.14907907224405,0.0,0.0,0.0,0.0,3.621977325017735,114.0,412.90541499172383,1008177.2839914873,1015.0,,0.0
CHI,115852.90874882408,1884.0,26.366107303238007,1884.0,1884.0,964.0,3995.0,4252.0,1149.0,805.0,156.0,50.0,138.0,819.0,644.0,257.0,424.0,0.0,0.28848804892309504,0.06044214428880527,0.09971777948353716,1.003298947322907,0.3306679206262935,0.4563350783346661,0.7870029989609596,0.167847029411571,0.29280268253457203,0.1926152402587018,0.3540463886755542,29.724118573992747,91.32950420444648,21.678662227899874,2.5733772342427095,15.064958954897559,-0.5991353638196821,0.4904518850048722,1.9742418704230271,21.678662227899874,39.20831493822532,30.083376579843957,3.4845130100064443,0.0,125.0256635879071,0.0,115.14016717122682,112.30867722181799,83.21980246261045,113.67557927496547,131.62528655539333,174.58827492117072,105.22362474620189,0.0,0.0,0.0,0.0,3.769285041900282,112.0,422.1599247412982,1005727.0331608654,17.0,,0.0
CIN,118125.80010819584,1884.0,26.940871934604903,1884.0,1884.0,872.0,3527.0,3697.0,901.0,689.0,98.0,80.0,34.0,646.0,462.0,125.0,0.0,45.0,0.25578998589342716,0.03381119789532053,,,0.289694346388964,0.35815223160373283,0.6478465779926967,0.10236224571030565,,,0.29583559081075256,11.537514104976582,67.56719363805159,9.483999180377912,4.530700568028131,13.70147778126362,-0.03405802029272915,-0.14915683844776162,4.4966425477354015,9.483999180377912,27.53296267092917,18.42872338719014,2.479341601025968,0.0,105.17162824414388,0.0,104.61170441415805,82.91704987202763,,102.38997255100567,107.58138366603585,115.7955682605674,,0.0,0.0,0.0,0.0,3.4281391283987017,112.0,383.951582364079,1007954.8964024885,18.0,,0.0
CLE,116991.15896358543,1884.0,26.182574645129712,1884.0,1884.0,707.0,2728.0,2856.0,648.0,495.0,111.0,33.0,9.0,318.0,221.0,128.0,438.0,0.0,0.23787429048914568,0.044817926630602245,0.15336134416631653,0.43444590831897767,0.27170868298599443,0.31272260076925773,0.5844312837552522,0.07484831028011206,0.27945686941001396,0.20133053191526615,0.26941971612327237,0.4932177158640988,48.95289459008648,-1.9137703928282852,-1.9222689075630253,11.850312040200462,-0.9346050697376206,0.3857964628654224,-2.856873977300646,-1.9137703928282852,7.465464132936954,3.403465976415449,0.6347394414954092,0.0,90.63065211929573,0.0,94.93941144147195,83.27702656703549,127.98821667532549,93.40682904459187,90.20170460885315,77.85444531476726,100.42757977832282,0.0,0.0,0.0,0.0,2.9387347875945378,113.0,332.07703081232495,1006840.0570728291,1018.0,,0.0
COL,116847.02646310432,1884.0,23.984836176550232,1884.0,1884.0,971.0,3682.0,3930.0,886.0,647.0,106.0,93.0,40.0,576.0,32.0,190.0,0.0,58.0,0.24083788497175573,0.04834605555572519,,,0.2885496178961832,0.3528408948496184,0.6413905127458016,0.11200300987786259,,,0.29424451448535194,6.417090012297569,60.86777597046372,8.162035176106276,6.719847328244275,13.31535125754148,-0.04328135900370037,-0.14495339321078313,6.676565969240574,8.162035176106276,28.008999009677545,23.936750838168834,2.5473482105450924,0.0,111.05368036387364,0.0,98.49666923588397,118.56167628372285,,101.98537812099627,105.98597002149343,126.70152052355081,,0.0,0.0,0.0,0.0,3.392102704656489,110.0,373.1312977099237,1006714.5117048346,1017.0,1089.0,0.0
COR,115856.32052821129,1884.0,26.829156371337806,1884.0,1884.0,791.0,3202.0,3332.0,842.0,673.0,95.0,53.0,21.0,599.0,0.0,130.0,0.0,0.0,0.2629270611437575,0.039015605809723894,,,0.29171668621668667,0.3451282296755702,0.6368449158922569,0.08220116853181272,,,0.2919193430214512,3.5210352718224955,43.178254754687785,2.843251311723874,-0.3292316926770708,9.697762259918333,-1.0312142325360796,4.454888705404572,-1.3604459252131504,2.843251311723874,15.635456351833628,16.32947427982062,1.3734077799354063,0.0,105.31968340956227,0.0,106.32975122091885,107.51331459297575,,106.23685616180998,107.59768472125796,111.86438283701075,,0.0,0.0,0.0,0.0,2.638416531635654,103.0,271.7569027611044,1005729.6971788716,1029.0,,0.0
CUN,115638.7951183432,1884.0,25.308196721311475,1884.0,1884.0,343.0,1301.0,1352.0,296.0,220.0,54.0,15.0,7.0,168.0,0.0,51.0,0.0,0.0,0.22816262260207096,0.037721892954142015,,,0.2566568041701183,0.30930077937130174,0.56595758354142,0.08113815676923077,,,0.2593431792844682,-1.8390894844347516,27.93496463282356,-0.5104602346507365,-0.5044378698224852,7.280936538374062,-0.1563174937598231,3.344664581398309,-0.6607553635823084,-0.5104602346507365,9.454385521539326,3.8217748553237825,0.8268299507739769,0.0,93.83266881627448,0.0,92.27074152677648,103.9482960741428,,93.46881161030755,96.4280660962357,110.41777134846855,,0.0,0.0,0.0,0.0,2.2177289692233733,92.0,204.0310650887574,1005519.8579881657,1030.0,,0.0
DET,117715.95664091702,1884.0,24.27906976744186,1884.0,1884.0,986.0,3813.0,4013.0,796.0,610.0,110.0,46.0,30.0,429.0,288.0,200.0,674.0,0.0,0.2096653918258161,0.04983802614801893,0.16795414842960382,0.37975231420632943,0.24819337110416148,0.2866650011176177,0.5348583722217792,0.07699960929180165,0.24373606888263144,0.22526787883877397,0.2471881235682575,-2.7698687654891825,49.5617773056799,-6.257446041846924,-0.06080239222526788,12.797162001931643,-0.7580489468524767,0.41662192677396354,-0.8188513390777445,-6.257446041846924,6.137486547780937,-1.6782382437426788,0.5399276466898627,0.0,78.03417567884185,0.0,83.68079147459142,92.60496724413983,140.1666897064743,85.3228374226169,82.6856507617337,80.09214701617499,87.59070247313133,0.0,0.0,0.0,0.0,3.145704093052579,114.0,358.6102666334413,1007553.058559681,1031.0,,0.0
