Throws,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,CFraming,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,K-BB%,SIERA,kwERA,RS/9,E-F,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xERA,pb_o_CH,pb_s_CH,pb_c_CH,pb_o_CU,pb_s_CU,pb_c_CU,pb_o_FF,pb_s_FF,pb_c_FF,pb_o_SI,pb_s_SI,pb_c_SI,pb_o_SL,pb_s_SL,pb_c_SL,pb_o_KC,pb_s_KC,pb_c_KC,pb_o_FC,pb_s_FC,pb_c_FC,pb_o_FS,pb_s_FS,pb_c_FS,pb_overall,pb_stuff,pb_command,pb_xRV100,pb_ERA,sp_s_CH,sp_l_CH,sp_p_CH,sp_s_CU,sp_l_CU,sp_p_CU,sp_s_FF,sp_l_FF,sp_p_FF,sp_s_SI,sp_l_SI,sp_p_SI,sp_s_SL,sp_l_SL,sp_p_SL,sp_s_KC,sp_l_KC,sp_p_KC,sp_s_FC,sp_l_FC,sp_p_FC,sp_s_FS,sp_l_FS,sp_p_FS,sp_s_FO,sp_l_FO,sp_p_FO,sp_stuff,sp_location,sp_pitching,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TIP,PlayerNameRoute,PlayerName,positionDB,position,TeamName,TeamNameAbb,teamid,playerTeamId,playerid,EV90
R,122558,Al Spalding,BSN,1871,20.0,20 - 20,1871,1871,19.0,10.0,3.3575132188165075,31.0,31.0,,22.0,1.0,0.0,,257.1,,333.0,272.0,96.0,2.0,38.0,,,,0.0,23.0,,,,,,,,,,,,0.8044042086747883,1.3290156491148677,0.60526316,11.64637397776976,0.06994819205867725,0.31454265504805085,1.4417099585427364,0.3202151713990017,0.26887561,3.945284878995431,,,,,,,,,,,,,,,56.66164779663086,3.037684202194214,,4.170654296875,0.47125524282455444,0.6617147326469421,1.1329699754714966,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.32919226667664,92.0416248845136,,,,,,4.118251338610279,,-0.5877716601789236,,,,,,,,,,,,,,114.91488891053008,84.54297878749725,135.92481152822072,93.89208088297373,37.20648641158032,95.81328660193851,92.84051075210606,96.7146271021616,110.39034608152913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.30107,31.0,257.33331298828125,Al Spalding,Al Spalding,P,P,BSN,BSN,16,,1012300,
R,111373,Asa Brainard,WSO,1871,,,1871,1871,12.0,15.0,4.5,30.0,30.0,,30.0,0.0,0.0,,264.0,,361.0,292.0,132.0,4.0,37.0,,,,0.0,13.0,,,,,,,,,,,,0.4431818181818182,1.2613636363636365,0.35135135,12.306818181818182,0.13636363636363635,0.3265549806418931,1.5075757575757576,0.3279803028075849,0.27013252,4.098939269961733,,,,,,,,,,,,,,,54.66795349121094,2.9193944931030273,,3.5961380004882812,0.4796057343482971,0.1971377730369568,0.6767435073852539,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.70680345007838,95.37484911210595,,,,,,4.20620277439644,,0.40106073003826737,,,,,,,,,,,,,,63.31168938987995,80.23941570848606,78.90347464988807,99.216526134652,72.53385161322296,99.47237822721519,97.08201188559497,99.0599306844351,110.90638503283421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.25,32.0,264.0,Asa Brainard,Asa Brainard,P,P,WSO,WSO,1057,,1001334,
R,124760,George Zettlein,CHI,1871,26.0,26 - 26,1871,1871,18.0,9.0,2.729916493647452,28.0,28.0,,25.0,0.0,0.0,,240.2,,298.0,233.0,73.0,6.0,25.0,,,,0.0,22.0,,,,,,,,,,,,0.8227145597293691,0.934902908783374,0.88,11.144042672697818,0.22437669810800975,0.30511525716259585,1.3421050646090213,0.30779606305224483,0.28607756,4.032908396277396,,,,,,,,,,,,,,,50.18567657470703,2.680647134780884,,5.135197639465332,1.132375955581665,1.3221746683120728,2.4545507431030273,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.83846911835739,94.30863330286317,,,,,,3.9900592047781807,,-1.3029919026299437,,,,,,,,,,,,,,117.53065339144497,59.47219420499904,197.62285670534249,89.84232843505376,119.34931159089624,92.94159349128037,86.4263432065322,92.96368230010755,117.45282703896382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.59524,28.0,240.6667022705078,George Zettlein,George Zettlein,P,P,CHI,CHI,17,,1014433,
R,118523,Dick McBride,PHN,1871,,,1871,1871,18.0,5.0,4.581081081081081,25.0,25.0,,25.0,0.0,0.0,,222.0,,285.0,223.0,113.0,3.0,40.0,,,,0.0,15.0,,,,,,,,,,,,0.6081081081081081,1.6216216216216217,0.375,11.554054054054054,0.12162162162162163,0.3128292939936776,1.4639639639639639,0.3157753292125773,0.31795511,4.161080957103421,,,,,,,,,,,,,,,49.59992218017578,2.6655757427215576,,4.603830337524414,1.1390100717544556,0.7992446422576904,1.938254714012146,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.35655632931625,94.78899503000522,,,,,,4.2695637323012425,,0.42000012397766007,,,,,,,,,,,,,,86.87258835201823,103.15658995393386,84.21428552784482,93.14780547492222,64.6923541415232,95.29137724840366,94.2735820972435,95.3736610274548,130.540567519422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,7.92857,28.0,222.0,Dick McBride,Dick McBride,P,P,PHN,PHN,1002,,1008341,
R,124521,Rynie Wolters,NYM,1871,28.0,28 - 28,1871,1871,16.0,16.0,3.4346289752650176,32.0,32.0,,31.0,1.0,0.0,,283.0,,345.0,283.0,108.0,7.0,39.0,,,,0.0,22.0,,,,,,,,,,,,0.6996466431095406,1.2402826855123674,0.56410256,10.97173144876325,0.2226148409893993,0.3018214266967613,1.3568904593639577,0.30339479022673826,0.26990914,4.159505176375696,,,,,,,,,,,,,,,41.218055725097656,2.1514198780059814,,4.73714017868042,0.7022541761398315,1.8834658861160278,2.5857200622558594,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99079978804491,101.71700145628118,,,,,,4.12669965902214,,-0.724876201110678,,,,,,,,,,,,,,99.9495221463503,78.89838832342397,126.68131837782761,88.45316993768883,118.41215351699297,91.93825509702353,87.37846508970716,91.63436533416235,110.81467431710476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.57576,33.0,283.0,Rynie Wolters,Rynie Wolters,P,P,NYM,NYM,1053,,1014201,
L,118836,John McMullin,TRO,1871,,,1871,1871,12.0,15.0,5.530120481927711,29.0,29.0,,28.0,0.0,0.0,,249.0,,430.0,362.0,153.0,4.0,75.0,,,,0.0,12.0,,,,,,,,,,,,0.43373493975903615,2.710843373493976,0.16,15.542168674698795,0.14457831325301204,0.37979826529350463,2.0281124497991967,0.38165887222491,0.28634361,4.596064133050452,,,,,,,,,,,,,,,40.11103820800781,2.1059539318084717,,-0.818074107170105,0.13946017622947693,-3.063488245010376,-2.924027919769287,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.10862291739647,106.47063471514883,,,,,,4.5803725069730765,,0.9340563488772595,,,,,,,,,,,,,,61.96213530649975,172.4455042904617,35.93142849188046,125.29964786353942,76.90336074654965,115.6908910746194,130.6025491371266,115.27247552387144,117.56205893629787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.58621,29.0,249.0,John McMullin,John McMullin,OF,OF,TRO,TRO,1080,,1008649,
R,118419,Bobby Mathews,FTW,1871,19.0,19 - 19,1871,1871,6.0,11.0,5.165680473372781,19.0,19.0,,19.0,1.0,0.0,,169.0,,261.0,243.0,97.0,5.0,21.0,,,,2.0,17.0,,,,,,,,,,,,0.9053254437869822,1.1183431952662721,0.80952381,13.899408284023668,0.26627218934911245,0.3538599202798341,1.668639053254438,0.3577517538220744,0.14181818,4.136212893773819,,,,,,,,,,,,,,,36.27228546142578,1.9428653717041016,,-0.3645353317260742,-1.265608787536621,-1.0417919158935547,-2.307400703430176,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.92866045330955,95.22738636960362,,,,,,4.017395708118353,,1.029467579598962,,,,,,,,,,,,,,129.33220845779755,71.1414234268106,181.7959178472387,112.0558526902926,141.6341481204946,107.7897748193531,107.45386133119406,108.05180564956241,58.22528128534103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.89474,19.0,169.0,Bobby Mathews,Bobby Mathews,P,P,FTW,FTW,1042,,1008234,
R,114181,Cherokee Fisher,ROC,1871,,,1871,1871,4.0,16.0,4.352112676056338,24.0,24.0,,22.0,1.0,0.0,,213.0,,295.0,257.0,103.0,3.0,31.0,,,,0.0,15.0,,,,,,,,,,,,0.6338028169014085,1.3098591549295775,0.48387097,12.464788732394366,0.1267605633802817,0.3293660540830226,1.5305164319248827,0.33270286899254836,0.21441889,4.058873115458959,,,,,,,,,,,,,,,34.32019805908203,1.8016295433044434,,1.1473912000656128,-0.5711878538131714,-0.08305050432682037,-0.6542383432388306,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.98875915902231,98.84737586810918,,,,,,4.161315322165697,,0.293239560597379,,,,,,,,,,,,,,90.54326109928662,83.32437230786066,108.66359406285969,100.49007133766008,67.42583389398192,100.32866331590338,98.5593020374389,100.48628792275254,88.03243892838002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,8.52,25.0,213.0,Cherokee Fisher,Cherokee Fisher,P/OF,P/OF,ROC,ROC,1069,,1004078,
R,120742,Al Pratt,CLE,1871,22.0,22 - 22,1871,1871,10.0,17.0,3.765578038268358,28.0,28.0,,22.0,0.0,0.0,,224.2,,296.0,288.0,94.0,9.0,47.0,,,,0.0,34.0,,,,,,,,,,,,1.3620175883098316,1.882789019134179,0.72340426,11.857564886462063,0.3605340674937789,0.31843019065870637,1.5267059895106936,0.3237231180036119,0.16646489,4.425697071378117,,,,,,,,,,,,,,,32.64468765258789,1.70551598072052,,0.6400225162506104,-1.4381893873214722,0.3726959526538849,-1.0654934644699097,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83624699159957,105.58485436981393,,,,,,4.113863979466505,,-0.6601190331097593,,,,,,,,,,,,,,194.57394450069333,119.7702918035662,162.455926620341,95.59468410682139,191.77344672277349,96.99747436681282,98.31392437473454,97.77413264113068,68.344305604996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,7.74713,29.0,224.6667022705078,Al Pratt,Al Pratt,P,P,CLE,CLE,1020,,1010511,
,110756,George Bechtel,PHN,1871,,,1871,1871,1.0,2.0,7.961538461538462,3.0,3.0,,2.0,0.0,0.0,,26.0,,43.0,42.0,23.0,0.0,11.0,,,,0.0,1.0,,,,,,,,,,,,0.34615384615384615,3.8076923076923075,0.09090909,14.884615384615385,0.0,0.3696698762035764,2.076923076923077,0.37287547693374956,0.22222222,4.772307568330032,,,,,,,,,,,,,,,4.21518087387085,0.22138242423534393,,-0.23325690627098083,-0.20296162366867065,-0.2516777217388153,-0.45463934540748596,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3630281203161,108.71267443132994,,,,,,4.896626655747596,,3.18923089320843,,,,,,,,,,,,,,49.4505502926873,242.21960833414084,20.415584166230783,119.9985089154666,0.0,112.60566803375396,133.74576357180536,112.61962557749278,91.23619618138737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.92857,28.0,26.0,George Bechtel,George Bechtel,OF,OF,PHN,PHN,1002,,1000737,
