,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1949,Browns,P,1244,155,1341.1,2896,1581,145,,,398,,,,,,,6,,0.969,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1949,Red Sox,SS,1070,155,1377.0,3049,1702,98,,,553,,,,,,,4,,0.98,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1949,White Sox,2B,1165,154,1363.1,3033,1807,110,,,483,,,,,,,7,,0.978,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1949,Indians,3B,1161,154,1383.2,3102,1784,88,,,508,,,,,,,5,,0.982,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1949,Tigers,C,1176,155,1393.2,3062,1682,113,,,446,,,,,,,10,,0.977,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1949,Senators,P,1197,154,1345.2,2932,1713,134,,,406,,,,,,,6,,0.972,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1949,Yankees,C,1191,155,1371.1,3091,1587,113,,,501,,,,,,,5,,0.976,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1949,Athletics,SS,1081,154,1365.0,2914,1674,116,,,576,,,,,,,10,,0.975,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1949,Braves,P,1168,157,1400.0,3062,1688,121,,,380,,,,,,,8,,0.975,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1949,Cubs,3B,1174,154,1357.2,3057,1838,161,,,396,,,,,,,20,,0.968,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1949,Reds,1B,1222,156,1401.2,3019,1673,104,,,392,,,,,,,19,,0.978,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1949,Dodgers,3B,1163,156,1408.2,3146,1577,92,,,419,,,,,,,11,,0.981,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1949,Phillies,C,1142,154,1391.2,2973,1608,125,,,373,,,,,,,18,,0.973,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1949,Pirates,P,1195,154,1356.0,3003,1690,108,,,450,,,,,,,13,,0.978,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1949,Cardinals,1B,1215,157,1407.2,3138,1789,129,,,389,,,,,,,8,,0.974,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1949,Giants,C,1242,156,1374.1,2934,1639,136,,,334,,,,,,,11,,0.971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
