,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1942,Browns,P,1098,151,1363.0,3072,1722,139,,,378,,,,,,,22,,0.972,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1942,Red Sox,1B,1052,152,1358.2,3008,1728,138,,,406,,,,,,,11,,0.972,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1942,White Sox,C,988,148,1314.1,2897,1683,144,,,364,,,,,,,11,,0.97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1942,Indians,P,1185,156,1402.2,3069,1782,142,,,461,,,,,,,9,,0.972,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1942,Tigers,C,1097,156,1399.1,3208,1769,166,,,345,,,,,,,11,,0.968,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1942,Senators,2B,1063,151,1346.2,2976,1608,179,,,326,,,,,,,19,,0.962,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1942,Yankees,P,1054,154,1375.0,3088,1725,125,,,496,,,,,,,4,,0.975,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1942,Athletics,P,1113,154,1374.2,3026,1644,154,,,326,,,,,,,23,,0.968,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1942,Braves,P,1150,150,1334.0,2956,1757,123,,,308,,,,,,,14,,0.975,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1942,Cubs,P,1148,155,1400.2,3159,1821,148,,,361,,,,,,,10,,0.971,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1942,Reds,P,1067,154,1411.2,3193,1765,154,,,423,,,,,,,13,,0.97,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1942,Dodgers,1B,1157,155,1398.2,3173,1646,119,,,399,,,,,,,5,,0.976,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1942,Phillies,P,1179,151,1341.0,3035,1762,170,,,384,,,,,,,9,,0.966,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1942,Pirates,P,1132,151,1351.1,2939,1663,155,,,309,,,,,,,8,,0.967,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1942,Cardinals,2B,1160,156,1410.1,3165,1660,149,,,365,,,,,,,12,,0.97,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1942,Giants,P,1107,154,1370.0,3144,1772,119,,,323,,,,,,,5,,0.976,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
