,teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
0,7,2024,Royals,2234,1458,12853.0,4284,1423,85,44,41,295,125,89,125,18,58,28,7,40,0.985,,5,2,1,4,24,47,1891,1534,0.811,625,,,0.7,0.4,10.6,16.2,27.9,3.4,,,37.4,,,,,,,,,,,,,2,1,-1,-2.0,36,27
1,14,2024,Blue Jays,2269,1459,12847.0,4282,1355,92,45,45,317,125,94,125,29,120,37,11,31,0.984,,6,6,8,9,50,104,1964,1606,0.818,644,,,0.7,3.3,19.4,4.7,28.1,3.8,,,36.4,,,,,,,,,,,,,5,-3,27,4.1,26,24
2,23,2024,Brewers,2179,1458,13014.0,4338,1348,89,45,44,287,114,93,114,28,112,29,9,40,0.985,,-1,0,1,12,30,62,1947,1598,0.821,624,,,1.4,3.2,18.3,-8.3,14.6,2.8,,,29.9,,,,,,,,,,,,,2,6,12,2.2,32,27
3,17,2024,Cubs,2171,1458,12891.0,4297,1349,76,45,30,234,91,77,91,16,118,31,7,40,0.987,,-2,-4,6,10,7,34,2015,1655,0.821,597,,,8.8,-4.1,16.2,-3.6,17.4,3.7,,,24.9,,,,,,,,,,,,,-8,3,19,-11.7,22,18
4,15,2024,Diamondbacks,2198,1458,12990.0,4330,1456,62,33,28,352,138,111,138,22,109,25,7,49,0.989,,-3,6,-11,1,17,14,2062,1703,0.826,612,,,-9.7,1.6,8.7,26.7,27.3,0.9,,,20.2,,,,,,,,,,,,,3,2,-1,-0.7,34,28
5,6,2024,Tigers,2252,1458,13023.0,4341,1409,80,47,33,306,129,93,129,25,96,33,7,40,0.986,,1,-1,-9,9,12,49,1998,1606,0.804,665,,,-4.2,-0.6,4.7,-7.2,-7.3,-1.8,,,17.5,,,,,,,,,,,,,11,-3,33,15.4,22,18
6,13,2024,Rangers,2100,1458,12849.0,4283,1366,73,38,35,241,106,73,107,15,140,20,2,55,0.987,,-7,-5,16,-2,25,33,1970,1640,0.832,573,,,16.9,-1.4,5.8,6.4,27.7,5.8,,,17.2,,,,,,,,,,,,,-1,6,9,1.6,25,19
7,5,2024,Guardians,2300,1449,12852.0,4284,1377,87,49,38,327,132,109,130,19,98,24,7,45,0.985,,-3,6,11,10,10,84,1862,1549,0.832,569,,,9.6,5.0,3.2,5.5,23.3,5.5,,,16.8,,,,,,,,,,,,,19,-2,28,16.1,10,5
8,26,2024,Phillies,2165,1458,12984.0,4328,1467,85,44,40,283,123,86,123,16,110,31,7,48,0.986,,1,-12,7,-1,13,3,2027,1639,0.809,533,,,-0.8,-9.0,-13.8,13.1,-10.4,-1.7,,,15.7,,,,,,,,,,,,,-9,1,-3,-10.2,9,7
9,9,2024,Yankees,2124,1458,13074.0,4358,1320,93,46,45,247,115,73,113,20,122,36,10,39,0.984,,2,-9,11,5,-22,31,1963,1621,0.826,574,,,15.5,-6.5,-21.9,13.1,0.1,2.5,,,14.8,,,,,,,,,,,,,18,0,31,20.1,9,5
10,19,2024,Rockies,2100,1458,12840.0,4280,1564,82,40,40,410,165,131,165,21,141,40,6,59,0.986,,4,8,-6,-6,13,17,2116,1683,0.795,697,,,-6.1,3.9,4.9,15.6,18.3,1.3,,,7.4,,,,,,,,,,,,,-8,1,13,-10.6,9,6
11,25,2024,Mets,2257,1458,12981.0,4327,1408,94,42,52,314,128,100,127,39,140,35,14,67,0.984,,-1,-4,-6,-5,5,19,1922,1571,0.817,555,,,-6.5,-3.2,-0.3,10.4,0.5,-1.8,,,4.9,,,,,,,,,,,,,5,1,25,4.6,8,6
12,28,2024,Cardinals,2173,1458,12996.0,4332,1525,75,40,33,385,155,112,155,17,153,29,8,43,0.987,,-5,12,-6,2,6,29,2005,1627,0.811,643,,,-6.4,2.4,8.1,-9.3,-5.2,-1.6,,,3.6,,,,,,,,,,,,,-6,-1,33,-4.5,15,12
13,16,2024,Braves,2069,1458,12990.0,4330,1436,68,37,31,327,133,100,133,25,129,33,4,34,0.988,,-3,-3,-2,8,15,38,1882,1536,0.816,583,,,0.6,-1.6,0.9,4.1,4.1,0.6,,,2.8,,,,,,,,,,,,,-2,0,24,0.2,1,0
14,21,2024,Astros,2173,1449,12888.0,4296,1312,84,41,42,320,132,96,132,18,135,37,2,49,0.985,,1,2,-3,1,-10,0,1939,1556,0.802,572,,,0.1,1.2,9.6,-1.2,9.7,1.5,,,1.9,,,,,,,,,,,,,-3,-2,19,-0.7,-3,0
15,8,2024,Twins,2294,1458,12963.0,4321,1230,70,35,35,191,75,56,75,18,112,22,4,47,0.988,,1,-4,-3,5,-46,-19,1872,1508,0.806,573,,,-5.1,-4.6,-21.0,0.2,-30.5,-6.2,,,0.3,,,,,,,,,,,,,3,-1,27,4.4,0,-2
16,12,2024,Rays,2222,1458,12966.0,4322,1265,90,48,41,261,109,80,109,21,119,28,12,30,0.984,,-1,5,-7,-9,6,-5,1951,1574,0.807,649,,,-6.1,4.1,6.5,-10.3,-5.8,-0.9,,,-0.4,,,,,,,,,,,,,6,-2,1,5.8,6,7
17,22,2024,Dodgers,2308,1458,13011.0,4337,1366,88,49,37,283,119,88,119,24,115,38,6,64,0.985,,6,1,4,-2,7,65,1935,1581,0.817,598,,,7.3,2.1,5.3,-18.5,-3.7,0.7,,,-3.3,,,,,,,,,,,,,-4,-3,51,-8.3,-4,-4
18,2,2024,Orioles,2224,1458,12978.0,4326,1336,81,42,39,244,100,73,100,16,121,31,3,46,0.986,,0,-5,-7,-3,4,1,1969,1590,0.808,589,,,-5.9,-1.5,-1.8,18.7,9.4,-0.4,,,-6.0,,,,,,,,,,,,,-4,0,15,-4.0,-9,-5
19,29,2024,Padres,2216,1458,12954.0,4318,1297,75,45,30,287,120,91,118,23,101,23,16,63,0.987,,0,-1,-1,-8,-6,-4,1913,1567,0.819,517,,,2.3,-2.0,-2.1,-4.9,-6.7,-0.9,,,-6.0,,,,,,,,,,,,,-5,-3,18,-5.3,3,2
20,3,2024,Red Sox,2337,1458,13081.2,4369,1449,115,66,46,286,117,86,117,36,99,27,8,49,0.981,,0,-2,23,-6,19,49,2033,1642,0.808,630,,,3.5,-3.5,14.0,-21.7,-7.7,-1.0,,,-8.9,,,,,,,,,,,,,-4,-6,22,-12.3,-18,-11
21,30,2024,Giants,2223,1458,12903.0,4301,1558,87,45,40,345,135,106,135,17,146,37,15,53,0.985,,0,-4,-1,-4,-6,-5,1995,1574,0.789,618,,,-1.6,0.0,-15.7,15.7,-1.6,-0.5,,,-12.7,,,,,,,,,,,,,17,2,-1,20.8,-8,-9
22,11,2024,Mariners,2234,1458,12897.0,4299,1293,79,36,41,234,96,70,96,26,116,40,5,37,0.986,,1,0,-1,1,9,38,1884,1577,0.837,616,,,1.7,2.4,6.1,-13.6,-3.5,0.0,,,-13.1,,,,,,,,,,,,,8,3,28,9.7,-17,-13
23,20,2024,Marlins,2288,1458,12936.0,4312,1432,117,49,67,291,124,90,124,12,139,45,5,46,0.98,,0,-2,4,-6,-28,-27,2078,1662,0.8,607,,,7.7,0.6,-21.3,-15.7,-28.7,-2.8,,,-16.3,,,,,,,,,,,,,-5,3,8,0.9,-36,-28
24,18,2024,Reds,2224,1458,12852.0,4284,1213,96,46,48,243,100,77,100,19,123,37,7,43,0.983,,-1,-6,-6,1,-28,-30,1902,1530,0.804,613,,,-3.7,-4.4,-4.7,-13.1,-25.9,-5.1,,,-17.9,,,,,,,,,,,,,-8,-3,21,-3.0,-17,-14
