,teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
0,1,2001,Angels,2026,1458,12939.0,4313,1689,103,,,379,,,,,109,59,16,46,0.983,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2001,Orioles,1986,1457,12891.0,4297,1598,125,,,371,,,,,157,51,14,37,0.979,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2001,Red Sox,2034,1449,13032.0,4344,1559,113,,,342,,,,,223,51,23,54,0.981,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,2001,White Sox,2085,1458,12900.0,4300,1734,118,,,404,,,,,107,40,13,57,0.981,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,2001,Indians,2198,1456,13020.0,4340,1611,107,,,375,,,,,128,60,12,58,0.982,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,2001,Tigers,2038,1457,12864.0,4288,1775,131,,,447,,,,,104,50,30,40,0.979,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,2001,Royals,2005,1460,12960.0,4320,1803,117,,,557,,,,,105,45,10,73,0.981,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,2001,Twins,2000,1458,12972.0,4324,1542,108,,,313,,,,,73,43,4,58,0.982,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,2001,Yankees,1980,1448,13062.0,4354,1528,109,,,348,,,,,146,45,21,54,0.982,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2001,Athletics,2019,1458,13170.0,4390,1754,125,,,395,,,,,124,55,4,42,0.98,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,2001,Mariners,2127,1458,13185.0,4395,1535,83,,,372,,,,,73,29,6,40,0.986,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2001,Devil Rays,1931,1458,12813.0,4271,1533,139,,,390,,,,,113,44,8,75,0.977,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2001,Rangers,2028,1457,12945.0,4315,1639,114,,,468,,,,,79,66,2,70,0.981,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,2001,Blue Jays,2086,1458,13164.0,4388,1834,97,,,496,,,,,112,47,10,33,0.985,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,2001,Diamondbacks,2109,1458,13137.0,4379,1558,84,,,397,,,,,107,55,12,45,0.986,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,2001,Braves,2066,1458,13026.0,4342,1636,103,,,353,,,,,102,50,9,41,0.983,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,2001,Cubs,2257,1458,12933.0,4311,1491,109,,,307,,,,,106,46,13,48,0.982,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2001,Reds,2200,1458,12984.0,4328,1734,138,,,364,,,,,75,62,21,53,0.978,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,2001,Rockies,2140,1458,12870.0,4290,1697,96,,,450,,,,,100,36,14,38,0.984,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2001,Marlins,2034,1458,12942.0,4314,1668,103,,,469,,,,,75,51,10,40,0.983,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2001,Astros,2109,1458,13092.0,4364,1665,110,,,379,,,,,66,49,4,42,0.982,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2001,Dodgers,2067,1458,13056.0,4352,1586,116,,,361,,,,,82,51,9,44,0.981,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,2001,Brewers,2118,1457,12927.0,4309,1730,103,,,412,,,,,93,47,11,58,0.983,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,2001,Expos,2111,1456,12882.0,4294,1622,108,,,374,,,,,128,33,12,55,0.982,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,2001,Mets,2133,1457,13011.0,4337,1577,101,,,346,,,,,131,40,11,53,0.983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,2001,Phillies,2024,1458,13008.0,4336,1603,91,,,392,,,,,57,32,9,40,0.985,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
