,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1924,Browns,1B,1153,153,1353.1,2902,1731,148,,,349,,,,,,,6,,0.969,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1924,Red Sox,P,1157,157,1391.1,3220,1941,177,,,330,,,,,,,22,,0.967,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1924,White Sox,2B,1088,154,1370.2,2981,1845,193,,,316,,,,,,,17,,0.962,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1924,Indians,C,1112,153,1349.0,3010,1890,160,,,301,,,,,,,14,,0.968,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1924,Tigers,P,1175,156,1394.2,3142,1981,158,,,332,,,,,,,4,,0.97,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1924,Senators,2B,1101,156,1383.0,3029,1721,134,,,367,,,,,,,5,,0.973,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1924,Yankees,P,1104,153,1359.1,3075,1770,116,,,316,,,,,,,20,,0.977,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1924,Athletics,C,1100,152,1345.0,3069,1880,156,,,382,,,,,,,12,,0.969,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1924,Braves,P,1093,154,1379.1,3028,1969,128,,,419,,,,,,,18,,0.975,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1924,Cubs,1B,1074,154,1380.2,3056,1932,180,,,383,,,,,,,13,,0.965,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1924,Reds,P,1082,153,1378.0,3176,2039,177,,,351,,,,,,,10,,0.967,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1924,Robins,P,1042,154,1376.0,3115,1816,162,,,302,,,,,,,9,,0.968,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1924,Phillies,C,1145,152,1354.1,3056,2003,145,,,435,,,,,,,11,,0.972,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1924,Pirates,SS,1045,153,1382.0,3035,1985,134,,,418,,,,,,,12,,0.974,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1924,Cardinals,P,1121,154,1364.2,2974,1819,150,,,393,,,,,,,12,,0.97,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1924,Giants,P,1156,154,1378.2,3131,1994,139,,,405,,,,,,,5,,0.974,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
