,teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
0,16,2005,Braves,2110,1458,12993.0,4332,1802,86,50,34,405,171,124,171,23,89,36,8,42,0.986,,0,2,24,3,30,57,2769,2078,0.75,388,,,27.0,2.7,20.0,9.3,59.0,12.5,,,59.0,,,,,,,,,,,,,0,1,,,,
1,26,2005,Phillies,2076,1458,12915.0,4305,1608,90,47,41,311,136,92,133,19,82,26,12,36,0.985,,-3,0,19,2,89,97,2488,1848,0.743,395,,,10.9,-1.1,43.3,1.6,54.7,10.0,,,51.7,,,,,,,,,,,,,0,-6,,,,
2,24,2005,Nationals,2152,1458,13122.0,4374,1546,92,52,38,349,158,111,158,22,76,41,7,49,0.985,,4,2,4,-10,-8,-6,2701,2017,0.747,349,,,7.2,4.3,22.0,4.2,37.7,6.6,,,41.7,,,,,,,,,,,,,0,1,,,,
3,8,2005,Twins,2029,1458,13179.0,4393,1765,102,59,41,395,175,124,171,22,44,36,9,35,0.984,,3,10,2,-1,19,45,2729,2068,0.758,380,,,-0.2,4.0,28.2,-0.1,31.9,4.6,,,34.9,,,,,,,,,,,,,0,-1,,,,
4,5,2005,Indians,1959,1458,13074.0,4358,1641,106,61,45,389,158,126,157,18,103,33,6,26,0.983,,-1,12,-10,-2,40,33,2718,2098,0.772,338,,,-11.8,5.3,46.9,-4.5,35.9,3.1,,,34.9,,,,,,,,,,,,,0,-2,,,,
5,1,2005,Angels,2033,1458,13179.0,4393,1520,87,40,45,318,143,96,139,29,68,42,13,70,0.986,,6,3,0,-2,23,31,2640,1975,0.748,404,,,0.6,-1.9,21.7,6.6,27.0,3.6,,,33.0,,,,,,,,,,,,,0,4,,,,
6,14,2005,Blue Jays,2091,1458,13023.0,4341,1755,95,45,47,383,156,119,155,31,100,35,6,39,0.985,,-3,3,12,14,23,55,2713,2076,0.765,367,,,9.6,0.7,20.0,3.5,33.8,6.5,,,30.8,,,,,,,,,,,,,0,6,,,,
7,4,2005,White Sox,1993,1458,13281.0,4427,1671,94,55,35,399,171,122,168,21,103,25,9,65,0.985,,-3,5,-5,4,42,39,2635,1970,0.748,427,,,-7.2,3.4,33.5,3.3,33.1,3.2,,,30.1,,,,,,,,,,,,,0,-4,,,,
8,10,2005,Athletics,1988,1458,13053.0,4351,1649,88,51,34,390,168,122,166,26,109,25,5,41,0.986,,-4,4,3,3,37,37,2679,2035,0.76,323,,,-2.6,-2.8,36.7,2.7,34.0,3.9,,,30.0,,,,,,,,,,,,,0,-2,,,,
9,21,2005,Astros,2160,1467,12987.0,4329,1697,89,50,38,351,148,120,146,28,53,31,6,38,0.985,,0,0,7,9,42,62,2513,1882,0.749,402,,,2.1,-0.1,19.9,1.5,23.5,3.7,,,23.5,,,,,,,,,,,,,0,-1,,,,
10,17,2005,Cubs,2112,1458,12960.0,4320,1657,101,58,41,334,139,105,137,26,90,40,6,57,0.983,,3,-3,-6,-2,17,8,2478,1855,0.749,357,,,-5.0,0.5,27.1,-3.1,19.5,1.8,,,22.5,,,,,,,,,,,,,0,0,,,,
11,6,2005,Tigers,2055,1458,12921.0,4307,1789,110,50,59,418,178,140,172,28,60,49,4,53,0.982,,10,1,-6,5,20,39,2771,2070,0.747,430,,,-7.5,0.5,13.6,4.9,11.5,0.2,,,21.5,,,,,,,,,,,,,0,1,,,,
12,30,2005,Giants,2171,1458,12999.0,4333,1630,90,64,24,337,147,109,147,17,78,54,5,38,0.985,,4,-4,-8,0,-3,-8,2709,2037,0.752,372,,,-11.4,-7.9,32.9,1.1,14.7,-1.0,,,18.7,,,,,,,,,,,,,0,-7,,,,
13,28,2005,Cardinals,2206,1458,13011.0,4337,1950,100,58,40,500,200,151,198,47,32,33,12,41,0.984,,10,10,3,10,33,81,2767,2086,0.754,379,,,8.3,7.4,-14.7,3.6,4.5,2.7,,,14.5,,,,,,,,,,,,,0,2,,,,
14,11,2005,Mariners,1994,1458,12849.0,4283,1572,86,44,40,338,147,111,146,17,89,43,14,36,0.986,,-1,-1,-12,1,12,3,2743,2097,0.764,362,,,-6.6,-3.0,19.6,3.0,13.0,0.4,,,12.0,,,,,,,,,,,,,0,0,,,,
15,23,2005,Brewers,2001,1458,12942.0,4314,1483,119,61,55,302,144,89,140,22,86,34,8,66,0.98,,-4,-5,-1,-2,-2,-11,2604,1908,0.733,363,,,-2.2,-1.0,23.7,-14.4,6.2,0.3,,,2.2,,,,,,,,,,,,,0,0,,,,
16,12,2005,Devil Rays,2057,1458,12795.0,4265,1445,124,69,53,283,144,96,140,23,68,45,13,53,0.979,,4,-4,6,-2,-29,-19,2748,2026,0.737,358,,,-9.5,-3.1,18.9,-11.0,-4.8,-2.4,,,-0.8,,,,,,,,,,,,,0,5,,,,
17,2,2005,Orioles,2119,1458,12849.0,4283,1679,107,54,51,362,157,120,154,21,115,34,13,70,0.982,,-4,2,-4,4,16,5,2681,2028,0.756,357,,,-4.2,0.1,7.8,-2.2,1.4,-0.6,,,-2.6,,,,,,,,,,,,,0,-1,,,,
18,22,2005,Dodgers,2155,1458,12846.0,4282,1727,106,63,41,345,142,109,141,16,130,34,9,36,0.983,,-5,-5,5,0,20,12,2659,2024,0.761,357,,,6.2,-1.3,0.0,-5.0,-0.2,1.1,,,-5.2,,,,,,,,,,,,,0,0,,,,
19,19,2005,Rockies,2099,1458,12768.0,4256,1702,118,51,66,368,160,114,158,25,102,37,14,65,0.981,,0,-5,-7,0,-13,-31,2705,1970,0.728,420,,,-1.3,-5.1,0.9,-0.6,-6.0,-1.3,,,-6.0,,,,,,,,,,,,,0,0,,,,
20,27,2005,Pirates,2115,1458,12924.0,4308,1801,117,64,51,477,200,156,193,26,64,36,16,53,0.981,,-1,10,-11,3,19,23,2724,2024,0.743,332,,,-16.8,8.0,0.7,-2.7,-10.8,-3.7,,,-11.8,,,,,,,,,,,,,0,2,,,,
21,29,2005,Padres,2182,1458,13098.0,4366,1523,109,53,56,336,139,116,137,22,94,25,12,36,0.982,,-1,0,-13,-7,-21,-47,2648,1910,0.721,418,,,-5.6,0.3,-9.1,-1.0,-15.4,-2.9,,,-16.4,,,,,,,,,,,,,0,7,,,,
22,3,2005,Red Sox,2155,1458,12861.0,4287,1623,109,56,51,350,139,113,135,14,87,29,13,56,0.982,,-7,1,8,-4,-28,-35,2763,2037,0.737,404,,,1.0,0.8,-14.0,0.5,-11.8,-1.3,,,-18.8,,,,,,,,,,,,,0,-8,,,,
23,25,2005,Mets,2029,1458,12921.0,4307,1657,106,61,42,364,152,117,146,40,107,25,5,32,0.983,,-9,4,8,1,-14,-18,2681,1993,0.743,353,,,17.8,-0.4,-24.0,-7.7,-14.4,1.1,,,-23.4,,,,,,,,,,,,,0,-1,,,,
24,20,2005,Marlins,2102,1458,12981.0,4327,1660,103,54,49,427,179,133,178,21,118,38,9,45,0.983,,-1,-1,1,-5,-69,-74,2587,1871,0.723,326,,,7.8,5.1,-50.8,2.1,-35.7,-3.2,,,-36.7,,,,,,,,,,,,,0,3,,,,
25,13,2005,Rangers,2009,1458,12960.0,4320,1675,108,61,45,357,149,107,149,21,69,26,11,44,0.982,,-3,-3,2,-7,-22,-42,2798,2085,0.745,388,,,1.8,-6.3,-34.6,3.5,-35.6,-4.8,,,-38.6,,,,,,,,,,,,,0,-3,,,,
26,15,2005,Diamondbacks,2129,1458,13107.0,4369,1792,94,44,50,409,162,135,160,26,78,28,11,58,0.985,,-1,1,-15,0,1,-12,2794,2024,0.724,347,,,-5.5,-2.2,-44.9,8.6,-44.0,-6.8,,,-45.0,,,,,,,,,,,,,0,5,,,,
27,18,2005,Reds,2114,1467,12897.0,4299,1587,104,51,52,337,133,100,133,24,76,35,9,53,0.983,,1,-5,14,0,-56,-44,2840,2051,0.722,341,,,1.0,-3.9,-47.0,3.3,-46.6,-6.1,,,-45.6,,,,,,,,,,,,,0,0,,,,
28,7,2005,Royals,2039,1458,12720.0,4240,1643,125,73,51,388,172,122,164,25,70,44,5,69,0.979,,2,5,-7,-7,-110,-112,2747,1993,0.726,373,,,0.1,1.1,-62.2,-12.5,-73.6,-9.4,,,-71.6,,,,,,,,,,,,,0,-1,,,,
29,9,2005,Yankees,2088,1458,12876.0,4292,1688,95,53,40,352,155,107,151,24,125,50,11,37,0.984,,-2,-3,-7,6,-104,-120,2841,2040,0.718,328,,,-4.0,-4.2,-136.0,2.4,-141.7,-19.2,,,-143.7,,,,,,,,,,,,,0,-2,,,,
