,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1965,Angels,RF,1951,1458,12975.0,4324,1867,123,,,391,,,,,57,29,20,52,0.981,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1965,Orioles,P,1901,1458,13299.0,4419,1770,126,,,405,,,,,71,41,12,35,0.98,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1965,Red Sox,P,1827,1458,12954.0,4310,1644,162,,,353,,,,,99,35,14,45,0.974,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1965,White Sox,P,2061,1458,13335.0,4445,1936,127,,,429,,,,,80,38,45,64,0.98,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1965,Indians,C,1919,1458,13125.0,4363,1574,113,,,328,,,,,51,39,24,50,0.981,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1965,Tigers,1B,1839,1458,13095.0,4353,1590,116,,,337,,,,,50,32,22,48,0.981,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,1965,Twins,P,1979,1458,13116.0,4368,1770,172,,,418,,,,,53,36,16,44,0.973,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,1965,Yankees,P,2002,1458,13137.0,4372,1811,137,,,450,,,,,69,34,20,39,0.978,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,1965,Athletics,P,1994,1458,12897.0,4301,1622,139,,,373,,,,,97,26,20,68,0.977,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,1965,Senators,LF,2086,1458,12921.0,4293,1647,143,,,389,,,,,74,48,18,52,0.976,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,1965,Braves,P,2017,1458,13035.0,4339,1744,140,,,382,,,,,80,49,28,61,0.978,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,1965,Cubs,CF,1957,1476,13248.0,4412,2002,171,,,424,,,,,77,49,14,51,0.974,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,1965,Reds,P,1822,1458,13116.0,4377,1542,117,,,362,,,,,91,47,15,83,0.981,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,1965,Astros,P,1820,1458,13152.0,4386,1762,166,,,342,,,,,70,40,25,53,0.974,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,1965,Dodgers,P,1869,1458,13284.0,4423,1814,134,,,358,,,,,53,34,9,52,0.979,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,25,1965,Mets,P,2092,1476,13092.0,4377,1944,171,,,414,,,,,93,52,19,53,0.974,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,26,1965,Phillies,1B,2001,1458,13218.0,4409,1767,156,,,416,,,,,73,56,21,42,0.975,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,27,1965,Pirates,P,1936,1467,13311.0,4434,1977,152,,,525,,,,,50,31,12,44,0.977,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28,1965,Cardinals,P,1887,1458,13152.0,4376,1747,129,,,393,,,,,84,31,23,48,0.979,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30,1965,Giants,P,1967,1467,13188.0,4396,1705,148,,,318,,,,,65,30,26,49,0.976,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
