,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,16,1881,Red Caps,SS,518,83,730.2,1711,984,268,,,112,,,,,,,132,,0.91,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,1881,White Stockings,P,528,84,744.2,1810,1061,225,,,121,,,,,,,67,,0.927,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1015,1881,Bisons,1B,522,83,742.1,1790,1039,303,,,127,,,,,,,106,,0.903,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1018,1881,Blues,C,518,85,760.0,1802,956,265,,,153,,,,,,,93,,0.912,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1031,1881,Wolverines,SS,509,84,744.2,1809,970,271,,,201,,,,,,,49,,0.911,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1064,1881,Grays,2B,524,85,757.2,1823,1020,305,,,161,,,,,,,81,,0.903,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1081,1881,Trojans,1B,514,85,770.0,1836,1044,257,,,174,,,,,,,61,,0.918,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1089,1881,Ruby Legs,C,502,83,737.1,1758,1016,269,,,123,,,,,,,76,,0.912,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
