,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1912,Browns,C,1075,157,1369.2,3121,1915,277,,,295,,,,,,,15,,0.948,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1912,Red Sox,1B,1025,154,1362.0,3206,1798,221,,,191,,,,,,,20,,0.958,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1912,White Sox,1B,1116,158,1413.0,3444,2069,259,,,232,,,,,,,21,,0.955,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1912,Naps,P,1050,155,1352.2,3158,1838,241,,,258,,,,,,,23,,0.954,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1912,Tigers,P,1026,154,1367.1,3318,2217,290,,,206,,,,,,,28,,0.95,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1912,Senators,P,1037,154,1376.2,3337,1949,238,,,213,,,,,,,22,,0.957,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1912,Highlanders,SS,1013,153,1335.0,3142,1882,321,,,173,,,,,,,27,,0.94,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1912,Athletics,3B,1031,153,1357.0,3200,1971,225,,,271,,,,,,,17,,0.958,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1912,Braves,P,1069,153,1390.2,3207,1909,230,,,293,,,,,,,21,,0.957,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1912,Cubs,C,1064,152,1358.2,3104,1914,210,,,293,,,,,,,11,,0.96,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1912,Reds,1B,1071,155,1377.2,3085,1826,200,,,233,,,,,,,6,,0.961,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1912,Dodgers,P,1054,153,1357.0,3096,1881,210,,,219,,,,,,,12,,0.96,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1912,Phillies,C,1066,152,1355.0,3145,1885,192,,,232,,,,,,,25,,0.963,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1912,Pirates,C,1027,152,1385.0,3129,1771,134,,,279,,,,,,,21,,0.973,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1912,Cardinals,P,1084,153,1353.0,3074,1972,213,,,270,,,,,,,9,,0.959,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1912,Giants,1B,1099,154,1369.2,3205,1852,230,,,279,,,,,,,18,,0.956,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
