,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1917,Browns,2B,1122,155,1385.1,3216,2040,241,,,320,,,,,,,20,,0.956,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1917,Red Sox,2B,1064,157,1421.1,3287,2040,154,,,274,,,,,,,22,,0.972,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1917,White Sox,3B,1076,156,1424.1,3138,1727,181,,,272,,,,,,,10,,0.964,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1917,Indians,2B,1127,156,1412.2,3257,2111,209,,,309,,,,,,,12,,0.963,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1917,Tigers,P,1079,154,1396.1,3199,1930,196,,,208,,,,,,,21,,0.963,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1917,Senators,P,1093,157,1413.0,3246,1814,207,,,308,,,,,,,22,,0.961,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1917,Yankees,3B,1052,155,1411.1,3310,1986,183,,,309,,,,,,,15,,0.967,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1917,Athletics,P,1063,154,1365.2,3236,2020,214,,,240,,,,,,,17,,0.961,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1917,Braves,1B,1068,157,1424.2,3265,2009,174,,,286,,,,,,,17,,0.968,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1917,Cubs,P,1130,157,1404.0,3267,1934,218,,,285,,,,,,,26,,0.96,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1917,Reds,P,1066,157,1397.1,3159,1987,213,,,303,,,,,,,24,,0.96,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1917,Robins,3B,1064,156,1421.1,3230,1936,205,,,225,,,,,,,14,,0.962,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1917,Phillies,2B,1045,154,1389.1,3317,2047,182,,,272,,,,,,,16,,0.967,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1917,Pirates,P,1082,157,1417.2,3126,1897,214,,,283,,,,,,,16,,0.959,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1917,Cardinals,P,1126,154,1392.2,3357,2252,179,,,380,,,,,,,15,,0.969,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1917,Giants,C,1140,158,1426.2,3251,2040,171,,,309,,,,,,,7,,0.969,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
