,teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
0,23,2023,Brewers,2225,1458,12987.0,4329,1407,77,37,39,281,119,87,118,25,121,23,2,54,0.987,,-3,2,-4,2,54,68,1907,1606,0.842,600,,,7.8,5.0,22.2,4.2,39.2,7.7,,,31.5,,,,,,,,,,,,,16,-1,8,20.7,40,34
1,15,2023,Diamondbacks,2235,1458,12918.0,4306,1399,56,27,29,316,134,102,134,17,84,33,4,40,0.99,,5,0,2,6,28,46,2063,1695,0.822,540,,,0.9,-0.3,20.8,12.3,33.7,4.5,,,28.6,,,,,,,,,,,,,-13,8,2,-10.2,30,24
2,7,2023,Royals,2210,1458,12681.0,4227,1391,80,49,31,327,123,106,123,14,105,26,9,67,0.986,,-2,-1,-3,0,-9,-15,2003,1603,0.8,591,,,4.4,1.9,0.3,6.1,12.8,2.3,,,27.5,,,,,,,,,,,,,-2,1,0,-6.3,29,22
3,29,2023,Padres,2128,1458,12969.0,4323,1444,73,41,31,325,130,101,130,16,120,21,9,48,0.988,,0,1,7,2,26,40,1874,1567,0.836,599,,,2.1,-0.5,16.2,8.4,26.2,4.1,,,24.2,,,,,,,,,,,,,-8,-1,19,-9.4,25,20
4,13,2023,Rangers,2121,1458,12927.0,4309,1423,57,23,34,355,143,108,143,12,91,31,9,46,0.99,,4,3,7,-2,17,35,2001,1631,0.815,599,,,9.2,3.7,-1.2,15.0,26.7,5.1,,,20.7,,,,,,,,,,,,,4,-1,-3,10.2,19,14
5,11,2023,Mariners,2166,1458,13044.0,4348,1379,73,30,41,279,123,81,123,24,111,28,4,41,0.987,,3,2,0,3,-7,15,1915,1536,0.802,659,,,0.3,0.3,2.3,-5.9,-3.0,-0.5,,,17.6,,,,,,,,,,,,,3,-4,20,3.3,23,19
6,21,2023,Astros,2108,1458,13008.0,4336,1346,81,31,47,371,144,113,144,13,127,31,12,37,0.986,,2,7,1,13,1,15,1912,1545,0.808,617,,,4.2,3.1,12.7,-7.4,12.6,3.3,,,16.3,,,,,,,,,,,,,-20,0,14,-18.1,8,7
7,19,2023,Rockies,2156,1458,12726.0,4242,1516,81,35,45,418,171,134,170,17,101,37,10,51,0.986,,6,7,9,-2,8,20,2121,1708,0.805,611,,,16.5,-2.1,6.3,14.8,35.5,6.3,,,14.7,,,,,,,,,,,,,-16,-4,0,-14.3,-1,-3
8,17,2023,Cubs,2142,1458,12918.0,4306,1490,92,50,42,319,138,97,137,21,122,35,6,57,0.984,,-1,2,2,6,24,36,1952,1608,0.824,565,,,0.6,-0.9,8.0,-5.7,1.9,0.3,,,12.4,,,,,,,,,,,,,-3,-1,12,-2.0,17,11
9,14,2023,Blue Jays,2231,1458,13065.0,4355,1307,71,29,40,313,127,94,127,23,131,24,2,42,0.988,,-3,1,5,4,47,85,1854,1504,0.811,620,,,6.1,1.6,17.0,4.9,29.6,4.9,,,11.8,,,,,,,,,,,,,9,3,23,12.0,10,11
10,5,2023,Guardians,2176,1458,12996.0,4332,1418,83,42,41,289,122,90,122,14,159,31,15,61,0.986,,-1,-1,2,5,10,24,2028,1664,0.821,599,,,-1.2,-2.2,0.7,9.6,6.8,0.2,,,8.5,,,,,,,,,,,,,0,0,18,2.5,17,14
11,30,2023,Giants,2319,1458,12912.0,4304,1606,117,57,59,369,144,117,143,24,124,36,15,60,0.981,,0,-2,2,-10,-31,-15,2071,1677,0.81,554,,,-2.9,-1.1,-8.3,-4.9,-17.1,-3.0,,,1.8,,,,,,,,,,,,,22,-1,11,19.2,15,9
12,16,2023,Braves,2081,1458,12960.0,4320,1339,82,50,32,332,135,100,135,17,128,28,4,56,0.986,,2,0,2,5,0,16,1894,1529,0.807,604,,,1.3,-2.2,-9.1,-9.9,-19.9,-3.2,,,1.0,,,,,,,,,,,,,7,0,5,10.1,-15,-11
13,12,2023,Rays,2185,1458,12978.0,4326,1401,75,49,26,276,115,83,115,13,101,20,8,65,0.987,,1,3,1,-14,42,25,1915,1543,0.806,608,,,-1.5,-1.2,12.5,-7.1,2.8,0.1,,,0.4,,,,,,,,,,,,,1,4,-2,-6.9,1,1
14,24,2023,Nationals,2138,1458,12855.0,4285,1505,90,39,47,391,158,125,158,16,160,32,11,54,0.985,,-3,-1,7,-6,3,-30,2143,1762,0.822,522,,,-9.7,-3.5,-16.8,17.5,-12.5,-3.3,,,-0.1,,,,,,,,,,,,,-18,0,-15,-19.2,1,2
15,27,2023,Pirates,2298,1458,12870.0,4290,1403,91,51,39,324,135,101,135,17,122,23,6,57,0.984,,-1,-2,-13,-8,11,3,1972,1617,0.82,573,,,-7.9,-1.9,1.5,-13.4,-21.7,-5.0,,,-1.0,,,,,,,,,,,,,17,1,12,25.9,1,0
16,6,2023,Tigers,2321,1458,12981.0,4327,1403,100,62,37,323,130,99,130,29,79,23,3,51,0.983,,0,0,-3,3,-18,22,1964,1562,0.795,676,,,-2.5,0.2,-4.3,-23.6,-30.2,-5.0,,,-1.5,,,,,,,,,,,,,10,-2,33,5.4,-8,-6
17,22,2023,Dodgers,2338,1458,13017.0,4339,1407,76,41,34,356,140,116,140,12,142,29,5,49,0.987,,-2,4,1,2,17,57,1940,1595,0.822,626,,,9.7,3.5,5.5,-11.0,7.6,3.3,,,-2.2,,,,,,,,,,,,,8,5,34,3.7,-3,-1
18,9,2023,Yankees,2160,1458,12957.0,4319,1427,96,52,44,291,115,90,114,18,103,26,8,60,0.984,,0,-2,-1,-10,4,27,2000,1678,0.839,525,,,-0.9,-2.5,-7.5,0.2,-10.7,-1.9,,,-3.0,,,,,,,,,,,,,16,1,17,20.0,2,1
19,28,2023,Cardinals,2137,1458,12855.0,4285,1592,67,40,27,400,155,126,154,17,100,24,8,62,0.989,,0,-3,4,7,-32,-7,2126,1682,0.791,666,,,0.5,-1.0,-9.0,-8.4,-17.9,-2.9,,,-4.5,,,,,,,,,,,,,-16,-1,31,-18.0,-7,-7
20,26,2023,Phillies,2178,1458,12981.0,4327,1385,91,50,41,266,117,82,117,13,104,28,8,35,0.984,,-1,-10,0,1,-8,-30,1957,1573,0.804,604,,,-6.7,-5.8,-8.6,2.4,-18.7,-4.2,,,-6.2,,,,,,,,,,,,,-13,-2,-2,-15.8,-3,-4
21,2,2023,Orioles,2335,1458,13083.0,4361,1444,71,38,33,339,141,99,141,18,88,31,2,64,0.988,,0,3,-4,-1,29,34,1999,1658,0.829,580,,,-5.1,1.7,14.1,18.0,28.8,2.2,,,-10.5,,,,,,,,,,,,,6,-2,1,6.0,-17,-13
22,8,2023,Twins,2356,1458,13062.0,4354,1286,66,29,37,274,117,85,117,23,94,30,9,51,0.988,,1,2,-1,0,1,33,1849,1482,0.802,623,,,-2.4,-3.6,2.4,-2.8,-6.3,-1.7,,,-11.1,,,,,,,,,,,,,3,0,21,6.6,-13,-10
23,25,2023,Mets,2165,1458,12747.0,4249,1394,88,46,40,360,144,110,144,22,156,24,12,59,0.985,,-6,-3,-4,2,-18,-25,1996,1630,0.817,512,,,-6.2,0.2,-9.7,3.7,-12.1,-2.9,,,-16.6,,,,,,,,,,,,,14,-1,-3,16.3,-15,-13
