,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1980,Angels,LF,1889,1440,12855.0,4285,1576,134,,,398,,,,,147,41,10,32,0.978,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1980,Orioles,P,1970,1458,13139.0,4378,1817,95,,,488,,,,,93,67,11,43,0.985,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1980,Red Sox,CF,1823,1440,12972.0,4323,1937,149,,,558,,,,,107,45,6,28,0.977,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1980,White Sox,CF,1956,1458,12918.0,4304,1924,169,,,443,,,,,124,58,13,49,0.974,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1980,Indians,2B,1877,1440,12852.0,4282,1714,104,,,386,,,,,124,56,10,59,0.983,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1980,Tigers,1B,1898,1467,13206.0,4405,1787,133,,,439,,,,,102,45,26,52,0.979,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1980,Royals,P,1902,1458,13134.0,4380,1820,140,,,419,,,,,109,56,15,35,0.978,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1980,Twins,2B,1891,1449,13059.0,4353,1995,147,,,523,,,,,76,59,8,32,0.977,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1980,Yankees,P,1930,1458,13179.0,4392,1851,138,,,425,,,,,64,69,16,45,0.978,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1980,Athletics,P,1770,1458,13245.0,4413,1629,129,,,301,,,,,87,66,9,51,0.979,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1980,Mariners,P,1952,1466,13108.0,4372,1930,148,,,503,,,,,114,54,13,31,0.977,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1980,Rangers,P,2027,1467,13065.0,4358,1817,145,,,460,,,,,112,60,21,58,0.977,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,1980,Blue Jays,P,1923,1458,13194.0,4397,1938,134,,,544,,,,,115,53,8,41,0.979,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1980,Braves,LF,1975,1449,12852.0,4282,1951,161,,,427,,,,,144,64,14,36,0.975,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,1980,Cubs,1B,2129,1458,13310.0,4438,2030,174,,,396,,,,,154,105,12,39,0.974,-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,1980,Reds,P,1946,1467,13134.0,4373,1727,106,,,383,,,,,187,57,12,35,0.983,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,1980,Astros,1B,2019,1467,13344.0,4449,1782,139,,,386,,,,,157,47,24,38,0.978,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22,1980,Dodgers,2B,2002,1467,13254.0,4417,1831,123,,,383,,,,,168,51,12,32,0.981,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,1980,Brewers,1B,1806,1458,13050.0,4349,1886,147,,,523,,,,,81,46,6,33,0.977,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24,1980,Expos,P,1904,1458,13110.0,4370,1783,144,,,336,,,,,116,71,7,37,0.977,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25,1980,Mets,3B,1979,1457,13055.0,4368,1675,154,,,350,,,,,132,80,2,38,0.975,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26,1980,Phillies,P,1994,1458,13320.0,4442,1936,136,,,370,,,,,166,79,8,51,0.979,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27,1980,Pirates,P,1914,1458,13125.0,4376,1816,136,,,422,,,,,125,64,6,28,0.979,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28,1980,Cardinals,P,1983,1458,13023.0,4338,1958,123,,,467,,,,,169,68,12,39,0.981,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29,1980,Padres,1B,2031,1467,13197.0,4403,2008,131,,,433,,,,,165,75,6,39,0.98,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,30,1980,Giants,C,1909,1449,13035.0,4352,1826,158,,,330,,,,,156,74,7,31,0.975,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
