,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1973,Angels,P,1901,1457,13099.0,4368,1690,156,,,391,,,,,105,40,16,56,0.975,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1973,Orioles,1B,1807,1458,13155.0,4384,1915,119,,,465,,,,,70,54,6,42,0.981,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1973,Red Sox,P,1728,1458,12963.0,4324,1723,127,,,436,,,,,72,45,5,25,0.979,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1973,White Sox,P,1827,1458,13104.0,4369,1868,144,,,436,,,,,110,57,33,40,0.977,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1973,Indians,SS,1799,1458,13182.0,4399,1896,139,,,480,,,,,109,47,27,90,0.978,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1973,Tigers,1B,1939,1458,13029.0,4343,1709,112,,,377,,,,,107,71,10,48,0.982,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1973,Royals,CF,1890,1458,13044.0,4347,1918,167,,,516,,,,,86,49,8,43,0.974,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1973,Twins,P,1814,1458,13065.0,4360,1761,139,,,391,,,,,93,54,19,61,0.978,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1973,Yankees,1B,1684,1458,12849.0,4283,1936,157,,,453,,,,,61,52,12,45,0.975,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1973,Athletics,1B,1980,1458,13116.0,4376,1711,137,,,424,,,,,54,60,9,52,0.978,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,1973,Rangers,1B,1930,1458,12870.0,4288,1704,161,,,419,,,,,109,58,8,62,0.974,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1973,Braves,C,1936,1458,13158.0,4383,1809,166,,,391,,,,,119,60,23,49,0.974,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17,1973,Cubs,P,1891,1449,12939.0,4313,1933,157,,,417,,,,,78,53,7,46,0.975,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,1973,Reds,P,2042,1458,13257.0,4420,1839,115,,,444,,,,,43,33,13,36,0.982,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21,1973,Astros,2B,1882,1458,13146.0,4373,1677,116,,,385,,,,,102,43,15,54,0.981,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,1973,Dodgers,P,1835,1458,13419.0,4473,1885,125,,,454,,,,,74,36,24,48,0.981,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23,1973,Brewers,LF,1799,1458,13086.0,4364,1764,145,,,446,,,,,81,73,9,58,0.977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,1973,Expos,P,2036,1458,13065.0,4353,1845,163,,,410,,,,,76,50,24,57,0.974,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25,1973,Mets,2B,1803,1449,13185.0,4405,1681,126,,,377,,,,,67,43,7,39,0.98,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26,1973,Phillies,P,1972,1458,13026.0,4340,1760,135,,,492,,,,,65,60,19,61,0.978,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,1973,Pirates,C,1888,1458,13056.0,4349,1830,151,,,423,,,,,84,39,9,44,0.976,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,1973,Cardinals,C,1937,1458,13146.0,4379,1699,159,,,388,,,,,74,53,27,46,0.975,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29,1973,Padres,RF,1860,1458,12870.0,4288,1797,170,,,403,,,,,84,44,14,53,0.973,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,1973,Giants,1B,1895,1458,13071.0,4362,1753,163,,,378,,,,,103,34,15,58,0.974,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
