,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1908,Browns,1B,1005,155,1397.0,3348,2050,192,,,231,,,,,,,23,,0.966,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1908,Red Sox,C,1036,155,1380.1,3334,2059,263,,,191,,,,,,,22,,0.954,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1908,White Sox,1B,1051,156,1414.0,3520,2331,203,,,207,,,,,,,13,,0.966,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1908,Naps,1B,1031,157,1424.1,3456,2125,211,,,252,,,,,,,22,,0.964,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1908,Tigers,SS,990,154,1374.1,3269,2024,274,,,236,,,,,,,7,,0.951,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1908,Senators,1B,1044,155,1391.2,3350,2067,232,,,227,,,,,,,15,,0.959,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1908,Highlanders,P,1036,155,1366.0,3293,1947,285,,,171,,,,,,,14,,0.948,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1908,Athletics,3B,1049,157,1400.1,3332,1852,229,,,143,,,,,,,20,,0.958,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1908,Doves,SS,1046,156,1404.2,3301,2157,208,,,242,,,,,,,10,,0.963,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1908,Cubs,C,1036,158,1433.2,3439,2002,177,,,208,,,,,,,12,,0.968,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1908,Reds,P,991,155,1384.0,3122,1856,219,,,203,,,,,,,21,,0.958,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1908,Superbas,SS,993,154,1369.0,3201,1968,207,,,173,,,,,,,13,,0.961,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1908,Phillies,P,987,155,1393.0,3249,2019,208,,,202,,,,,,,19,,0.962,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1908,Pirates,1B,1026,155,1402.1,3175,1857,189,,,198,,,,,,,8,,0.964,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1908,Cardinals,C,1027,154,1368.0,3199,1993,292,,,190,,,,,,,24,,0.947,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1908,Giants,C,1079,157,1411.0,3384,2025,209,,,210,,,,,,,23,,0.963,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
