,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,16,1884,Beaneaters,3B,721,116,1037.0,2634,1336,311,,,115,,,,,,,86,,0.927,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,1884,White Stockings,P,699,112,997.1,2497,1531,478,,,251,,,,,,,138,,0.894,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,1884,Red Stockings,C,685,112,983.2,2385,1287,335,,,212,,,,,,,92,,0.916,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,1884,Atlantics,1B,671,109,948.2,2335,1286,437,,,155,,,,,,,169,,0.892,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,1884,Quakers,SS,694,113,981.0,2303,1275,443,,,138,,,,,,,200,,0.89,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27,1884,Alleghenys,P,666,110,943.1,2362,1311,391,,,164,,,,,,,139,,0.904,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,1884,Browns,C,687,110,987.0,2502,1356,384,,,163,,,,,,,102,,0.909,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,1884,Gothams,C,716,116,1014.0,2494,1315,426,,,173,,,,,,,99,,0.899,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1001,1884,Mountain City,C,161,25,219.2,557,301,123,,,7,,,,,,,49,,0.875,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1006,1884,Orioles,3B,656,108,955.2,2455,1200,376,,,126,,,,,,,130,,0.907,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1008,1884,Monumentals,C,665,105,946.2,2433,1291,500,,,123,,,,,,,156,,0.882,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1011,1884,Reds,C,679,109,953.1,2464,1224,514,,,80,,,,,,,170,,0.878,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1015,1884,Bisons,C,704,114,1001.0,2461,1312,368,,,130,,,,,,,105,,0.911,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1017,1884,Buckeyes,C,670,110,962.1,2450,1340,346,,,166,,,,,,,127,,0.916,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1018,1884,Blues,C,690,113,994.2,2418,1392,398,,,171,,,,,,,136,,0.905,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1029,1884,Outlaw Reds,1B,637,103,914.1,2315,1167,438,,,98,,,,,,,137,,0.888,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1030,1884,Browns/Stogies,C,575,92,803.2,2119,996,369,,,83,,,,,,,101,,0.894,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1031,1884,Wolverines,C,697,114,984.2,2394,1274,450,,,141,,,,,,,108,,0.891,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1036,1884,Hoosiers,P,680,110,937.2,2331,1242,379,,,94,,,,,,,175,,0.904,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1041,1884,Cowboys,P,529,82,702.2,1740,1030,414,,,101,,,,,,,125,,0.87,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1044,1884,Eclipse,P,686,110,989.2,2437,1361,349,,,196,,,,,,,145,,0.916,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1049,1884,Brewers,C,73,12,104.0,276,110,43,,,7,,,,,,,25,,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1055,1884,Metropolitans,C,679,113,985.0,2475,1272,384,,,98,,,,,,,92,,0.907,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1060,1884,Athletics,P,661,108,948.2,2386,1262,371,,,151,,,,,,,129,,0.908,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1061,1884,Keystones,C,414,67,593.1,1525,820,403,,,79,,,,,,,188,,0.853,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1064,1884,Grays,P,703,114,1036.1,2537,1262,324,,,117,,,,,,,77,,0.921,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1067,1884,Virginians,C,273,45,370.1,879,524,187,,,52,,,,,,,63,,0.882,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1072,1884,Maroons,C,695,113,993.0,2501,1336,487,,,173,,,,,,,107,,0.887,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1075,1884,Apostles,P,60,9,71.0,176,103,40,,,11,,,,,,,5,,0.875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1079,1884,Blue Stockings,P,674,109,946.0,2355,1307,379,,,153,,,,,,,191,,0.906,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1085,1884,Quicksteps,C,109,17,142.0,360,202,79,,,27,,,,,,,43,,0.877,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1086,1884,Nationals,C,727,112,953.2,2387,1196,502,,,107,,,,,,,176,,0.877,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1090,1884,Nationals,C,390,63,543.2,1360,741,307,,,75,,,,,,,102,,0.873,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
