,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,16,1899,Beaneaters,P,942,153,1348.0,3107,1886,256,,,291,,,,,,,24,,0.951,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,1899,Orphans,P,937,152,1331.1,3098,2096,379,,,324,,,,,,,15,,0.932,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,1899,Reds,2B,985,156,1361.0,3083,1850,274,,,245,,,,,,,25,,0.947,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,1899,Superbas,C,933,148,1269.1,2940,1872,278,,,284,,,,,,,19,,0.945,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,1899,Phillies,1B,967,154,1333.1,3028,1897,324,,,244,,,,,,,47,,0.938,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27,1899,Pirates,P,980,154,1364.0,3175,2034,293,,,225,,,,,,,31,,0.947,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,1899,Perfectos,P,972,155,1340.2,3132,2069,327,,,262,,,,,,,23,,0.941,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,1899,Giants,P,952,151,1278.1,3079,2033,374,,,303,,,,,,,38,,0.932,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1006,1899,Orioles,P,960,151,1304.1,2893,1789,249,,,199,,,,,,,28,,0.95,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1026,1899,Spiders,P,962,154,1264.0,2898,1942,314,,,277,,,,,,,26,,0.939,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1044,1899,Colonels,C,969,155,1351.2,3090,1993,336,,,230,,,,,,,18,,0.938,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1082,1899,Senators,P,1000,155,1300.1,2908,1810,337,,,213,,,,,,,28,,0.933,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
