,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1971,Angels,P,1903,1458,13329.0,4444,1896,131,,,416,,,,,84,49,25,60,0.98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1971,Orioles,P,1736,1422,12738.0,4236,1676,111,,,395,,,,,56,52,16,37,0.982,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1971,Red Sox,CF,1777,1458,12987.0,4325,1621,116,,,397,,,,,78,31,18,37,0.981,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1971,White Sox,2B,1939,1458,13053.0,4353,1843,160,,,352,,,,,101,47,32,43,0.975,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1971,Indians,CF,1986,1458,12960.0,4321,1706,116,,,419,,,,,72,51,18,68,0.981,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1971,Tigers,P,1996,1458,13215.0,4396,1744,106,,,413,,,,,81,42,12,40,0.983,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1971,Royals,P,1836,1449,12783.0,4246,1806,132,,,479,,,,,66,44,11,41,0.979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1971,Twins,LF,1938,1440,12750.0,4255,1602,118,,,353,,,,,73,43,12,42,0.98,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1971,Yankees,SS,1780,1457,13059.0,4353,1981,125,,,433,,,,,38,41,10,48,0.981,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1971,Athletics,2B,1866,1449,13224.0,4397,1663,117,,,406,,,,,76,33,17,36,0.981,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,1971,Senators,1B,2046,1431,12768.0,4252,1772,141,,,444,,,,,84,44,23,43,0.977,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1971,Braves,CF,1848,1458,13272.0,4430,1814,146,,,488,,,,,81,32,33,55,0.977,-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17,1971,Cubs,2B,1788,1458,12996.0,4327,1823,126,,,389,,,,,81,52,18,38,0.98,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,1971,Reds,P,2020,1458,12996.0,4332,1869,103,,,467,,,,,49,29,11,32,0.984,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21,1971,Astros,C,1914,1458,13242.0,4413,1751,106,,,393,,,,,66,41,18,61,0.983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,1971,Dodgers,P,1873,1458,13047.0,4351,1851,131,,,415,,,,,77,42,14,43,0.979,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23,1971,Brewers,P,1946,1449,12747.0,4244,1690,138,,,407,,,,,56,71,9,32,0.977,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,1971,Expos,2B,2011,1458,12909.0,4298,1812,150,,,438,,,,,88,43,12,62,0.976,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25,1971,Mets,2B,1886,1458,13197.0,4399,1572,114,,,368,,,,,77,29,13,41,0.981,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26,1971,Phillies,P,1897,1458,13236.0,4409,1946,122,,,428,,,,,110,60,27,53,0.981,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,1971,Pirates,3B,1819,1458,13149.0,4390,1833,133,,,442,,,,,42,44,17,37,0.979,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,1971,Cardinals,C,1954,1467,13203.0,4400,1772,142,,,398,,,,,54,36,24,56,0.978,-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29,1971,Padres,P,1832,1449,12942.0,4313,1772,161,,,378,,,,,88,50,5,63,0.974,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,1971,Giants,CF,1906,1458,13092.0,4366,1750,179,,,412,,,,,74,24,23,42,0.972,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
