,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,16,1886,Beaneaters,P,713,118,1029.0,2431,1274,381,,,153,,,,,,,122,,0.907,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,1886,White Stockings,C,813,126,1097.2,2755,1560,389,,,208,,,,,,,144,,0.917,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,1886,Red Stockings,P,875,141,1247.2,3063,1733,481,,,295,,,,,,,131,,0.909,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,1886,Grays,C,864,141,1234.2,3030,1697,506,,,209,,,,,,,150,,0.903,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,1886,Quakers,P,730,119,1045.2,2516,1383,313,,,105,,,,,,,95,,0.926,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27,1886,Alleghenys,C,851,140,1226.0,2961,1633,364,,,208,,,,,,,162,,0.927,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,1886,Browns,2B,844,139,1229.1,2905,1557,431,,,229,,,,,,,108,,0.912,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,1886,Giants,C,764,124,1062.0,2558,1450,299,,,170,,,,,,,127,,0.931,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1006,1886,Orioles,C,854,139,1206.2,2995,1603,422,,,129,,,,,,,135,,0.916,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1031,1886,Wolverines,2B,777,126,1103.2,2713,1429,320,,,207,,,,,,,76,,0.928,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1039,1886,Cowboys,C,749,123,1066.2,2614,1587,380,,,189,,,,,,,135,,0.917,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1044,1886,Colonels,P,845,138,1209.2,3034,1670,489,,,213,,,,,,,203,,0.906,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1055,1886,Metropolitans,P,831,137,1186.1,2948,1677,433,,,193,,,,,,,153,,0.914,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1060,1886,Athletics,P,854,139,1218.2,2854,1659,509,,,220,,,,,,,176,,0.899,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1072,1886,Maroons,P,774,126,1077.1,2660,1496,364,,,216,,,,,,,166,,0.919,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1087,1886,Nationals,C,751,122,1041.0,2538,1463,369,,,173,,,,,,,109,,0.916,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
