,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1919,Browns,P,966,140,1256.0,2832,1754,157,,,218,,,,,,,10,,0.967,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1919,Red Sox,P,938,138,1224.1,2795,1787,113,,,294,,,,,,,20,,0.976,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1919,White Sox,2B,952,140,1265.2,2869,1668,130,,,255,,,,,,,6,,0.972,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1919,Indians,P,963,139,1245.0,2805,1733,167,,,234,,,,,,,6,,0.965,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1919,Tigers,P,944,140,1256.0,2877,1707,173,,,196,,,,,,,11,,0.964,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1919,Senators,3B,985,142,1274.1,2859,1606,187,,,191,,,,,,,15,,0.96,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1919,Yankees,3B,967,141,1287.0,3051,1893,161,,,264,,,,,,,13,,0.968,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1919,Athletics,1B,957,140,1239.1,2865,1862,198,,,255,,,,,,,9,,0.96,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1919,Braves,P,964,140,1270.1,2919,1942,159,,,270,,,,,,,12,,0.968,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1919,Cubs,P,950,140,1265.0,2989,1894,160,,,220,,,,,,,6,,0.968,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1919,Reds,SS,943,140,1274.0,2887,1791,125,,,232,,,,,,,16,,0.974,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1919,Robins,P,935,141,1281.0,2897,1830,187,,,207,,,,,,,17,,0.962,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1919,Phillies,P,936,138,1252.0,2888,1879,181,,,288,,,,,,,19,,0.963,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1919,Pirates,P,922,139,1249.0,2727,1617,123,,,197,,,,,,,6,,0.972,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1919,Cardinals,P,1009,138,1217.1,2848,1901,187,,,262,,,,,,,13,,0.962,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1919,Giants,P,990,140,1256.0,2873,1941,177,,,230,,,,,,,16,,0.965,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
