,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1972,Angels,P,1768,1395,12399.0,4127,1605,114,,,366,,,,,102,44,21,49,0.98,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1972,Orioles,C,1750,1386,12345.0,4111,1650,100,,,399,,,,,44,44,6,35,0.983,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1972,Red Sox,LF,1728,1395,12444.0,4140,1607,130,,,383,,,,,66,40,10,32,0.978,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1972,White Sox,P,1893,1386,12468.0,4149,1686,135,,,352,,,,,75,60,23,46,0.977,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1972,Indians,P,1840,1404,12690.0,4226,1735,116,,,417,,,,,66,43,16,43,0.981,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1972,Tigers,1B,1901,1404,12495.0,4164,1615,96,,,359,,,,,87,46,14,41,0.984,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1972,Royals,P,1771,1386,12431.0,4147,1760,116,,,447,,,,,86,42,17,37,0.981,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1972,Twins,SS,1842,1386,12594.0,4193,1729,159,,,352,,,,,69,48,7,26,0.974,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1972,Yankees,P,1735,1395,12360.0,4119,1861,134,,,487,,,,,42,34,10,47,0.978,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1972,Athletics,LF,1882,1395,12759.0,4249,1695,130,,,389,,,,,72,38,13,29,0.979,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,1972,Rangers,1B,1930,1386,12372.0,4129,1618,166,,,378,,,,,77,56,14,44,0.972,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1972,Braves,CF,1753,1395,12393.0,4145,1638,156,,,343,,,,,96,37,36,69,0.974,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17,1972,Cubs,SS,1757,1404,12588.0,4197,1887,132,,,396,,,,,95,46,12,32,0.979,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,1972,Reds,P,1812,1386,12714.0,4233,1668,110,,,379,,,,,31,39,5,42,0.982,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21,1972,Astros,2B,1715,1377,12468.0,4158,1675,116,,,420,,,,,99,37,17,58,0.981,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,1972,Dodgers,P,1736,1395,12627.0,4202,1806,162,,,391,,,,,79,37,12,44,0.974,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23,1972,Brewers,CF,1815,1404,12525.0,4179,1600,139,,,385,,,,,65,43,10,41,0.977,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,1972,Expos,P,1873,1404,12612.0,4206,1788,135,,,364,,,,,73,67,11,47,0.978,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25,1972,Mets,2B,1759,1404,12732.0,4248,1539,116,,,318,,,,,60,61,7,56,0.98,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26,1972,Phillies,P,1881,1404,12600.0,4200,1705,116,,,381,,,,,87,45,15,51,0.981,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,1972,Pirates,2B,1797,1395,12729.0,4244,1741,136,,,462,,,,,54,41,6,34,0.978,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,1972,Cardinals,2B,1802,1404,12597.0,4196,1664,141,,,390,,,,,91,55,18,53,0.977,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29,1972,Padres,3B,1813,1377,12633.0,4211,1621,144,,,376,,,,,98,46,12,66,0.976,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,1972,Giants,1B,1739,1395,12477.0,4168,1661,156,,,320,,,,,87,53,10,53,0.974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
