,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1979,Angels,P,1817,1458,12924.0,4308,1607,135,,,467,,,,,138,51,12,53,0.978,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1979,Orioles,P,1899,1429,12909.0,4304,1762,125,,,420,,,,,88,58,10,36,0.98,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1979,Red Sox,CF,1819,1440,12882.0,4293,1853,142,,,449,,,,,116,41,20,31,0.977,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1979,White Sox,P,1955,1431,12681.0,4227,1831,173,,,369,,,,,135,66,17,50,0.972,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1979,Indians,2B,1873,1449,12885.0,4297,1641,132,,,393,,,,,146,47,16,44,0.978,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1979,Tigers,2B,1872,1440,12810.0,4272,1766,120,,,489,,,,,97,65,24,51,0.981,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1979,Royals,LF,1896,1458,13035.0,4345,1777,147,,,432,,,,,75,59,15,40,0.977,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1979,Twins,2B,1929,1458,12999.0,4333,2007,135,,,552,,,,,77,71,5,39,0.979,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1979,Yankees,P,1831,1440,12891.0,4299,1970,122,,,503,,,,,83,55,15,45,0.981,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1979,Athletics,P,1852,1458,12864.0,4292,1717,175,,,359,,,,,117,86,15,72,0.972,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1979,Mariners,1B,1946,1458,12942.0,4310,1881,141,,,463,,,,,152,58,7,43,0.978,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1979,Rangers,P,1950,1458,12932.0,4310,1862,129,,,399,,,,,90,58,8,38,0.98,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,1979,Blue Jays,P,1785,1458,12753.0,4251,1876,159,,,496,,,,,85,56,8,64,0.975,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1979,Braves,LF,1900,1440,12669.0,4228,1781,183,,,385,,,,,181,48,25,45,0.97,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,1979,Cubs,P,1986,1458,13020.0,4341,1903,157,,,434,,,,,123,67,8,40,0.975,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,1979,Reds,2B,1939,1449,12963.0,4327,1739,124,,,409,,,,,110,55,9,30,0.98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,1979,Astros,LF,1918,1457,13020.0,4342,1710,138,,,381,,,,,127,50,18,55,0.978,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22,1979,Dodgers,LF,1923,1458,12996.0,4339,1669,118,,,329,,,,,118,63,21,44,0.981,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,1979,Brewers,P,1742,1449,12957.0,4323,1906,126,,,416,,,,,97,60,10,48,0.98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24,1979,Expos,P,1822,1439,13017.0,4337,1716,131,,,329,,,,,103,77,4,28,0.979,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25,1979,Mets,P,2016,1467,13344.0,4461,1769,140,,,450,,,,,136,82,15,45,0.978,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26,1979,Phillies,P,1978,1467,12972.0,4324,1798,107,,,400,,,,,95,68,5,36,0.983,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27,1979,Pirates,2B,1997,1467,13440.0,4482,1750,134,,,451,,,,,108,52,10,52,0.979,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28,1979,Cardinals,P,1956,1467,13380.0,4465,1932,131,,,448,,,,,134,52,16,45,0.98,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29,1979,Padres,1B,2003,1449,13077.0,4364,1944,141,,,410,,,,,107,76,12,23,0.978,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,30,1979,Giants,C,1994,1458,12924.0,4310,1804,163,,,369,,,,,144,76,17,50,0.974,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
