,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,7,2016,Royals,CF,2043,1458,12960.0,4320,1526,94,44,49,332,134,107,134,39,55,42,7,55,0.984,,4,-3,8,5,2,10,2172,1760,0.81,510,,38,3.7,-3.0,11.3,9.2,21.2,2.9,,,32.8,0.0,2.54,0.079,1.9,0.361,1.44,0.488,0.8,0.742,1.94,0.978,26.48,-12,1,-4,-19.1
1,17,2016,Cubs,P,2274,1458,13137.0,4379,1634,101,38,60,277,118,89,116,28,133,38,12,80,0.983,,2,-1,-4,-5,88,107,1947,1661,0.853,467,,49,1.0,-1.0,42.8,4.3,47.1,6.4,,,31.7,0.0,2.03,0.055999999999999994,1.61,0.322,1.49,0.488,0.84,0.774,1.59,0.977,25.9,19,0,22,15.2
2,21,2016,Astros,CF,2158,1458,13212.0,4404,1599,77,43,31,312,136,96,136,31,67,31,18,98,0.987,,3,7,20,5,19,77,1998,1589,0.795,672,,24,20.4,-2.5,-2.1,-5.1,10.7,5.1,,,27.7,0.0,3.21,0.03,1.65,0.336,1.4,0.488,1.23,0.815,1.89,0.981,26.16,10,0,17,18.4
3,13,2016,Rangers,1B,2140,1458,12987.0,4329,1655,97,58,39,471,190,151,191,34,82,33,11,45,0.984,,2,4,0,-2,-12,2,2227,1780,0.799,595,,13,3.3,7.4,6.5,-5.9,11.4,2.2,,,27.4,0.0,2.82,0.024,1.64,0.213,1.27,0.479,0.94,0.758,1.98,0.976,28.04,1,-5,17,-11.3
4,14,2016,Blue Jays,C,2157,1458,13134.0,4378,1622,88,52,36,360,144,110,144,21,84,20,29,50,0.986,,-6,-1,0,-4,43,58,2087,1719,0.824,514,,19,-5.2,1.5,12.8,2.3,11.4,0.7,,,27.0,0.0,2.53,0.066,1.51,0.319,1.35,0.5,0.94,0.833,1.86,0.98,26.9,16,4,16,17.0
5,20,2016,Marlins,1B,2253,1449,12915.0,4305,1507,86,47,37,328,138,97,139,27,76,38,9,66,0.985,,0,-4,7,3,5,4,1984,1640,0.827,476,,24,4.0,-2.2,18.4,12.1,32.3,4.8,,,24.4,0.0,3.06,0.043,1.62,0.309,1.39,0.623,1.06,0.7909999999999999,1.72,0.983,25.27,1,-10,4,-8.1
6,5,2016,Indians,P,2222,1449,13005.0,4335,1608,89,55,34,287,127,90,127,26,51,32,12,49,0.985,,3,-5,8,-3,11,41,2063,1711,0.829,534,,7,4.5,1.5,17.3,-2.9,20.4,3.9,,,19.0,0.0,2.69,0.086,1.51,0.299,1.17,0.5379999999999999,0.93,0.78,1.91,0.976,25.8,-3,2,22,7.5
7,30,2016,Giants,P,2214,1458,13143.0,4381,1639,72,43,27,348,137,114,137,19,71,35,6,40,0.988,,2,1,-3,1,43,75,2081,1730,0.831,543,,51,-5.1,2.1,18.2,11.3,26.4,2.5,,,12.5,0.0,2.38,0.054000000000000006,1.86,0.256,1.33,0.5920000000000001,1.03,0.753,1.94,0.985,26.92,10,1,14,25.5
8,19,2016,Rockies,1B,2177,1458,12864.0,4288,1749,110,55,54,361,149,114,149,28,100,31,13,72,0.982,,1,-1,-3,-6,15,11,2123,1653,0.779,643,,27,2.4,-4.7,-6.9,2.3,-6.9,-1.1,,,10.5,0.0,3.51,0.023,1.75,0.275,1.53,0.544,1.25,0.852,2.1,0.978,26.41,-10,0,19,2.8
9,3,2016,Red Sox,P,2089,1458,12957.0,4319,1426,75,38,36,332,141,103,141,23,59,33,37,52,0.987,,4,1,7,12,24,69,1993,1646,0.826,521,,34,5.8,2.6,16.4,4.5,29.3,5.2,,,8.9,0.0,2.67,0.025,1.6,0.282,1.31,0.537,1.08,0.8109999999999999,1.75,0.9790000000000001,25.85,3,1,17,-2.1
10,4,2016,White Sox,P,2022,1458,13020.0,4340,1536,95,53,39,350,152,116,151,28,89,20,8,72,0.984,,-2,0,17,4,-21,-2,2142,1726,0.806,542,,-39,14.7,0.6,-18.6,4.6,1.3,2.5,,,7.1,0.0,2.9,0.017,1.72,0.185,1.73,0.45,1.11,0.78,1.91,0.978,26.84,-11,-3,15,-21.3
11,11,2016,Mariners,P,2146,1458,13113.0,4371,1575,89,53,34,387,159,124,158,19,81,32,11,52,0.985,,-3,7,-2,3,-25,2,2054,1616,0.787,648,,-2,-1.7,4.3,-13.9,-5.2,-16.5,-2.0,,,4.6,0.0,2.42,0.025,1.58,0.19699999999999998,1.47,0.45,1.0,0.76,1.67,0.977,27.02,0,0,28,-15.5
12,1,2016,Angels,1B,2235,1458,12792.0,4264,1483,97,37,56,356,149,109,150,37,93,47,7,47,0.983,,3,-1,4,13,-1,38,2129,1690,0.794,562,,0,5.9,1.1,25.5,-6.8,25.7,4.7,,,4.0,0.0,2.87,0.08199999999999999,1.84,0.262,1.49,0.5670000000000001,1.04,0.7509999999999999,1.73,0.9740000000000001,27.39,0,1,17,-6.9
13,9,2016,Yankees,1B,2134,1458,12855.0,4285,1536,86,47,38,283,118,89,117,40,86,32,14,52,0.985,,-4,-7,3,-1,9,14,2012,1620,0.805,533,,3,5.8,-5.7,8.9,3.7,12.6,2.3,,,1.6,0.0,2.4,0.028999999999999998,1.75,0.297,1.48,0.518,0.83,0.753,1.94,0.982,25.36,3,0,18,0.0
14,24,2016,Nationals,SS,2120,1458,13137.0,4379,1425,73,37,35,351,143,110,143,32,54,29,17,47,0.988,,0,2,3,2,-8,2,1917,1571,0.82,521,,23,5.7,0.5,-15.0,5.3,-3.5,0.8,,,1.5,0.0,2.49,0.035,1.41,0.267,1.01,0.544,0.79,0.7979999999999999,1.78,0.9790000000000001,25.58,0,0,6,5.9
15,27,2016,Pirates,2B,2275,1458,13056.0,4352,1745,111,64,44,427,172,134,172,22,102,28,17,71,0.982,,-1,2,10,-8,-30,-6,2140,1700,0.794,568,,-8,10.0,-1.2,-26.0,-8.2,-25.4,-1.9,,,0.9,0.0,3.06,0.033,2.12,0.275,1.49,0.5,1.2,0.7509999999999999,1.93,0.9740000000000001,27.29,2,6,26,8.5
16,26,2016,Phillies,CF,2175,1458,12933.0,4311,1503,97,57,36,345,143,112,143,19,70,32,10,57,0.984,,0,-1,6,-9,-10,-11,2012,1670,0.83,507,,-20,-3.7,1.1,23.3,1.0,21.6,2.2,,,0.4,0.0,2.88,0.04,1.51,0.21100000000000002,1.47,0.41,1.05,0.747,1.78,0.98,26.84,-11,-1,8,-11.3
17,18,2016,Reds,3B,2092,1458,12978.0,4326,1549,102,56,45,338,144,106,144,27,108,45,9,61,0.983,,3,-3,1,10,-22,-14,2151,1779,0.827,486,,5,-0.8,-6.8,14.1,-5.3,1.2,-0.5,,,-3.7,0.0,2.94,0.071,1.7,0.25,1.56,0.536,0.97,0.723,1.77,0.975,27.15,-16,-6,14,-19.8
18,2,2016,Orioles,2B,2096,1458,12888.0,4296,1579,80,42,37,416,165,133,165,39,69,37,4,59,0.987,,0,9,-12,10,-9,1,2074,1705,0.822,525,,13,-10.7,4.8,-19.1,12.5,-12.5,-3.2,,,-5.8,0.0,2.89,0.07400000000000001,1.62,0.299,1.37,0.52,0.75,0.7020000000000001,1.81,0.98,26.63,-5,3,5,-3.5
19,16,2016,Braves,P,2166,1449,13029.0,4343,1565,101,59,39,297,134,97,135,34,132,25,14,83,0.983,,-8,-2,9,-5,-18,-14,2147,1700,0.792,626,,-46,5.2,0.3,-8.0,-8.0,-10.4,-0.3,,,-6.4,0.0,2.54,0.02,2.02,0.20199999999999999,1.68,0.58,1.0,0.75,2.08,0.973,27.54,9,2,9,-0.7
20,6,2016,Tigers,1B,2096,1449,12852.0,4284,1537,75,44,29,365,149,116,148,22,71,39,5,44,0.987,,5,4,-18,1,-44,-57,2158,1749,0.81,451,,-1,-14.5,3.2,-13.7,16.4,-8.5,-3.1,,,-11.6,0.0,2.51,0.026000000000000002,1.54,0.28,1.25,0.414,0.99,0.775,1.82,0.9840000000000001,26.88,-6,0,-2,-12.6
21,15,2016,Diamondbacks,1B,2235,1458,13062.0,4354,1663,101,58,42,351,145,118,143,23,63,35,17,69,0.983,,3,3,-20,4,-2,-24,2195,1742,0.794,534,,-17,-10.4,2.7,-16.3,-0.5,-24.5,-4.6,,,-12.5,0.0,3.23,0.047,1.72,0.284,1.34,0.563,1.03,0.7709999999999999,2.01,0.977,26.66,-7,0,-4,-11.8
22,28,2016,Cardinals,P,2256,1458,13035.0,4345,1747,107,58,49,430,169,144,169,31,85,26,10,50,0.983,,-5,3,-10,-2,-5,-10,2113,1716,0.812,543,,-29,-10.5,1.8,-21.7,-3.9,-34.3,-5.9,,,-16.1,0.0,2.51,0.027999999999999997,1.8,0.252,1.43,0.519,1.06,0.7559999999999999,1.8,0.968,27.14,-3,4,6,8.0
23,25,2016,Mets,CF,2264,1458,13023.0,4341,1519,90,44,45,327,138,104,138,34,135,45,8,50,0.985,,-2,-2,3,7,-17,3,2049,1625,0.793,492,,-37,3.7,4.6,-7.3,3.7,4.7,1.8,,,-17.4,0.0,2.87,0.051,1.98,0.175,1.77,0.541,0.98,0.7609999999999999,1.88,0.975,26.0,9,-2,12,19.5
24,23,2016,Brewers,CF,2154,1458,12909.0,4303,1671,136,66,69,341,147,104,147,21,92,59,8,48,0.978,,5,-3,1,-4,-3,24,2084,1675,0.804,609,,-15,0.2,-3.1,-28.9,-19.6,-51.4,-7.8,,,-20.6,0.0,3.13,0.040999999999999995,1.94,0.322,1.49,0.51,1.04,0.6559999999999999,1.86,0.972,27.68,4,-5,34,4.8
25,22,2016,Dodgers,1B,2331,1458,13077.0,4359,1448,80,44,35,234,102,71,103,31,87,36,13,58,0.986,,0,-8,-2,-8,37,56,1877,1529,0.815,532,,16,-6.7,-5.7,22.1,8.5,18.3,0.1,,,-23.2,0.0,2.59,0.035,1.73,0.292,1.37,0.5539999999999999,0.83,0.7440000000000001,1.76,0.98,25.15,13,1,18,26.5
26,10,2016,Athletics,P,2131,1458,12900.0,4300,1630,97,61,35,356,152,118,152,32,75,22,11,70,0.984,,-5,1,-8,-10,-40,-70,2215,1770,0.799,544,,-47,-7.6,-1.6,-24.9,-2.7,-36.8,-5.9,,,-27.2,0.0,2.49,0.027000000000000003,1.86,0.21,1.62,0.483,1.16,0.677,1.95,0.973,27.66,-15,3,-2,-19.4
27,12,2016,Rays,P,2090,1458,12837.0,4279,1410,94,49,42,314,130,103,130,40,91,31,13,61,0.984,,-2,1,1,1,-12,16,1956,1517,0.776,596,,-13,-3.4,-2.1,9.1,-7.0,-3.4,-1.2,,,-29.1,0.0,2.36,0.035,1.7,0.187,1.34,0.38799999999999996,0.8,0.81,1.84,0.977,25.96,8,1,20,10.7
28,8,2016,Twins,C,2099,1458,12987.0,4329,1610,126,70,54,437,173,138,172,38,78,20,9,83,0.979,,-3,-2,-5,-2,-55,-57,2221,1776,0.8,546,,-34,-5.1,2.8,-15.5,-13.1,-30.9,-4.2,,,-31.9,0.0,3.45,0.016,1.85,0.225,1.51,0.473,1.12,0.76,1.71,0.971,27.8,-15,-5,22,-17.6
29,29,2016,Padres,P,2169,1458,12960.0,4320,1623,109,62,45,419,165,130,165,38,98,29,13,67,0.982,,-2,-1,-15,1,4,-3,2105,1684,0.8,594,,-29,-11.2,-2.0,-8.8,-1.9,-23.9,-5.3,,,-43.6,0.0,2.68,0.040999999999999995,1.93,0.253,1.46,0.527,0.91,0.732,1.9,0.9740000000000001,27.22,8,7,-7,7.6
