,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1996,Angels,CF,2002,1449,12951.0,4318,1702,128,,,424,,,,,146,54,12,80,0.979,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1996,Orioles,P,2057,1467,13218.0,4411,1730,97,,,472,,,,,135,37,14,38,0.984,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1996,Red Sox,1B,2164,1458,13122.0,4374,1638,135,,,410,,,,,147,36,23,51,0.978,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1996,White Sox,P,2100,1458,13149.0,4382,1574,109,,,397,,,,,105,55,8,59,0.982,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1996,Indians,P,2002,1449,13071.0,4356,1765,124,,,420,,,,,104,52,11,49,0.98,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1996,Tigers,P,2066,1458,12894.0,4298,1727,137,,,423,,,,,117,54,7,82,0.978,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1996,Royals,P,2068,1449,13050.0,4350,1704,111,,,500,,,,,69,42,11,56,0.982,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1996,Twins,P,2072,1458,12957.0,4317,1520,94,,,382,,,,,84,42,11,49,0.984,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1996,Yankees,2B,2104,1458,12960.0,4320,1613,91,,,383,,,,,120,42,17,55,0.985,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1996,Athletics,P,2204,1458,13107.0,4366,1778,103,,,515,,,,,117,41,11,60,0.984,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1996,Mariners,C,2087,1449,12885.0,4294,1541,110,,,420,,,,,78,42,8,37,0.981,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1996,Rangers,P,1991,1467,13044.0,4349,1647,87,,,416,,,,,62,56,10,38,0.986,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,1996,Blue Jays,LF,1941,1458,13011.0,4337,1608,110,,,511,,,,,75,41,16,61,0.982,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1996,Braves,P,2107,1458,13221.0,4407,1810,130,,,376,,,,,116,44,11,49,0.98,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,1996,Cubs,P,2169,1458,13107.0,4369,1767,104,,,386,,,,,129,50,13,48,0.983,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,1996,Reds,P,2175,1458,12987.0,4329,1694,121,,,384,,,,,146,50,7,66,0.98,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19,1996,Rockies,C,2107,1458,12804.0,4268,1901,149,,,456,,,,,122,55,19,66,0.976,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,1996,Marlins,2B,2095,1458,12987.0,4329,1795,111,,,493,,,,,84,57,12,49,0.982,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21,1996,Astros,C,2086,1458,13023.0,4341,1692,138,,,343,,,,,115,55,14,65,0.978,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22,1996,Dodgers,P,2078,1458,13197.0,4399,1636,125,,,380,,,,,171,39,15,40,0.98,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,1996,Brewers,SS,2117,1458,13026.0,4340,1693,134,,,479,,,,,96,40,9,56,0.978,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24,1996,Expos,1B,2177,1458,12972.0,4323,1713,126,,,325,,,,,156,48,10,46,0.98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25,1996,Mets,P,2066,1458,12960.0,4319,1717,159,,,441,,,,,125,33,10,60,0.974,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26,1996,Phillies,LF,1984,1458,12810.0,4269,1582,116,,,388,,,,,88,44,10,71,0.981,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,27,1996,Pirates,LF,2123,1458,13080.0,4360,1868,128,,,382,,,,,185,57,10,62,0.98,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28,1996,Cardinals,LF,2096,1458,13071.0,4356,1666,125,,,382,,,,,104,54,7,44,0.98,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,29,1996,Padres,P,2081,1458,13401.0,4466,1768,118,,,366,,,,,136,54,14,59,0.981,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30,1996,Giants,P,2109,1458,12981.0,4327,1634,136,,,436,,,,,108,69,13,58,0.978,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
