Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
L,111437,George Brett,KCR,1980,27.0,27 - 27,1980,1980,117.0,449.0,515.0,175.0,109.0,33.0,9.0,24.0,87.0,118.0,58.0,16.0,22.0,1.0,7.0,0.0,11.0,15.0,6.0,0.389755011,,,,,,,,,,,0.112621359,0.042718446,2.636363636,0.454368932,0.663697104,1.118066036,0.273942093,0.368292682,,,,,,,,,0.20194175,0.47816134538344723,62.66436853417084,120.3449036643736,59.19584506162331,9.0,14.888025457039475,0.6273435354232788,2.0281746541149914,,9.627343535423279,59.738884481311594,86.28242812788935,9.089252188792418,9.089252188792418,,0.5430394196882844,6.279062255986146,197.66930756643353,0.5430394196882844,6.138789653778076,-6.7165679931640625,12.855358123779297,77.3489990234375,7.9094977378845215,0.9574912786483765,1.4727500677108765,4.0,5.966512203216553,0.4448147620209548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.842393600034,135.91765452584912,35.92727740745069,137.08653593416707,166.29258400669266,210.6840993061906,127.9371044028846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.17901235,162.0,515.0,George Brett,George Brett,3B,3B,1001400,KCR,KCR,7,,0.0,
R,121836,Mike Schmidt,PHI,1980,30.0,30 - 30,1980,1980,150.0,548.0,652.0,157.0,76.0,25.0,8.0,48.0,104.0,121.0,89.0,10.0,119.0,2.0,13.0,0.0,6.0,12.0,5.0,0.28649635,,,,,,,,,,,0.136503067,0.182515337,0.747899159,0.380368098,0.624087591,1.004455689,0.337591241,0.276649746,,,,,,,,,0.39263804,0.42802462204594477,54.1469694416439,127.17164692687147,52.87035981225127,11.0,18.848529316484928,0.9019203782081604,1.263814696110785,,11.90192037820816,53.2029993899334,85.21726378073728,8.964451267716477,8.964451267716477,,0.33263957768213004,5.639831520378776,172.39463644596196,0.33263957768213004,5.711792469024658,-10.931644439697266,16.643436431884766,51.51499938964844,5.426861763000488,1.0894991159439087,0.1720000058412552,1.0,5.826053619384766,-0.583467934424263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.40095688121896,162.92689985329284,150.67405236709678,115.57494075757415,161.18570156974016,280.3181492328955,95.70316438763071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.02469136,162.0,652.0,Mike Schmidt,Mike Schmidt,3B,3B,1011586,PHI,PHI,26,,0.0,
R,115749,Rickey Henderson,OAK,1980,21.0,21 - 21,1980,1980,158.0,591.0,722.0,179.0,144.0,22.0,4.0,9.0,111.0,53.0,117.0,7.0,54.0,5.0,3.0,6.0,6.0,100.0,26.0,0.30287648,,,,,,,,,,,0.162049861,0.074792243,2.166666666,0.420391061,0.399323181,0.819714242,0.096446701,0.320150659,,,,,,,,,0.24930748,0.3765335531093506,31.315360067035446,112.1801102884071,30.86571353449989,18.0,20.872144427150488,-7.314813613891602,2.8433827189728618,,10.685186386108398,40.480994692743195,74.88170822497494,7.827484706002981,7.827484706002981,,9.615281158243306,6.931582299074653,136.32563682154216,9.615281158243306,3.7036855220794678,-11.030688285827637,14.734374046325684,44.245601654052734,4.889404296875,0.9777911901473999,,0.0,4.504466533660889,-0.7166582987338126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.55622914455058,195.5706911986373,62.902139796622315,126.83515582042287,100.05239321077745,74.17548033130663,111.21358171633533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.45679012,162.0,722.0,Rickey Henderson,Rickey Henderson,OF,OF,194,OAK,OAK,10,,0.00632911,
B,124435,Willie Wilson,KCR,1980,24.0,24 - 24,1980,1980,161.0,705.0,745.0,230.0,184.0,28.0,15.0,3.0,132.0,49.0,28.0,3.0,81.0,6.0,1.0,5.0,4.0,79.0,10.0,0.326241134,,,,,,,,,,,0.037583892,0.108724832,0.345679012,0.356756756,0.421276595,0.778033351,0.095035461,0.364951768,,,,,,,,,0.15033557,0.34869677572431523,16.33378045371249,99.77455457410291,11.316207663328196,24.0,21.5370465349406,-4.511316299438477,2.9339613928459585,,19.488683700561523,23.0464133711623,67.00610499951038,6.9571528745948,6.9571528745948,,11.730205707834102,9.548014774020373,112.90680500586406,11.730205707834102,1.7321983575820923,-11.786656379699707,13.518854141235352,24.670499801635742,2.4642081260681152,0.986655592918396,3.125999927520752,3.0,2.0293936729431152,-0.27376752536462745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.23909996207705,45.358309417957074,91.44029256922106,107.63620574998045,105.55292940390915,73.09012019169178,126.77654139387249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.59876543,162.0,745.0,Willie Wilson,Willie Wilson,OF,OF,1014113,KCR,KCR,7,,0.0,
L,115826,Keith Hernandez,STL,1980,26.0,26 - 26,1980,1980,159.0,595.0,690.0,191.0,128.0,39.0,8.0,16.0,111.0,99.0,86.0,4.0,73.0,4.0,4.0,1.0,14.0,14.0,8.0,0.321008403,,,,,,,,,,,0.124637681,0.105797101,1.178082191,0.407837445,0.494117647,0.901955092,0.173109244,0.343137254,,,,,,,,,0.25362319,0.4021562423149165,43.5497870555178,120.83050402608072,42.38856042530692,12.0,19.947063233703375,-9.384978294372559,1.3374726078473032,,2.6150217056274414,41.90518031646802,65.80473786364614,6.901432757626532,6.901432757626532,,-0.4833801088389009,5.698506317570853,154.84553762617037,-0.4833801088389009,2.717271566390991,-10.916374206542969,13.633646011352539,46.763999938964844,4.871272087097168,0.982631504535675,1.4516000747680664,2.0,3.340864419937134,-0.5755637412508858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.33873956548472,148.76464988316826,87.33993645893456,123.92150864501632,127.61782278360378,143.74088246319673,118.70360085955834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.25925926,162.0,690.0,Keith Hernandez,Keith Hernandez,1B,1B,1005706,STL,STL,28,,0.0,
L,119954,Ben Oglivie,MIL,1980,31.0,31 - 31,1980,1980,156.0,592.0,660.0,180.0,111.0,26.0,2.0,41.0,94.0,118.0,54.0,19.0,71.0,5.0,9.0,0.0,4.0,11.0,9.0,0.304054054,,,,,,,,,,,0.081818181,0.107575757,0.76056338,0.362121212,0.5625,0.924621212,0.258445946,0.284253578,,,,,,,,,0.25151515,0.39644915860454305,38.754054127472955,112.67473992540272,36.69097092582615,13.0,19.079799614846706,-7.26851749420166,2.599214119836688,,5.73148250579834,35.25602832329696,62.666524563778694,6.562925930854099,6.562925930854099,,-1.4349426025291905,3.6659605014901038,147.23776940547174,-1.4349426025291905,2.9445719718933105,-10.591245651245117,13.535818099975586,38.06399917602539,4.061071395874023,0.974179744720459,,0.0,3.9934186935424805,-0.9708019866653981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.99384413855297,98.74268396185302,90.4738918652496,109.25470261105382,140.9371503054873,198.76628215856692,98.74369343423311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.07407407,162.0,660.0,Ben Oglivie,Ben Oglivie,OF,OF,1009746,MIL,MIL,23,,0.02564103,
L,112651,Cecil Cooper,MIL,1980,30.0,30 - 30,1980,1980,153.0,622.0,678.0,219.0,157.0,33.0,4.0,25.0,96.0,122.0,39.0,15.0,42.0,2.0,8.0,7.0,16.0,17.0,6.0,0.352090032,,,,,,,,,,,0.057522123,0.061946902,0.928571428,0.387481371,0.538585209,0.92606658,0.186495177,0.344582593,,,,,,,,,0.15634218,0.4026480326201858,43.04931381633697,118.98601831784664,40.929964709190706,8.0,19.600157786160707,-9.747941970825195,2.670101777650416,,-1.7479419708251953,41.852673649533706,62.37499124251963,6.561859802224277,6.561859802224277,,0.922708940343,4.80121818701441,151.2962703220312,0.922708940343,3.2993297576904297,-10.18264389038086,13.481973648071289,56.0620002746582,5.83699369430542,0.9404627680778503,,0.0,4.181456565856934,-0.673258400358355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.8451759651464,69.42086395447777,52.09888797654675,116.90605397600518,134.94518142781385,143.43019709349159,119.70071991834388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.18518519,162.0,678.0,Cecil Cooper,Cecil Cooper,1B,1B,1002592,MIL,MIL,23,,0.07189542,
R,120927,Willie Randolph,NYY,1980,25.0,25 - 25,1980,1980,138.0,513.0,642.0,151.0,114.0,23.0,7.0,7.0,99.0,46.0,119.0,4.0,45.0,2.0,3.0,5.0,6.0,30.0,5.0,0.294346978,,,,,,,,,,,0.185358255,0.070093457,2.644444444,0.427001569,0.407407407,0.834408976,0.113060429,0.310344827,,,,,,,,,0.26635514,0.3838414536644874,31.460498100818832,103.36516519516869,29.89093411594792,2.0,18.559441443532705,4.167798042297363,2.52832646202296,,6.167798042297363,33.77504291138309,61.03060885923612,6.455193509270643,6.455193509270643,,3.884108795435168,6.603487531557484,139.5620303927778,3.884108795435168,3.66605544090271,-9.594878196716309,13.260933876037598,37.91910171508789,3.860003709793091,0.9897190928459167,,0.0,3.1595606803894043,0.5445766525189097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3864597996318,223.70054393149567,58.95034370131853,128.8295959739259,102.07793592164948,86.95280958898314,107.80724264511494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.96296296,162.0,642.0,Willie Randolph,Willie Randolph,2B,2B,1010694,NYY,NYY,9,,0.0,
L,119551,Dwayne Murphy,OAK,1980,25.0,25 - 25,1980,1980,159.0,573.0,702.0,157.0,124.0,18.0,2.0,13.0,86.0,68.0,102.0,7.0,96.0,2.0,3.0,22.0,12.0,26.0,15.0,0.273996509,,,,,,,,,,,0.145299145,0.136752136,1.0625,0.383823529,0.380453752,0.764277281,0.106457243,0.308351177,,,,,,,,,0.3005698,0.3506463357810634,16.445539597471992,95.0702690370882,16.008348647555152,22.0,20.293968681246042,0.0,2.7646186547353864,,22.0,15.170222877458485,60.228810213439914,6.25092561529346,6.25092561529346,,-0.8381257700966671,4.500444950959284,119.37686596591537,-0.8381257700966671,2.11489200592041,-11.389692306518555,13.504584312438965,18.6289005279541,2.0398623943328857,1.0248850584030151,,0.0,1.7522701025009155,0.31127057318797924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.82373306706059,175.3550051994245,115.01195352783722,115.80245543865071,95.3245646753966,81.87441407945754,107.11469071384194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.33333333,162.0,702.0,Dwayne Murphy,Dwayne Murphy,OF,OF,1009359,OAK,OAK,10,,0.0,
L,111687,Al Bumbry,BAL,1980,33.0,33 - 33,1980,1980,160.0,645.0,738.0,205.0,158.0,29.0,9.0,9.0,118.0,53.0,78.0,8.0,75.0,3.0,3.0,9.0,9.0,44.0,11.0,0.317829457,,,,,,,,,,,0.105691056,0.101626016,1.04,0.392318244,0.432558139,0.824876383,0.114728682,0.34751773,,,,,,,,,0.2195122,0.3706248443930225,28.64941908077956,111.30618592755557,27.246354069874293,2.0,21.334685023874044,0.0,2.906393970362842,,2.0,31.573187242226346,57.81426623646323,6.114372943697033,6.114372943697033,,4.326833172352053,7.33405758495081,131.37083996411602,4.326833172352053,1.8212577104568481,-10.931097984313965,12.752355575561523,28.56529998779297,2.842357873916626,0.9047858119010925,0.4544000029563904,1.0,2.834897756576538,-0.8219818968217205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.11311723835433,127.55378343356851,85.47001144765476,118.36537506427776,108.37957591485309,88.23583395690989,120.72032456203803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.55555556,162.0,738.0,Al Bumbry,Al Bumbry,OF,OF,1001649,BAL,BAL,2,,0.0,
