Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
L,122566.0,Tris Speaker,BOS,1912,24.0,24 - 24,1912,1912,153.0,580.0,675.0,222.0,147.0,53.0,12.0,10.0,136.0,90.0,82.0,,,6.0,,7.0,,52.0,,0.38275862,,,,,,,,,,,0.121481481,,,0.464071856,0.567241379,1.031313235,0.184482759,,,,,,,,,,,0.48287291102066726,73.6019735772386,154.4608993072286,73.79624932894853,8.0,20.640817936509848,-3.777777671813965,1.9116849638521671,,4.222222328186035,77.90517443308977,104.67989966163782,10.595016091903975,10.595016091903975,,4.108925104141235,7.445358480002051,189.8926457337756,4.108925104141235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.47347371298946,146.467695154503,,136.01030541364185,158.13924389493928,213.96772714555544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.38311688,154.0,675.0,Tris Speaker,Tristram Speaker,OF,OF,1012309,BOS,BOS,3,,0.0,
L,116432.0,Joe Jackson,CLE,1912,22.0,22 - 22,1912,1912,154.0,572.0,653.0,226.0,153.0,44.0,26.0,3.0,121.0,90.0,54.0,,,12.0,,15.0,,35.0,,0.395104895,,,,,,,,,,,0.082695252,,,0.45768025,0.578671328,1.036351578,0.183566433,,,,,,,,,,,0.48331523894516276,71.41836689817966,149.64189060437738,68.33109196680844,6.0,19.968080166727304,-6.938271522521973,1.8493781946599483,,-0.9382715225219727,69.46834553438485,90.34753237325013,9.145576069067884,9.145576069067884,,1.1372535675764084,7.3507264441878455,186.039687812774,1.1372535675764084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.00459083496528,99.7039454981686,,134.13705179374625,161.32575947637346,212.90494928703274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.21290323,155.0,653.0,Joe Jackson,Joe Jackson,OF,OF,1006301,CLE,CLE,5,,0.0,
L,112431.0,Ty Cobb,DET,1912,25.0,25 - 25,1912,1912,140.0,553.0,609.0,226.0,166.0,30.0,23.0,7.0,120.0,83.0,43.0,,,5.0,,8.0,,61.0,,0.408679927,,,,,,,,,,,0.070607553,,,0.455906821,0.584086799,1.03999362,0.175406872,,,,,,,,,,,0.4853149233959281,67.51373506422128,140.46645472283447,64.67005349035348,2.0,18.622604627162218,-3.4567902088165283,1.7247646562755108,,-1.4567902088165283,71.1411597960719,90.0317388706931,9.118837336969987,9.118837336969987,,6.471106305718422,8.02082315682627,187.31313333968788,6.471106305718422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.98666517937846,85.13005820541004,,133.61729474146898,162.83551973184836,203.4412859553524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.95454545,154.0,609.0,Ty Cobb,Ty Cobb,OF,OF,1002378,DET,DET,6,,0.0,
L,110480.0,Frank Baker,PHA,1912,26.0,26 - 26,1912,1912,149.0,577.0,644.0,200.0,129.0,40.0,21.0,10.0,116.0,130.0,50.0,,,6.0,,11.0,,40.0,,0.34662045,,,,,,,,,,,0.077639751,,,0.40442338,0.540727902,0.945151282,0.194107452,,,,,,,,,,,0.44079757584214774,50.02671021413822,127.17211491060276,51.718292029619406,9.0,19.692869260907173,4.5987653732299805,1.8238890618085861,,13.59876537322998,54.76574370455761,89.88126740050335,9.09439530341045,9.09439530341045,,3.047451674938202,7.7436592384948035,166.0316200970471,3.047451674938202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.21066522671542,93.60863308325587,,118.52851389078276,150.7476441967694,225.13068728799203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.20915033,153.0,644.0,Frank Baker,Home Run Baker,3B,3B,1000453,PHA,PHA,10,,0.0,
R,123784.0,Honus Wagner,PIT,1912,38.0,38 - 38,1912,1912,145.0,558.0,634.0,181.0,119.0,35.0,20.0,7.0,91.0,102.0,59.0,,38.0,6.0,,11.0,,26.0,,0.324372759,,,,,,,,,,,0.093059936,0.059936908,1.552631578,0.394863563,0.49641577,0.891279333,0.172043011,0.339181286,,,,,,,,,0.16403785,0.41895786889292075,38.93019968880923,114.87769437445911,32.955661764877156,20.0,19.38707936555147,8.827160835266113,2.4336293758824468,,28.827160835266113,33.2298839302233,83.87775350692334,8.471703277566165,8.471703277566165,,0.27422216534614563,6.781331119514675,139.46899828203817,0.27422216534614563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.70562687743178,107.16213342655453,68.81531466308675,112.77423056927009,130.12658024704703,170.09758734755292,111.02773252398637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.17105263,152.0,634.0,Honus Wagner,Honus Wagner,SS,SS,1013485,PIT,PIT,27,,0.0,
L,112506.0,Eddie Collins,PHA,1912,25.0,25 - 25,1912,1912,153.0,543.0,673.0,189.0,153.0,25.0,11.0,0.0,137.0,64.0,101.0,,,0.0,,29.0,,63.0,,0.348066298,,,,,,,,,,,0.150074294,,,0.450310559,0.434622467,0.884933026,0.086556169,,,,,,,,,,,0.42836768564230165,46.04479838847239,126.66414211629947,47.81255391924698,6.0,20.579659957438707,0.0,1.90602071210742,,6.0,53.612838945678064,82.09851961522419,8.30983655144356,8.30983655144356,,5.800285026431084,7.8303082260623835,158.41448123746613,5.800285026431084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.74129544745603,180.94145513520087,,131.97714075679215,121.1668803716331,100.39001395982257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.39869281,153.0,673.0,Eddie Collins,Eddie Collins Sr.,2B,2B,1002451,PHA,PHA,10,,0.0,
R,124771.0,Heinie Zimmerman,CHC,1912,25.0,25 - 25,1912,1912,145.0,557.0,619.0,207.0,138.0,41.0,14.0,14.0,95.0,99.0,38.0,,60.0,6.0,,18.0,,23.0,,0.371633752,,,,,,,,,,,0.061389337,0.096930533,0.633333333,0.417637271,0.570915619,0.98855289,0.199281867,0.399585921,,,,,,,,,0.180937,0.4605483762833124,57.19652371829516,131.34715338772304,50.90058022713429,0.0,18.92839452251792,3.055555582046509,2.376051393803209,,3.055555582046509,50.62834344780213,74.98834494616978,7.5973604443492215,7.5973604443492215,,-0.27223677933216095,6.613392610705411,162.4377736736166,-0.27223677933216095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.56389462708245,70.69220768174311,111.28877600519056,119.27847060954252,149.65539291810984,197.02843249363914,130.80060896148245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.07236842,152.0,619.0,Heinie Zimmerman,Heinie Zimmerman,3B,3B,1014444,CHC,CHC,17,,0.0,
L,113949.0,Johnny Evers,CHC,1912,30.0,30 - 30,1912,1912,143.0,478.0,568.0,163.0,128.0,23.0,11.0,1.0,73.0,63.0,74.0,,18.0,2.0,,14.0,,16.0,,0.341004184,,,,,,,,,,,0.13028169,0.03169014,4.111111111,0.431407942,0.441422594,0.872830536,0.10041841,0.352941176,,,,,,,,,0.16373239,0.41990154185450035,35.27701433913617,103.31830295340924,29.49979963319211,13.0,17.368866056203842,0.0,2.180286254733801,,13.0,27.238611126112033,59.787763437049676,6.040250014470633,6.040250014470633,,-2.261188507080078,5.925145141972681,139.43538232636283,-2.261188507080078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.63815173378072,150.02442992027224,36.38437531374278,123.21141599110351,115.71109556209439,99.2829012175181,115.53190020521708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.73684211,152.0,568.0,Johnny Evers,Johnny Evers,2B,2B,1003876,CHC,CHC,17,,0.0,
L,114617.0,Larry Gardner,BOS,1912,26.0,26 - 26,1912,1912,143.0,517.0,590.0,163.0,118.0,24.0,18.0,3.0,88.0,86.0,56.0,,,1.0,,16.0,,25.0,,0.315280464,,,,,,,,,,,0.094915254,,,0.383275261,0.448742746,0.832018007,0.133462282,,,,,,,,,,,0.394720520707373,25.570607449339917,96.24729808740524,25.740418847130826,7.0,18.041603825986385,4.413579940795898,1.6709542647004128,,11.413579940795898,26.055575798677495,57.18171383016019,5.784104309230852,5.784104309230852,,0.315156951546669,6.976802962052069,135.87213653984412,0.315156951546669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.70880355855373,114.43734776648155,,112.33041743885302,125.1034236622198,154.79289931477646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.83116883,154.0,590.0,Larry Gardner,Larry Gardner,3B,3B,1004528,BOS,BOS,3,,0.0,
L,113531.0,Larry Doyle,NYG,1912,25.0,25 - 25,1912,1912,143.0,558.0,629.0,184.0,133.0,33.0,8.0,10.0,98.0,90.0,56.0,,20.0,2.0,,13.0,,36.0,,0.329749103,,,,,,,,,,,0.089030206,0.031796502,2.8,0.392857142,0.471326164,0.864183306,0.141577061,0.329545454,,,,,,,,,0.13672496,0.4095371441020594,34.206804655551046,109.55534433579359,28.37411104893598,5.0,19.23418441787362,0.0,2.4144367151893675,,5.0,30.460939519166082,57.10956065222907,5.779421957583599,5.779421957583599,,2.0868284702301025,6.451212062213379,134.25207953918056,2.0868284702301025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.62339967298492,102.52174270102267,36.506492632477254,112.2011906494712,123.54978549992248,139.97613945420503,107.87353557356244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.08441558,154.0,629.0,Larry Doyle,Larry Doyle,2B,2B,1003467,NYG,NYG,30,,0.0,
