Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BSN,113975.30777760177,1875.9999999999998,21.478188199899716,1875.9999999999998,1875.9999999999998,39.0,31.0,2.50632865142967,91.0,70.0,14.14462220814193,0.965151275146523,7.0,631.3,732.0,450.0,176.0,7.0,104.0,14.223665452241407,0.0,77.0,1.0965053759715857,1.4810315779562573,0.7611674334341835,10.424247219466082,0.09969709927674786,0.2905252769045477,1.3228087552691485,0.29777488106655275,0.4660003022905117,2.627452789291532,11.766583981617647,3.4391485825181007,0.22718578424973304,-0.6252285530225667,-0.13622223185255838,-0.761450784681868,26.89133533977507,109.31717038741769,114.60017210436934,2.587923383096629,-0.1211241378618621,98.03252678203488,232.11316532866792,44.02849958194685,102.83497573775817,131.24937743279565,101.79226031506255,110.49050755444975,101.58473191245254,100.22931488626274,0.0,0.0,0.0,0.0,2.6631659417075877,70.0,186.42147798869044,16.0,1003884.7913828607
CHI,122170.19682110247,1876.0,25.1136286777139,1876.0,1876.0,52.0,14.0,1.7553320118200095,75.0,66.0,47.83581332431518,7.145079472438281,4.0,591.4000000000001,608.0,257.0,116.0,6.0,29.0,1.0929996618194115,0.0,51.0,0.7750619789307153,0.4408567073297879,1.7995434562056136,9.223288879346136,0.0912281549487708,0.26568442265249687,1.0737939540751027,0.26986045682989784,0.6124711394893472,2.3399267788402685,61.02244121139497,6.610953716095537,14.311727424638171,6.1798086933871,2.868097876743147,9.047906786023859,55.58741968211024,72.83928323487228,97.09763278391343,2.347857031755243,-0.5845947670202591,69.29403710395601,69.09281835563503,102.61560598706049,90.98754741337328,120.10016969632505,93.0886916293538,89.69099918794944,92.06183564795106,131.73288179848302,0.0,0.0,0.0,0.0,7.24410398884004,65.99999999999999,478.11093816510873,17.000000000000004,1011919.81044978
CIN,115108.2265943012,1875.9999999999998,22.484882108183076,1875.9999999999998,1875.9999999999998,9.0,56.0,3.5909208359110347,74.0,65.0,21.37788331071913,0.0,0.0,589.6,850.0,575.0,238.0,9.0,34.0,10.595318860244232,0.0,60.0,0.9148281821481079,0.5182518545939077,2.602470601724898,12.904605215057622,0.12199639750829355,0.33609602391781046,1.4914285632946143,0.34200918742418535,0.35625466671302575,2.3791090220215323,13.975036245612793,3.1300681470893323,-4.2011672506276945,-2.728839377878332,-2.635139847111103,-5.363979445901803,25.55223880597015,164.45308525743707,108.95584238710707,2.3392598487677656,1.2118118138895027,81.78976613582849,81.22249396818553,152.41526874074268,127.30365428380239,160.60598892210524,117.75902710434252,124.5748474851125,116.67509190715305,76.62475942838698,0.0,0.0,0.0,0.0,3.3506719080732696,65.0,217.79369745269074,1027.9999999999998,1004994.8821234734
HAR,111792.80769230769,1876.0,22.423076923076923,1876.0,1876.0,47.0,21.0,1.6730769230769231,69.0,69.0,37.73076923076923,5.653846153846154,0.0,624.0,570.0,261.0,116.0,2.0,27.0,7.653846153846154,0.0,114.0,1.6442307692307692,0.3894230769230769,5.068892647307692,8.221153846153847,0.028846153846153848,0.24447824180098274,0.9567307692307693,0.2562984270009201,0.5647669,2.039526280378684,56.475595034085785,8.949026823043823,10.884121821476864,2.6317273470071645,3.259571318443005,5.891298624185415,37.73076923076923,69.33024598889183,84.51545220492874,2.019759839576071,-0.36644935730176115,147.00164764594655,61.031935025570675,289.1592427771339,81.10150675694639,37.975425173893164,85.65861496089634,79.91303948072098,87.43520240262544,121.47245181686856,0.0,0.0,0.0,0.0,4.949828846153846,69.0,341.53846153846155,1033.0,1001751.3076923077
LOU,113447.02954898911,1876.0,26.902362204724408,1876.0,1876.0,30.0,36.0,1.6936236391912909,71.0,69.0,63.85847589424572,4.836702954898912,0.0,643.0,605.0,344.0,121.0,3.0,38.0,13.670295489891135,0.0,125.0,1.7496111975116642,0.5318818040435459,3.2222689278382584,8.468118195956453,0.04199066874027994,0.2485403000994469,1.0,0.2610468155851064,0.47931786178849134,2.0825811713146014,110.41356240451614,10.430412468500435,15.153451867783978,0.20769196563338047,5.068529789383823,5.2762217258869395,65.81181959564542,66.99424653732007,82.38013889647807,2.0402896252510048,-0.38895753212331086,156.42313328945775,83.35863391085373,187.2597083827538,83.53780478263185,55.27993462327216,87.08185117682149,83.52719704517571,89.05509653074333,103.09371221774218,0.0,0.0,0.0,0.0,8.723710808709177,69.0,601.9362363919129,1043.0,1003379.836702955
NYM,118335.58490566038,1876.0,24.0,1876.0,1876.0,21.0,35.0,2.9377358490566037,58.0,57.0,53.56415094339623,1.9471698113207547,0.0,530.0,718.0,412.0,173.0,8.0,24.0,2.920754716981132,0.0,37.0,0.6283018867924528,0.4075471698113208,1.500943399471698,12.19245283018868,0.13584905660377358,0.32354601666903043,1.4,0.32656305283725734,0.4514801192830189,2.4258893669776196,38.924166663792334,3.409362462349236,-2.299760479107499,-1.2543052153169827,-4.300731164694957,-5.555036380085743,54.54716981132076,131.23677501008189,108.3711749690711,2.3968243487138206,0.5118464820789842,56.173022854180964,63.87241502047146,87.94567115973871,120.27828624736244,178.84275704535344,113.36184136396561,116.93807586324597,111.40570371874486,97.10625269058356,0.0,0.0,0.0,0.0,8.81701262264151,57.0,502.5698113207547,1053.0,1008152.5886792453
PHN,120416.16727272727,1876.0,26.475563909774436,1876.0,1876.0,14.0,45.0,3.2236363636363636,67.0,60.0,23.71090909090909,0.4254545454545455,2.0,550.0,783.0,534.0,197.0,2.0,41.0,13.690909090909091,0.0,22.0,0.36,0.6709090909090909,0.8900534791636364,12.812727272727273,0.03272727272727273,0.33461853088716437,1.4981818181818183,0.33727266924713484,0.35238379449090906,2.424345627698032,31.35352052119645,6.085940167307854,-3.3890593441508035,-3.3354477700455623,-2.7609063609621742,-6.096354303305799,29.452727272727273,131.98195574665482,99.25743162350112,2.56338587384164,0.7992907359383321,32.18562390563883,105.14754381779126,52.295162664203836,126.39728034893125,43.08484601547151,117.24135319730196,125.13892793677232,115.0592473218383,75.79219557028327,0.0,0.0,0.0,0.0,4.082848527272727,60.0,244.9709090909091,1002.0,1010191.7763636364
STL,111341.39168110919,1876.0,22.993067590987867,1876.0,1876.0,45.0,19.0,1.216637781629116,65.0,64.0,62.563258232235704,15.889081455805892,0.0,577.0,472.0,229.0,78.0,3.0,39.0,33.76429809358752,0.0,103.0,1.6065857885615251,0.608318890814558,2.6917358429116116,7.362218370883882,0.04679376083188908,0.22480870424086907,0.8856152512998267,0.23528411760412446,0.5568844919757365,2.146781424137294,41.315301265419045,3.4224537909030914,15.374039438403045,3.4261344255979593,8.500610406725205,11.9267445955574,63.563258232235704,57.57080566123866,101.58482093578837,2.107862149348237,-0.930143642508178,143.63601656329286,95.33815846859797,153.55233402504325,72.62812667490623,61.603116053317144,78.76693686345556,73.9729596015334,80.26625323286085,119.77706938705195,0.0,0.0,0.0,0.0,8.891486585788563,64.0,569.0554592720971,1070.0,1001305.4471403813
