,teamIDfg,Season,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
0,30,1934,NYG,29,93,60,3.19,282,153,68,12,30,,1370.0,5754,1384,583,486,75,351,,16,34,1,499,,,,,,,,,,,,3.28,2.31,1.42,9.09,0.49,0.257,1.27,0.272,0.71,3.91,,,,,,,,,,,,,144.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,98,,0.087,0.061,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,8.5,2.9,11.4,20 - 43,0.026000000000000002,,,,,,,4.04,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,85,111,91,90,93,90,93,106,98,89,,,,,,,,,,,,,,,,,,0,,,
1,28,1934,STL,31,95,58,3.69,300,154,78,15,16,,1386.2,5964,1463,656,568,77,411,,32,23,2,689,,,,,,,,,,,,4.47,2.67,1.68,9.5,0.5,0.265,1.35,0.291,0.695,3.81,,,,,,,,,,,,,191.9,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,91,,0.11599999999999999,0.069,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,0.5,2.5,3.0,21 - 43,0.047,,,,,,,3.79,0.19699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,99,131,95,91,96,96,100,104,131,100,,,,,,,,,,,,,,,,,,0,,,
2,17,1934,CHC,28,86,65,3.76,281,152,73,11,9,,1361.1,5838,1432,639,568,80,417,,19,32,3,633,,,,,,,,,,,,4.18,2.76,1.52,9.47,0.53,0.265,1.36,0.288,0.7,3.92,,,,,,,,,,,,,152.5,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,97,,0.10800000000000001,0.071,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,1.7,3.2,4.9,20 - 35,0.037000000000000005,,,,,,,3.91,0.19399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,102,119,95,97,96,96,99,104,123,104,,,,,,,,,,,,,,,,,,0,,,
3,9,1934,NYY,28,94,60,3.76,265,154,83,13,10,,1382.2,5936,1349,669,577,71,542,,11,13,3,656,,,,,,,,,,,,4.27,3.53,1.21,8.78,0.46,0.251,1.37,0.274,0.684,4.04,,,,,,,,,,,,,159.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,98,,0.111,0.091,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,7.0,0.4,7.4,22 - 40,0.019,,,,,,,4.12,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,93,130,89,81,92,90,94,103,125,96,,,,,,,,,,,,,,,,,,0,,,
4,6,1934,DET,28,101,53,4.06,282,154,74,12,14,,1370.2,5945,1467,708,618,86,488,,13,19,3,640,,,,,,,,,,,,4.2,3.2,1.31,9.63,0.56,0.269,1.43,0.293,0.682,4.1,,,,,,,,,,,,,186.3,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,,0.10800000000000001,0.08199999999999999,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,-0.4,2.8,2.4,23 - 35,0.026000000000000002,,,,,,,4.05,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,84,141,98,99,98,94,100,103,122,86,,,,,,,,,,,,,,,,,,0,,,
5,16,1934,BSN,32,78,73,4.11,290,152,62,11,20,,1359.2,5924,1512,714,621,78,405,,17,13,2,462,,,,,,,,,,,,3.06,2.68,1.14,10.01,0.52,0.275,1.41,0.289,0.669,4.12,,,,,,,,,,,,,82.5,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,108,,0.078,0.068,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,1.4,-1.1,0.3,23 - 39,0.01,,,,,,,4.24,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,99,89,100,95,100,100,99,100,89,99,,,,,,,,,,,,,,,,,,0,,,
6,27,1934,PIT,30,74,76,4.2,310,151,63,8,8,,1329.2,5827,1523,712,620,78,354,,31,18,2,487,,,,,,,,,,,,3.3,2.4,1.38,10.31,0.53,0.28,1.41,0.296,0.665,4.02,,,,,,,,,,,,,143.5,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,98,,0.084,0.061,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,-1.5,-1.1,-2.6,23 - 40,0.023,,,,,,,4.08,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,89,108,103,97,102,100,101,99,95,88,,,,,,,,,,,,,,,,,,0,,,
7,5,1934,CLE,27,85,69,4.28,297,154,72,8,19,,1367.0,6067,1476,764,650,70,582,,27,40,4,554,,,,,,,,,,,,3.65,3.83,0.95,9.72,0.46,0.27,1.51,0.291,0.665,4.31,,,,,,,,,,,,,181.5,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,94,,0.091,0.096,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,0.4,-0.2,0.2,22 - 35,-0.005,,,,,,,4.41,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,101,102,98,81,99,99,100,101,103,101,,,,,,,,,,,,,,,,,,0,,,
8,3,1934,BOS,29,76,76,4.32,291,153,68,8,9,,1361.0,6077,1527,775,653,70,543,,23,29,1,538,,,,,,,,,,,,3.56,3.59,0.99,10.1,0.46,0.277,1.52,0.297,0.6609999999999999,4.25,,,,,,,,,,,,,196.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,92,,0.08900000000000001,0.08900000000000001,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,-2.0,0.1,-1.9,20 - 40,-0.001,,,,,,,4.36,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,94,107,102,82,101,100,102,100,100,94,,,,,,,,,,,,,,,,,,0,,,
9,18,1934,CIN,30,52,99,4.37,334,152,51,3,19,,1347.2,6014,1645,801,654,61,389,,26,20,2,438,,,,,,,,,,,,2.93,2.6,1.13,10.99,0.41,0.294,1.51,0.311,0.638,3.98,,,,,,,,,,,,,133.4,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,99,,0.073,0.065,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,-7.6,-3.3,-10.9,22 - 43,0.008,,,,,,,4.26,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,96,88,110,75,107,107,106,95,83,94,,,,,,,,,,,,,,,,,,0,,,
