Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BOS,117880.15648155527,1936.0000000000007,29.527208987331687,1936.0000000000007,1936.0000000000007,72.0,72.0,4.25433930814287,250.0,146.0,14.155525456138953,2.211616604254641,8.0,1255.1,5540.0,1345.0,680.0,595.0,72.0,509.0,17.0,3.1576766791490716,0.30770456537327706,551.0,3.9449562387736927,3.638459960904107,1.190784694014023,9.62187756639373,0.5148036011808654,0.26774193354656145,1.4733708363664262,0.28939626687373704,0.6776933381810214,4.4341223104969,0.20360393804079355,39.95199852768973,20.386758344247937,4.774884986219468,0.4696143132672823,0.6679254606913478,1.137539771054026,34.8506095131862,81.65588726486254,88.46736704899865,0.0998863314022787,0.09064032093936739,0.009246012568719625,4.421441214958851,-0.17978300235402853,118.82943837719588,91.0413009021915,143.34886131432268,92.3650664418271,82.50541430655753,93.93287993493043,91.99802885178299,96.34460402651607,105.44796366131115,122.46662994184646,92.31497243460498,0.0,0.0,0.0,0.0,1.2975722396621785,155.0,201.123564809131,2.9999999999999996,1007714.2337662337
BRO,114808.6917603856,1936.0000000000002,27.96909188279397,1936.0000000000002,1936.0000000000002,63.0,78.0,3.8747441405570786,305.0,143.0,10.015607069084233,0.9260959375717237,17.0,1307.1,5733.0,1351.0,688.0,564.0,77.0,497.0,22.0,4.40945604773927,0.3249942621069543,611.0,4.199010714748135,3.4136257678504816,1.2947270083872695,9.283601095024821,0.5291795313449934,0.2581371892035072,1.4108029847639223,0.2807682028691935,0.6735365230441437,4.333242104540821,0.20750310390406243,25.31833615989148,11.750554032623768,2.7958230614279125,-0.34773986932811096,0.6648633421093246,0.31712345734139447,38.20641113916304,96.77845928674597,101.47007724816389,0.10767269161196542,0.08647457770484278,0.021198117725499198,4.278015983674452,-0.4584979639837411,123.41907161111371,118.37240706202621,109.74353143628228,93.98420223624653,107.79906144562194,94.48447315067861,99.49531492683228,96.49771186781938,100.66505117392053,124.10816238381507,117.59327594808065,0.0,0.0,0.0,0.0,1.283702149797261,156.00000000000003,200.25754844260447,22.000000000000004,1004708.6139545559
BSN,117162.04628623945,1935.9999999999998,30.288244631965917,1935.9999999999998,1935.9999999999998,60.0,68.0,3.7605661107839716,254.0,125.0,9.26084050463698,0.8953128916367282,13.0,1196.8999999999999,5191.0,1289.0,589.0,503.0,61.0,391.0,22.0,2.8077533628540396,0.12783022808923053,361.0,2.7089528189355185,2.912030088910036,1.0323323759478655,9.675632286295254,0.45780810207531525,0.26901358359700395,1.3986291528005879,0.2814026491277206,0.6912568587225333,4.39878263764894,0.15560149585429026,9.819812854170072,4.218990710563958,2.0281340090016524,0.4589742022801224,0.6319256625337809,1.090899866696969,32.240120310802915,102.35696295304949,112.36134203416375,0.06997805436460858,0.07402177798646503,-0.0040437246002172295,4.580918048401357,-0.6382165268649684,79.62266940092465,100.97885196079449,87.64892167591825,97.95300037676795,93.26000119559876,98.4654973387059,98.63676893696751,96.71576580564185,103.31348751824339,80.65970699786675,100.65922020978248,0.0,0.0,0.0,0.0,1.1121592280056813,156.0,173.49707166369132,16.0,1006997.8153563373
CHC,117060.58439306357,1936.0,27.45350949628406,1936.0,1936.0,76.0,56.0,3.5586057464139085,263.0,134.0,12.76523534269199,3.3428571428571425,8.0,1211.0,5180.0,1243.0,534.0,480.0,65.0,396.0,28.0,3.3935590421139548,0.0,544.0,4.035378748836207,2.9354483255675055,1.4407309957902559,9.220485720420278,0.4823305315493312,0.26109837006180625,1.350659338443087,0.28391611728836197,0.7201468589149462,4.16143896296241,0.19352593699917423,25.000198358823994,13.171018935739994,4.068851825806545,1.0332569053210472,0.6580191452366866,1.6912760405991192,39.13864574731626,88.85794134854669,97.15230392738313,0.10485921056977704,0.07609149137489678,0.02876771706275805,4.187180746734088,-0.602833216548501,118.60953272429451,101.7909131622303,122.11910768605846,93.34524241124623,98.25546062870744,95.56833717725904,95.2537510116972,97.57962404840553,107.63131286600225,120.86522481292982,103.47374177629881,0.0,0.0,0.0,0.0,1.3532903476465732,154.0,208.40644930064627,17.0,1006910.0390586292
CHW,118622.63067971925,1936.0000000000002,28.99316586627263,1936.0000000000002,1936.0000000000002,63.0,56.0,5.102379267555927,211.0,116.0,11.546361285555966,0.6338197266346509,8.0,1082.8,4893.0,1276.0,704.0,615.0,78.0,462.0,17.0,4.981806427779831,0.0,330.0,2.7385312052538446,3.8326922373914343,0.7467321839979683,10.586926798645038,0.6470327090991496,0.2884111992411024,1.6021798928929414,0.29852992412258816,0.6405936658237902,4.964403181778656,0.1775189900932767,22.821652340842736,10.175868157297373,2.203175396109733,-0.21387392018949547,0.4076453051607234,0.19377137463069188,27.991872922053933,100.02131440262306,100.74906428207728,0.06742716929165128,0.09420328676948653,-0.026776120886590326,4.853706777006163,0.13797608577727064,82.48966665341194,95.90136788619269,90.14274879161952,101.6290417773535,103.69721892323052,101.18435387145836,100.04093224460549,99.38534328849978,99.67531588471327,82.66975280005863,95.94377078457126,0.0,0.0,0.0,0.0,1.1559473069818988,153.0,176.859783135616,4.0,1008441.7954377539
CIN,116200.18809135396,1936.0,27.491924959216966,1936.0,1936.0,69.0,71.0,4.1759527446243725,290.0,135.0,7.0561174551386605,0.5590538336052202,23.0,1226.0000000000002,5413.0,1419.0,680.0,570.0,47.0,361.0,26.0,3.07389885807504,0.7091353996737356,425.0,3.112904033979469,2.6450279731128363,1.384573806728385,10.39749189307494,0.3444260502454304,0.2817176148117849,1.4491688740208641,0.3007974775996666,0.6480009724730832,4.06470939926839,0.15408199200244693,21.2870363500583,12.480847584083676,1.107319554656768,-0.36362137481217766,-0.5764656703208146,-0.9400870365648246,34.4353181076672,107.31586744600806,97.501550940046,0.0790020476574225,0.06643170177977162,0.012570347288743884,4.381549184449679,0.1112433453559816,91.49577173948255,91.72016770921931,117.35911737848546,105.26087569102692,70.16296503289024,103.11548093820983,102.2010266918993,103.38160812854747,96.84857280238654,91.06114916946578,90.33777950031288,0.0,0.0,0.0,0.0,1.0851458972267536,153.99999999999994,167.11263837534293,17.999999999999993,1006073.7675367045
CLE,114147.99552766359,1936.0000000000007,28.191516987665004,1936.0000000000007,1936.0000000000007,80.0,74.0,4.830604619740464,312.0,157.0,9.36947269710741,0.8989396234581258,12.0,1386.3,6267.0,1604.0,862.0,746.0,73.0,607.0,27.0,5.090023804371349,0.43446584433383834,619.0,4.011995936509373,3.9308373257606353,1.0342869850090168,10.387689875244105,0.47266807596735066,0.28307500706884287,1.5909474667783043,0.30897046018359614,0.6500453537791243,4.473588606603813,0.20805915682752646,27.2610842243857,18.753941706381738,2.287695207536943,0.06853042505454444,-0.25983719087326684,-0.1913067654397575,32.368534949145214,96.30441188830542,92.6776931735828,0.09978064830844696,0.09658795925196566,0.0031926921936088893,4.494081055997399,0.3570160131366509,120.84879908710938,98.357147699164,124.50937791618132,99.71646998036172,75.75253037802403,99.31223809195757,99.33957381109775,102.86116322041768,101.1459825371963,122.33705771864896,98.37249821056345,0.0,0.0,0.0,0.0,1.0320537134819303,157.0,162.03229254138066,5.0,1004063.7406044868
DET,116982.86210207548,1935.9999999999998,28.105842381268925,1935.9999999999998,1935.9999999999998,83.0,70.0,4.984106932868156,278.0,154.0,12.596129699386953,2.2828864761060634,13.0,1353.9,6063.0,1560.0,863.0,751.0,99.0,561.0,20.0,3.611123421227565,0.398330748208878,525.0,3.4843299437617454,3.723280026531348,1.037537206931088,10.353251441413262,0.6570899706407449,0.2837810706990372,1.5640590519938453,0.2997353158487005,0.6419791070655144,4.773946218448668,0.1957827167102445,27.45524352107867,13.666026547551155,2.729658084005212,0.016706609871205164,0.2485081999046701,0.2652147818931545,33.06233842972154,100.12156931666574,99.41727855356908,0.08748019476549226,0.09200010504468573,-0.00451990937735431,4.58663228092479,0.21016071441948714,104.95451540592025,93.16366289058463,124.90064575034678,99.38587876186106,105.30905405487172,99.55994897281568,97.66064743488427,99.78663729897087,99.89088826294439,107.25596226117048,93.69988102034496,0.0,0.0,0.0,0.0,1.2058296100155106,154.0,185.69782249134553,5.999999999999999,1006834.7042617622
HG,,1936.0000000000002,26.496834488996083,1936.0000000000002,1936.0000000000002,21.0,17.0,4.917150207661766,67.0,39.0,3.554115164305095,0.0,7.0,331.7,1500.0,359.0,228.0,182.0,16.0,143.0,14.0,0.2411817907747965,,145.0,3.9156616088163867,3.862381120143181,1.0670471984172447,9.692482070209635,0.4316957778233337,0.2658524793192816,1.506095910039202,0.2883482453940864,0.5847720593367501,4.480613317026818,0.20249859462466085,6.242787781216705,3.0980538120493293,0.5754562485890106,-0.35296518491951145,0.34151836189943685,-0.011446830386142623,10.032861018993067,101.99310036327867,101.5549507401111,0.09703062146819416,0.09484054248115768,0.0021900776545070856,4.506112412278135,0.4365368906349479,86.630467937131,112.09699975671508,81.3411447168277,95.92678785365293,71.28085025826968,96.4199090912556,100.03875318744333,95.68674696993584,96.51294842471407,86.53427022530964,110.9549575351854,0.0,0.0,0.0,0.0,1.412937609285499,39.00000000000001,55.10462234722479,1137.0,1015772.487790172
NBY,,1935.9999999999995,30.846597047173205,1935.9999999999995,1935.9999999999995,17.0,15.0,3.6049049846643504,48.0,32.0,5.010803024846956,0.23838674828952103,1.0,277.70000000000005,1236.0,324.0,144.0,112.0,13.0,81.0,4.0,0.2524306805905653,,144.0,4.641349627970953,2.6088735242807943,1.9657206615556355,10.432005587706403,0.4194182336807994,0.28075493696479664,1.4489865679985774,0.31212140041642544,0.6830560580050413,3.8007647057035885,0.19298654259992792,10.972800051732415,4.751777417957783,1.6139633218587774,0.6667117558062198,-0.10838970728822217,0.5583220527044218,10.774936982355058,74.77409075851558,87.4533136702322,0.1170566063449766,0.06523523462729564,0.05182136933381346,3.9105369292352825,-0.19585972103923868,102.6856583382068,75.71673683144026,149.84713790198066,103.24587444693512,69.25360368667724,101.82476224551631,96.24540421476696,103.57573504472253,112.73410401465797,104.39393120499005,76.31939586712193,0.0,0.0,0.0,0.0,1.969634223982715,32.99999999999999,64.99794156850993,1137.9999999999998,1015335.8138278717
