Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
BOS,117739.79891924805,1912.0000000000005,25.107770758809654,1912.0000000000005,1912.0000000000005,104.0,44.0,2.6475781923630266,204.0,148.0,21.66138975568917,3.933937133724028,6.0,1313.8999999999999,1185.0,510.0,388.0,18.0,370.0,34.0,3.2899764061191874,0.5610777075880966,692.0,4.732803701236252,2.5255470006970695,2.0088818301149254,8.096712517729507,0.1232301975713555,0.24065721443725246,1.1802510576029532,0.27718128688361626,0.6945481945947181,2.894203715808816,34.31792510456306,17.530548641458154,6.090682253605592,1.0016383110747662,1.4067169721752566,2.408355245137291,35.77958748763224,80.80418109322184,91.44226580132899,2.8925083986316595,-0.24662552344578892,111.48885177226846,81.25190714770928,147.26112491611119,90.91419458755173,95.96273938365917,92.64824265326301,88.41437974964684,94.45947821252699,107.9063659346937,0.0,0.0,0.0,0.0,1.6128361732247507,154.00000000000003,248.37676619468138,3.0,,1007572.5677753254
BRO,119343.42280078893,1911.9999999999993,25.43921104536489,1911.9999999999993,1911.9999999999993,54.0,88.0,3.625148113621729,231.0,144.0,10.817357001972383,1.8408678500986189,7.0,1267.5000000000002,1318.0,697.0,511.0,41.0,470.0,29.0,3.1437475345167645,0.34500986193293876,529.0,3.752689520755354,3.334688179140453,1.2499829401617353,9.349949583422356,0.2908262920435561,0.2684476378281648,1.4094041958403123,0.2944040515324418,0.6445926776047336,3.6148026007969585,16.621857043988484,8.758597479667515,2.021181269409153,0.1673108206980327,0.174299398952217,0.34161021943158165,30.944930966469425,110.13575427210196,106.7283231395864,3.493967310812728,0.010345512824770526,98.62537630979116,104.37388054972823,104.95751592391616,101.7929576962406,123.2511988852608,101.02012571615523,102.4590143419924,100.4154504530008,99.2534980533102,0.0,0.0,0.0,0.0,1.1752253514792896,153.0,179.80962661863546,22.0,,1009142.5494280076
BSN,116996.3865132769,1912.0000000000002,29.330873308733086,1912.0000000000002,1912.0000000000002,52.0,101.0,4.132956785153539,246.0,153.0,14.289052890528907,0.5022067867737502,5.0,1382.1,1535.0,864.0,638.0,43.0,516.0,40.0,6.100716301280659,0.7671659069531872,540.0,3.511918919582822,3.346022107466567,1.1208917939497867,9.972028784062946,0.2798156760959141,0.2812973654231315,1.479783432392168,0.3061965403329817,0.605086303010636,3.6738527347663865,24.68137527743829,15.094132400117815,0.9651356946649207,-0.8073722851993584,-0.7070064300063547,-1.5143787122453727,34.6337457492222,114.66092583634187,99.09941799612258,3.584721960722022,0.45910405038715146,92.29762363703718,104.72862618641736,94.18624632161715,108.56553771814703,118.5849370886527,105.85563519414437,107.57535160601323,104.43763720180544,93.170360566015,0.0,0.0,0.0,0.0,1.3825225215252155,153.0,211.52614358219967,16.0,,1006851.1592504161
CHC,117566.00263578273,1911.9999999999998,28.27065234560101,1911.9999999999998,1911.9999999999998,83.0,55.0,3.367968867353588,235.0,140.0,14.053388090349076,2.443847733375454,9.0,1266.2,1203.0,616.0,475.0,31.0,464.0,42.0,5.761096193334386,0.19823092718369925,522.0,3.702310144190378,3.2883809475077332,1.1889302320075816,8.530612347774031,0.2200022724312241,0.25113310547783174,1.3132214772535293,0.2767877410305907,0.6602789247330596,3.538965104693157,19.86269130499621,10.732320937735494,3.306783512592448,0.14507411382980603,1.186776219807298,1.3318503445649557,34.000631811720105,100.59873737109557,102.6652490950721,3.4974361732917205,-0.1709962373395692,97.30134325443377,102.92449002102579,99.83109353384864,92.87282825349158,93.23621892675759,94.50445566259079,95.466849445492,94.40687229262727,101.6688449811845,0.0,0.0,0.0,0.0,1.347097756278629,152.0,204.75915407121434,17.0,,1007434.7786289685
CHW,119650.95037220845,1912.0000000000002,28.441527255262947,1912.0000000000002,1912.0000000000002,69.0,68.0,3.0956284812961354,237.0,139.0,15.555991355158888,2.891219082686304,16.0,1249.3,1233.0,582.0,431.0,23.0,385.0,32.0,6.013047306491636,1.7916433202593451,625.0,4.4922002469769415,2.7654923221428787,1.7594640406427602,8.858892795787913,0.16514328042845203,0.25739376544321607,1.2915983464367542,0.29239489925156026,0.6696089325430241,3.0871783480732335,27.26919626689631,11.850216887891293,4.340295276163644,0.8650212835187728,0.5922335335876137,1.4572548660329885,39.65660770031218,96.32065334313924,99.22944537064187,3.0621210323638626,0.008450133222902733,105.82104796269886,88.97142888825147,129.05293671209324,99.4723601341812,128.6016081532423,99.09148202344001,96.75557242694005,99.64406300957735,104.0317533103953,0.0,0.0,0.0,0.0,1.4509059065076444,158.0,229.24326381593275,4.0,,1009441.213799728
CIN,116204.22513166677,1911.9999999999995,26.869669131376497,1911.9999999999995,1911.9999999999995,73.0,77.0,3.3943047441357144,238.0,152.0,16.763370669831613,2.465247385208812,10.0,1348.1000000000001,1432.0,708.0,511.0,28.0,446.0,58.0,4.981307024701431,0.3421111193531637,551.0,3.665854164292593,2.9597120924569427,1.3757571695245159,9.51854432367967,0.18611934628538,0.2713280305256673,1.38647293512629,0.2990108257630112,0.6567409983124397,3.4179241762311627,29.894703183629048,14.574120102683082,3.5865201464119187,0.7164757919285216,-0.15044092277863394,0.5660348912797314,35.2907054372821,99.37133912598179,97.08221019887445,3.4038178129059706,-0.02361943209544762,96.34323448570262,92.6373381271628,115.60115793516705,103.62844965367847,78.87674943082017,102.10405267773218,100.7919876811436,101.98673083141269,101.1240799087371,0.0,0.0,0.0,0.0,1.4603992812105926,154.99999999999997,226.36157853468424,17.999999999999996,,1006078.6142719381
CLE,115681.84203092477,1911.9999999999998,24.453464168896815,1911.9999999999998,1911.9999999999998,75.0,77.0,3.2693628065290867,233.0,153.0,15.290291406482307,1.1377490336009515,7.0,1345.2,1356.0,675.0,490.0,15.0,521.0,47.0,5.233348201011002,0.1645851917930419,621.0,4.147099352472482,3.4757547329160285,1.2697053468071662,9.051282295463349,0.10025959852640726,0.261837157147515,1.3918930031532641,0.2955384709073164,0.6609768566622063,3.335042006701252,21.459277507083872,13.466051212046295,2.8543033822213357,0.579940137464593,0.023219066476288068,0.6031592299354739,32.15722569134701,95.70193493713461,100.60840146493562,3.4160525194792566,-0.06567920017216643,97.69163780697342,111.82199371033545,93.0380900644818,101.6326117636906,78.07490301659902,100.80209948315765,104.26879582858096,100.71534794971502,102.65147279276516,0.0,0.0,0.0,0.0,1.2915351620576865,155.0,200.1879677151485,5.0,,1005564.7209336902
DET,118449.47845653007,1911.9999999999998,26.43690157027958,1911.9999999999998,1911.9999999999998,55.0,63.0,3.7615201357289023,160.0,124.0,18.30601302183072,1.2439678284182303,3.0,1044.4,1063.0,573.0,440.0,12.0,416.0,51.0,7.52202221371122,0.03657602451168135,362.0,3.1150055214442203,3.56308345495354,0.9255068448563768,9.111038291683254,0.10287192981173171,0.26126394725053703,1.4082357496263105,0.2846329890412642,0.6416348042091152,3.6386175475496794,15.862307262053866,7.344665051670745,2.437103094693597,-0.1285019240244704,0.9415750153908845,0.8130730696711639,27.17493297587131,110.16097879048895,109.54692073593826,3.767160385285403,0.12290258817922221,73.37899705398252,114.631533668357,67.84436617402089,102.30358387196459,80.10919713653027,100.58142506975744,105.49305551766334,96.99891334366608,99.68563840314712,0.0,0.0,0.0,0.0,1.2697539678284182,153.99999999999997,195.54202866599914,6.0,,1008269.3736116429
NYG,117942.57157464212,1911.9999999999998,27.24145486415425,1911.9999999999998,1911.9999999999998,103.0,48.0,2.582385818592835,230.0,154.0,16.73853345018989,1.0204498977505112,15.0,1369.2,1352.0,571.0,393.0,36.0,338.0,24.0,4.855828220858895,0.0,652.0,4.283892453648891,2.22090248237922,2.3561694322889277,8.883963885461014,0.2365408368925527,0.2575798506748935,1.233874040871137,0.289016144682132,0.6918985349824716,3.0311530390239065,34.775242492867825,19.47208857163787,5.022886264929943,1.0614410051251586,0.39688182197405897,1.4583228259251335,36.865761028337715,77.72531230057626,88.16808971480081,2.9608479027870227,-0.4487672204310715,112.58605407535929,69.51300929977603,197.84085266388692,96.71976858260798,100.2452066058861,96.93044463956983,89.69855377396061,98.57774105139279,106.53758903450837,0.0,0.0,0.0,0.0,1.5110356076541043,154.0,232.69934218437604,30.0,,1007773.112766579
NYH,117483.44067796611,1912.0,27.094599921166733,1912.0,1912.0,48.0,94.0,4.073060666164808,198.0,143.0,15.910051241623963,0.43303113914071734,3.0,1268.5,1382.0,791.0,576.0,27.0,399.0,44.0,3.604808829325975,0.6288529759558534,591.0,4.179689855918162,2.821726366936045,1.5633443293448956,9.777203288819278,0.19122040092272932,0.27730114235015907,1.3998810728617026,0.3106865004057258,0.5839640510957824,3.2403563229593657,23.532780417984384,15.611703645437956,1.077183460415138,-0.8925798349978185,-0.5029129981333123,-1.395492836121715,27.294442254631456,116.76011809176448,95.81157290483559,3.212784660550856,0.8327043432054433,98.45935986713194,90.78059077865117,114.46942797692492,109.78363877627581,148.90857809394686,106.75542632104721,104.86719413046677,105.87758302862397,90.72579723436696,0.0,0.0,0.0,0.0,1.2405940969649192,153.0,189.81106941680244,8.999999999999998,,1007324.2033898303
