Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,SD,MD,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
ANA,121384.39163967302,1999.0,31.912231991362027,1999.0,1999.0,62.0,83.0,4.86479559818536,542.0,142.0,6.626484652167207,0.16435292302946167,0.0,37.0,1296.6,5700.0,1337.0,764.0,703.0,166.0,575.0,17.0,50.0,5.773330248341818,0.2933826931975937,828.0,5.73144415454601,3.978541690875171,1.5009587232099337,9.253550868056063,1.149215266685326,0.262146416276617,1.4702325065479152,0.2856238000701818,0.6955496256331946,4.961654262499776,0.2758451544786365,13.684130270177183,110.11016148581852,2.4690449153051506,38.05985252833007,12.072003748393731,11.421660811640322,1.197659622453476,-0.29683750452620006,0.3490656542653667,0.05222816232344206,-1.3735314849764109,-8.758973206791492,8.673614473390844,-41.663002133369446,-3.9341282844543457,0.9996569551771103,0.980231580201903,0.9807238281350504,1.2661197694183743,383.0,34.0293074194046,-0.18943958248631065,0.6385146357674021,5.142680857627641,3.349760913157489,98.33221332319323,101.5120117635085,0.1462692501642758,0.10056344439379918,0.04570580642603734,4.99668861621316,-0.09685866431441567,91.89357222259665,106.97862883323108,89.22911530409473,95.83513318348992,97.88310744134603,96.6810150096332,98.93371996732179,94.96387682602912,99.86185788800714,93.07068525886827,107.31292542624811,0.0,0.0,0.0,0.0,0.6759277541261762,162.00000000000003,109.50048232229335,1.0,2.743710021321961,285016.7099336727
ARI,118826.79660383007,1998.9999999999989,31.10592459605026,1998.9999999999989,1998.9999999999989,93.0,53.0,3.7940008195041477,418.0,162.0,14.951750448833032,2.9494314781567916,0.6632256134051464,18.0,1336.8000000000002,5689.0,1272.0,620.0,566.0,162.0,478.0,37.0,44.0,3.962821663674445,1.1380161579892278,1075.0,7.217097900929404,3.203867222952566,2.5105765976787846,8.532082696277623,1.0867712588535958,0.24490406821950425,1.3039944354700208,0.2822186724208628,0.7548054076331537,4.266039174885754,0.30343680879114293,38.32686661986205,194.01137510629803,0.9897102075732581,21.68202037034663,31.56561827108393,20.364965384826064,4.140128289318653,0.4358886729802975,0.493657108064393,0.9295457984699951,7.658365814946592,-11.995187408700344,13.473788653385702,109.25329727679491,10.643125064205378,1.0546842618270094,1.0027163966011496,0.9580015933736045,1.2373059763873535,314.0,34.179458408138835,1.3047923315418153,0.9955816779355791,3.195840813883901,1.7549371633752242,81.20306048094362,91.41536931592933,0.19174125513165766,0.08329568776406343,0.10844556488853976,4.243811496878277,-0.4720383553816051,107.8194560563807,85.83096113479624,139.71931048360472,92.19589106092594,96.03042970415528,93.46568329687324,90.36647432183248,95.52369699282193,106.46727346240822,112.73574886062501,87.82204031169606,0.0,0.0,0.0,0.0,1.0463496932974266,161.99999999999997,169.50897276034115,14.999999999999998,1.4092342988242044,78859.53111909036
ATL,123874.47469180565,1998.9999999999998,28.724437998549675,1998.9999999999998,1998.9999999999998,98.0,55.0,3.5943180218074495,516.0,154.0,13.25358955765047,1.4405366207396664,0.13495286439448875,44.0,1379.0,5833.0,1300.0,615.0,556.0,135.0,476.0,53.0,25.0,2.7709209572153735,0.20232052211747642,1132.0,7.371252828850165,3.054450542068182,2.7248295502791877,8.429602125067428,0.8768196248118788,0.2416134937412773,1.2760058519039565,0.2827027453359552,0.7414523321022479,3.8347656866381175,0.2991437541646121,45.02612891486739,197.7591203254989,7.527458545701283,46.13466103870062,35.81071417143135,26.173673370853066,3.8383999379061327,0.04791270205432795,0.2301086055751731,0.2780213179148159,11.535836056398693,-11.161266808421056,12.345223541421733,98.23460239171982,9.873895112425089,1.0333692008369646,1.0149972899936444,0.9797967052433422,1.286665657815959,372.0,38.15213923132705,1.5550348298513395,-1.606973789566792,5.818781725888324,2.006671501087745,79.55673240972011,83.7572185519011,0.19606728111457578,0.07994308462944162,0.11612419462726613,4.151667954845237,-0.24044766483066857,110.12244552735443,81.82811818362703,151.80937458422255,91.08850756319234,77.47846168893219,92.20986180610454,88.42687277957934,95.68754311280777,104.61608136515693,115.2792693496229,84.28725464335908,0.0,0.0,0.0,0.0,1.0018172922407542,162.0,162.29441001003553,16.0,0.4113490836829323,59020.27606961567
BAL,121733.0379881851,1999.0000000000002,29.126435838529705,1999.0000000000002,1999.0000000000002,70.0,70.0,4.762684333905468,460.0,139.0,10.263866097801115,2.833114538890712,0.5663767640301937,33.0,1218.8,5309.0,1257.0,693.0,646.0,164.0,525.0,26.0,41.0,4.316458811946177,0.1379225467673121,794.0,5.854600733028767,3.871380968546959,1.6910187001936332,9.267241892644028,1.209418108263675,0.26447060469279077,1.4598469845767763,0.28819943566465067,0.7093030986002624,4.970903639331774,0.2784029684525763,22.032681596904702,155.74726012040466,0.30724258349269506,33.49872476122997,18.46915143221362,10.466039911378175,2.0789242756085655,-0.0596743099615198,0.36855715952337115,0.30888286304837725,-1.3310198979452252,-10.951443584976044,11.456724380191128,0.8410018086433411,0.49844396114349365,0.9917404223038636,0.9721594623770551,0.96970784724784,1.2035835567377102,325.0,33.036921562192326,0.248768872439294,-2.13005643406722,3.95553002953725,2.5775352806038727,101.16458303186398,103.6439612882249,0.14988763414752215,0.09783884229980308,0.05204879568920249,4.920572762742671,-0.2082193054263054,93.86817018330723,104.09719437051238,100.83153550868448,95.97692536505511,103.01081621907969,97.5381882578541,98.23486565833932,95.82022122478641,101.81966089217548,95.37305236316453,104.40545569389612,0.0,0.0,0.0,0.0,0.8969150623564165,162.0,145.30023901432526,2.0,5.460118655240606,153478.56022317032
BOS,121801.83708517058,1998.9999999999993,29.569041540960786,1998.9999999999993,1998.9999999999993,88.0,64.0,3.9191701681458113,474.0,155.0,8.80273845439777,0.9403573915061498,0.16484876614837163,45.0,1292.7,5498.0,1256.0,637.0,565.0,145.0,397.0,16.0,48.0,2.257213583971532,0.0,1027.0,7.129127701381032,2.752518097991705,3.5574272546143724,8.718519457852247,1.0061789358043531,0.2469379280767113,1.274559728427106,0.2872505614762012,0.7183485784327376,4.031135559448452,0.28712892326990014,31.597999704975038,127.16629013101894,3.653963266266693,31.402919309926318,26.78231393272384,22.961704364977777,2.9894016650829918,-0.1043883681792718,0.2497374037688596,0.1453490401410333,11.98488550260663,-8.342180659727484,9.889715419813196,105.41320197284222,9.683577951043844,1.0126918701121181,0.981430350913695,0.9748731656029356,1.094673449749188,344.0,35.50143111317397,1.2793734176443903,-1.118151058967178,7.095459116577707,3.013150769706815,79.7109596999678,86.89882214874709,0.19044020959077898,0.07087220667440242,0.11956800391583511,4.110342228386725,-0.11196539130264091,114.30295640084877,74.01219714177044,212.12116253965672,90.29403796660002,85.70015012298329,91.07204237207715,85.7666625463933,95.50474061171018,103.10447545162017,121.17653397277553,75.62890870601764,0.0,0.0,0.0,0.0,0.758391314303396,161.99999999999997,122.85935965598372,2.9999999999999996,-0.8971111990502573,475281.4253887213
CHC,125338.53599313599,1998.9999999999995,28.16044616044616,1998.9999999999995,1998.9999999999995,51.0,73.0,5.13231800014366,466.0,135.0,7.269669669669669,1.5602745602745602,0.3383097383097383,17.0,1165.5,5188.0,1306.0,734.0,667.0,181.0,435.0,35.0,20.0,4.243672243672244,1.0775632775632775,828.0,6.374185689187423,3.345540548890029,2.1687667289420847,10.050729043738468,1.3929216993858067,0.2751486535155616,1.4884743991809442,0.30155608693341607,0.6848778502042042,4.895670535216553,0.2781340635727156,19.5492715753574,135.04861552191906,-0.48115470545100314,42.3210530021361,15.332752003193104,8.604648023843765,0.7152121241750607,-0.5549430298117551,-0.2247570949217048,-0.7797001103099861,-4.851919853372237,-9.804148329521233,9.596443217382829,-69.60019984841347,-6.170344028621912,0.9393433279543939,0.9154987676784601,0.9177446009922955,1.0905409903989436,356.0,34.961904761904755,-0.48451700421527233,0.5723622524407338,3.361046761046761,3.1017589017589016,112.78926162543722,105.2536042850818,0.16037747390647789,0.08293712853625054,0.07744034591248392,4.615874144415784,0.23664746492710795,95.22681322114944,89.62636115801246,120.94221011160299,108.60606407432842,123.08281825318409,105.00828792275031,103.15088769823376,102.068909996188,96.63363897420234,94.2951720457387,87.44399519293455,0.0,0.0,0.0,0.0,0.7914332458172458,162.0,128.2122638740032,16.999999999999996,-0.27801808887141183,267509.12277992273
CHW,125335.6390594474,1999.0000000000002,26.470276304772543,1999.0000000000002,1999.0000000000002,75.0,86.0,4.9208321664838275,571.0,162.0,8.173248674295284,0.787329053865476,0.14582751883896178,39.0,1433.1999999999998,6452.0,1608.0,870.0,787.0,210.0,596.0,31.0,61.0,5.307284398548703,0.5840775886128943,968.0,6.0573526759558725,3.7188123244126916,1.879645812032515,10.057488682646074,1.3145190267110192,0.2755265351426105,1.5307001118954184,0.3006880097888058,0.7153880249344126,5.053323541833742,0.27536319461066155,15.221346370180852,157.77267888296404,3.9503511040112613,34.63928208916471,13.33424306728654,11.325817285105586,1.3747156470688595,0.11988345336921756,0.010846811992728685,0.13073025690404655,-3.076848271244671,-10.714608245629796,10.334250112064705,-52.54279776662588,-4.878570074681193,0.9690376792906402,0.9212251972982847,0.934184241876048,1.1105269220231728,409.0,37.857382082054144,-0.4934247332777668,-1.6063027526888658,5.677295562377896,2.670248395199554,100.81251398695564,104.10325894447445,0.15197776781258726,0.09102924678342172,0.060948522350683786,4.813776031054871,-0.1324913753499153,97.1189390660269,99.99479062044921,112.07893403445486,104.1611788962167,111.96266779188204,101.61567515600258,103.0026581168331,99.97240817337959,102.70228780601064,96.70299765264814,97.13882390228024,0.0,0.0,0.0,0.0,0.8268585982416969,162.00000000000003,133.9511817556718,4.0,-1.0,484686.8645687971
CIN,121733.58167241121,1998.9999999999998,28.17660722313802,1998.9999999999998,1998.9999999999998,87.0,63.0,3.9338548599924548,517.0,141.0,7.429042409710775,0.6178630301213847,0.39292671961636444,55.0,1334.6,5663.0,1175.0,637.0,585.0,173.0,571.0,40.0,42.0,5.01423647534842,0.20260752285328937,992.0,6.670054088796842,3.8402310055041475,1.8990417545384388,7.9009537316656075,1.1626384643781922,0.23171965234619898,1.3045760819077505,0.25753659735889944,0.748451430665368,4.705182300374701,0.30656652446350974,15.921120690517737,133.74429738863896,4.2056617066815525,46.575405667024064,14.121607673770214,12.67048529908061,2.369898666082142,-0.10589900961124545,1.1297388046753252,1.0238397917539277,7.415338050574064,-9.352350685300541,10.033844119309933,94.14600007236004,8.867586295120418,1.0183837008418437,1.010505674253466,1.0057587117732543,1.2257833876294957,356.0,40.83807882511614,0.6594871619129273,-0.6880457134173864,7.8639292671961645,4.296343473699985,84.87965329825782,99.9265438567915,0.1755374967188671,0.10056838003821371,0.07496911526150159,4.6455289019375465,-0.7713274403822468,99.64692367940599,102.87901939903398,105.90088082398505,85.3760442148387,102.73428784139178,88.43395619071451,90.40678226828514,87.16945508831361,105.54100337734545,103.20862438580679,106.03334386468727,0.0,0.0,0.0,0.0,0.7837272388730707,163.00000000000003,127.7475123913878,17.999999999999996,19.205122732123797,185441.46897946953
CLE,119516.3069695695,1999.0000000000005,30.0891880521666,1999.0000000000005,1999.0000000000005,95.0,64.0,4.797922577593621,613.0,160.0,9.192329266582528,0.43962978544383685,0.14373860608610295,46.0,1426.1999999999998,6273.0,1474.0,831.0,763.0,193.0,620.0,53.0,53.0,4.6574814191558,0.101949235731314,1107.0,6.959162731741144,3.8977946227705744,1.8816055893374009,9.269004734885687,1.2132635147999955,0.2622229115681497,1.4629777064062512,0.2970626105575015,0.7073706522072641,4.750127200378384,0.3063005951149909,23.372079970961046,152.37446920160164,3.0894761948138125,32.59436561099944,19.577320500448202,15.747580802999437,2.0330448560914296,-0.028453943744728098,0.22628207563087563,0.1978281385031122,5.777893808204681,-9.971662793364397,10.800390914855171,56.60699974000454,4.777702922001481,0.9940140440055734,0.9636361504966936,0.9722839694488233,1.1338231625860744,453.0,37.05104473425888,0.830888683999501,-3.5602115689115714,5.246739587715608,2.9070256625999167,96.55413275572032,97.58252193227285,0.1773554962354509,0.09834673488851495,0.07900876095428411,4.59705314952234,0.04779537721523629,111.57786865825494,104.80742860477926,112.19579107391733,95.9951823804884,103.33834436116223,96.70922688654488,98.44553570909211,98.76703955226971,101.46341669562008,112.85077022000364,104.94743746711346,0.0,0.0,0.0,0.0,0.8361988514934792,162.00000000000003,135.46435436893526,5.000000000000001,-1.7145988601490576,165044.893002384
COL,119778.61400698894,1999.0000000000005,28.61903028538148,1999.0000000000005,1999.0000000000005,69.0,89.0,6.009228786838959,529.0,162.0,7.3103523587652885,1.7965200931857892,0.14349155503785674,33.0,1373.6,6321.0,1632.0,990.0,920.0,226.0,702.0,42.0,59.0,5.682513104251603,0.2301980198019802,980.0,6.405016588825487,4.586449667403707,1.525194594542079,10.661464463102051,1.4758304069575199,0.2925745062935205,1.6942126811673064,0.3224243661882903,0.6784474886357018,5.4997441860682885,0.3022416901725393,17.079756302756373,158.66799648437814,1.5032553737637737,47.77567326323543,12.789135864463375,8.63099591806531,1.2004476362957588,0.6485187370552078,-0.6689103200411165,-0.020391581078311127,-7.378367506666109,-11.789502410507632,11.245732241347843,-112.58380180597305,-9.594439327716827,1.0168768177820329,0.9466084707541689,0.933732194743063,1.0730170914542025,381.0,36.49919918462435,-0.8574317369732657,1.1752031720295406,4.995267909143856,3.164239953407106,108.25656872122266,108.4278291936401,0.15613282023005243,0.11060889593185791,0.04552392148660454,4.998871217238153,0.5094846007706689,95.6874098313571,122.87006787592306,85.05313303081984,115.20554255984045,130.4088850307748,111.6587255768233,117.40849698736936,109.13228098863418,95.72633955004332,91.79949497722062,116.61946912126702,0.0,0.0,0.0,0.0,0.8307148398369248,162.00000000000003,134.57584025419655,19.000000000000004,18.657584014532244,278935.5437536401
