Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
BAL,114210.65616246499,1883.0,24.0424178154825,1883.0,1883.0,17.0,32.0,4.0459708778070045,56.0,49.0,16.865498406918526,0.45766954938552573,0.0,439.4,512.0,379.0,198.0,7.0,83.0,5.492034592626308,0.0,136.0,2.7792137124068406,1.6970374411261915,1.747940708092854,10.461908898770666,0.1432483250418176,0.2889548822352068,1.3509940377663174,0.31030673407824294,0.36986362747837964,3.4111221868753665,17.242048051989944,3.827612482011318,-0.5223937368814816,-1.7784897499312093,-0.18325073606875958,-1.961740531037491,19.4055530268548,123.02305661115327,103.92503472080652,3.5051525875997456,0.6348486909316382,88.32991581096125,108.90714227082293,86.56605940279094,111.47983815192562,96.60651672192084,107.04154248350976,111.1134909120921,105.72767604966688,77.32098476536859,0.0,0.0,0.0,0.0,1.6740607464724628,95.99999999999999,160.71003320318056,1006.0000000000001,,1004108.2758306782
BSN,119288.92906976744,1883.0,23.88372093023256,1883.0,1883.0,63.0,35.0,2.5534883720930233,107.0,98.0,45.4546511627907,2.146511627906977,3.0,860.0,853.0,456.0,244.0,11.0,90.0,28.696511627906975,0.0,538.0,5.630232558139535,0.9418604651162791,7.337617257988371,8.92674418604651,0.11511627906976744,0.26010415879987864,1.0965116279069766,0.30837987980914555,0.5249717034186047,2.4852016071940577,76.96744708508946,12.939622405916452,8.495649268980635,1.5074609544561353,0.1609581207986488,1.6684191108789554,53.736046511627904,83.93177654443613,81.46638446079618,2.247345718991063,0.06828676489896539,151.26009113134464,64.94098014846894,285.90438379114903,90.65447145812061,71.75512689890333,93.0505778193314,87.35341436075305,99.78731710877916,107.82140071624715,0.0,0.0,0.0,0.0,4.452469453488372,98.0,436.34186046511627,16.0,,1009084.4372093023
BUF,114353.67168603271,1883.0,26.148790998324156,1883.0,1883.0,52.0,43.0,3.313632821625562,105.0,96.0,57.83270097225516,3.8896134692909645,2.0,843.4000000000001,954.0,564.0,311.0,12.0,95.0,22.691723974389376,0.0,355.0,3.783925330737202,1.012029493894457,4.78921587266303,10.166639146002645,0.12788021035455976,0.28362621164517415,1.2420742933219,0.31469408860069115,0.47825928265235945,2.937318568065335,85.36016501353791,10.921745612286031,9.004695657898647,0.43168288387600234,1.0727141647479714,1.5043969709167326,61.38973203699312,103.90359272486445,91.89305559684732,2.9182880900530543,0.3763142535602263,101.65777069617944,69.77911241295295,186.60796346289845,103.24607483733556,79.71123455344348,101.46543984556908,98.94963961165769,101.83050473620462,98.22736219168543,0.0,0.0,0.0,0.0,5.383287819539956,98.0,527.5620767635447,1014.9999999999999,,1004272.6527152002
CHI,113673.96818762338,1883.0,24.811680018576574,1883.0,1883.0,59.0,39.0,2.77731841410232,106.0,98.0,45.81121560431905,2.5377917102055036,1.0,861.3,942.0,540.0,266.0,21.0,123.0,15.331359572738883,0.44479275513758276,299.0,3.1216016108215787,1.284174203158188,2.3835717575734354,9.835387420848274,0.21927463063072428,0.2788418684890127,1.2355068471118291,0.3013992187144961,0.5075494699756182,3.307230682644511,59.81895949021691,10.098826253088191,6.296214938027947,0.3597233589995092,0.7378322104205985,1.0975556185199355,51.23627075351214,83.75823043819078,99.53667311629926,3.2455418974556784,-0.529912268542191,83.86398594601754,88.54340374524168,92.98192124922846,99.88208798640737,136.67987771809382,99.75387207510025,98.4264451142356,97.52847505101649,104.24313232955916,0.0,0.0,0.0,0.0,4.395405343086034,98.0,430.75010855654926,17.0,,1003602.0334378266
CIN,121427.46386515816,1883.0,27.27938120526437,1883.0,1883.0,61.0,37.0,2.2635206145163527,100.0,98.0,47.618102054952665,4.3156314938813205,0.0,866.2,766.0,413.0,218.0,17.0,168.0,0.0,0.0,215.0,2.233103735468499,1.7445377347635522,1.2848431472939275,7.95366237518725,0.17659588435876536,0.23789680077090333,1.0775777899945334,0.25058306110609163,0.5737252237889633,3.596482087531931,36.11322135403769,6.3527345191687346,11.708163452235139,3.1004104747210506,5.637748132526695,8.738158920484363,48.60886631262988,68.77594739228037,109.48255712284859,3.6828813379626397,-1.3329614730155785,70.9732627147461,111.95546702294912,63.631339201096296,84.75250576929837,119.0960749478024,88.12739313981045,88.62617201005018,85.37863281264937,119.93879876574876,0.0,0.0,0.0,0.0,4.375401623181713,98.0,428.78904552191074,18.0,,1011188.4077580235
CLE,116595.93384948195,1883.0,23.618891842159066,1883.0,1883.0,55.0,42.0,2.2219481717303227,108.0,100.0,33.659341910508935,2.1118068996925876,2.0,878.3000000000001,818.0,443.0,217.0,7.0,217.0,16.301491517704655,0.0,402.0,4.115651973775394,2.221608586870146,1.900691817859501,8.373780637133555,0.0716663325045372,0.2474667345842132,1.1772654693337443,0.28010944850244224,0.5826452200535124,3.185596743709822,31.900226977987703,7.3409943100996315,7.460914588496759,2.516670073462667,2.2380364049231556,4.754706485402023,38.86952066492086,72.56588255673375,103.81794081199841,3.2181455665552177,-0.9636485719795003,110.56983635927749,153.17920698560243,74.17921897791116,85.03891698298874,44.671586197860385,88.52962117318867,93.78665555203882,90.6394100035884,119.372894123183,0.0,0.0,0.0,0.0,3.1898951463053624,99.99999999999999,318.98938194070985,1018.0,,1006455.9344187634
COL,118554.6713798147,1883.0,23.572403705509505,1883.0,1883.0,31.0,64.0,3.932159119120757,102.0,95.0,39.66504144319843,2.4524622135543637,0.0,820.4000000000001,960.0,640.0,359.0,16.0,204.0,0.0,0.0,216.0,2.368623525799689,2.2367653914499006,1.078380940351048,10.51586999362743,0.17530910114509266,0.2920320797177559,1.4169594872308144,0.30897328562123405,0.4622141000414432,3.7285837772673673,18.365168677760092,2.5184001559391618,0.08943120862785522,-0.6240333387621839,-0.7760327337393722,-1.4000660723619258,42.00950755728912,126.0045402421699,119.6974983675747,3.8019419313386265,0.2035753418533904,75.2803988004797,143.54410857984908,53.74705033510776,112.05483590609644,118.2282697290477,108.18147118971626,116.53886746053642,105.27334363915593,96.627098878583,0.0,0.0,0.0,0.0,3.66917566552901,96.99999999999999,355.90988878201756,1017.0,1089.0,1008380.857142857
DET,121467.60227992399,1883.0,22.29081697276757,1883.0,1883.0,33.0,53.0,3.6215948772350623,100.0,88.0,29.644965167827735,1.815452818239392,2.0,789.5000000000001,912.0,577.0,319.0,22.0,164.0,8.447751741608611,0.0,291.0,3.3124354145604005,1.8636963827915816,1.930664829270424,10.369651552696803,0.24880932035352066,0.2881876219901945,1.3592608817209317,0.31267806442636653,0.4844656118505383,3.500658449068832,27.925265673642826,4.808137960731983,2.1260480965293604,-0.3497607793621223,0.09670280212367764,-0.25305796146694803,36.79645345155161,116.8340275459152,112.71582146830939,3.369370913520373,0.12093642816623036,88.99086805015814,128.50127410613786,75.2268097838326,105.30774279204941,155.08965803851734,103.09725484704232,108.28528946106545,101.1781481566937,99.50205059257534,0.0,0.0,0.0,0.0,2.8856058366054462,100.99999999999999,291.4461852067025,1030.9999999999998,,1011215.9169094362
LOU,119698.34196060465,1883.0,26.981676591846085,1883.0,1883.0,52.0,45.0,3.502375683866225,100.0,98.0,47.81768208886852,3.4651855245075582,0.0,873.2,987.0,562.0,340.0,7.0,110.0,0.0,0.0,269.0,2.7712279604397527,1.1333242936417744,2.5595345015529083,10.167550264644948,0.07211395229958749,0.2857313542083225,1.2556527286985246,0.30836965176880954,0.4904414807352267,3.122242766412248,54.844930297066675,9.289622255600989,3.382177282727152,0.33405480071376675,-1.574543077793899,-1.2404882462436704,49.33417315620705,108.55147612986039,96.97911543344351,3.3152276500168933,0.38013291745397776,88.07610992486073,72.73092926265413,127.34325563515081,108.3432162210261,48.633572062222456,105.84740653547739,103.27207534510232,105.06767357984721,102.52810858828971,0.0,0.0,0.0,0.0,4.423132984425102,98.0,433.4670276091397,1044.0,,1009491.3398992212
NYG,123112.41339491917,1883.0,23.445727482678983,1883.0,1883.0,46.0,50.0,2.941108545034642,109.0,98.0,32.88568129330254,2.287528868360277,0.0,866.0,907.0,577.0,283.0,19.0,170.0,25.016166281755197,0.0,323.0,3.356812933025404,1.766743648960739,2.47267389613164,9.42609699769053,0.197459584295612,0.2704873396041555,1.24364896073903,0.29503007883118976,0.47470011129330253,3.3843073593826825,29.619435790986444,6.1497789565473795,2.9153772078230804,-1.0682737665093884,1.46146577628067,0.3931920288633942,40.70323325635104,95.12674254776203,109.24418216282425,3.310322941517551,-0.4431988143480402,90.18310077196554,121.8164138787036,96.34575935467721,95.72558857173465,123.08196236910356,96.76509348835576,99.07508522652226,95.4675125081975,97.49636211880404,0.0,0.0,0.0,0.0,3.3018566974595847,98.0,323.58198614318707,30.0,,1012829.6062355659
