Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,SD,MD,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
ATL,117602.27947932616,1974.9999999999995,29.658403522205198,1974.9999999999995,1974.9999999999995,53.0,66.0,3.6811030276553365,294.0,120.0,13.4854517611026,6.716405053598773,0.7940275650842264,17.0,1044.8000000000002,4581.0,1108.0,514.0,429.0,80.0,382.0,34.0,31.0,5.04115620214395,1.4635336906584988,484.0,4.149790395728233,3.2729835191536347,1.335315357472243,9.505585781025962,0.6870703260948525,0.2657336775309559,1.419841033353289,0.28555051053627767,0.7174703642017608,3.836888946627947,0.2055739339519525,20.300316362714263,174.04020053116412,1.3381471919529326,27.781522526509345,19.425004205388365,10.912537668831646,2.6014047628914594,0.6705538584040632,-0.1976463594925832,0.47290753223099824,-4.010093731805682,-14.221828434050115,14.246532904389232,-52.43980070948601,-5.750549321062863,1.0513133750396773,0.96314154558561,0.9289658053018037,1.2564931770937613,178.0,34.716213629402745,-0.7178696154803607,2.7635929721007946,3.0301493108728934,2.1511294027565078,94.17739316370549,99.30624913847117,0.10539724164720517,0.08255325544601834,0.022843990586715154,3.9110190915069554,-0.15578591897261113,82.16054218679152,94.29347976911758,91.7662866083029,108.4006255198543,108.0416039289685,105.86834978102024,104.40007488373075,102.69243098707298,99.79372677548952,80.53907732933772,91.79357945265903,0.0,0.0,0.0,0.0,1.1035062720137823,161.0,177.66433326518913,16.0,,1007447.7221477791
BAL,117279.83749128919,1975.0,28.98696864111498,1975.0,1975.0,90.0,66.0,3.14936576053988,297.0,159.0,16.957909407665507,13.088850174216027,3.749477351916376,21.0,1435.0,5881.0,1269.0,544.0,503.0,109.0,491.0,44.0,12.0,6.089756097560977,0.5039721254355402,712.0,4.45724977369942,3.071647458512458,1.579358928563763,7.945868567659362,0.6830818357365278,0.2355013597192453,1.2241684473524246,0.2539713670872367,0.7598755699059234,3.632394382659732,0.22312634852264812,27.978393388858134,219.98121317179377,1.3968700896620643,23.384495369601385,26.866538374548593,16.71821605041623,4.8138777315598436,0.5136843587979933,1.3902081167840687,1.9038924672124904,3.4497196450829506,-14.604089144750755,15.765511591153587,66.86509808897972,7.576768886297941,1.0292488340184645,0.996767127174551,1.0968748350905715,1.7562708848863213,146.0,34.33449477351916,0.8258535676171763,-0.349250387515945,2.2758885017421604,2.1045993031358883,87.38017364598764,97.7686040615928,0.12156515609965154,0.082984671856446,0.03858048510662021,3.722181145255473,-0.48302862211985226,90.17373571876736,88.36033166255947,111.07286875084014,90.4482238919263,89.49053419887339,93.19211344090986,89.85626970811589,91.99781204183991,106.24465298281415,94.55095603195673,91.77567319889019,0.0,0.0,0.0,0.0,1.380717237630662,159.0,219.53401881914934,2.0,,1007127.5319163763
BOS,119603.58914134373,1975.0,28.93274323947589,1975.0,1975.0,95.0,65.0,3.9903357274960545,327.0,160.0,13.684206858098689,10.29878728742682,1.546905492054642,31.0,1434.8,6129.0,1463.0,709.0,637.0,145.0,490.0,24.0,20.0,3.732227488151659,0.0,720.0,4.510181633147071,3.0695167838161006,1.5386741482276278,9.164917738144437,0.9082714854866706,0.26017923087283285,1.3593816135511707,0.2771959121594657,0.7139047942026763,3.9618966398984172,0.2205151611534709,22.47703812958974,179.3376387035182,-0.4567961098740279,27.74273131750998,21.3680549480991,14.79283669963479,2.6146965397580013,0.3479095229020658,-0.011207196561997262,0.33670233445933206,5.9892965741455555,-13.718876225806167,14.495116390742762,46.594202399253845,4.530563686043024,0.9884484244965938,0.9587623768481918,1.0633589779995842,1.3888473274038502,167.0,33.97107610816839,0.6942621123896227,1.563199863010926,2.60091998884862,2.3838862559241707,97.13182134295762,100.21365995222234,0.11737325769236133,0.07952570919152495,0.037847549126707555,3.7309763800437445,0.028439087597638107,91.24458966397351,88.29903975801055,108.21159692769567,104.32472227198714,118.99262457501166,102.95758983037524,99.78117077570981,100.41060028965158,99.80325086839714,91.29058122201607,87.95028521846221,0.0,0.0,0.0,0.0,1.1930785147755785,160.0,190.89255104099504,3.0000000000000004,2.0,1009397.544047951
CAL,119092.80956441413,1975.0,25.858097065302353,1975.0,1975.0,71.0,89.0,3.910417195221109,328.0,161.0,12.665742911959072,8.796845022383287,2.058551836850707,11.0,1407.3,6047.0,1339.0,704.0,613.0,118.0,594.0,32.0,39.0,6.323314147658637,0.7294109287287714,946.0,6.039950915202585,3.7898191131959935,1.7898814224003412,8.541603869269533,0.7536567349897644,0.24588256917307807,1.3701581091628359,0.27967531526978884,0.7077884766382435,3.6799977092899487,0.27529077867050383,24.046323614462374,164.77443756380652,0.4410392280078278,19.17940682801834,22.86200581721088,15.197694744565524,1.9639305017485127,-0.6004143560171955,0.023638089670410076,-0.5767762784416698,-4.6347816457855515,-12.687178484963361,13.219273778363707,-57.891802340745926,-6.2205554358661175,1.0480522377537378,0.9832939559106468,1.0246664192109434,1.4617854560208978,185.0,30.481347260712003,0.2151189517429123,-3.0879556320768584,1.5873658779222626,2.7714062388971787,109.12022990997671,99.14401496280125,0.15836452426561498,0.09744502866268744,0.060919496381013294,3.454112991180763,0.2304194859311602,122.19304845682035,109.01956630962992,125.8784565774327,97.22950896876132,98.73654998319573,97.30014428297709,100.57218585070574,101.30873169688658,98.96191425690736,123.17277172951519,107.76788995035703,0.0,0.0,0.0,0.0,1.06174757194628,161.0,170.9414882873884,1.0,,1008903.5084203796
CHC,117245.08538816127,1975.0000000000002,26.836247896392774,1975.0000000000002,1975.0000000000002,73.0,78.0,4.536096219950251,441.0,149.0,12.846711055827907,4.534352820662911,0.8403453574303067,32.0,1366.6999999999998,6057.0,1502.0,778.0,691.0,126.0,521.0,56.0,40.0,3.7887612497256167,0.9891709958293702,824.0,5.410366376432772,3.4158841339640493,1.6542667782373603,9.857471883697151,0.8276382961427393,0.27243839672793396,1.4748173352956888,0.3015705900105536,0.6862080765734982,3.8067138179832902,0.24207257757664452,27.369169028606265,206.34515186329574,0.006621048884283607,18.78551564018409,20.488871772206405,13.737736404582392,1.008098753186624,-0.4636749006711586,-0.8061757165841987,-1.2698506636119438,-4.519492084160447,-14.722803364577771,14.490205237335422,-85.99279928207397,-9.096343152225018,1.0783190338101174,1.0355882393905982,1.0005114117544431,1.4636323664292241,282.0,36.7269334894271,-0.292955156721667,1.1285603725868343,3.137703958440038,2.858052242628229,116.38289199297955,99.47384097167394,0.13595556645789125,0.08507027365186216,0.050885296514963055,3.5745234126472307,0.7293824019669604,107.11833430779728,98.41039516229523,113.55087250174174,112.41349484953206,130.1458753087752,108.53951123757487,108.44244998403468,108.45372660769661,95.44542162537002,103.89015654166332,94.59233208400079,0.0,0.0,0.0,0.0,1.070833100899978,162.0,173.4749571120782,17.0,,1007091.7875173778
CHW,119305.48214878776,1974.9999999999998,31.694038525406835,1974.9999999999998,1974.9999999999998,60.0,66.0,3.766778946248366,306.0,127.0,14.584108269677845,7.251992693457322,0.7351378279641315,33.0,1204.4,5233.0,1248.0,562.0,506.0,83.0,492.0,35.0,28.0,2.356443042178678,0.9868814347392891,650.0,4.843990030173674,3.65864816046302,1.4313798102507471,9.288865038077917,0.6183718527637645,0.26314003092865584,1.4386125776156597,0.291214837309637,0.733819951272833,3.693203298935127,0.23388688565509796,30.167615124412038,255.22533838983526,7.644144221852454,44.64397834218697,25.909571345875733,13.788752739317715,3.293882787021942,1.2889131921568062,-0.7630375103244934,0.5258756841288185,2.1063581634807633,-16.190414730875364,16.554508074501115,10.973803415894508,1.1665199715644121,1.0683996134457348,1.0116916846158703,1.1190753658835726,1.7597299148638528,172.0,38.96952839588177,0.07768870885145228,-2.5281531697102633,5.34872135503155,2.506227167054134,97.86929513013402,98.12437956629206,0.12517096008967118,0.09296837434905347,0.03220258234058452,3.7987159511521846,0.07357564731323893,97.99780110655313,105.24624627713102,100.65937482338154,105.73562065769818,81.01288094962756,104.12923153557409,105.59687276640418,105.48877290330326,102.60159590991272,97.35547895662945,102.81700427238829,0.0,0.0,0.0,0.0,1.2900537238458984,160.99999999999997,207.6987336655662,4.0,,1009113.8634174693
CIN,115295.77847274728,1975.0000000000002,27.804660114097192,1975.0000000000002,1975.0000000000002,108.0,54.0,3.3726790091611525,437.0,162.0,10.795381125850573,2.7362705340573235,0.4727472678534607,50.0,1454.8999999999999,6148.0,1420.0,586.0,546.0,112.0,485.0,63.0,29.0,4.802323183723967,1.0165647123513644,660.0,4.077041378899516,2.9956047912205044,1.5372609645405184,8.771743362354021,0.6919281497665661,0.25162210985828376,1.3074831281749473,0.26803764865277047,0.7615861269076912,3.738988685372747,0.20426488650285246,11.761264235961528,151.1825379942652,2.604311003881575,43.166973656435154,11.230666076987868,11.879710879176855,2.4120220487549386,0.6802571591803304,0.5018013758955396,1.1820585508411883,13.791484374552965,-10.51985832700386,11.765152058858906,110.5047013759613,11.230682142078876,1.0692653044843377,1.0334733554401698,1.1118840035017727,1.4642680604658849,276.0,38.33665544023644,0.8225592852864768,3.5299313394068386,6.999450134029831,3.3864870437830783,93.92865338528689,103.71246549602778,0.1077852384878686,0.07824351053611933,0.02954172900886659,3.830646202883914,-0.36630967621159544,80.720204700745,86.30229823163475,105.28171655383488,100.0319695475071,108.80549525298935,100.24629842415018,96.13846429575219,96.39428654677533,105.9298359887138,82.36386082941607,87.0014390701186,0.0,0.0,0.0,0.0,0.9376138559351158,162.0,151.89357640405845,18.0,,1005184.2040690082
CLE,116954.02632153776,1975.0,25.769113149847094,1975.0,1975.0,58.0,43.0,3.6892910364730858,272.0,100.0,8.261577107907383,2.9037789427697676,0.7258628221930973,29.0,915.6,3932.0,873.0,426.0,377.0,83.0,403.0,53.0,27.0,3.8162953254696372,1.322957623416339,523.0,5.118471434493468,3.944671880619086,1.2631622362221493,8.5463248738585,0.8134146353222637,0.24785127812981225,1.3878885282752875,0.27114017320108413,0.7438235712166883,4.0274724343902175,0.2561157911631717,11.017102558998008,111.69384519719736,1.4023584042221326,31.389226915930834,10.168187105587965,7.548644647933543,1.8083008085668422,0.48791521859333703,0.24161022800468832,0.7295254725525899,3.7414901703596115,-8.476937546896435,8.952282964156321,12.795998185873032,1.0965541014447808,1.043680449136083,1.0400668368388655,1.214304731513673,1.5941150894158422,157.0,29.899847094801217,0.3036541106467623,0.6911474807180817,5.101354303189165,2.952380952380952,97.82070795644134,103.39740056340702,0.13282300715923984,0.10216833633027521,0.030654670286151153,3.817290909269306,-0.3381813979171311,103.55077993194809,113.4741276071676,88.37854561095403,97.28324840283604,106.5654310097161,98.07919774002221,101.87363200809692,98.21698791177957,104.00028664538075,103.3070878455539,112.99156346502224,0.0,0.0,0.0,0.0,0.7411069375273046,159.0,117.83606479614777,5.0,,1006806.2071865443
DET,116776.45226870952,1975.0000000000005,27.334781968179144,1975.0000000000005,1975.0000000000005,57.0,100.0,4.285715968108703,293.0,159.0,10.258691809074842,7.3246169711255185,1.0972304065998824,14.0,1357.5999999999997,5970.0,1456.0,766.0,648.0,129.0,519.0,46.0,29.0,5.313420742486743,0.32712139068945206,761.0,5.028658377197889,3.4275378852879497,1.512088015653359,9.62956846823665,0.8529810927856539,0.26809135368254644,1.4507895948360665,0.29268699417344385,0.6811748170587804,3.90839376021124,0.23592098220609903,18.844781524406038,152.26758742966624,1.0862180796114052,31.865320207769823,17.902563726939988,14.706006337888539,0.5951735218663075,-0.5525739531192033,-0.779366824044574,-1.3319408025506956,-8.699845999362879,-12.204628094038478,11.163548582119533,-90.87299937009811,-9.227687373757362,0.9254965209700698,0.859753012972017,0.8978729492871532,1.31425285155743,148.0,29.683043606364183,-1.0176149197791264,-2.070848671889147,1.6797289334119039,1.743812610489099,108.62437552664274,99.0720095295387,0.12785019000810258,0.08653003452268712,0.04132015795668829,3.6893050715133446,0.37732220789746285,101.73378979142373,98.59802871931787,106.34185200462393,109.61386503958609,111.7490316114477,106.08855878664913,106.49068876530832,106.02204250769171,95.24083270961938,99.43933209175519,95.69661550673473,0.0,0.0,0.0,0.0,1.0095961343547437,159.0,160.52578209805085,6.000000000000002,,1006631.2639952858
HOU,117475.57941523717,1975.0000000000002,26.668310299326343,1975.0000000000002,1975.0000000000002,64.0,96.0,4.037901628276026,411.0,162.0,9.464198902701577,5.1073685672616165,0.6980345857351206,25.0,1439.8999999999999,6263.0,1415.0,700.0,647.0,102.0,675.0,43.0,33.0,8.118619348565874,1.4180151399402738,826.0,5.156300740915988,4.211936104033687,1.2617491703034933,8.831064416670548,0.6370368687380689,0.2544657590799584,1.449222280078248,0.28400612870822983,0.7196433521459823,3.834171278395677,0.25478502128620045,7.3090041477427645,130.68310923848304,1.2992989852579135,27.788806672936705,8.023329404607873,6.747536656446755,0.568982703340247,-0.18585915087817123,-0.11195343162404447,-0.29781257410368994,-12.798849358223379,-12.37532553334842,11.082213293035311,-49.37559789419174,-5.38744568452239,1.0787860948692667,0.9933684958236232,1.141457190053661,1.483149983848613,258.0,32.92318911035488,-0.6463891786067625,-5.610307229508578,3.181679283283561,3.7416487256059447,118.57803998402827,110.97832887060329,0.131471309478436,0.10698190270018752,0.0244894084172512,3.891274055375918,0.20373034988034847,102.08815967859712,121.34436653601549,86.7106299936832,100.7084601439356,100.173857677048,101.37920883750834,106.56046064960675,102.13702548632064,100.0959702300173,100.46352131263622,118.95656833295747,0.0,0.0,0.0,0.0,0.91088335926106,162.00000000000003,147.56288492014795,21.0,,1007320.5398291548
