Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
ABC,,1919.9999999999998,29.323350047431898,1919.9999999999998,1919.9999999999998,45.0,44.0,3.6575503704494485,149.0,94.0,9.804234091738653,1.3254653850833433,4.0,821.9000000000001,3574.0,768.0,450.0,338.0,11.0,302.0,38.0,1.7668816157683411,,362.0,3.952239926151239,3.2743778270273105,1.321404912639007,8.361963434307533,0.12023237166128367,0.23580489029188198,1.2929268068149826,0.26279673379828566,0.6071949974546782,3.324647503984746,0.18806267271444213,14.108316698805641,7.34262753278017,1.2041305557576854,-0.982467424142156,0.6505907534871285,-0.33187666271765287,24.46587176055481,103.76222838867835,101.81014242446678,0.10182686209636208,0.0830709658449933,0.018755896251368778,3.3004687831138964,0.33290286646470213,91.75528816011057,104.4224766243349,96.19632578220236,97.3800276507821,65.80833977020292,96.3451670919224,99.263823101418,95.6674504508044,96.96492215457977,91.10429034511036,102.0946947446234,0.0,0.0,0.0,0.0,1.5454246526341402,94.99999999999999,146.8154195527233,1148.0,1015660.9757878087
BOS,116585.64834401297,1920.0,25.683625414961785,1920.0,1920.0,63.0,80.0,3.9439005573875323,218.0,144.0,13.922566200880103,1.6944337219177026,6.0,1295.3,5546.0,1391.0,674.0,569.0,38.0,437.0,25.0,4.330193777503282,0.6417818266038756,447.0,3.09829989631574,3.028505521257801,1.042487374859878,9.642581843952813,0.26352875754307736,0.2733688007998281,1.4078985961345127,0.2938756758307359,0.6576573474592757,3.562417973008528,0.16621792893846987,18.250661378780006,11.181896744295955,1.8465027105430465,-0.0680523500862264,0.08471097092361395,0.016658630889027897,30.37736431714661,109.27161891260315,101.36180283880758,0.08079770711495406,0.07848293030572069,0.0023147739967575073,3.4977622295232855,0.38148258437900445,104.5906427412193,97.56190208852948,109.24165564456497,99.28414233005316,87.58634292955435,98.5261450100095,98.867005652372,99.11365469097213,100.55034995087028,104.57443097240926,96.93579544148497,0.0,0.0,0.0,0.0,1.2824305944568826,154.0,197.4944359368453,3.0,1006447.1462981548
BRO,117283.61166889,1920.0000000000005,28.85536754897143,1920.0000000000005,1920.0000000000005,93.0,61.0,2.623164359011057,248.0,155.0,14.463666362423648,2.7258302323948613,10.0,1424.2999999999997,5848.0,1381.0,530.0,416.0,25.0,327.0,22.0,4.4318612651828975,0.20466193919820266,553.0,3.4869969443179465,2.0617986440733103,1.7302758247328514,8.707921478681083,0.15761725915824426,0.2510820347337385,1.1966355691949326,0.27554617464289993,0.7075600819244543,2.9892373490272774,0.15491844784104475,28.861067953152762,20.063184209167957,3.881651524359805,0.3502366486493477,0.38424025083179514,0.7344769157528385,33.14603664958226,83.30361148517873,88.54537244476202,0.0946698373959138,0.05599523888015167,0.03867459618268624,3.0614443941050573,-0.36607299001622134,119.61466268151263,85.23690870679684,143.57101041570084,95.54882915189103,75.32168389707223,96.30444469091239,93.38593741471963,98.50292042069871,103.6274333791284,122.05275288801374,87.00327955256107,0.0,0.0,0.0,0.0,1.3660319714947697,155.00000000000003,211.73470634152983,22.000000000000007,1007131.2257249175
BSN,118906.73118033288,1920.0,27.147045350435185,1920.0,1920.0,57.0,86.0,3.533402729895059,213.0,143.0,17.270957398076042,2.395174835852802,6.0,1309.8,5559.0,1385.0,637.0,515.0,39.0,398.0,34.0,5.062528630325241,0.1719346465109177,352.0,2.4150391272790936,2.7302909182387363,0.8765133275423728,9.499956273933927,0.267478717453751,0.2695765142376027,1.3589163546858514,0.28372841016049205,0.6720393747625591,3.640429703999734,0.14155990124293788,12.037842487767602,5.870541630778462,0.9818612901008408,-0.15965094635765642,-0.10881803836972136,-0.26846897366157624,34.674301420064126,116.97919221027645,113.8675911626613,0.06311003689418232,0.07144960946404032,-0.008339572713391358,3.6256144186692767,-0.10702697410467443,82.84323020209786,112.87307730552419,72.72938925818482,104.23953651750557,127.82196260003886,103.39814448650263,106.05039739534868,101.42792598500135,98.42516215748513,81.3643942565991,111.01569505511904,0.0,0.0,0.0,0.0,1.550331184150252,153.0,237.200442949858,16.0,1008721.1759047183
CAG,,1920.0000000000002,24.597523219814246,1920.0000000000002,1920.0000000000002,36.0,18.0,2.4266440791488177,71.0,54.0,11.435087719298247,1.4932920536635708,4.0,484.49999999999994,1960.0,372.0,179.0,131.0,5.0,161.0,19.0,0.3058823529411765,,266.0,4.92755788995461,2.9826133620012967,1.6799908761176472,6.893657339765125,0.0924359396468132,0.20801389367067047,1.09736341130738,0.2420009502082704,0.6878918353126936,2.952975441032282,0.22041935519917444,17.478022752334706,6.818883690983057,3.725510764540288,0.5376455301778359,1.2566366108455402,1.7942820713913594,18.756862745098044,68.84225004609648,91.2660575655546,0.13599002027038185,0.08190529691434469,0.054084730132094944,2.876522833748291,-0.5263313618834647,114.39829123904005,95.11787903711932,122.30085383118639,80.28073162902277,50.59415895406707,84.99032110120777,84.24953907972612,88.09703826405897,109.85165935822026,121.67000191579345,100.6620807537781,0.0,0.0,0.0,0.0,1.9400761197110428,67.00000000000001,129.98514571686894,1151.0,1015911.5405572756
CHC,116891.06612344967,1920.0,30.286342659359683,1920.0,1920.0,75.0,79.0,3.2628300059408732,247.0,154.0,18.853980386501302,2.9793048745312958,9.0,1386.8,5859.0,1459.0,635.0,504.0,37.0,382.0,25.0,3.0729016440726853,0.21704643784251515,508.0,3.293437249872444,2.4732278692227854,1.4965825952019038,9.45350365441799,0.23946165966685212,0.2665651558204671,1.3251923915156418,0.2884460139353042,0.6915836387611769,3.295419277788061,0.15869946714017882,28.603913477542193,14.021928323432803,4.016759692833906,1.0821854892990816,-0.18306684340660592,0.8991186581186699,34.94498125180271,104.671675464857,99.26860195937854,0.08787634688275166,0.06454308088549177,0.023333265736227293,3.245540351831209,-0.032589271847187594,112.97497302030928,102.2458224550819,124.18012913200553,103.72982895794011,114.43325135343535,102.24311481488519,103.41856528617255,103.1143865203688,101.28756468208691,113.29426938953478,100.28458816292488,0.0,0.0,0.0,0.0,1.5583620615806175,154.0,239.98740589904932,17.000000000000004,1006749.657917508
CHW,117663.21734104044,1919.9999999999998,29.783742774566466,1919.9999999999998,1919.9999999999998,96.0,58.0,3.585457993711992,220.0,154.0,22.314884393063583,1.8858381502890171,10.0,1384.0000000000002,5757.0,1467.0,662.0,553.0,45.0,405.0,25.0,3.215317919075144,0.39898843930635836,438.0,2.8448313057464887,2.6249924999113867,1.1188351549841038,9.521559920791933,0.2923116979834381,0.27470226834741823,1.3496169356337022,0.2928208451803309,0.6765880985433524,3.521981320265414,0.15438652967341038,34.224704012981036,16.319991931319237,4.807678447142135,0.8531903140408369,0.4463741625869118,1.2995644686554189,37.88916184971097,94.88487357140095,95.74547169201468,0.07647856456430634,0.070110129716763,0.006368437013728322,3.449118308747371,0.06347667344657862,96.03419446651448,84.56291707637887,117.24209568191355,98.0380489041833,97.15263283064148,99.0067463682318,94.77428670657316,98.7578983986347,103.44470461705235,98.98427612768255,86.59438619623879,0.0,0.0,0.0,0.0,1.7345538518786123,153.99999999999994,267.1209569720519,4.0,1007505.952601156
CIN,117996.96441756342,1920.0000000000002,27.260230932369808,1920.0000000000002,1920.0000000000002,77.0,65.0,2.8563983263347605,215.0,142.0,14.468541355745817,1.7905898986725317,7.0,1273.1,5260.0,1198.0,512.0,405.0,22.0,377.0,32.0,3.910533343806457,0.6265022386301154,422.0,2.9763281927184235,2.6600348191366354,1.197797221999843,8.45125694933307,0.15532507284349506,0.24653647128332004,1.2345879742744115,0.2663804028718301,0.6975674504626503,3.3279306663778443,0.15617508257560286,15.386452137642053,10.164903741329908,2.7649689685632612,0.22233360652127757,0.9247095471809998,1.147043096893722,34.123635221113815,94.72313654105766,103.69399143914028,0.08036217946901263,0.07161496535307517,0.008747213855156703,3.420572985479273,-0.47153234004308564,102.09716225350067,109.96861681299488,99.38817561525582,92.73254339138383,74.22630047298036,94.5609588841159,96.34775888880031,95.22631791104655,102.16393844973774,103.60665701594039,111.27261804549433,0.0,0.0,0.0,0.0,1.3904081266200612,153.99999999999997,214.122883695489,17.999999999999996,1007828.0459508287
CLE,113902.3883562169,1920.0,28.756692490603665,1920.0,1920.0,96.0,52.0,3.336647695300871,238.0,147.0,18.840991025542685,1.9214543223134153,6.0,1303.7,5394.0,1355.0,592.0,484.0,30.0,378.0,25.0,2.7889084912173043,0.03221600061363811,450.0,3.1031028243504073,2.606331407346266,1.2873464469087978,9.34196044699169,0.20675590059381094,0.2710158034017644,1.3275879838153286,0.2932436016227126,0.6852962294914474,3.3382252151522493,0.15816828678070108,36.83715125749454,19.435078751295805,5.4921783699692694,0.8880997902932385,0.7590653963230993,1.6471651742634728,35.03467055304134,86.1459063337663,88.66508187596813,0.08333222533481628,0.06927800006366495,0.014054225824959726,3.356888823267909,-0.0015775198513780537,104.75277724949687,83.96175862613862,134.9002976811968,96.18881599045196,68.71733233576306,97.67809006675516,93.22734539281471,98.90047888247419,104.77610541030249,107.85479687715693,85.56660709051935,0.0,0.0,0.0,0.0,1.5186380501649153,153.99999999999997,233.87033034559684,5.0,1003815.6160159545
COG,,1920.0000000000005,34.03680981595092,1920.0000000000005,1920.0000000000005,3.0,25.0,5.3008682529592095,40.0,28.0,6.841211564938047,0.541991739329968,1.0,217.89999999999995,1007.0,263.0,157.0,130.0,7.0,88.0,12.0,1.6259752179899039,,92.0,3.772501028278254,3.600967498103903,1.3713332184901332,10.731846214367517,0.2873320966209901,0.28574528574142005,1.592534856941269,0.3118665696991866,0.5968540270307481,3.7447299419547693,0.18545930222120244,4.540018327865868,0.9468471854925156,0.15692222951310889,0.17260913890386842,-0.5052955670811377,-0.3326864376178627,12.670491050940802,150.38204443217526,113.72759685595894,0.09351041626893072,0.08487070648003671,0.008639710486461677,3.421862992118919,1.55613831100444,87.58246599443385,114.83767734193378,99.83103250125012,124.97871932940272,157.26919447774463,116.74981492711645,122.26608458345738,113.53063324927025,95.31353930544465,83.663584200014,104.3065858349308,0.0,0.0,0.0,0.0,1.8953742588343283,40.00000000000001,75.81503126740512,1157.0000000000002,1015917.3813676002
