,IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA
24,1004596,1928,Charlie Gehringer,DET,25,154,603,691,193,142,29,16,6,108,74,69,,22,6,,13,,15,9.0,0.32,,,,,,,,,,,0.1,0.032,3.14,0.395,0.451,0.846,0.131,0.325,,,,,,,,,0.391,26.0,110,18.6,-6.0,21.1,4.8,41.0,4.0,,6.4,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.3,,25 - 25,17.4,3.7,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,119,48,112,110,108,107,,,,,,,,,,,,,,,,,,0,,,,,
20,1005643,1928,Harvey Hendrick,BRO,30,126,425,493,135,99,15,10,11,83,59,54,,34,2,,12,,16,,0.318,,,,,,,,,,,0.11,0.069,1.59,0.397,0.478,0.875,0.16,0.326,,,,,,,,,0.401,22.6,83,19.2,0.0,15.1,2.3,39.9,3.9,,6.8,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.9,,30 - 30,22.1,0.4,,,,,,,,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,131,112,112,116,131,109,,,,,,,,,,,,,,,,,,0,,,,,
51,1001090,1928,Ossie Bluege,WAS,27,146,518,588,154,112,33,7,2,78,75,46,,27,8,,16,,18,6.0,0.297,,,,,,,,,,,0.078,0.046,1.7,0.364,0.4,0.763,0.102,0.311,,,,,,,,,0.356,5.7,77,2.0,11.0,18.0,4.5,39.3,3.9,,6.3,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,0.7,,27 - 27,2.7,3.1,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,93,70,103,97,84,103,,,,,,,,,,,,,,,,,,0,,,,,
46,1003438,1928,Taylor Douthit,STL,27,154,648,752,191,150,35,3,3,111,43,84,,36,10,,10,,11,,0.295,,,,,,,,,,,0.11199999999999999,0.048,2.33,0.384,0.372,0.756,0.077,0.309,,,,,,,,,0.36,9.5,101,1.8,15.0,23.0,-3.8,38.4,3.8,,4.3,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,1.7,,27 - 27,3.5,0.7,,,,,,,,0.16399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,133,78,108,90,63,103,,,,,,,,,,,,,,,,,,0,,,,,
17,1005590,1928,Harry Heilmann,DET,33,151,558,633,183,121,38,10,14,83,107,57,,45,0,,18,,7,3.0,0.328,,,,,,,,,,,0.09,0.071,1.27,0.39,0.507,0.897,0.179,0.339,,,,,,,,,0.408,32.2,109,25.5,-4.0,19.4,-6.5,37.5,3.7,,5.3,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.5,-0.2,,33 - 33,25.3,3.4,,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,108,108,110,124,148,112,,,,,,,,,,,,,,,,,,0,,,,,
22,1002384,1928,Mickey Cochrane,PHA,25,131,468,568,137,89,26,12,10,92,57,76,,25,3,,21,,7,7.0,0.293,,,,,,,,,,,0.134,0.044000000000000004,3.04,0.395,0.464,0.859,0.171,0.293,,,,,,,,,0.396,23.4,93,18.0,-3.0,17.4,4.0,37.5,3.7,,5.8,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.9,,25 - 25,16.1,3.0,,,,,,,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,160,67,112,113,141,97,,,,,,,,,,,,,,,,,,0,,,,,
31,1013165,1928,Pie Traynor,PIT,29,144,569,640,192,139,38,12,3,91,124,28,,10,1,,42,,12,,0.337,,,,,,,,,,,0.044000000000000004,0.016,2.8,0.37,0.462,0.832,0.125,0.34,,,,,,,,,0.38,18.3,96,10.2,1.0,19.6,4.4,37.9,3.7,,6.2,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,2.1,,29 - 29,12.3,0.6,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,52,25,104,112,102,113,,,,,,,,,,,,,,,,,,0,,,,,
36,1006683,1928,Willie Kamm,CHW,28,155,552,655,170,127,30,12,1,70,84,73,,22,2,,28,,17,9.0,0.308,,,,,,,,,,,0.111,0.034,3.32,0.391,0.411,0.802,0.103,0.319,,,,,,,,,0.375,16.3,96,12.8,-3.0,20.0,4.8,37.3,3.7,,6.0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,-0.8,,28 - 28,11.9,3.5,,,,,,,,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,133,51,110,100,85,106,,,,,,,,,,,,,,,,,,0,,,,,
14,1004947,1928,George Grantham,PIT,28,124,440,522,142,99,24,9,10,93,85,59,,37,4,,19,,9,,0.323,,,,,,,,,,,0.113,0.071,1.59,0.408,0.486,0.894,0.164,0.336,,,,,,,,,0.41,27.6,91,21.1,1.0,16.0,-5.1,34.9,3.5,,6.5,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,1.5,,28 - 28,22.6,0.5,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,135,116,115,118,134,112,,,,,,,,,,,,,,,,,,0,,,,,
30,1006644,1928,Joe Judge,WAS,34,153,542,646,166,122,31,10,3,78,93,80,,19,1,,23,,16,4.0,0.306,,,,,,,,,,,0.124,0.028999999999999998,4.21,0.396,0.417,0.813,0.111,0.313,,,,,,,,,0.381,19.0,98,14.9,3.0,19.8,-6.4,35.8,3.5,,6.2,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4,1.1,,34 - 34,16.0,3.5,,,,,,,,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,148,45,112,102,91,104,,,,,,,,,,,,,,,,,,0,,,,,
45,1009415,1928,Buddy Myer,BOS,24,147,536,619,168,135,26,6,1,78,44,53,,28,4,,26,,30,16.0,0.313,,,,,,,,,,,0.086,0.045,1.89,0.379,0.39,0.769,0.076,0.329,,,,,,,,,0.362,8.7,84,4.6,5.0,18.9,4.4,35.1,3.5,,5.9,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,-1.2,,24 - 24,3.5,3.3,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,102,69,107,95,63,109,,,,,,,,,,,,,,,,,,0,,,,,
13,1005691,1928,Babe Herman,BRO,25,134,486,542,165,110,37,6,12,64,91,38,,36,2,,16,,1,,0.34,,,,,,,,,,,0.07,0.066,1.06,0.39,0.514,0.904,0.175,0.349,,,,,,,,,0.41,28.7,95,24.9,-2.0,16.6,-5.5,34.4,3.4,,3.5,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,-0.1,,25 - 25,24.9,0.5,,,,,,,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,84,108,110,125,143,116,,,,,,,,,,,,,,,,,,0,,,,,
32,1002914,1928,Kiki Cuyler,CHC,29,133,499,581,142,91,25,9,17,92,79,51,,61,7,,24,,37,,0.285,,,,,,,,,,,0.08800000000000001,0.105,0.84,0.359,0.473,0.832,0.188,0.297,,,,,,,,,0.379,16.4,87,11.2,3.0,17.8,-5.4,34.2,3.4,,7.6,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,7.1,,29 - 29,18.4,0.5,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,105,171,101,115,154,99,,,,,,,,,,,,,,,,,,0,,,,,
23,1000570,1928,Red Barnes,WAS,23,114,417,485,127,84,22,15,6,82,51,55,,38,4,,9,,7,3.0,0.305,,,,,,,,,,,0.113,0.078,1.45,0.391,0.472,0.863,0.168,0.324,,,,,,,,,0.396,20.0,79,16.9,2.0,14.8,-2.8,33.4,3.3,,6.5,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.2,,23 - 23,16.8,2.6,,,,,,,,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,135,119,110,115,138,107,,,,,,,,,,,,,,,,,,0,,,,,
28,1008871,1928,Bing Miller,PHA,33,139,510,564,168,119,34,7,8,76,85,27,,24,8,,19,,10,6.0,0.329,,,,,,,,,,,0.048,0.043,1.13,0.372,0.471,0.843,0.141,0.335,,,,,,,,,0.385,18.7,87,13.3,6.0,17.2,-5.1,33.5,3.3,,5.4,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.9,,33 - 33,12.4,3.0,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,57,65,105,115,116,111,,,,,,,,,,,,,,,,,,0,,,,,
26,1008814,1928,Alex Metzler,CHW,25,139,464,567,141,106,18,14,3,71,55,77,,30,6,,20,,16,8.0,0.304,,,,,,,,,,,0.136,0.053,2.57,0.41,0.422,0.832,0.119,0.32,,,,,,,,,0.39,21.0,90,17.9,-1.0,17.3,-5.2,31.4,3.1,,6.2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,-0.6,,25 - 25,17.3,3.0,,,,,,,,0.19399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,162,81,116,103,98,106,,,,,,,,,,,,,,,,,,0,,,,,
27,1001398,1928,Rube Bressler,BRO,33,145,501,609,148,102,29,13,4,78,70,80,,33,5,,23,,2,,0.295,,,,,,,,,,,0.131,0.054000000000000006,2.42,0.398,0.429,0.827,0.134,0.31,,,,,,,,,0.386,20.3,95,16.0,1.0,18.6,-5.9,30.3,3.0,,4.8,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,0.0,,33 - 33,16.1,0.5,,,,,,,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,157,88,112,104,109,103,,,,,,,,,,,,,,,,,,0,,,,,
34,1010900,1928,Sam Rice,WAS,38,148,616,681,202,153,32,15,2,95,55,49,,15,2,,14,,16,3.0,0.328,,,,,,,,,,,0.07200000000000001,0.022000000000000002,3.27,0.379,0.438,0.818,0.11,0.334,,,,,,,,,0.377,17.9,101,13.7,-3.0,20.8,-6.4,30.3,3.0,,6.9,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,1.5,,38 - 38,15.2,3.6,,,,,,,,0.09699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,86,34,107,107,91,110,,,,,,,,,,,,,,,,,,0,,,,,
63,1002780,1928,Hughie Critz,CIN,27,153,641,698,190,153,21,11,5,95,52,37,,24,0,,20,,18,,0.296,,,,,,,,,,,0.053,0.034,1.54,0.335,0.387,0.722,0.09,0.302,,,,,,,,,0.334,-5.7,79,-8.1,7.0,21.3,4.7,28.9,2.9,,6.2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,3.2,,27 - 27,-4.8,0.6,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,63,56,94,94,74,101,,,,,,,,,,,,,,,,,,0,,,,,
61,1003785,1928,Woody English,CHC,22,116,475,522,142,114,22,4,2,68,34,30,,28,2,,15,,4,,0.299,,,,,,,,,,,0.057,0.054000000000000006,1.07,0.343,0.375,0.718,0.076,0.315,,,,,,,,,0.335,-3.8,60,-8.5,12.0,16.0,7.1,27.6,2.7,,4.4,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,0.5,,22 - 22,-7.9,0.5,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,69,87,97,91,62,105,,,,,,,,,,,,,,,,,,0,,,,,
37,1013596,1928,Lloyd Waner,PIT,22,152,659,720,221,180,22,14,5,121,61,40,,13,4,,17,,8,,0.335,,,,,,,,,,,0.055999999999999994,0.018000000000000002,3.08,0.377,0.434,0.811,0.099,0.337,,,,,,,,,0.374,17.4,105,8.4,-2.0,22.0,-3.9,26.3,2.6,,6.0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,1.2,,22 - 22,9.5,0.6,,,,,,,,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,66,29,106,105,81,112,,,,,,,,,,,,,,,,,,0,,,,,
38,1008817,1928,Bob Meusel,NYY,31,131,518,577,154,93,45,5,11,77,113,39,,56,2,,18,,6,9.0,0.297,,,,,,,,,,,0.068,0.09699999999999999,0.7,0.349,0.467,0.816,0.17,0.317,,,,,,,,,0.371,12.5,83,11.2,2.0,17.6,-5.7,25.4,2.5,,4.4,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7,-2.9,,31 - 31,8.3,3.1,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,81,148,99,114,140,105,,,,,,,,,,,,,,,,,,0,,,,,
65,1002400,1928,Andy Cohen,NYG,23,129,504,548,138,98,24,7,9,64,59,31,,17,2,,11,,3,,0.274,,,,,,,,,,,0.057,0.031,1.82,0.318,0.403,0.721,0.129,0.27,,,,,,,,,0.331,-5.6,61,-9.5,12.0,16.8,4.1,24.2,2.4,,4.5,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,0.4,,23 - 23,-9.2,0.5,,,,,,,,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,68,51,90,98,106,90,,,,,,,,,,,,,,,,,,0,,,,,
41,1013773,1928,Jimmy Welsh,NYG,25,124,476,526,146,110,22,5,9,77,54,29,,30,8,,13,,4,,0.307,,,,,,,,,,,0.055,0.057,0.97,0.357,0.431,0.787,0.124,0.314,,,,,,,,,0.363,8.0,72,4.3,4.0,16.1,-3.0,22.3,2.2,,4.8,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,25 - 25,4.8,0.5,,,,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,66,93,101,105,101,105,,,,,,,,,,,,,,,,,,0,,,,,
47,1005878,1928,Johnny Hodapp,CLE,22,116,449,481,145,106,31,6,2,51,73,20,,20,0,,12,,2,1.0,0.323,,,,,,,,,,,0.042,0.042,1.0,0.352,0.432,0.784,0.109,0.335,,,,,,,,,0.359,5.8,64,1.2,1.0,14.7,2.6,21.8,2.2,,4.1,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,-0.3,,22 - 22,0.9,2.6,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,50,63,99,105,90,111,,,,,,,,,,,,,,,,,,0,,,,,
78,1007976,1928,Freddie Maguire,CHC,29,140,574,639,160,128,24,7,1,67,41,25,,38,3,,37,,6,,0.279,,,,,,,,,,,0.039,0.059000000000000004,0.66,0.312,0.35,0.662,0.071,0.297,,,,,,,,,0.308,-18.4,59,-24.1,21.0,19.5,4.3,22.2,2.2,,4.9,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,0.9,,29 - 29,-23.2,0.6,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,47,97,88,85,58,99,,,,,,,,,,,,,,,,,,0,,,,,
