,IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA
8,1005191,1928,Chick Hafey,STL,25,138,520,584,175,96,46,6,27,101,111,40,,53,2,,22,,8,,0.337,,,,,,,,,,,0.068,0.091,0.75,0.386,0.604,0.99,0.267,0.336,,,,,,,,,0.44,45.0,116,39.0,2.0,17.9,-5.7,55.0,5.4,,5.4,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7,1.3,,25 - 25,40.3,0.5,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,82,148,109,147,219,112,,,,,,,,,,,,,,,,,,0,,,,,
16,1000994,1928,Max Bishop,PHA,28,126,472,586,149,111,27,5,6,104,50,97,,36,3,,14,,9,9.0,0.316,,,,,,,,,,,0.166,0.061,2.69,0.435,0.432,0.868,0.117,0.333,,,,,,,,,0.409,30.4,102,24.7,3.0,17.9,3.9,50.2,5.0,,4.9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,-2.4,,28 - 28,22.3,3.1,,,,,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,198,94,123,105,96,110,,,,,,,,,,,,,,,,,,0,,,,,
33,1011766,1928,Joe Sewell,CLE,29,155,588,678,190,144,40,2,4,79,70,58,,9,7,,25,,7,1.0,0.323,,,,,,,,,,,0.086,0.013000000000000001,6.44,0.391,0.418,0.809,0.095,0.323,,,,,,,,,0.378,18.4,101,11.9,3.0,20.7,9.0,48.8,4.8,,3.8,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.6,,29 - 29,12.5,3.6,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,102,20,110,102,78,107,,,,,,,,,,,,,,,,,,0,,,,,
10,1000997,1928,Del Bissonette,BRO,28,155,587,669,188,120,30,13,25,90,106,70,,75,4,,8,,5,,0.32,,,,,,,,,,,0.105,0.11199999999999999,0.93,0.396,0.543,0.94,0.223,0.335,,,,,,,,,0.424,42.6,124,37.9,-5.0,20.5,-6.7,47.9,4.7,,5.0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7,0.6,,28 - 28,38.5,0.6,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,125,183,112,132,183,112,,,,,,,,,,,,,,,,,,0,,,,,
9,1011978,1928,Al Simmons,PHA,26,119,464,509,163,106,33,9,15,78,107,31,,30,3,,11,,1,4.0,0.351,,,,,,,,,,,0.061,0.059000000000000004,1.03,0.396,0.558,0.954,0.207,0.353,,,,,,,,,0.429,34.6,97,29.7,4.0,15.6,-4.9,45.3,4.5,,4.5,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,-1.8,,26 - 26,27.9,2.7,,,,,,,,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,73,90,112,136,170,117,,,,,,,,,,,,,,,,,,0,,,,,
25,1002478,1928,Earle Combs,NYY,29,149,626,709,194,133,33,21,7,118,56,77,,33,2,,4,,10,8.0,0.31,,,,,,,,,,,0.109,0.047,2.33,0.387,0.463,0.85,0.153,0.319,,,,,,,,,0.39,26.2,113,24.6,1.0,21.7,-3.7,45.6,4.5,,6.1,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,-1.8,,29 - 29,22.8,3.8,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,130,71,109,113,126,105,,,,,,,,,,,,,,,,,,0,,,,,
35,1004364,1928,Frankie Frisch,STL,29,141,547,631,164,116,29,9,10,107,86,64,,17,1,,19,,29,,0.3,,,,,,,,,,,0.10099999999999999,0.027000000000000003,3.76,0.374,0.441,0.815,0.141,0.296,,,,,,,,,0.376,16.2,93,9.7,6.0,19.3,4.3,45.3,4.5,,6.9,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,5.5,,29 - 29,15.2,0.6,,,,,,,,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,121,44,105,107,115,99,,,,,,,,,,,,,,,,,,0,,,,,
12,1012927,1928,Bill Terry,NYG,29,149,568,649,185,121,36,11,17,100,101,64,,36,0,,17,,7,,0.326,,,,,,,,,,,0.099,0.055,1.78,0.394,0.518,0.912,0.192,0.326,,,,,,,,,0.413,35.9,115,31.4,-2.0,19.8,-6.4,44.4,4.4,,5.4,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,1.0,,29 - 29,32.4,0.6,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,118,90,111,126,157,109,,,,,,,,,,,,,,,,,,0,,,,,
21,1001093,1928,Lu Blue,SLB,31,154,549,678,154,97,32,11,14,116,80,105,,43,4,,20,,12,7.0,0.281,,,,,,,,,,,0.155,0.063,2.44,0.4,0.455,0.855,0.175,0.285,,,,,,,,,0.396,28.3,111,19.5,8.0,20.7,-6.7,44.2,4.4,,6.4,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,-1.0,,31 - 31,18.5,3.6,,,,,,,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,185,97,113,111,144,94,,,,,,,,,,,,,,,,,,0,,,,,
11,1009904,1928,Mel Ott,NYG,19,124,435,499,140,92,26,4,18,69,77,52,,36,2,,10,,3,,0.322,,,,,,,,,,,0.10400000000000001,0.07200000000000001,1.44,0.397,0.524,0.921,0.202,0.32,,,,,,,,,0.418,29.4,90,25.9,4.0,15.3,-4.7,41.2,4.1,,3.7,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.3,,19 - 19,26.2,0.4,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,124,118,112,127,166,107,,,,,,,,,,,,,,,,,,0,,,,,
29,1010921,1928,Lance Richbourg,BSN,30,148,612,685,206,166,26,12,2,105,52,62,,39,2,,9,,11,,0.337,,,,,,,,,,,0.091,0.057,1.59,0.399,0.428,0.828,0.092,0.357,,,,,,,,,0.385,22.6,106,20.3,4.0,20.9,-6.4,41.2,4.1,,5.8,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,1.8,,30 - 30,22.0,0.6,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,108,93,113,104,75,119,,,,,,,,,,,,,,,,,,0,,,,,
18,1012500,1928,Riggs Stephenson,CHC,30,137,512,591,166,113,36,9,8,75,90,68,,29,3,,8,,8,,0.324,,,,,,,,,,,0.115,0.049,2.34,0.407,0.477,0.883,0.152,0.333,,,,,,,,,0.406,29.4,101,24.1,2.0,18.1,-5.8,40.1,4.0,,5.2,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,1.3,,30 - 30,25.4,0.5,,,,,,,,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,137,80,115,116,125,111,,,,,,,,,,,,,,,,,,0,,,,,
