Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
L,124341,Ted Williams,BOS,1949,30.0,30 - 30,1949,1949,155.0,566.0,730.0,194.0,109.0,39.0,3.0,43.0,150.0,159.0,162.0,,48.0,2.0,,0.0,22.0,1.0,1.0,0.342756183,,,,,,,,,,,0.221917808,0.065753424,3.375,0.490410958,0.650176678,1.140587636,0.307420495,0.317894736,,,,,,,,,0.34657534,0.5107786984476325,95.51668454793943,182.22268124012007,81.88767691043867,-1.0,22.066731080412865,-6.697530746459961,2.6642310060560703,,-7.697530746459961,81.45840516261487,98.49183650262384,9.85251040473403,9.85251040473403,,-0.4292717478238046,3.0291699827216743,186.36307797380599,-0.4292717478238046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6087175381484,183.77724680430902,81.7861499033672,135.22777695681236,165.28447285096973,250.65381729808408,112.38213486337865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.70967742,155.0,730.0,Ted Williams,Ted Williams,OF,OF,1014040,BOS,BOS,3,,0.0,
R,121314,Jackie Robinson,BRO,1949,30.0,30 - 30,1949,1949,156.0,593.0,704.0,203.0,137.0,38.0,12.0,16.0,122.0,124.0,86.0,,27.0,8.0,,17.0,22.0,37.0,,0.34232715,,,,,,,,,,,0.12215909,0.038352272,3.185185185,0.43231441,0.52782462,0.96013903,0.18549747,0.34,,,,,,,,,0.18323864,0.4418123111107117,54.10758106433316,137.72541897021696,48.873560354341706,10.0,21.280792713165283,6.740740776062012,1.5342640429735184,,16.74074077606201,56.096919255093624,95.65271678729444,9.568135688165768,9.568135688165768,,7.2233589007519186,6.845477462069149,155.92009640535002,7.2233589007519186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6575037104763,128.06431550495,44.453449995544055,125.72317565454343,130.47532731787757,138.1608476842394,121.17293417717272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.51282051,156.0,704.0,Jackie Robinson,Jackie Robinson,2B,2B,1011070,BRO,BRO,22,,0.0,
L,119602,Stan Musial,STL,1949,28.0,28 - 28,1949,1949,157.0,612.0,721.0,207.0,117.0,41.0,13.0,36.0,128.0,123.0,107.0,,38.0,2.0,,0.0,12.0,3.0,,0.338235294,,,,,,,,,,,0.148404993,0.052704576,2.815789473,0.438280166,0.624183006,1.062463172,0.285947712,0.317843866,,,,,,,,,0.25104022,0.4770337719361759,75.2933000378031,160.9303186885733,69.35147079599088,3.0,21.79467549175024,-4.6146931648254395,1.5713130326475948,,-1.6146931648254395,69.77865299821829,91.52994835779069,9.155955052535806,9.155955052535806,,0.42718220222741365,4.9458776966428495,177.47953472475862,0.42718220222741365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.14355932568901,155.57895729300125,61.08895540145186,127.45810230087046,154.2945874978449,212.97745076139725,113.27668780422383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.59235669,157.0,721.0,Stan Musial,Stan Musial,1B/OF,1B/OF,1009405,STL,STL,28,,0.0,
R,117072,Ralph Kiner,PIT,1949,26.0,26 - 26,1949,1949,152.0,549.0,667.0,170.0,92.0,19.0,5.0,54.0,116.0,127.0,117.0,,61.0,1.0,,0.0,10.0,6.0,,0.309653916,,,,,,,,,,,0.175412293,0.091454272,1.918032786,0.431784107,0.657559198,1.089343305,0.347905282,0.267281105,,,,,,,,,0.34782609,0.4841895383158545,73.39039422910655,152.61354463141404,66.1822692785784,-4.0,20.162341959774494,-6.567901134490967,1.4536280066240581,,-10.567901134490967,67.22168637871737,78.26975521062495,7.829726412850695,7.829726412850695,,1.0394171001389623,3.9551259509209467,179.92495735195382,1.0394171001389623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56874517470645,183.89180235542628,106.00305262830018,125.56895600403692,162.54499759774578,259.12422781261847,95.25657571460879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.33116883,154.0,667.0,Ralph Kiner,Ralph Kiner,OF,OF,1006923,PIT,PIT,27,,0.0,
R,122749,Vern Stephens,BOS,1949,28.0,28 - 28,1949,1949,155.0,610.0,711.0,177.0,105.0,31.0,2.0,39.0,113.0,159.0,101.0,,73.0,0.0,,0.0,19.0,2.0,2.0,0.290163934,,,,,,,,,,,0.142053445,0.102672292,1.383561643,0.390998593,0.539344262,0.930342855,0.249180328,0.277108433,,,,,,,,,0.29957806,0.42394912251272615,44.70335656701211,129.15262183843737,31.429076525555885,10.0,21.492391504347324,9.567901611328125,2.5948880072683096,,19.567901611328125,30.83052442053888,74.48570554348264,7.450726792657004,7.450726792657004,,-0.5985521050170064,2.8168612606044388,134.03254608395494,-0.5985521050170064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.18197185538133,117.63900903873086,127.70698396534132,107.81543450876858,137.10924283547635,203.16797814273463,97.96336259303622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.58709677,155.0,711.0,Vern Stephens,Vern Stephens,SS,SS,1012501,BOS,BOS,3,,0.0,
R,116744,Eddie Joost,PHA,1949,33.0,33 - 33,1949,1949,144.0,525.0,682.0,138.0,87.0,25.0,3.0,23.0,128.0,81.0,149.0,,80.0,4.0,,4.0,6.0,2.0,1.0,0.262857142,,,,,,,,,,,0.218475073,0.117302052,1.8625,0.429203539,0.453333333,0.882536872,0.190476191,0.272511848,,,,,,,,,0.36950147,0.4172107217761971,39.28255056162101,120.28733103294593,32.06827898640853,6.0,20.615767940878868,8.88888931274414,2.489048693329096,,14.88888931274414,31.86424170006734,69.85794764701944,6.987930012380072,6.987930012380072,,-0.20403728634119034,3.732279508743302,136.20126112835604,-0.20403728634119034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.09527441074043,180.9262076494124,145.9039335935506,118.35021117323099,115.24399983273182,155.30384328653483,96.33837804034775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.42857143,154.0,682.0,Eddie Joost,Eddie Joost,SS,SS,1006604,PHA,PHA,10,,0.0,
R,121010,Pee Wee Reese,BRO,1949,30.0,30 - 30,1949,1949,155.0,617.0,743.0,172.0,126.0,27.0,3.0,16.0,132.0,73.0,116.0,,59.0,4.0,,6.0,5.0,26.0,,0.278768233,,,,,,,,,,,0.156123822,0.079407806,1.966101694,0.396200814,0.410048622,0.806249436,0.131280389,0.287822878,,,,,,,,,0.25706595,0.3836830464599899,23.295522594745638,111.54559868007468,17.77154903292227,12.0,22.459700264036655,9.567901611328125,1.6192587839905173,,21.567901611328125,22.78343769248146,68.43029835183675,6.844916721123039,6.844916721123039,,5.01188865955919,5.175275771627401,119.26651048672268,5.01188865955919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.14136201455366,163.67091796809106,92.0402038574628,115.22082859323402,101.36175188587198,97.77928415172832,102.57747838405416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.76282051,156.0,743.0,Pee Wee Reese,Pee Wee Reese,SS,SS,1010776,BRO,BRO,22,,0.0,
R,113419,Bobby Doerr,BOS,1949,31.0,31 - 31,1949,1949,139.0,541.0,623.0,167.0,110.0,30.0,9.0,18.0,91.0,109.0,75.0,,33.0,0.0,,7.0,31.0,2.0,2.0,0.308687615,,,,,,,,,,,0.120385232,0.052969502,2.272727272,0.392857142,0.497227356,0.890084498,0.188539741,0.304081632,,,,,,,,,0.20224719,0.4097384334384621,32.240052793182855,106.23708832637264,20.608721617617135,11.0,18.832292415201664,6.0061726570129395,2.273720433935523,,17.00617265701294,20.026227804374372,58.1384133105245,5.815417519941706,5.815417519941706,,-0.5824938132427633,4.2066183196503495,125.46803439804015,-0.5824938132427633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.02432689320648,99.69486762800938,65.88511087846481,108.32791785673508,126.40250597167908,153.72496812238262,107.49892686772982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.01935484,155.0,623.0,Bobby Doerr,Bobby Doerr,2B,2B,1003355,BOS,BOS,3,,0.0,
L,122319,Enos Slaughter,STL,1949,33.0,33 - 33,1949,1949,151.0,568.0,654.0,191.0,131.0,34.0,13.0,13.0,92.0,96.0,79.0,,37.0,1.0,,6.0,7.0,3.0,,0.336267605,,,,,,,,,,,0.120795107,0.056574923,2.135135135,0.418209876,0.51056338,0.928773256,0.174295775,0.343629343,,,,,,,,,0.19724771,0.4278174642427468,43.09996465289212,120.7790356620512,37.71028875255204,4.0,19.769372776150703,-6.481481552124023,1.4252964262850583,,-2.4814815521240234,38.148941163189626,56.862128813501364,5.687980456757254,5.687980456757254,,0.4386524106375873,4.836578151960057,146.44604112255968,0.4386524106375873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.41553475381804,126.63439695156696,65.57500714904856,121.62137667539888,126.20844424047881,129.81768442330485,122.46639929612971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.1656051,157.0,654.0,Enos Slaughter,Enos Slaughter,OF,OF,1012060,STL,STL,28,,0.0,
R,119026,Cass Michaels,CHW,1949,23.0,23 - 23,1949,1949,154.0,561.0,672.0,173.0,131.0,27.0,9.0,6.0,73.0,83.0,101.0,,50.0,3.0,,7.0,20.0,5.0,7.0,0.308377896,,,,,,,,,,,0.150297619,0.074404761,2.02,0.416541353,0.420677361,0.837218714,0.112299465,0.330693069,,,,,,,,,0.23363095,0.3973728585063963,28.27091709782953,108.08794418980952,23.007368723653503,6.0,20.313483953475952,6.65432071685791,2.452552378177643,,12.65432071685791,20.884071102623142,56.304428151134644,5.632124867502666,5.632124867502666,,-2.1232976210303605,3.8566027352339853,126.35907108041957,-2.1232976210303605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.90992158899289,124.46627366228765,92.54695142066231,114.85869199679027,106.94237152139453,91.56282694419116,116.90660105407528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.36363636,154.0,672.0,Cass Michaels,Cass Michaels,2B,2B,1008836,CHW,CHW,4,,0.0,
