Throws,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,CFraming,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,K-BB%,SIERA,kwERA,RS/9,E-F,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xERA,pb_o_CH,pb_s_CH,pb_c_CH,pb_o_CU,pb_s_CU,pb_c_CU,pb_o_FF,pb_s_FF,pb_c_FF,pb_o_SI,pb_s_SI,pb_c_SI,pb_o_SL,pb_s_SL,pb_c_SL,pb_o_KC,pb_s_KC,pb_c_KC,pb_o_FC,pb_s_FC,pb_c_FC,pb_o_FS,pb_s_FS,pb_c_FS,pb_overall,pb_stuff,pb_command,pb_xRV100,pb_ERA,sp_s_CH,sp_l_CH,sp_p_CH,sp_s_CU,sp_l_CU,sp_p_CU,sp_s_FF,sp_l_FF,sp_p_FF,sp_s_SI,sp_l_SI,sp_p_SI,sp_s_SL,sp_l_SL,sp_p_SL,sp_s_KC,sp_l_KC,sp_p_KC,sp_s_FC,sp_l_FC,sp_p_FC,sp_s_FS,sp_l_FS,sp_p_FS,sp_s_FO,sp_l_FO,sp_p_FO,sp_stuff,sp_location,sp_pitching,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TIP,PlayerNameRoute,PlayerName,positionDB,position,TeamName,TeamNameAbb,teamid,playerTeamId,playerid,EV90
R,111048.0,Ewell Blackwell,CIN,1947,24.0,24 - 24,1947,1947,22.0,8.0,2.4725274725274726,33.0,33.0,,23.0,6.0,0.0,,273.0,1086.0,227.0,91.0,75.0,10.0,95.0,,4.0,2.0,1.0,193.0,,,,,,,,,,,,6.362637362637362,3.131868131868132,2.03157895,7.483516483516484,0.32967032967032966,0.22998986828774062,1.1794871794871795,0.2767857142857143,0.75320513,2.819289109121749,,,,,,,,,0.27440147,,,,,,68.49874877929688,7.319820880889893,,8.461441993713379,1.0617918968200684,0.07982977479696274,1.141621708869934,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9800155979608,68.15600690951187,,0.17771639,0.08747698,0.09023941,,2.851256453003014,,-0.3467616365942763,,,,,,,,,,,,,,172.2991764146645,85.49442928182006,201.53263307997196,81.03214866620556,45.34241892024991,87.24043010046998,82.29945756246342,99.58465515167909,107.94933460278531,186.90629735140095,92.7424498991545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.77273,154.0,273.0,Ewell Blackwell,Ewell Blackwell,P,P,CIN,CIN,18,,1001013,
L,119739.0,Hal Newhouser,DET,1947,26.0,26 - 26,1947,1947,17.0,17.0,2.873684210526316,40.0,36.0,,24.0,3.0,2.0,,285.0,1216.0,268.0,105.0,91.0,9.0,110.0,,2.0,11.0,0.0,176.0,,,,,,,,,,,,5.557894736842106,3.473684210526316,1.6,8.463157894736842,0.28421052631578947,0.2427536231884058,1.3263157894736841,0.28182807399347115,0.74850299,3.0234919238508793,,,,,,,,,0.24259868,,,,,,62.7826042175293,6.747529029846191,,6.610108852386475,0.8727569580078125,-1.0101771354675293,-0.1374201476573944,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.41794678484035,72.91637597604273,,0.14473684,0.09046053,0.05427632,,3.282813591706126,,-0.14980771332456344,,,,,,,,,,,,,,147.6347105457585,90.09372903867478,163.86790475184677,96.98599638484457,51.51228993902463,96.57023635109825,94.87389486275842,104.80026828489311,104.99374155071952,148.698124274813,90.74268224035018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.8038,158.0,285.0,Hal Newhouser,Hal Newhouser,P,P,DET,DET,6,,1009535,
L,122557.0,Warren Spahn,BSN,1947,26.0,26 - 26,1947,1947,21.0,10.0,2.330264508368172,40.0,35.0,,22.0,7.0,3.0,,289.2,1174.0,245.0,87.0,75.0,15.0,84.0,,1.0,5.0,0.0,123.0,,,,,,,,,,,,3.8216337937238025,2.609896249372353,1.46428571,7.6121973940026955,0.46605290167363445,0.22497704315886133,1.1357881825972276,0.24185068349106204,0.78640777,3.373363677023202,,,,,,,,,0.1890971,,,,,,57.12562942504883,5.846480369567871,,10.204107284545898,1.4314347505569458,2.926192283630371,4.357626914978027,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52094405552333,80.79113410196356,,0.10477002,0.07155026,0.03321976,,3.5354922431900313,,-1.0430991686550297,,,,,,,,,,,,,,103.48921645034983,71.24552533179485,145.25714393702407,82.42551643548742,64.10029658360806,85.33895059827408,79.25033265240677,87.01539013965785,112.70793560789842,110.1877882558459,75.85705422690955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.88095,154.0,289.66668701171875,Warren Spahn,Warren Spahn,P,P,BSN,BSN,16,,1012299,
R,119517.0,Red Munger,STL,1947,28.0,28 - 28,1947,1947,16.0,5.0,3.369985676007881,40.0,31.0,,13.0,6.0,3.0,,224.1,936.0,218.0,94.0,84.0,12.0,76.0,,2.0,4.0,0.0,123.0,,,,,,,,,,,,4.934621882725826,3.0490346592452258,1.61842105,8.745915206782358,0.48142652514398304,0.2540792540792541,1.310549985114176,0.28492392807745504,0.7234957,3.31100799246391,,,,,,,,,0.22542735,,,,,,47.865665435791016,4.884708404541016,,4.880658149719238,0.39902931451797485,-0.4030795991420746,-0.00405028834939003,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.01869883813663,77.18737288249191,,0.13141026,0.08119658,0.05021368,,3.3315652786157073,,0.058977683543970816,,,,,,,,,,,,,,133.62875138919023,83.23322281681402,160.54736958327922,94.70150868499185,66.21476431994274,96.37808643704612,91.44444700983165,102.51270082807031,103.69138062861816,138.20562291952768,86.08401812064338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.43803,156.0,224.3332977294922,Red Munger,Red Munger,P,P,STL,STL,28,27.0,1009320,
R,121623.0,Johnny Sain,BSN,1947,29.0,29 - 29,1947,1947,21.0,12.0,3.518796992481203,38.0,35.0,,22.0,3.0,1.0,,266.0,1131.0,265.0,117.0,104.0,19.0,79.0,,4.0,3.0,0.0,132.0,,,,,,,,,,,,4.466165413533835,2.672932330827068,1.67088608,8.966165413533835,0.6428571428571429,0.25286259541984735,1.2932330827067668,0.27424749163879597,0.71873055,3.5412864100664185,,,,,,,,,0.20335986,,,,,,48.106788635253906,4.866667747497559,,4.986340045928955,-0.14984413981437683,0.2695164680480957,0.11967234313488007,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.85903433726243,84.93618892228241,,0.11671088,0.06984969,0.04686119,,3.3717951636731787,,-0.0224894175852155,,,,,,,,,,,,,,120.94302702245609,72.96629823193562,165.75189990458665,97.0863965297049,88.41771689448733,95.9165799127704,90.23614928555158,98.67142873158062,103.0084396279388,122.74612097900585,74.05412771852207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.72727,154.0,266.0,Johnny Sain,Johnny Sain,P,P,BSN,BSN,16,,1011373,
R,117689.0,Dutch Leonard,PHI,1947,38.0,38 - 38,1947,1947,17.0,12.0,2.6808510638297873,32.0,29.0,,19.0,3.0,0.0,,235.0,943.0,224.0,86.0,70.0,14.0,57.0,,2.0,4.0,0.0,103.0,,,,,,,,,,,,3.9446808510638296,2.1829787234042555,1.80701754,8.578723404255319,0.5361702127659574,0.25339366515837103,1.195744680851064,0.2737940026075619,0.74791192,3.320169788725833,,,,,,,,,0.1845175,,,,,,46.775779724121094,4.793872833251953,,6.2797136306762695,1.2169773578643799,0.2688632607460022,1.4858406782150269,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.87231197780112,80.31566048825198,,0.10922587,0.06044539,0.04878049,,3.3487635275212733,,-0.6393187248960457,,,,,,,,,,,,,,106.8213105854691,59.591436239838835,179.2561416332158,92.8911417234193,73.74413834604049,96.11802684061588,83.4338349146195,98.50826803917619,107.19071234661182,114.87406245597636,64.08375482974218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.51613,155.0,235.0,Dutch Leonard,Dutch Leonard,P,P,PHI,PHI,26,,1007533,
R,111378.0,Ralph Branca,BRO,1947,21.0,21 - 21,1947,1947,21.0,12.0,2.6678571428571427,43.0,36.0,,15.0,4.0,1.0,,280.0,1158.0,251.0,100.0,83.0,22.0,98.0,,6.0,7.0,1.0,148.0,,,,,,,,,,,,4.757142857142857,3.15,1.51020408,8.067857142857143,0.7071428571428572,0.2381404174573055,1.2464285714285714,0.25904977375565613,0.78655151,3.747677387510027,,,,,,,,,0.23143351,,,,,,45.43033218383789,4.544480800628662,,7.932472229003906,2.0236291885375977,1.3643622398376465,3.387991428375244,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15791394321886,89.07892179475772,,0.12780656,0.08462867,0.04317789,,3.415994666153903,,-1.0798202446528844,,,,,,,,,,,,,,128.82264847997973,85.98939703029374,149.81224597817672,87.35943868870993,97.25948858393606,90.33212027100508,86.9703351616995,93.20344604182841,112.72853713665285,134.41557904444582,89.7226936415703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.80645,155.0,280.0,Ralph Branca,Ralph Branca,P,P,BRO,BRO,22,,1001343,
R,114055.0,Bob Feller,CLE,1947,28.0,28 - 28,1947,1947,20.0,11.0,2.678929765886288,42.0,37.0,,20.0,5.0,3.0,,299.0,1218.0,230.0,97.0,89.0,17.0,127.0,,4.0,7.0,2.0,196.0,,,,,,,,,,,,5.8996655518394645,3.822742474916388,1.54330709,6.923076923076923,0.5117056856187291,0.21159153633854647,1.193979933110368,0.2437070938215103,0.78291815,3.4115808753265586,,,,,,,,,0.27914614,,,,,,43.18930435180664,4.437077522277832,,7.485217571258545,1.0468275547027588,2.001312255859375,3.048139810562134,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43712468164074,90.34753128656729,,0.16091954,0.10426929,0.05665025,,3.254326425514785,,-0.7326511094402708,,,,,,,,,,,,,,156.71319039005147,99.14692984356441,158.06156160718638,79.3369947465003,92.74509281106442,84.17359298586712,85.40765897622903,90.62464378909807,109.82121173916603,165.3237242606533,104.59452028971144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.90446,157.0,299.0,Bob Feller,Bob Feller,P,P,CLE,CLE,5,,1003975,
R,116367.0,Fred Hutchinson,DET,1947,27.0,27 - 27,1947,1947,18.0,10.0,3.0318659729313757,33.0,25.0,,18.0,3.0,2.0,,219.2,911.0,211.0,84.0,74.0,14.0,61.0,,2.0,2.0,0.0,113.0,,,,,,,,,,,,4.629741282989803,2.4992408695785664,1.85245902,8.644915139034058,0.5735962651491792,0.24882075471698112,1.2382395565125137,0.27323162274618584,0.74685535,3.329196898991226,,,,,,,,,0.20636663,,,,,,40.84538650512695,4.295180797576904,,4.639437198638916,0.6045252680778503,-0.26026883721351624,0.3442564308643341,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56932281137044,80.93940142279945,,0.12403952,0.06695939,0.05708013,,3.2491678004992393,,-0.29733092605985023,,,,,,,,,,,,,,122.98011145930887,64.82049491541927,189.72411099411738,99.06889589559242,103.96257134218838,98.98381237930435,88.57363414643095,101.60360166382975,104.76262312546403,127.43433709748746,67.16823862006142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.3903,158.0,219.6667022705078,Fred Hutchinson,Fred Hutchinson,P,P,DET,DET,6,,1006238,
R,118410.0,Walt Masterson,WAS,1947,27.0,27 - 27,1947,1947,12.0,16.0,3.130434782608696,35.0,31.0,,14.0,4.0,1.0,,253.0,1035.0,215.0,98.0,88.0,11.0,97.0,,2.0,3.0,0.0,135.0,,,,,,,,,,,,4.8023715415019765,3.450592885375494,1.39175258,7.648221343873518,0.391304347826087,0.2297008547008547,1.233201581027668,0.2582278481012658,0.72337575,3.3410427178318796,,,,,,,,,0.23478261,,,,,,41.15511703491211,4.275355339050293,,4.6041436195373535,-0.4125837981700897,0.741371750831604,0.32878798246383667,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.22040423602535,86.25865381085623,,0.13043478,0.09371981,0.03671498,,3.4935496710348826,,-0.21060793522318377,,,,,,,,,,,,,,127.5656999696384,89.49483073209358,142.53973670373333,87.64699617251712,70.92271803199044,91.37769206968633,88.21325816337787,96.02431502359914,101.46910227928778,134.00463320592652,94.01212828991581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.64286,154.0,253.0,Walt Masterson,Walt Masterson,P,P,WAS,WAS,8,,1008230,
