,IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
33,1008125,1920,Rube Marquard,BRO,33,10,7,3.4,3.23,28,26,10,1,0,,189.2,779,181,83,68,5,35,,1,5,0,89,,,,,,,,,,,,4.22,1.66,2.54,8.59,0.24,0.244,1.14,0.271,0.638,2.72,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,82,,0.114,0.045,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.5,-1.9,-1.5,33 - 33,0.069,,,,,,,2.68,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,69,211,94,113,93,89,97,93,147,70,,,,,,,,,,,,,,,,,,0,,,
53,1010216,1920,Scott Perry,PHA,29,11,25,3.2,3.62,42,34,20,1,1,,263.2,1110,310,151,106,14,65,,7,3,1,79,,,,,,,,,,,,2.7,2.22,1.22,10.58,0.48,0.299,1.42,0.313,0.637,3.66,,,,,,,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,97,,0.071,0.059000000000000004,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,-1.2,0.1,-1.1,29 - 29,0.013000000000000001,,,,,,,3.36,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,71,127,109,159,108,100,106,97,92,72,,,,,,,,,,,,,,,,,,0,,,
24,1010264,1920,Jeff Pfeffer,BRO,32,16,9,3.1,3.01,30,28,20,2,0,,215.0,898,225,81,72,5,45,,5,5,0,80,,,,,,,,,,,,3.35,1.88,1.78,9.42,0.21,0.265,1.26,0.288,0.7240000000000001,3.01,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,91,,0.08900000000000001,0.05,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,-0.6,1.2,0.6,32 - 32,0.039,,,,,,,3.05,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,78,148,103,100,102,98,103,106,115,78,,,,,,,,,,,,,,,,,,0,,,
41,1006871,1920,Dickie Kerr,CHW,26,21,9,3.0,3.37,45,28,19,3,5,,253.2,1045,266,116,95,7,72,,4,3,1,72,,,,,,,,,,,,2.55,2.55,1.0,9.44,0.25,0.275,1.33,0.291,0.68,3.44,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,95,,0.069,0.069,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.4,0.8,1.2,26 - 26,0.0,,,,,,,3.51,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,82,105,97,83,99,94,98,104,89,85,,,,,,,,,,,,,,,,,,0,,,
22,1005209,1920,Jesse Haines,STL,26,13,20,3.0,2.98,47,37,19,4,2,,301.2,1258,303,136,100,9,80,,9,5,1,120,,,,,,,,,,,,3.58,2.39,1.5,9.04,0.27,0.259,1.27,0.283,0.675,3.23,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,100,,0.095,0.064,,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,-0.3,-0.6,-0.9,26 - 26,0.032,,,,,,,3.13,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,99,124,99,128,99,99,101,99,123,99,,,,,,,,,,,,,,,,,,0,,,
59,1000387,1920,Doc Ayers,DET,29,7,14,3.0,3.88,46,23,8,3,1,,208.2,861,217,115,90,6,62,,8,1,1,103,,,,,,,,,,,,4.44,2.67,1.66,9.36,0.26,0.274,1.34,0.309,0.617,3.14,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,88,,0.12,0.07200000000000001,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,-0.7,-1.0,-1.7,29 - 29,0.048,,,,,,,2.94,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,86,174,96,86,99,94,104,94,155,89,,,,,,,,,,,,,,,,,,0,,,
13,1013116,1920,Fred Toney,NYG,31,21,11,2.9,2.65,42,37,17,4,1,,278.1,1120,266,101,82,8,57,,6,6,0,81,,,,,,,,,,,,2.62,1.84,1.42,8.6,0.26,0.252,1.16,0.267,0.7170000000000001,3.22,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,,0.07200000000000001,0.051,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.1,0.9,2.1,31 - 31,0.021,,,,,,,3.26,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,76,118,94,124,97,91,95,105,93,79,,,,,,,,,,,,,,,,,,0,,,
42,1012144,1920,George Smith,PHI,28,13,18,2.9,3.45,43,28,10,1,2,,250.2,1037,265,115,96,10,51,,6,1,0,51,,,,,,,,,,,,1.83,1.83,1.0,9.51,0.36,0.27,1.26,0.277,0.672,3.54,,,,,,,,,,,,,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98,,0.049,0.049,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.2,-0.2,0.0,28 - 28,0.0,,,,,,,3.51,0.10800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,76,83,104,172,104,98,99,98,63,76,,,,,,,,,,,,,,,,,,0,,,
10,1010431,1920,Elmer Ponder,PIT,27,11,15,2.9,2.62,33,23,13,2,0,,196.0,803,182,76,57,3,40,,2,10,0,62,,,,,,,,,,,,2.85,1.84,1.55,8.36,0.14,0.239,1.13,0.257,0.6729999999999999,2.96,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,88,,0.077,0.05,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.3,-1.1,0.2,27 - 27,0.027000000000000003,,,,,,,3.19,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,76,129,92,66,92,88,92,99,100,77,,,,,,,,,,,,,,,,,,0,,,
61,1006589,1920,Sam Jones,BOS,27,13,16,2.8,3.94,37,33,21,3,0,,274.0,1149,302,143,120,9,79,,4,6,2,86,,,,,,,,,,,,2.82,2.59,1.09,9.92,0.3,0.283,1.39,0.302,0.65,3.46,,,,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,100,,0.075,0.069,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,-0.4,-0.1,-0.5,27 - 27,0.006,,,,,,,3.44,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,84,114,102,98,102,98,102,99,97,85,,,,,,,,,,,,,,,,,,0,,,
34,1005273,1920,Earl Hamilton,PIT,28,10,13,2.8,3.24,39,23,12,0,3,,230.1,968,223,99,83,2,69,,2,2,0,74,,,,,,,,,,,,2.89,2.7,1.07,8.71,0.08,0.249,1.27,0.269,0.67,3.14,,,,,,,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,94,,0.076,0.071,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.7,-1.1,-0.3,28 - 28,0.005,,,,,,,3.45,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,111,89,96,37,95,99,96,98,99,111,,,,,,,,,,,,,,,,,,0,,,
62,1005431,1920,Slim Harriss,PHA,23,9,14,2.8,4.08,31,25,11,1,0,,192.0,813,226,111,87,5,57,,5,2,0,60,,,,,,,,,,,,2.81,2.67,1.05,10.59,0.23,0.301,1.47,0.322,0.63,3.43,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,91,,0.07400000000000001,0.07,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,-1.3,-0.1,-1.4,23 - 23,0.004,,,,,,,3.47,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,86,110,109,78,108,104,109,96,96,87,,,,,,,,,,,,,,,,,,0,,,
12,1000566,1920,Jesse Barnes,NYG,27,20,15,2.7,2.64,43,35,23,2,0,,292.2,1186,271,108,86,9,56,,2,4,0,63,,,,,,,,,,,,1.94,1.72,1.13,8.33,0.28,0.24,1.12,0.248,0.698,3.31,,,,,,,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,103,,0.053,0.047,,,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.9,-0.7,2.3,27 - 27,0.006,,,,,,,3.44,0.10800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,71,93,91,132,92,87,89,102,68,73,,,,,,,,,,,,,,,,,,0,,,
14,1008049,1920,Al Mamaux,BRO,26,12,8,2.7,2.69,41,18,9,2,4,,190.2,764,172,70,57,2,63,,4,3,1,101,,,,,,,,,,,,4.77,2.97,1.6,8.12,0.09,0.247,1.23,0.286,0.715,2.88,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,87,,0.132,0.08199999999999999,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,-0.3,0.8,0.5,26 - 26,0.05,,,,,,,2.92,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,123,133,89,45,95,96,102,105,170,128,,,,,,,,,,,,,,,,,,0,,,
40,1001961,1920,Hal Carlson,PIT,28,14,13,2.6,3.36,39,31,16,3,3,,246.2,1033,262,102,92,4,63,,8,4,1,62,,,,,,,,,,,,2.26,2.3,0.98,9.56,0.15,0.272,1.32,0.288,0.706,3.32,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,100,,0.06,0.061,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,-0.6,1.2,0.6,28 - 28,-0.001,,,,,,,3.53,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,95,82,105,70,104,103,103,103,77,95,,,,,,,,,,,,,,,,,,0,,,
51,1003011,1920,Hooks Dauss,DET,30,13,21,2.6,3.56,38,32,18,0,0,,270.1,1174,308,158,107,11,84,,8,3,0,82,,,,,,,,,,,,2.73,2.8,0.98,10.25,0.37,0.285,1.45,0.3,0.629,3.69,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,102,,0.07,0.07200000000000001,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,-0.3,-1.1,-1.4,30 - 30,-0.002,,,,,,,3.53,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,90,102,106,122,103,102,101,96,90,88,,,,,,,,,,,,,,,,,,0,,,
63,1001754,1920,Joe Bush,BOS,27,15,15,2.5,4.25,35,32,18,0,1,,243.2,1081,287,138,115,3,94,,10,4,0,88,,,,,,,,,,,,3.25,3.47,0.94,10.6,0.11,0.294,1.56,0.321,0.654,3.47,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,100,,0.081,0.087,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.7,0.2,-1.5,27 - 27,-0.006,,,,,,,3.58,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,112,98,109,37,106,110,108,100,105,107,,,,,,,,,,,,,,,,,,0,,,
68,1012288,1920,Allen Sothoron,SLB,27,8,15,2.5,4.7,36,26,12,1,2,,218.1,975,263,151,114,6,89,,6,10,0,81,,,,,,,,,,,,3.34,3.67,0.91,10.84,0.25,0.299,1.61,0.324,0.5920000000000001,3.67,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,98,,0.083,0.091,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-1.6,-1.6,-3.2,27 - 27,-0.008,,,,,,,3.61,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,118,95,112,82,108,113,109,91,108,113,,,,,,,,,,,,,,,,,,0,,,
54,1010161,1920,Herb Pennock,BOS,26,16,13,2.4,3.68,37,31,19,4,2,,242.1,1007,244,108,99,9,61,,4,2,1,68,,,,,,,,,,,,2.53,2.27,1.11,9.06,0.33,0.259,1.26,0.272,0.6779999999999999,3.48,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,100,,0.068,0.061,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.8,-0.2,1.6,26 - 26,0.006999999999999999,,,,,,,3.43,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,73,117,93,111,93,88,92,104,87,75,,,,,,,,,,,,,,,,,,0,,,
8,1003336,1920,Bill Doak,STL,29,20,12,2.3,2.53,39,37,20,5,1,,270.0,1117,256,94,76,7,80,,6,1,0,90,,,,,,,,,,,,3.0,2.67,1.13,8.53,0.23,0.248,1.24,0.267,0.747,3.38,,,,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,105,,0.081,0.07200000000000001,,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.1,1.9,3.0,29 - 29,0.009000000000000001,,,,,,,3.41,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,110,93,94,112,95,97,95,109,104,111,,,,,,,,,,,,,,,,,,0,,,
5,1011291,1920,Dutch Ruether,CIN,26,16,12,2.3,2.47,37,33,23,5,3,,265.2,1086,235,87,73,2,96,,9,6,1,99,,,,,,,,,,,,3.35,3.25,1.03,7.96,0.07,0.24,1.25,0.265,0.75,3.29,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,104,,0.091,0.08800000000000001,,,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,1.2,2.2,3.4,26 - 26,0.003,,,,,,,3.48,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,134,86,87,32,92,97,95,110,118,137,,,,,,,,,,,,,,,,,,0,,,
36,1009419,1920,Elmer Myers,- - -,26,11,5,2.3,3.25,28,17,11,1,1,,168.2,723,183,82,61,2,47,,6,2,0,50,,,,,,,,,,,,2.67,2.51,1.06,9.76,0.11,0.273,1.36,0.293,0.66,3.25,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,91,,0.069,0.065,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.3,0.0,0.4,26 - 26,0.004,,,,,,,3.46,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,81,111,101,35,98,96,99,101,90,80,,,,,,,,,,,,,,,,,,0,,,
55,1014405,1920,Tom Zachary,WAS,24,15,16,2.2,3.77,44,31,19,3,2,,262.2,1141,289,141,110,7,78,,4,9,3,53,,,,,,,,,,,,1.82,2.67,0.68,9.9,0.24,0.273,1.4,0.282,0.637,3.63,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,103,,0.046,0.068,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.1,-1.4,-0.3,24 - 24,-0.022000000000000002,,,,,,,3.78,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,86,71,102,80,98,98,95,97,60,84,,,,,,,,,,,,,,,,,,0,,,
19,1011174,1920,Eddie Rommel,PHA,22,7,7,2.2,2.85,33,12,8,2,1,,173.2,708,165,68,55,5,43,,4,1,1,43,,,,,,,,,,,,2.23,2.23,1.0,8.55,0.26,0.25,1.2,0.261,0.7020000000000001,3.44,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,91,,0.061,0.061,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,1.7,0.3,2.0,22 - 22,0.0,,,,,,,3.51,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,72,105,88,86,90,84,88,107,79,75,,,,,,,,,,,,,,,,,,0,,,
47,1011683,1920,Jack Scott,BSN,28,10,21,2.1,3.53,44,32,22,3,1,,291.0,1243,308,148,114,6,85,,13,9,0,94,,,,,,,,,,,,2.91,2.63,1.11,9.53,0.19,0.269,1.35,0.289,0.649,3.38,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,107,,0.076,0.068,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.8,-1.3,-2.1,28 - 28,0.006999999999999999,,,,,,,3.43,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,109,92,105,89,103,105,103,95,97,106,,,,,,,,,,,,,,,,,,0,,,
