Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
Matt Vierling,DET,26,4,16,17,6,4,1,0,1,2,3,1,0,5,0,0,0,0,0,1,.375,6,3,2,0,69,22,47,1,0,0,5.9%,29.4%,0.20,.412,.625,1.037,.250,.500,2.00,18.2%,54.5%,27.3%,0.0%,33.3%,16.7%,0.0%,.442,1.7,4,1.7,0.8,0.5,-0.2,2.6,0.3,$2.1,2.0,186,0.25,-0.20,0.44,1.87,0.19,0.89,,0,0.13,0.14,58.0%,94.6,10.1%,86.1,7.2%,89.2,10.1%,82.6,10.1%,87.1,4.3%,89.3,,,,,0.9,0.8,0.5,0.1,-0.4,-0.1,,2.14,11.68,9.63,1.72,-5.77,-4.20,,32.4%,48.6%,40.6%,81.8%,88.2%,85.7%,50.7%,70.6%,5.8%,-0.4,40.6%,,1.4%,,,17.4%,15.9%,7.2%,2.9%,,14.5%,,,,94.7,,81.4,,,94.5,88.0,81.8,84.4,,87.7,,,1.8,,-2.5,,,6.0,1.4,-3.5,1.6,,9.5,,,10.2,,-3.5,,,6.7,3.1,-6.4,-8.8,,4.6,,,-0.8,,0.0,,,1.7,1.3,0.1,0.1,,-0.5,,,-3.01,,4.26,,,14.15,11.42,1.43,2.73,,-5.30,,,34.5%,45.0%,40.6%,80.0%,88.9%,85.7%,58.0%,18.4,0.7,-0.5,0.1,26 - 26,1.4,0.0,0.0,36.4%,36.4%,27.3%,18.2%,45.5%,36.4%,41.2%,14.5%,,10.1%,40.6%,,,,,17.4%,17.4%,,88.0,,82.8,95.0,,,,,94.5,87.6,,9.3,,-2.4,1.7,,,,,5.8,1.3,,2.8,,-9.2,8.9,,,,,5.1,1.0,,-0.5,,0.1,-0.8,,,,,1.7,1.3,,-5.30,,1.80,-3.01,,,,,14.15,10.83,,36.7%,43.6%,40.6%,72.7%,94.1%,85.7%,56.5%,18.4,,152,66,134,128,153,155,171,98,126,71,271,90,104,110,109,89,112,93.4,1.0,0,0.0%,111.3,5,45.5%,11,27.5%,33.3%,.264,.510,.328,0.2
Ramon Laureano,OAK,28,5,18,20,5,1,2,0,2,3,3,2,0,8,0,0,0,1,0,0,.278,4,5,1,1,105,39,66,1,0,0,10.0%,40.0%,0.25,.350,.722,1.072,.444,.375,0.80,10.0%,40.0%,50.0%,20.0%,40.0%,25.0%,0.0%,.441,2.0,4,2.1,-0.6,0.6,-0.3,0.9,0.1,$0.7,0.8,189,-0.09,-0.45,0.36,-0.19,-0.02,0.97,,0,0.04,-0.14,46.2%,93.3,30.8%,85.7,8.7%,85.1,4.8%,78.4,7.7%,81.1,1.9%,87.0,,,1.0%,,-1.4,0.9,0.3,-0.2,1.6,0.9,,-2.88,2.79,3.60,-3.42,19.97,43.09,,24.1%,82.6%,50.0%,57.1%,84.2%,76.9%,44.2%,55.0%,12.4%,-0.9,42.9%,,6.7%,1.9%,,1.0%,35.2%,3.8%,1.0%,,7.6%,,,,93.0,,88.5,87.2,,92.7,85.6,77.3,82.2,,81.1,,,-4.0,,-1.2,-3.9,,-9.7,1.8,1.4,6.6,,6.9,,,10.4,,7.2,1.0,,8.8,2.0,-3.6,-4.3,,7.4,,,-0.4,,0.2,0.9,,-0.8,0.7,-0.2,0.0,,1.6,,,-0.99,,3.57,43.09,,-81.11,1.81,-4.27,0.00,,19.97,,,22.4%,75.0%,50.5%,63.6%,78.6%,75.5%,53.3%,18.4,-0.9,0.0,-0.7,28 - 28,1.2,0.0,-0.2,50.0%,30.0%,20.0%,10.0%,20.0%,70.0%,60.0%,7.6%,,4.8%,42.9%,10.5%,1.9%,,,1.0%,31.4%,,81.6,,78.8,93.7,88.5,87.8,,,93.2,86.2,,6.8,,3.2,-3.2,-2.2,-3.1,,,-8.6,3.4,,5.6,,-5.1,9.0,3.4,-0.3,,,7.5,0.7,,1.6,,-0.2,-0.4,0.4,0.9,,,-0.8,0.6,,19.97,,-3.42,-0.99,3.33,43.09,,,-81.11,1.68,,22.0%,76.4%,50.5%,63.6%,78.6%,75.5%,52.4%,18.4,,112,112,182,109,177,276,128,54,92,131,325,124,86,81,60,39,215,97.1,19.2,3,30.0%,105.9,6,60.0%,10,12.4%,24.8%,.279,.544,.391,0.1
Garrett Mitchell,MIL,24,5,18,20,5,2,0,1,2,5,4,2,0,4,0,0,0,0,0,0,.278,3,6,5,0,79,33,46,1,0,0,10.0%,20.0%,0.50,.350,.722,1.072,.444,.250,0.50,35.7%,21.4%,42.9%,0.0%,33.3%,33.3%,0.0%,.439,1.9,4,1.9,0.0,0.6,0.1,2.8,0.3,$2.3,5.1,178,0.20,-0.17,0.37,2.76,0.29,0.65,3.53,1,0.21,0.09,51.9%,92.2,3.8%,87.0,13.9%,90.4,8.9%,78.3,13.9%,84.9,2.5%,85.0,5.1%,68.5,,,1.3,1.5,-0.4,1.0,-0.1,-0.1,-0.3,3.26,48.81,-3.91,13.77,-1.27,-7.40,-7.37,25.0%,80.6%,46.8%,41.7%,80.0%,67.6%,39.2%,50.0%,15.2%,0.2,38.0%,,16.5%,3.8%,,20.3%,,10.1%,,,11.4%,,,,89.3,,89.9,84.8,,90.8,,78.9,,,85.7,,,-4.3,,-0.5,-6.3,,-5.1,,5.7,,,-7.0,,,9.3,,7.0,2.4,,4.6,,-5.1,,,3.5,,,-0.2,,0.9,-0.4,,1.3,,1.0,,,0.0,,,-0.64,,6.81,-13.52,,7.98,,13.05,,,0.49,,,22.7%,77.1%,46.8%,30.0%,81.5%,67.6%,44.3%,18.2,0.1,0.0,0.1,24 - 24,2.1,0.1,0.1,42.9%,28.6%,28.6%,21.4%,35.7%,42.9%,40.0%,12.7%,,8.9%,38.0%,16.5%,2.5%,,,20.3%,1.3%,,86.2,,78.6,89.8,90.5,85.1,,,91.3,85.4,,-6.5,,6.6,-3.8,0.4,-5.5,,,-4.9,5.2,,1.4,,-6.9,7.8,5.6,2.3,,,3.4,-5.2,,-0.2,,1.0,-0.2,0.9,-0.1,,,1.3,0.1,,-2.14,,13.77,-0.64,6.81,-7.40,,,7.98,8.05,,23.8%,73.0%,46.8%,30.0%,81.5%,67.6%,46.8%,18.2,,110,113,88,108,173,270,83,170,49,123,237,101,88,113,121,69,140,85.6,14.9,1,7.1%,112.3,6,42.9%,14,11.4%,26.6%,.266,.427,.348,0.3
Alex Verdugo,BOS,27,5,23,24,9,7,0,1,1,5,4,1,0,2,0,0,0,1,0,0,.391,8,8,5,1,87,33,54,1,0,0,4.2%,8.3%,0.50,.417,.609,1.025,.217,.400,1.00,23.8%,38.1%,38.1%,12.5%,12.5%,12.5%,0.0%,.438,2.3,5,2.2,-0.2,0.7,-0.2,2.8,0.3,$2.3,4.8,176,0.25,-0.38,0.63,4.02,0.40,1.07,,0,0.24,-0.01,49.4%,94.0,19.5%,86.6,5.7%,90.4,17.2%,80.6,6.9%,85.5,1.1%,84.0,,,,,0.7,0.0,1.4,0.3,0.2,0.0,,1.61,-0.19,28.71,2.22,3.44,4.60,,23.4%,65.0%,42.5%,90.9%,100.0%,97.3%,46.0%,58.3%,1.1%,0.3,31.0%,,8.0%,1.1%,,18.4%,19.5%,12.6%,2.3%,,6.9%,,,,93.9,,90.5,84.4,,94.0,85.7,79.8,82.7,,85.4,,,-1.2,,0.1,-4.4,,-2.7,1.5,1.0,-1.4,,-9.2,,,9.4,,4.6,5.6,,6.1,2.1,-1.2,-6.4,,6.2,,,1.9,,1.4,0.0,,-1.2,-0.1,0.6,-0.2,,0.2,,,6.92,,20.50,4.60,,-7.55,-0.67,5.38,-10.39,,3.44,,,21.2%,55.6%,42.5%,85.7%,100.0%,97.3%,62.1%,20.9,-0.5,-0.1,0.5,27 - 27,2.5,0.0,-0.1,42.9%,33.3%,23.8%,23.8%,52.4%,23.8%,16.7%,6.9%,,10.3%,28.7%,8.0%,1.1%,,,20.7%,24.1%,,86.3,,80.7,94.4,90.9,85.7,,,95.0,85.2,,-8.1,,4.2,-0.1,1.1,-3.4,,,-2.2,0.7,,4.2,,-4.9,7.7,3.1,4.0,,,5.2,0.6,,0.2,,-0.5,1.5,1.4,0.0,,,-0.8,0.7,,3.44,,-5.27,5.82,20.50,4.60,,,-4.42,3.55,,19.4%,55.4%,42.5%,83.3%,100.0%,97.3%,64.4%,20.9,,158,47,38,129,149,135,137,129,88,100,102,106,96,96,143,103,73,87.9,11.3,2,9.5%,109.9,8,38.1%,21,19.5%,20.7%,.330,.616,.418,0.2
David Villar,SFG,26,4,14,15,4,2,0,0,2,3,5,1,0,4,0,0,0,0,0,0,.286,2,6,2,0,61,20,41,0,0,0,6.7%,26.7%,0.25,.333,.714,1.048,.429,.250,0.33,20.0%,20.0%,60.0%,0.0%,33.3%,0.0%,0.0%,.434,1.4,3,1.4,0.5,0.5,0.0,2.6,0.3,$2.1,1.6,176,-0.06,-0.17,0.10,1.31,0.14,0.65,0.87,1,0.23,-0.33,52.5%,95.2,31.1%,85.3,3.3%,94.0,11.5%,82.3,1.6%,87.0,,,,,,,2.2,-0.2,-0.2,-0.1,-0.2,,,6.84,-1.28,-10.75,-1.31,-18.38,,,33.3%,67.9%,49.2%,54.5%,84.2%,73.3%,45.9%,73.3%,13.1%,0.1,26.2%,,3.3%,,,26.2%,31.1%,8.2%,3.3%,,1.6%,,,,94.3,,94.1,,,95.9,85.2,81.3,84.2,,87.2,,,-5.7,,1.2,,,-9.7,3.6,2.0,8.4,,-9.8,,,10.6,,6.0,,,5.5,1.0,-1.7,-6.1,,5.2,,,3.1,,-0.2,,,-0.9,-0.2,0.0,-0.1,,-0.2,,,19.41,,-10.75,,,-5.73,-1.28,-0.64,-2.99,,-18.38,,,25.0%,64.9%,49.2%,50.0%,79.2%,73.3%,60.7%,17.9,0.6,0.0,0.0,26 - 26,1.5,0.1,0.1,50.0%,40.0%,10.0%,0.0%,30.0%,70.0%,46.7%,1.6%,,4.9%,29.5%,3.3%,,,,23.0%,37.7%,,87.1,,84.7,94.9,94.0,,,,95.6,84.4,,-9.4,,6.1,-5.1,2.1,,,,-9.6,4.5,,3.8,,-6.4,9.4,4.8,,,,3.8,-0.8,,-0.2,,0.0,3.0,-0.2,,,,-0.8,-0.3,,-18.38,,-0.57,16.68,-10.75,,,,-5.81,-1.38,,26.9%,65.7%,49.2%,42.9%,82.6%,73.3%,57.4%,17.9,,113,75,117,103,171,260,83,95,45,172,237,118,124,40,0,58,229,94.2,24.4,4,40.0%,106.8,5,50.0%,10,18.0%,31.1%,.369,.889,.535,0.2
Mike Zunino,CLE,32,5,17,21,5,2,2,0,1,5,3,4,0,5,0,0,0,0,0,0,.294,1,7,4,2,90,39,51,0,0,0,19.0%,23.8%,0.80,.429,.588,1.017,.294,.364,0.14,33.3%,8.3%,58.3%,28.6%,14.3%,0.0%,0.0%,.433,1.9,4,2.0,-0.4,0.7,0.4,2.9,0.3,$2.3,2.6,178,0.46,-0.32,0.78,2.75,0.31,1.21,,0,0.23,0.15,67.8%,93.0,17.8%,82.6,4.4%,85.3,4.4%,80.3,5.6%,82.2,,,,,,,-0.1,0.4,1.3,-0.4,0.5,,,-0.14,2.76,32.29,-8.91,10.05,,,25.9%,77.8%,46.7%,21.4%,85.7%,64.3%,40.0%,38.1%,16.7%,0.3,57.8%,,4.4%,1.1%,,7.8%,20.0%,1.1%,1.1%,,6.7%,,,,92.9,,85.5,94.9,,93.8,82.0,79.3,85.3,,83.4,,,-2.6,,3.9,-9.8,,-2.4,0.2,-3.2,8.1,,6.5,,,9.6,,3.4,6.3,,2.2,0.7,-8.2,-0.7,,2.4,,,-0.5,,1.3,0.4,,0.0,-0.6,0.0,0.7,,0.5,,,-1.05,,32.29,42.67,,-0.42,-3.25,-4.42,68.95,,9.08,,,22.7%,69.6%,46.7%,20.0%,75.0%,61.9%,51.1%,18.8,0.0,0.0,0.1,32 - 32,2.2,0.0,0.2,50.0%,25.0%,25.0%,41.7%,25.0%,33.3%,47.6%,5.6%,,3.3%,60.0%,4.4%,,,,7.8%,18.9%,,82.8,,80.5,93.8,86.4,,,,94.6,83.1,,10.3,,2.0,-2.5,3.7,,,,-1.9,1.0,,0.2,,-5.8,8.3,2.1,,,,1.0,-0.5,,0.5,,-0.2,-0.1,1.3,,,,0.0,0.2,,10.05,,-5.64,-0.14,32.29,,,,-0.42,1.35,,20.0%,71.1%,45.6%,11.1%,78.1%,63.4%,50.0%,18.8,-0.4,119,214,108,133,144,182,124,180,19,152,116,124,72,101,250,49,103,85.5,41.1,1,8.3%,108.4,4,33.3%,12,10.0%,26.7%,.265,.475,.385,0.3
Byron Buxton,MIN,29,4,16,18,6,4,1,1,0,4,0,2,0,4,0,0,0,1,0,0,.375,3,7,2,0,68,28,40,0,0,0,11.1%,22.2%,0.50,.444,.563,1.007,.188,.500,0.43,16.7%,25.0%,58.3%,0.0%,0.0%,0.0%,0.0%,.432,1.6,4,1.7,,0.6,-0.4,2.2,0.2,$1.8,5.1,179,0.16,-0.15,0.31,0.69,0.07,0.63,,0,0.12,0.14,38.2%,92.6,39.7%,83.7,2.9%,88.5,10.3%,77.0,8.8%,86.8,,,,,,,1.5,-0.5,0.5,-0.1,-0.3,,,5.77,-1.87,27.41,-1.39,-5.17,,,29.3%,77.8%,48.5%,66.7%,85.7%,78.8%,39.7%,61.1%,10.3%,0.4,19.1%,,,,,17.6%,29.4%,23.5%,,,10.3%,,,,93.7,,,,,91.4,83.9,80.9,,,87.1,,,-1.4,,,,,-7.8,3.0,3.5,,,-5.6,,,9.9,,,,,5.9,1.2,-6.1,,,3.3,,,-0.1,,,,,1.5,0.2,-0.3,,,-0.3,,,-1.00,,,,,12.91,0.88,-1.62,,,-3.72,,,18.9%,83.9%,48.5%,42.9%,88.5%,78.8%,45.6%,18.5,-0.4,0.0,0.5,29 - 29,2.1,0.0,-0.1,50.0%,33.3%,16.7%,8.3%,66.7%,25.0%,33.3%,8.8%,,23.5%,25.0%,2.9%,1.5%,,,11.8%,26.5%,,86.6,,80.6,92.9,88.1,89.2,,,91.7,83.6,,-5.8,,4.0,-2.7,3.3,-4.8,,,-7.8,3.3,,2.0,,-8.0,8.7,1.6,3.5,,,3.2,-0.4,,-0.3,,-0.4,0.1,0.5,0.1,,,1.3,-0.3,,-5.17,,-2.33,0.52,27.41,5.00,,,16.63,-1.44,,19.4%,81.3%,48.5%,42.9%,88.5%,78.8%,47.1%,18.5,,152,125,101,138,138,116,171,90,58,152,0,124,96,67,50,131,77,95.0,25.1,2,16.7%,110.5,6,50.0%,12,10.3%,20.6%,.333,.505,.396,0.2
Freddie Freeman,LAD,33,6,21,27,8,7,1,0,0,4,0,6,0,3,0,0,0,1,0,1,.381,7,3,8,0,113,51,62,1,0,0,22.2%,11.1%,2.00,.519,.429,.947,.048,.444,2.33,44.4%,38.9%,16.7%,0.0%,0.0%,14.3%,0.0%,.432,2.5,6,2.5,-0.9,0.8,-0.5,1.6,0.2,$1.3,2.2,175,-0.09,-0.43,0.34,0.83,0.09,0.85,,0,0.06,-0.16,52.2%,93.5,15.9%,86.6,2.7%,89.0,10.6%,81.9,18.6%,84.7,,,,,,,-2.0,1.5,-0.2,0.5,2.1,,,-3.42,8.43,-5.92,4.36,10.09,,,26.0%,80.0%,45.1%,73.7%,87.5%,82.4%,35.4%,48.1%,8.0%,-0.5,33.6%,,9.7%,,,18.6%,8.0%,7.1%,3.5%,,19.5%,,,,93.1,,87.9,,,94.1,85.9,80.7,84.2,,84.8,,,-2.9,,0.0,,,-8.6,-0.1,4.3,-0.1,,-7.2,,,9.1,,2.9,,,5.2,2.9,-3.5,-2.0,,2.6,,,-1.0,,-0.1,,,-1.0,1.5,0.4,0.1,,2.1,,,-2.64,,-1.18,,,-4.85,16.89,4.81,3.47,,9.40,,,23.9%,76.1%,45.1%,81.3%,82.9%,82.4%,40.7%,18.2,-1.3,-0.5,0.2,33 - 33,2.0,0.1,-0.2,38.9%,38.9%,22.2%,16.7%,55.6%,27.8%,33.3%,19.5%,,10.6%,33.6%,4.4%,,,,18.6%,13.3%,,85.0,,82.0,93.4,85.9,,,,94.3,87.7,,-6.8,,3.4,-2.4,-1.7,,,,-8.2,0.8,,1.4,,-4.4,8.2,4.0,,,,4.2,0.8,,2.1,,0.5,-1.0,-0.2,,,,-1.0,1.6,,9.40,,4.36,-2.64,-3.52,,,,-4.85,10.44,,21.9%,75.5%,45.1%,78.6%,83.8%,82.4%,43.4%,18.2,,151,251,49,160,103,29,148,212,88,48,0,92,120,88,94,107,91,90.1,11.3,0,0.0%,106.7,7,38.9%,18,9.7%,17.7%,.412,.524,.459,0.2
Yasmani Grandal,CHW,34,5,15,17,5,3,1,0,1,1,2,2,0,2,0,0,0,0,0,0,.333,7,3,3,0,51,17,34,0,0,0,11.8%,11.8%,1.00,.412,.600,1.012,.267,.333,2.33,23.1%,53.8%,23.1%,0.0%,33.3%,0.0%,0.0%,.431,1.5,4,1.6,0.2,0.5,0.3,2.3,0.2,$1.8,0.1,176,0.32,-0.23,0.55,2.24,0.24,0.93,0.71,1,0.29,0.06,47.1%,93.8,17.6%,83.3,3.9%,84.5,15.7%,80.9,13.7%,86.6,2.0%,82.0,,,,,2.1,-0.1,0.4,-0.5,-0.2,0.1,,8.71,-1.41,20.55,-6.05,-3.39,9.66,,35.7%,47.8%,41.2%,70.0%,100.0%,85.7%,45.1%,64.7%,5.9%,-0.3,31.4%,,3.9%,2.0%,,15.7%,17.6%,11.8%,3.9%,,13.7%,,,,93.2,,84.5,82.3,,94.7,83.2,80.8,80.6,,86.5,,,-5.3,,0.0,-7.5,,10.2,6.4,4.3,5.2,,-2.0,,,10.1,,4.5,-1.4,,4.1,1.7,-4.9,-4.3,,3.4,,,2.5,,0.4,0.1,,-0.4,-0.1,-0.2,-0.3,,-0.2,,,15.75,,20.55,9.66,,-5.38,-1.41,-3.25,-14.47,,-3.39,,,30.4%,50.0%,41.2%,57.1%,100.0%,85.7%,54.9%,17.6,0.5,0.0,-0.4,34 - 34,1.2,0.0,0.1,53.8%,46.2%,0.0%,30.8%,38.5%,30.8%,29.4%,13.7%,,9.8%,33.3%,3.9%,2.0%,,,13.7%,23.5%,,86.7,,77.0,93.4,84.5,82.3,,,94.5,84.2,,-1.9,,3.9,-4.2,0.1,-7.0,,,10.0,7.0,,1.8,,-6.3,8.6,3.0,-4.0,,,2.0,-1.3,,-0.2,,-0.2,2.6,0.4,0.1,,,-0.5,-0.4,,-3.39,,-4.33,15.09,20.55,9.66,,,-6.80,-3.29,,30.4%,50.0%,41.2%,57.1%,100.0%,85.7%,54.9%,17.6,0.2,135,132,53,128,147,165,114,125,124,60,271,133,132,0,184,76,95,82.8,-0.5,1,7.7%,107.3,2,15.4%,13,25.5%,31.4%,.306,.416,.359,0.2
Mookie Betts,LAD,30,6,20,25,6,3,2,0,1,5,1,5,0,6,0,0,0,0,0,1,.300,5,5,4,1,104,48,56,1,0,0,20.0%,24.0%,0.83,.440,.550,.990,.250,.385,1.00,28.6%,35.7%,35.7%,20.0%,20.0%,20.0%,0.0%,.427,2.2,5,2.2,1.6,0.8,-0.1,4.5,0.4,$3.6,3.1,172,0.30,-0.30,0.60,0.46,0.05,0.81,,0,0.24,0.13,47.1%,93.3,23.1%,86.9,5.8%,87.5,12.5%,81.2,10.6%,85.2,1.0%,86.0,,,,,1.2,0.5,0.1,0.2,0.2,0.1,,2.48,1.95,1.21,1.77,2.06,7.44,,25.0%,55.0%,36.5%,43.8%,95.5%,73.7%,38.5%,44.0%,9.6%,-0.1,32.7%,,11.5%,1.0%,,14.4%,17.3%,8.7%,3.8%,,10.6%,,,,93.3,,88.2,86.2,,93.2,86.2,79.6,84.6,,85.0,,,-3.6,,-0.6,-4.1,,-8.8,2.7,2.1,0.7,,-6.1,,,9.7,,3.1,4.9,,5.4,2.7,-3.2,-5.1,,3.1,,,0.5,,0.0,0.1,,0.7,0.6,0.7,-0.6,,0.2,,,1.46,,-0.23,7.44,,4.80,3.08,7.45,-15.21,,2.06,,,23.7%,53.3%,36.5%,35.7%,95.8%,73.7%,43.3%,17.2,1.5,-0.5,0.4,30 - 30,2.1,0.1,0.0,50.0%,35.7%,14.3%,21.4%,42.9%,35.7%,48.0%,10.6%,,12.5%,31.7%,6.7%,1.0%,,,15.4%,22.1%,,85.3,,81.3,93.5,87.6,86.6,,,93.3,87.1,,-5.7,,2.4,-2.9,-1.8,-4.0,,,-8.2,3.4,,1.6,,-5.3,8.5,4.1,4.0,,,4.5,0.8,,0.2,,0.1,0.5,0.2,0.1,,,0.7,0.3,,2.06,,0.48,1.64,3.51,7.44,,,4.22,1.22,,23.3%,54.5%,36.5%,35.7%,95.8%,73.7%,42.3%,17.2,,119,226,106,136,132,152,128,136,81,102,142,118,110,56,121,83,117,92.1,17.2,2,14.3%,103.1,9,64.3%,14,17.3%,26.9%,.248,.467,.379,0.4
Bryson Stott,PHI,25,5,19,20,8,6,2,0,0,0,0,1,0,4,0,0,0,0,0,0,.421,8,4,3,0,77,20,57,1,0,0,5.0%,20.0%,0.25,.450,.526,.976,.105,.533,2.00,20.0%,53.3%,26.7%,0.0%,0.0%,12.5%,0.0%,.427,1.7,4,1.7,0.3,0.6,0.1,2.5,0.3,$2.0,0.1,168,0.01,-0.22,0.22,0.18,0.02,0.74,,0,0.09,-0.08,61.0%,94.8,11.7%,85.4,3.9%,88.7,11.7%,81.9,10.4%,86.5,1.3%,89.0,,,,,1.7,0.3,0.3,-0.1,-0.4,0.0,,3.54,3.30,9.57,-0.86,-5.59,-4.42,,40.5%,57.1%,48.1%,82.4%,100.0%,91.9%,45.5%,65.0%,3.9%,-0.2,45.5%,,3.9%,1.3%,,15.6%,11.7%,11.7%,,,10.4%,,,,95.6,,88.7,88.5,,92.3,85.3,81.8,,,86.5,,,-2.4,,0.7,-7.0,,0.4,1.3,1.7,,,-9.6,,,10.0,,6.1,1.3,,5.2,1.5,-1.4,,,3.8,,,0.8,,0.3,0.0,,0.9,0.3,-0.1,,,-0.4,,,2.15,,9.57,-4.42,,7.33,3.30,-0.86,,,-5.59,,,39.4%,54.5%,48.1%,76.9%,100.0%,91.9%,57.1%,18.4,0.3,-0.1,-0.1,25 - 25,1.5,0.1,0.0,33.3%,33.3%,33.3%,20.0%,33.3%,46.7%,25.0%,10.4%,,11.7%,45.5%,3.9%,1.3%,,,15.6%,11.7%,,86.5,,81.7,95.6,88.8,88.7,,,92.4,85.3,,-9.2,,2.3,-2.0,0.6,-6.5,,,0.4,1.6,,2.2,,-2.8,9.0,5.0,0.2,,,4.0,0.0,,-0.4,,-0.1,0.8,0.3,0.0,,,0.9,0.3,,-5.59,,-0.86,2.15,9.57,-4.42,,,7.33,3.30,,40.0%,54.8%,48.1%,78.6%,100.0%,91.9%,54.5%,18.4,,167,57,88,139,126,64,177,95,121,76,0,79,103,132,113,64,153,85.4,4.4,0,0.0%,101.9,4,26.7%,15,26.0%,29.9%,.305,.379,.322,0.3
